,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
214,"Створила та підтримувала відділ продажу з розробкою системи мотивації з нуля до 9 осіб. Вела проєкт по впровадженню програмного продукту BAS ERP для девелоперської компанії в розрізі управлінського обліку, де кінцевою ціллю було побачити управлінський баланс. Адаптувала та вдосконалила внутрішню CRM систему для відділу продажу.

**Досвід роботи**

**Менеджер зі збуту**  
Техноцентр Маяк  
Липень 2017 - Вересень 2020  

**Керівник відділу продажу**  
Компанія Softinform LLC  
Вересень 2020 - Грудень 2021  
- Формування команди менеджерів з продажу
- Проведення співбесід та навчання співробітників (привітання, виявлення ліда, робота з запереченнями, доведення до оплати)
- Пошук та формування баз для роботи менеджерів
- Формування розмовних модулів для менеджерів з продажу для різних груп клієнтів
- Розробка та презентація комерційних пропозицій
- Розрахунок та введення системи мотивації
- Аналіз KPI
- Ведення звітності у внутрішній CRM
- Написання ТЗ з оптимізації та доробки CRM

**Проєкт-менеджер**  
Компанія Softinform LLC  
Грудень 2021 - по сьогодні  
- Знаходження проєктів на впровадження ПО
- Організація зустрічей та проведення презентацій з потенційними партнерами
- Підготовка презентацій для демонстрації клієнтам прикладів - впровадження телефонії для СТО, впровадження програмного комплексу для ферми-сироварні, супровід програмної продукції для консалтингової агенції
- Підготовка передпроєктної документації (первинний бюджет, протокол взаємодії партнерів, дорожня карта проєкту)
- Контроль підписання документації
- Організація групи проєкту
- Контроль дедлайнів команди
- Звітність у вигляді проміжних презентацій замовнику
- Ведення післяпроєктної роботи на подовження співпраці"
215,"Консультування клієнтів, продажі в магазині, по телефону та онлайн, наповнення сайтів.

Створення та наповнення сайту, дизайн, SEO. Організація роботи інтернет-магазину, продажі, переговори про партнерство. Ведення документації, соціальні мережі компанії, реклама магазину. Досягнення: створення з партнером ""з нуля"" інтернет-магазину з продажу запчастин до побутової техніки.

Соціальний педагог в школі: профілактична, діагностична, консультативна, просвітницька робота з дітьми, батьками та педагогами. Соціально-психологічна допомога сім’ям, вирішення соціально-педагогічних проблем, організація культурно-дозвіллєвої діяльності та захист прав дітей.

Досвід: менеджер з продажу, комплектувальник товарів, продавець-консультант, контент-менеджер, адміністратор інтернет-магазину, соціальний педагог."
216,"Допомогла зібрати 8 команд для фармацевтичних і торгово-роздрібних проектів, більшість спеціалістів продовжують працювати в проектах більше 5 років.

Досвід роботи

Менеджер проекту, InterApteka  
Лютий 2016 - дотепер

- Організація і управління роботою команди
- Проведення переговорів з партнерами
- Аналіз продаж і планування бюджету
- Організація і проведення тренінгів

Менеджер по персоналу, InterApteka  
Червень 2012 – Лютий 2016

- Проведення співбесід і розробка посадових інструкцій
- Організація навчального процесу для персоналу
- Розробка рішень для підвищення ефективності роботи команди

Прагнення до навчання і розвитку в команді висококваліфікованих спеціалістів."
217,"Ліза

Початківець у сфері проджект-менеджменту

Освіта:
- Київський національний університет, спеціалізація: маркетинг

Досвід:
- 3 роки досвіду в графічному дизайні та SMM
- Викладання дизайну підліткам (13-16 років) з зими 2023 року

Навички:
- Організація та мотивація команд
- Здатність знаходити спільну мову з різними людьми
- Викладання та наставництво

Мета:
- Розвиватися у сфері проджект-менеджменту, використовуючи навички організації та комунікації, здобуті під час викладання та роботи в дизайні."
218,"Олександр

Освіта:
- Бакалавр зі спеціальності «Менеджмент»

Досвід роботи:
1. Білінг менеджер у маркетинговій агенції (2 роки)
   - Управління проектами та розуміння бізнес-процесів

2. Адміністративний офіс-менеджер у консалтинговій компанії
   - Організація офісної роботи
   - Участь у HR-процесах
   - Підтримка проектних команд

Мета:
- Реалізація як проджект-менеджер

Навички:
- Розвинуті софт-скіли
- Комунікаційні вміння
- Організація командної роботи
- Генерація нових ідей та планів
- Відкритість до навчання

Особисті якості:
- Відкритість до навчання
- Готовність до професійного зростання
- Впевненість у своїй цінності для компанії."
219,"Цікавлюся цим напрямком, маю теоретичні знання у сфері, прослуховую лекції та проходжу теоретичні курси. Шукаю можливість застосувати свої знання на практиці, прагну отримати оффер, щоб завдяки здатності швидко сприймати нову інформацію та бажанню навчатися, проявити себе."
220,"Співпраця з Міжнародною спортивною федерацією UCI (Азербайджан), логістичними компаніями України та ЄС (зокрема, ТОВ «ЗАММЛЕР УКРАЇНА», Proventus Trading OU (Естонія), Zammler Polska sp. z o.o. (Польща)) та аграрними компаніями (зокрема, Lushbury Fertilizer Co. (США)).

Останні роки я успішно працював в американській аграрній компанії Lushbury Fertilizer Co., де проявив себе як Project manager та відповідав за новий напрямок діяльності компанії. Я розробляв та супроводжував проект щодо впровадження нового продукту на ринок, забезпечував створення ефективної команди (10-25 членів), здійснював комунікацію з замовниками та потенційними інвесторами, контролював виконання завдань, використовував технічні інструменти для оптимізації роботи (Jira, Agile frameworks, SDLC). Результатом стала безперебійна робота системи імпортних поставок товарів в Україну та ЄС.

Міжнародна аграрна компанія Lushbury Fertilizer Co. | 2019-2022
- Створення та організація роботи відділів закупівель для аграрного сектору, формування логістичних ланцюжків та співпраця з державними органами.
- Координація та дистанційне керування поставками.
- Відслідковування робочих процесів на всіх стадіях, трекінг виконаних робіт та звітність.
- Моделювання процесів для внесення змін у проект з подальшим удосконаленням.
- Пошук та рекрутинг нових працівників для оптимізації роботи.
- Комунікація з ключовими клієнтами та забезпечення переговорного процесу з потенційними клієнтами інших галузей бізнесу.

Я командний гравець, готовий до плідної співпраці з компанією. Моя мета - увійти до ІТ сфери для подальшого розвитку та повноцінної роботи, адже ІТ - це майбутнє!"
221,"[Ім'я Прізвище]

[Контактна інформація]

**Професійний профіль**

Висококваліфікований професіонал з досвідом у військовій службі та інформаційному забезпеченні. Здобув звання полковника, що свідчить про професіоналізм, лідерські здібності та відданість службі. Отримав почесне звання ветерана військової служби за видатну службу, підтверджуючи внесок у розвиток та зміцнення Збройних Сил України. Відзначений за ефективне співробітництво з міжнародними організаціями, включаючи місію ОБСЄ, що підкреслює комунікаційні навички.

**Професійний досвід**

**Збройні Сили України**  
*Заступник командира частини*  
Липень 1999 – Серпень 2017

- Управління та координація діяльності особового складу для підтримки продуктивності та дисципліни.
- Взаємодія та співпраця з різними командами та стейкхолдерами.
- Участь у проведенні Антитерористичної операції, планування та логістика.
- Спілкування з місією ОБСЄ та співпраця в рамках АТО.
- Підготовка звітів для старшого керівництва.
- Створення сприятливого психологічного клімату у колективі, розвиток командної роботи та розв'язання проблем взаємодії персоналу.

**Відділ інформаційного забезпечення**  
*Офіцер відділу / Керівник відділу*  
Серпень 2017 – Березень 2020

- Керування командою, що відповідає за інформаційну сферу.
- Розробка та впровадження планів інформаційного забезпечення.
- Координація заходів, планування ресурсів та контроль термінів виконання.
- Розробка стратегій протидії інформаційним загрозам.
- Управління проектами, що стосуються інформаційних систем та веб-технологій, використовуючи методологію SCRUM.
- Розв’язання технічних та кадрових питань.

**Освіта та кваліфікації**

- [Назва навчального закладу, ступінь, спеціальність, рік закінчення]

**Навички**

- Лідерство та управління командами
- Проектне управління та методологія SCRUM
- Інформаційна безпека та стратегічне планування
- Комунікаційні навички та міжнародна співпраця
- Розв'язання конфліктів та управління персоналом

**Цілі**

Зацікавлений у розвитку компетенцій у сфері проектного управління, зокрема в застосуванні Agile методологій. Бажаю поглибити технічні навички у сфері веб-технологій та розробки. Прагну здобути роль керівника проектів або консультанта з управління проектами, де зможу застосувати свій досвід та компетенції на благо організації та команди."
222,"Мій професійний шлях в IT-компанії Ispro розпочався з позиції фахівця з впровадження програмного продукту. Я відповідала за налаштування програм, аналіз потреб клієнтів, адаптацію програмного забезпечення під їхні вимоги, а також за пошук рішень для оптимізації бізнес-процесів замовників і навчання користувачів. Працювала над проектами для підприємств різних секторів, взаємодіяла з працівниками бухгалтерських та фінансових відділів. Освоїла технічні завдання, такі як написання калькуляцій, автоматизація бухгалтерських проводок, запити SQL.

Подальший розвиток кар'єри відбувся з переходом на посаду проджект-менеджера. Мої обов'язки включали постановку задач, контроль виконання робіт, дотримання термінів, проведення зустрічей та переговорів, підготовку та ведення проектної документації, а також роботу з командою. Використовувала методології Scrum, Kanban, Waterfall.

Перерва в роботі була викликана війною, через яку я втратила проекти, що перебували на стадії успішного впровадження, але опинилися в окупації. Прагну розвиватися в сучасній міжнародній компанії, реалізовувати та вдосконалювати свої аналітичні здібності."
223,"Junior Project Manager

Досвід:
- Завершення курсів під час війни, що сприяло вдосконаленню навичок управління проектами.
- Застосування отриманих знань на поточній роботі, що покращило обслуговування клієнтів та розуміння їхніх потреб.
- Успішне завершення угод з вимогливими клієнтами, що стало викликом та можливістю для професійного розвитку.

Поточна посада: L&D Specialist в логістичній компанії

Обов'язки:
- Навчання персоналу з обслуговування клієнтів, включаючи розробку курсів та комунікацію з клієнтами щодо актуальних навчальних програм.
- Керівництво командою диспетчерів, що включає моніторинг дзвінків для перевірки знань скриптів, рівня володіння англійською мовою та загальної взаємодії з клієнтами."
224,"Досвідчений професіонал з понад 12-річним досвідом у створенні, підтримці та адмініструванні інтернет-магазинів, B2B-порталів, інформаційних порталів, веб-сервісів та форумів. Володію навичками наповнення сайтів текстовою та графічною інформацією.

Маю глибокі знання адмін-панелей таких платформ, як PrestaShop, WordPress, Joomla, Instant CMS, DataLife Engine та інших. Досвід розгортання та роботи в різноманітних CRM-системах, включаючи Bitrix24, HubSpot, RedMine тощо. Володію навичками роботи з Flash, Photoshop, Corel, HTML, CSS, JS.

Шукаю можливість застосувати свої навички та розвиватися далі як професіонал. Маю значний досвід роботи на посаді проєкт-менеджера в різних інтернет-проєктах.

До моїх обов'язків входила організація роботи команди фахівців (10-15 осіб) для реалізації проектів різної складності. Це включало підтримку існуючих інтернет-магазинів (написання текстів, пошук фото- та відеоконтенту, комунікація з користувачами, впровадження нових технологій, пошук та усунення багів, робота з хостингом, контроль за дотриманням термінів) та створення нових інтернет-магазинів з нуля (розробка прототипів, проєктування front-end та back-end структури, дизайн інтерфейсу, верстка, інтеграція в CMS), наповнення контентом та іншою корисною інформацією.

Відповідальний, мотивований, швидко навчаюсь, завжди на зв'язку, готовий працювати за нестандартним графіком та у понаднормовий час. Завжди доводжу розпочату справу до кінця, налаштований на найкращий результат. Володію дискретним мисленням, що дозволяє швидко опрацьовувати великі об’єми інформації.

Віддаю перевагу довгостроковій постійній співпраці. Одружений, маю дитину. Володію бездоганним рівнем знання російської та української мов."
225,"Управляюча готелю та директор антікафе з досвідом у управлінні персоналом. Швидко навчаюсь та ефективно застосовую нові знання. Постійно прагну до саморозвитку та вдосконалення. Високий рівень самоорганізації, вміння працювати з тайм-менеджментом та багатозадачністю. Досвідчений менеджер з продажу, здатний знаходити контакт з людьми завдяки освіті психолога. Активна та ініціативна, завжди готова до нових викликів та можливостей для реалізації ідей."
226,"[Ваше ім'я]

[Контактна інформація]

**Мета**
Прагну розвиватися в ролі проджект-менеджера, використовуючи свій досвід у продажах, підтримці клієнтів та освітній сфері, щоб зміцнити команду та забезпечити успішну реалізацію проектів.

**Освіта та курси**
- Закінчені курси: Atlassian Jira, QA Manual
- У процесі: Project Manager Essentials

**Досвід роботи**

**Менеджер з продажів**
- Увійшла до переліку 15-ти кращих менеджерів компанії завдяки вмінню будувати довготривалі довірчі стосунки з клієнтами.
- Використовувала емпатію та розуміння потреб людей для досягнення високих результатів.

**Менеджер підтримки**
- Навчилася розуміти потреби клієнтів і знаходити індивідуальний підхід до кожного.

**Асистент в освітніх закладах**
- Піклувалася про атмосферу в колективі та організацію роботи, щоб діти відчували себе вільно.

**Досягнення**
- Двічі призер Малої Академії наук завдяки кропіткій роботі та презентаційним навичкам.
- Впровадила у загальний шкільний розклад три нові навчальні предмети.

**Навички**
- Презентаційні навички
- Емпатія та розуміння потреб людей
- Вміння будувати довготривалі стосунки
- Організація роботи та створення сприятливої атмосфери

**Особисті якості**
- Готовність до навчання та розвитку
- Стресостійкість
- Продуктивна взаємодія з людьми
- Бажання працювати в команді та розвиватися разом

**Інтереси**
- Любов до ігор та активного відпочинку з колегами

Готова до переїзду для зручної співпраці з командою."
227,"Аніматор-волонтер в ораторії Св. Доменіка Савіо. Член Ради Ораторії, займаюся плануванням заходів та розвитком ораторії. Виконую обов'язки старости групи. Маю досвід роботи продавцем-консультантом у магазині. Активно шукаю роботу для розвитку в IT-сфері на посаді Project Manager або Team Leader. Відкрита до нових можливостей та пропозицій."
228,"Продовження роботи та збільшення рівня продажів навіть в умовах карантину та війни.

На останньому місці роботи починав як звичайний продавець, але окрім продажів здобув досвід управління командою, організації роботи, розробки та запуску власної продукції компанії. Це спонукало мене задуматися про спеціальність проджект-менеджера, оскільки я себе гарно проявив і вважаю, що обов'язки схожі.

Протягом останніх 3 років мої обов'язки включали: контроль залишків на складах, закупівлю товарів, оптовий продаж, ціноутворення, контроль та організацію всіх процесів. Це дозволило мені розвинути стресостійкість, багатозадачність та відповідальність.

Я вважаю, що на будь-якій роботі заробіток у 90% випадків залежить від тебе самого, а гроші я люблю.

Хоча безпосереднього досвіду роботи на позиції Project Manager у мене немає, я маю велике бажання його здобути."
229,"Професійний досвід

Кредитний спеціаліст, банківська сфера
- Досвід роботи: 1,5 роки
- Основні обов'язки:
  - Верифікація документів
  - Продаж банківських продуктів
  - Формування документації по кожному клієнту

Мета

- Розвиток у сфері ІТ та робота віддалено."
230,"За короткий проміжок часу освоюю всі необхідні навички для роботи, завжди забезпечуючи задоволення клієнтів.

Досвід реалізації проектів:

1. Власна справа: Ідея, яку я виношував довгий час, реалізувалася у проекті, що значно покращив існуючий продукт. Через форс-мажорні обставини проект тимчасово відкладено. Виконував усі задачі самостійно: пошук підрядників, комунікація з постачальниками та клієнтами, розвиток і покращення товарів та послуг. Використовував методології Waterfall на етапі підготовки та Agile під час реалізації.

2. Проект у сфері навчання: Розробка та впровадження нової системи навчання, перегляд підходів, адаптація до змін у роботі, оцінка актуальності.

Наразі працюю у напрямку web development, шукаю перспективні можливості для комфортного розвитку своїх навичок."
231,"Некомерційний досвід

- Глибоке розуміння основ управління ІТ-проектами, включаючи процеси, документи, життєвий цикл проекту та ІТ-продукту.
- Ефективне застосування soft skills для формування, розвитку та управління командою проекту.
- Вміння здійснювати планування, формувати графіки та кошториси відповідно до вимог проекту."
232,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваша електронна адреса]

Мета:
Прагну керувати проектом з чудовою командою, використовуючи свої навички та ентузіазм для досягнення спільних цілей. Відкритий до можливостей у сфері тестування як QA, якщо це відповідає цілям проекту.

Освіта:
[Ваш навчальний заклад]
[Ступінь, спеціальність]
[Роки навчання]

Навички:
- Командна робота
- Управління проектами
- Навчання та розвиток у сфері QA

Додаткова інформація:
- Мотивований та цілеспрямований
- Відкритий до нових викликів та можливостей

[Дата]."
233,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Розвиватися в сфері проджект менеджменту, використовуючи наявний досвід та навички для ефективного управління проектами.

Освіта:
- Курси з проджект менеджменту, Genius.Space

Досвід роботи:
Асистент продюсера, Анімаційна студія
- Управління командою
- Видача та контроль задач
- Оформлення документації
- Відстеження робочого часу аніматорів

Навички:
- Швидке навчання новим навичкам
- Управління проектами
- Командна робота
- Організація та контроль процесів

Додаткова інформація:
Мотивована та готова до нових викликів у сфері проджект менеджменту."
234,"Обов’язки:
- Відбір та організація навчання персоналу, розробка плану навантаження співробітників, моніторинг виконання завдань команди, оптимізація роботи персоналу в Харкові та Харківській області.
- Налагодження та підтримка співпраці з місцевими державними структурами та НДО відповідно до цілей проекту.
- Підготовка та подання програмної та фінансової звітності донору.
- Моніторинг виконання робочого плану та бюджету проекту."
235,"ООО “Либерти финанс”  
Финансовый консультант  
г. Днепр, Украина - июль 2020 - по настоящее время  
- Увеличил ежемесячный оборот переводов внутри Украины на 15 000 000 грн и международные переводы на 800 000 дол.  
- Занял второе место по продажам в конкурсе по продаже/покупке криптовалюты с суммой 1 115 633 дол. и третье место по количеству привлеченных клиентов - 9 чел.  

Частный предприниматель Шевцов Ю.Г.  
Собственник розничного магазина товаров для рыбалки и активного отдыха  
г. Днепр, Украина — апрель 2019 — сентябрь 2020  
- Внедрил CRM систему для улучшения управления складом и финансами магазина.  
- Организовал отсрочку платежа на 2 месяца, что позволило дополнительно приобрести товар на 7 000 дол.  
- Снизил аренду помещения на 40% во время пандемии, сэкономив 5 500 грн."
236,"Освіта:
2007-2013 рр. — Сумський національний аграрний університет
Магістр з «Технології виробництва та переробки продукції тваринництва», спеціалізація «Кінологія». Сертифікат з англійської мови.

Курси:
2013 р. — Курси з грумінгу. Працювала в даній сфері 2,5 роки.
2016 р. — ""Базовий курс візажиста"", ""Курси бровіста"".

Навички:
- Володіння ПК (Microsoft Office Excel, Microsoft Office Word)
- Вільне володіння українською та російською мовами
- Базові знання англійської мови
- Читання та переклад польською мовою

Досвід роботи:
2010 р. — Працювала в Польщі
2010 р. — Продавець-консультант з товарів чаю та кави (6 місяців)
2011-2012 рр. — Продавець-консультант «Парфюм Бар»
2012 р. — Студентка-практикантка в «ФОП Була»
2013-2015 рр. — Майстер з грумінгу
2016 р. — Менеджер зі збуту
Кінець 2016 р. - 2018 р. — Майстер бровіст-візажист."
237,"[Ваше ім'я]

[Контактна інформація]

ПРОФЕСІЙНИЙ ДОСВІД

Проектний менеджер в івентах
- 3 роки досвіду в управлінні проектами
- Успішна організація трьох заходів за одну добу
- Проведення зустрічі високого рівня в Кишеневі

ОСВІТА ТА КУРСИ

- Курси з проектного менеджменту в ІТ (Web Academy, Coursera, edX)

НАВИЧКИ

- Теоретична база та розуміння специфіки роботи в ІТ
- Розвинені soft skills
- Бажання розвиватися в сфері ІТ

ЦІЛІ

- Прагну працювати в команді з відпрацьованими процесами та дружнім колективом

[Дата]."
238,"Навички та інтереси:
- Активні продажі
- Нові тенденції у світі
- Соціальні мережі та просування
- Маркетинг

Досвід роботи:
Торговий агент (10 років)
- President (молочна продукція)
- Лукас (кондитерські вироби)
- Наша ряба

Підприємницька діяльність:
- Співвласник магазину жіночого одягу
- Фізичний магазин у місті
- Управління Instagram сторінкою магазину."
239,"Основні досягнення включають вивчення книг з проджект-менеджменту та менеджменту загалом, а також прослуховування теоретичних курсів. Наразі проходжу курси з практичним нахилом.

Протягом останніх півтора року керував сімома маленькими кав'ярнями та допомагав з деякими завданнями у великих закладах нашої мережі. Вирішував різноманітні задачі, займався підбором персоналу, активно брав участь у відкритті двох нових закладів з нуля.

Маю бажання змінити сферу діяльності, зокрема, прагну працювати під менторством старших фахівців для подальшого професійного розвитку."
240,"[Ваше ім'я]

[Контактна інформація]

РЕЗЮМЕ

Досвід роботи:

Начальник відділу галузевих державних підприємств, Фонд державного майна України

- Підготовка понад 30 державних підприємств до приватизації за 1,5 року.
- Управління підприємствами з підвищенням податкових надходжень та виплатою зарплат.
- Керівництво відділом: розподіл завдань, пріоритезація, контроль та оцінка.
- Співпраця з підрозділами Фонду та державними органами.
- Управління державними підприємствами.
- Підготовка до приватизації.
- Проведення онлайн-нарад.
- Участь у комісіях.

Освіта:

[Ваша освіта]

Навички:

- Управління та організація роботи
- Взаємодія з державними органами
- Підготовка до приватизації
- Проведення онлайн-нарад
- Оцінка та контроль завдань

[Інші релевантні навички або інформація]."
241,"[Ваше ім'я]

[Контактна інформація]

Мета:
Прагну приєднатися до команди для обміну досвідом та ефективної роботи в компанії. Орієнтуюсь на постійний розвиток як особистість та професіонал.

Досвід роботи:

Проектний менеджер
Передвиборчий штаб Кандидата в Народні Депутати України
Квітень 2019 - Вересень 2019
- Формування команд та відділів.
- Модерація командної діяльності, забезпечення ефективної комунікації та звітності.
- Контроль бюджету та фінансове звітування.
- Дотримання дедлайнів та якості роботи.
- Вирішення конфліктів та створення умов для продуктивності.
Досягнення: Зменшення витрат на 35%, своєчасне виконання всіх задач, підвищення ефективності проекту.

Регіональний тренер
Політична партія «Солідарність»
Січень 2019 – Квітень 2019
- Розробка та впровадження тренінгових програм.
- Консультації та підтримка учасників тренінгів.
- Фінансова та трудова звітність.
Досягнення: Проведено 56 тренінгів, охоплено 6124 учасники.

Координатор ініціативної групи «Міських дитячих омбудсменів при Міському голові»
ГО Міські дитячі омбудсмени при Міському голові, м. Вінниця
Вересень 2014 - Травень 2016
- Представництво організації в місцевих органах влади.
- Координація діяльності, співпраця з владою та громадськістю.
- Розробка та впровадження тренінгових програм.
- Організація роботи представництва.
- Моніторинг та захист прав дітей.
Досягнення: Двічі відзначений почесною подякою мера м. Вінниці за активну участь у захисті прав дітей.

Освіта:
[Ваша освіта]

Навички:
- Управління проектами
- Командоутворення
- Фінансове планування та звітування
- Розробка та проведення тренінгів
- Комунікація та вирішення конфліктів

[Інші релевантні навички або сертифікати]"
242,"Пройшов курс на платформі Genius Space ""Project Manager"" та постійно розвиваю навички, необхідні для роботи PM.

Досвід роботи:
- Інженер-проєктувальник сонячних систем для домашнього та комерційного споживання.
- Керівник невеликої групи проєктувальників. Відповідав за контроль якості та своєчасне виконання проєктів."
243,"Підготовка проектів: листів, рішень, розпоряджень, довідок та інших проектів документів. Забезпечення контролю за їх розсилкою та збором документації відповідно до розісланих проектів документів. Контроль за повнотою зібраних вихідних даних або інших документів для кожного проекту. Написання розділів з економіки в пояснювальних записках до проектів містобудівної документації згідно з календарним планом. Перевірка, друк, комплектація, тиражування записок до проектів. Архівація проектів містобудівної документації разом з іншими колегами відповідно до календарного плану."
244,"Професійний досвід

Помічник керуючого магазину

- Під час навчання на бакалавра працював на цій посаді, що дало можливість застосувати теоретичні знання на практиці.
- Допомагав у здійсненні продажів, що сприяло розвитку навичок обслуговування клієнтів та комунікації.
- Відповідав за ведення звітності, що покращило мої організаційні здібності та увагу до деталей.
- Отримав досвід економічного планування, що дозволило краще зрозуміти фінансові аспекти управління бізнесом."
