Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
41,"Results-driven professional seeking an Affiliate Manager/Project Manager position in an international company/organization.

Summary:
Proven track record of successfully managing projects and teams, with a strong focus on results and deadlines. Skilled in business development, project planning, and implementation, with experience in managing teams and building relationships with local and international partners.

Experience:
Head of Project (2020-2021)
- Ensured project survival without active outdoor advertising during pandemic restrictions
- Achieved a constant increase in visitors

Business Development Manager, The German-Ukrainian Chamber of Industry and Commerce (2019-2020)
- Created, planned, and implemented complex projects from scratch
- Successfully managed teams of up to 8 people
- Coordinated working groups and communities
- Built and maintained relationships with local and international partners
- Prepared content and organized online and offline events

Additional Experience:
- Led the working group of IT & Cyber Security to ""committee"" status within one year
- Effectively managed routine work responsibilities

Skills:
- Project management
- Business development
- Team management
- Event planning
- Content preparation
- Partnership building
- Results-driven approach
- Strong focus on deadlines"
42,"Results-driven IT professional with 9 years of industry experience, having collaborated with numerous startups and diverse teams, including internal and outsourced employees from various cultural backgrounds. Proven track record of driving transformation and growth, with 4 years of experience at a scale-up that underwent hyper-growth during my tenure. Adept at leading, coaching, and mentoring teams to achieve business objectives. Successfully implemented Agile and Lean methodologies, fostering a culture of continuous improvement and delivering business value. Created an environment that empowers team members to reach their full potential. Developed strong communication and interpersonal skills, with the ability to distill complex information into actionable insights. Utilized tools such as Jira, Confluence, GitHub, and Code Climate to promote transparency, organization, and process optimization, driving informed decision-making and building strong relationships with stakeholders."
43,"Results-driven IT leader with 10+ years of experience in management and technology roles, driving process improvements, compliance, and output quality. Proven track record of elevating customer satisfaction, employee morale, and bottom-line results.

Key expertise includes:
- Establishing and improving Project Management Offices (PMO)
- Delivery management for teams of 50+ employees
- Pre-sales and risk management
- Budgeting and cost control
- Process improvements and quality management
- Leadership and people management
- Lean Agile methodologies
- Rolling wave planning

Accomplished leader with a history of successfully conceptualizing and executing program vision from inception to completion, managing complex milestones, and adapting to changes and shifting priorities. Proven ability to lead international, cross-functional, and distributed engineering teams to deliver strategic initiatives that improve systems, processes, and financial results.

Skilled in managing stringent budgets, driving cost savings, improving delivery, and forecasting additional needs. Experienced in working closely with national and international clients, with the ability to travel as required."
44,"Summary:
Results-driven IT professional with over 10 years of experience, holding multiple certifications in Project Management, Agile, Scrum, and Kanban, with a strong background in managing projects across various industries.

Certifications:
- PMP (Project Management Professional) by PMI
- CSPO (Certified Scrum Product Owner) by ScrumAlliance
- CSM (Certified Scrum Master) by ScrumAlliance
- SASM (SAFe Advanced Scrum Master)
- KSD (Kanban Management Professional) by Kanban University
- Kanban Maturity Model course by Kanban University
- Kanban Coaching Practices course by Kanban University
- ICP-ACC (ICAgile Certified Agile Coach) by ICAgile
- Certified Trainer by ICAgile
- RPOAS (Registered Product Owner at Scale) by Scrum at Scale
- RSASF (Registered Scrum at Scale Fundamentals) by Scrum at Scale

Experience:
Proven experience in managing web and mobile projects for various industries, including healthcare, education, social media, and insurance, utilizing RUP, Waterfall, and Agile methodologies. Skilled in product and business analysis roles, with a strong track record of delivering successful projects.

Skills:
Technical skills: SQL, BPMN, UML (basic level)
Microsoft Office: MS Project, Word, Excel, PowerPoint, Outlook
Proficient in using various tools, including:
  Miro
  Microsoft Power BI
  Postman
  Jira (including administration)
  Confluence
  Azure DevOps (TFS)
  Asana
  PivotalTracker
  Xmind (mind-mapping)
  Balsamiq Mockups
  draw.io

Language:
English: Upper-Intermediate

Professional Memberships:
Member of IAF (International Association of Facilitators)
Facilitator"
45,"Warsaw University of Technology (WUT)
Faculty of Computer Science, studied in English for 1 year and 6 months

Professional Experience:
Front-end Developer (4 months)
Project Manager (1 year)
Tech Lead, Project Manager Department (1 year and 3 months)
Single Point of Contact (2 months)

Key Achievements:
Contributed to the development of a giant website listed in Fortune TOP 500 with USA stakeholders
Successfully launched 8 new domains, exceeding the initial goal of one domain

Public Speaking:
Presented lectures at 3 annual conferences on topics including:
  Project Management
  Planning and Approving
  Customer Understanding
  Creating a Friendly Team Atmosphere
  Transforming Customer Desires into Real Projects

Work Environment:
Experienced a cozy office environment with a friendly team atmosphere

Additional Information:
Available upon request: detailed CV with a list of technical skills and information about previous projects."
46,"**Summary**
Results-driven professional with proven experience in project management and team leadership, skilled in multiple methodologies and tools.

**Technical Skills**
- Agile methodologies: Scrum, Kanban
- Project Management Tools: 
  - Collaboration: Confluence, Trello
  - Issue tracking: Jira, Redmine, VSTS
  - Customer relationship management: Salesforce
  - Professional services automation: Kimble

**Project Experience**
- Successfully managed projects under time and material as well as fixed price engagement models
- Delivered solutions across diverse sectors including enterprise, e-commerce, financial services, and big data

**Management Skills**
- Strategic planning: Risk Management, Cost Management
- Operational efficiency: Time Management, Scheduling
- Leadership and interpersonal skills: Leadership, Communication, Negotiation"
47,"Agile Delivery Management
- Successfully managed version planning, utilizing Jenkins and GitHub Actions to build versions, and deployed to Azure and AWS environments, including dev and production

Scrum Mastery
- Led and organized Scrum Events, maintained Scrum Artifacts, and created roadmaps, resource plans, project charters, and reports, while mitigating risks to ensure timely delivery of value

Business Analysis
- Authored Business Requirements, User and Job stories, and conducted investigation research to gather critical project information

Collaboration and Leadership
- Fostered close collaboration with cross-functional teams, including developers, UI/UX teams, and stakeholders, to drive project development forward
- Led high-performing teams through daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, and issue resolution, while maintaining supporting documentation

Pre-Sales and Business Development
- Contributed to pre-sales efforts, attended client meetings, and prepared detailed estimations and proposals

Organizational Development
- Played a key role in establishing company processes, crafting role descriptions, and conducting stakeholder interviews, with daily collaboration with the CTO

Career Aspirations
- Seeking a challenging opportunity to leverage diverse experiences, drive results, and continue learning and self-development, with a focus on contributing to projects that positively impact the world, excluding betting, gambling, banking, and dating domains."
48,"Certified Agile Project Manager
Certified Scrum Master
Kanban, DSDM, Agile Project Management

Summary:
Results-driven project management professional with experience in leading cross-functional teams and delivering successful projects in various domains, including IT, medical, business, and education.

Experience:
- Conceptualized and developed IT projects from inception to completion
- Successfully led and delivered dozens of projects in multiple roles, including Project Manager, UX, Business Analyst, and QA
- Managed long-term products and ensured their continued success
- Proven track record of effectively managing large project teams, with experience working with 80+ member teams
- Conducted projects and products in medical, business, and educational sectors
- Implemented business analysis stage in customer relations to drive business growth
- Identified and explored new Western markets for business expansion
- Demonstrated expertise in hiring, team management, and remote team management

Technical Skills:
- Proficient in Jira, iOS, Android, PhP, Drupal, Redmine, Axure, Mindmap, and UI/UX design

Business Skills:
- Skilled in business analysis, sales and account management, scope clarification, prioritization, influencing, leading, delegating, business development, and change/risk management
- Leverage a powerful tech background to drive business decisions
- Possess advanced Business English skills

Work Environment:
- Thrive in informal settings with adequate management
- Prefer product companies that offer professional growth opportunities
- Value office locations with convenient access to public transportation, such as metro stations"
49,"8 years of experience in Project Management, Business Analysis, and Scrum Mastery in outsourcing and product environments.

Key Expertise:
- Agile project management (Scrum, XP, Kanban)
- Product and Business Analysis
- Presales (solution design and estimation process)
- Team and Project Management (leading 3-9 member development teams, handling multiple projects)

Agile Adoption and Coaching:
- Guiding teams and clients in adopting Agile methodologies and practices (MVP, feedback loops, Continuous Integration, Pair Programming, Test-Driven Development, Code Review)
- Facilitating organization-wide processes (Presales, Hiring, Onboarding, Feedback)
- Certified coaching skills for 1:1 coaching and group facilitation

Industry Experience:
- Web
- E-commerce
- Gaming

Operational Approach:
- Ensuring transparent communication and process simplicity
- Managing 1-3 simultaneous projects/teams or 1-2 projects/teams with presales involvement"
50,"Bitbay.Market
01/2018 - 06/2018
Kharkiv
Blockchain project 
- Developed a suite of free-to-use, multi-platform applications, including the world's first fully-functional Decentralized Marketplace
- Delivered the MVP two weeks ahead of schedule, resulting in the client receiving a large investment of over $1 million
- Utilized Agile methodologies (Scrum, Kanban, Lean, XP) and Waterfall, PMO
- Managed project planning, including briefs, estimation, project plans, reports, Gantt charts, risk management, and resource management
- Demonstrated touch typing skills

Project Manager/Scrum Master
Sensorama Lab
07/2018 - 06/2028
Kiev
- Implemented Agile methodologies across the organization, managing sprint planning, stand-ups, reviews, and retrospectives
- Collaborated with the Product Owner to define, document, maintain, and communicate the roadmap
- Created briefs, estimations, project plans, and documentation
- Translated discussions into user stories, epics, and tasks, managing story writing, prioritization, tracking, and acceptance of the product backlog
- Managed the release scope and schedule, focusing on regular, timely delivery of value
- Prepared, maintained, and communicated schedules, documentation, and statuses
- Ensured the product backlog was prioritized, groomed, and refined to avoid ambiguity
- Worked with management and leaders to identify and implement team processes and workflow improvements
- Defined and refined Agile metrics, reporting to understand and communicate team performance

Project Manager
Maybe.Works
01/2017 - 06/2018
Kharkiv
- Led a team of developers, designers, 3D artists, and QA testers through the project lifecycle using Agile development methodologies
- Served as the main client contact for project-related communication, building a strong relationship
- Created and managed schedules, user stories, risk mitigation plans, scope, and budget tracking
- Sourced and managed external partners, ensuring clear transfer of project requirements and timeline
- Reviewed contracts and authored change orders as needed"
51,"Certified SAFe 5 Agilist Product Owner Mentoring Program

Agile Project Manager
Pentalog Endava, December 2021 - Present
- Managed FinTech & Banking Project, delivering the main part of the Product's Annual Roadmap on time and within budget
- Resolved scope creep issues and managed dependencies with third-party vendors
- Fostered a trustworthy and transparent environment through effective communication, stakeholder management, and reporting
- Led Data centre to AWS migration Project, creating a roadmap for Discovery and Migration Strategy
- Facilitated the Discovery process, including communication planning and workshop organization
- Managed resources, including team ramp-up and onboarding process

Technical Project Manager
Key IVR, March 2020 - November 2021
- Delivered 15+ projects on time and within budget
- Utilized knowledge of major International Gateways (Barclays EPDQ, WorldPay, Global Payments)
- Conducted high-level technical review of specifications

Project/Product Manager
Zeroqode, March 2019 - March 2020
- Improved Backlog Health Status by introducing Definition of Ready (DoR) and Definition of Done (DoD), enhancing estimation accuracy
- Developed and launched a new landing page for a company product, setting up metrics and customer behavior tracking
- Analyzed data to increase conversion by 10% and reduce CPA
- Executed a growth-hacking campaign, resulting in 15% new clients with various subscription plans
- Engaged in customer development through direct communication, survey creation, and analysis

Project Manager
Enticon.app, December 2018 - February 2019
- Configured workflow for the first Kanban development team
- Decomposed technical assignments into estimable tasks
- Created and managed the onboarding process for new team members
- Provided reporting to C-Level management

Project Manager
EBS Integrator, September 2018 - December 2018
- Developed a comprehensive project plan for the Fix Price project, encompassing scope, time, cost, quality, HR, communication, and RAID management
- Tracked major project metrics
- Communicated with clients through weekly reporting and led demo sessions

Project Manager
GoSocial, February 2018 - September 2018
- Delivered 2 web projects within budget and time, managing on-site and outsourced development teams
- Collaborated with internal departments (Design, SMM) to achieve post-launch goals

Seeking opportunities that offer:
- Professional growth and development
- A collaborative and supportive work culture valuing teamwork, open communication, and mutual support
- Competitive compensation and benefits
- Work-life balance"
52,"Results-driven IT professional with 13 years of experience, combining 9 years of web development expertise with 4 years of project management to drive success. Proven track record of building and leading high-performing teams in challenging environments.

Key strengths include:
* People management
* Scrum process knowledge

Experienced in managing projects of varying sizes, from 2 to 24 team members, with expertise in web, data-driven, and mobile projects. Seeking a mid-sized project with a team of approximately 18 people, offering opportunities for growth and professional development.

Dedicated to delivering projects with a positive global impact, leveraging technical expertise and leadership skills to drive results."
53,"Agile Project Manager Summary: 
Results-driven Agile Project Manager with a proven track record of delivering projects and building high-performing teams, skilled in Scrum, Kanban, Nexus, and SAFe, with experience in multiple industries including fintech, health, e-commerce, social networks, education, and other spheres.

Experience: 
- Implemented Agile practices in 14 teams, establishing Scrum from scratch in 5 teams
- Successfully managed over 100 production releases
- Served as Crisis Manager, transforming a team from zero releases to regular monthly releases
- Developed and implemented processes from idea to development, testing, and release
- Held dual roles as Product Owner and Scrum Master, overseeing scope, release, people, risk, quality, and stakeholder management
- Coordinated design and development department workflows
- Conducted interviews for Project Management positions, ensuring new hires aligned with team and company values
- Contributed to the development of process standards, approaches, culture, and implementation within development teams
- Built and maintained the Project Management department

Skills: 
- Agile methodologies: Scrum, Kanban, Nexus, SAFe
- Project Management: scope, release, people, risk, quality, and stakeholder management
- Team leadership and development
- Process creation and implementation
- Crisis management
- Interviewing and hiring

Industry Experience: 
- Fintech
- Health
- E-commerce
- Social networks
- Education
- Other spheres

Career Goals: 
Seeking a product company with a healthy work environment, offering flexibility to work from the office or home, where I can utilize my experience and knowledge to enhance development process quality, speed, and transparency, and participate in process creation and decision-making activities."
54,"Results-driven Project Manager with 3+ years of experience in managing projects, minimizing wasted effort, and driving teams to achieve client goals. Proven ability to collaborate with software development teams and provide guidance to upper management on Scrum and Agile principles.

Key strengths:
- Project management expertise
- Scrum and Agile coaching
- Jira environment implementation and optimization, including component and swimlane configuration to enhance developer workflow efficiency

Contact available: Monday - Friday, GMT+4 time zone

Best regards,
Karine"
55,"**Summary**
Results-driven Scrum Master with a strong background in managing project lifecycles, leading teams, and delivering high-quality products, with a proven track record of successful project completion and positive client feedback.

**Certifications**
* Scrum (SAFe)
* Soft skills and Project management (ITEA)
* PMP Exam Preparation course attendee

**Experience**
Scrum Master
- Successfully delivered web solutions for financial analysis across 5 projects (2 large, 3 small)
- Spearheaded the launch of an IT Project Management Process using Scrum methodology from inception
- Managed the full lifecycle of web development projects, ensuring budget adherence and high-quality outcomes
- Coordinated project discovery, release planning, and product delivery according to agreed timelines
- Facilitated Agile ceremonies, including team stand-ups, retrospectives, estimations, and sprint planning meetings
- Utilized Jira and Confluence for sprint planning, task creation, and time tracking
- Fostered a positive team environment by promoting personal growth, conducting performance reviews, and encouraging collaboration
- Led a remote team of 19 members, ensuring effective communication and teamwork
- Developed Project Status Reports (PSRs) with detailed project information

**Skills**
* Project management
* Scrum methodology
* Team leadership
* Time management
* Budgeting
* Communication
* Collaboration
* Problem-solving

**Career Expectations**
Seeking challenging projects, a collaborative team, and opportunities for professional growth and development."
56,"Results-driven professional with over 4 years of experience in the Game industry, serving in roles such as Scrum Master, Scrum Coach, Project Manager, and Group Manager.

Key Achievements and Responsibilities:

- Spearheaded department growth from 10 to 40 employees
- Implemented Agile values and principles across 40+ team members
- Drove adoption of scaled Agile best practices and tools to maximize business and product value delivery
- Fostered a culture of quality, promoting a zero-defect approach across teams
- Managed and developed personnel within a matrix-like organizational structure, overseeing individual HR processes
- Led company-wide continuous improvement initiatives in process and engineering practices
- Managed day-to-day operations of dispersed teams in Kiev, Kharkov, and Dnipro, comprising 20+ team members
- Empowered teams to become self-organized Scrum teams, capable of executing plans and meeting commitments
- Provided coaching and guidance to Scrum Masters on team ceremonies, release planning, dependency and risk management, and impediment resolution
- Supported development processes and team performance measurement

Seeking a challenging role that leverages my skills and experience to drive exceptional results and achieve professional fulfillment."
57,"Results-driven Agile Project Manager
with over 5 years of experience leading cross-functional teams worldwide 
in the development of iOS, Android, and web applications, 
driving innovative projects and accumulating diverse experiences."
58,"Pacto Systems, Ltd, UK
Scrum Master/Agile Project Manager
08/2017 – Present

Results-driven Scrum Master and Agile Project Manager with experience in managing cloud platforms and web applications, utilizing Agile values and principles to drive project management. Proven track record of successfully managing teams, operations, and client relationships.

Key Responsibilities:
• Utilized Agile values and principles to integrate methodology into day-to-day operations
• Conducted daily standups, sprint planning, sprint reviews, and retrospective meetings
• Organized Agile teams and facilitated company-wide adoption of Agile culture
• Tracked team velocity and removed impediments to achieve sprint goals
• Conducted research and development, managed customer relationships, and elicited, elaborated, and documented requirements
• Investigated data discrepancies, facilitated demos with clients, and modeled solutions
• Produced business requirements documents and ensured compliance with policies and standards
• Analyzed processes, identified areas for improvement, and updated backlogs accordingly

Tungus, LLC, Clermont, FL, USA
Agile Project Manager
10/2015 – 10/2017

Built company operations from the ground up, automating processes, managing day-to-day tasks, and coaching and motivating teams. Successfully managed teams, provided feedback, and ensured effective operation.

Skills:
• Agile project management
• Business analysis and requirements documentation
• Client relationship management
• Cloud platform and web application development
• Process analysis and improvement
• SDLC knowledge
• Strong communication skills
• Team management and operations management

About Me:
I am a dedicated professional seeking a company that values its employees and prioritizes a positive work culture. I believe a great workplace is one where employees feel valued, supported, and satisfied with their work. I am excited to join an organization that shares my values and is committed to excellence."
59,"Project Manager and Scrum Master
Highly experienced in IT areas including quality assurance, business analysis, and project management

Summary:
Results-driven professional with 5+ years of experience leading and coaching agile teams, and 3+ years in quality assurance and test automation

Technical Skills:
- SDLC and CI tools: Jira, Confluence, Jenkins
- Agile methodologies: Scrum, Kanban, Scaled Agile Framework

Professional Experience:
Results-driven leader with 5+ years of experience leading and coaching agile teams, focusing on tailored development and QA processes. Key accomplishments include:
- Implementation of Scrum and Kanban ceremonies to ensure efficient team operations
- Scaling agile for multiple teams of up to 100 people, establishing cross-team communication, synchronization, and release procedures
- Management of people development, including personal planning, hiring, and onboarding new team members

Core Values:
- Prioritizing product quality
- Embracing agility and common sense in work processes
- Minimizing bureaucracy for enhanced productivity"
60,"Agile Team Lead

Summary:
Results-driven Agile Team Lead with experience in building and managing high-performing teams, facilitating Scrum processes, and driving project execution.

Key Responsibilities and Achievements:
- Built and managed an Agile team from scratch, overseeing all aspects of project execution
- Facilitated daily scrum, sprint planning, sprint demo, and retrospective meetings to ensure team alignment and progress
- Coached team members on Scrum principles and practices to ensure effective adoption
- Conducted demo presentations for clients, showcasing project progress and results
- Led estimation and project planning processes, ensuring accurate forecasting and resource allocation
- Onboarded new team members, integrating them into the project workflow and ensuring seamless knowledge transfer
- Collaborated with the Product Owner to develop and maintain product backlogs, prioritizing tasks and utilizing US templates
- Identified and removed impediments to ensure the Scrum team's productivity and efficiency
- Conducted risk assessments and tracked potential issues, developing mitigation strategies as needed
- Analyzed user stories and requirements, ensuring clear understanding and effective implementation
- Mentored new team members, providing guidance and support to facilitate their growth and development"
61,"Results-driven senior executive with over 10 years of experience in the high-tech field, driving business growth and improvement. Proven track record of success in managing large teams and delivering high-profile projects.

Key Experience:
- CTO, Agrifinance.io: Conceptualized and developed a successful product from inception, showcasing expertise in technology leadership.
- Head of PMO, Minexsystems.com: Spearheaded the development of the world's first crypto-bank, demonstrating ability to manage complex projects.
- Senior Project Manager, Prozorro.sale: Successfully led the creation and development of multiple small projects within a state reformatory startup.

Certifications:
- Certified Project Manager, TUV Rheinland Academy (Cologne, Germany)
- Certified Specialist in ISO 9001, TUV Rheinland (Cologne, Germany)

Summary of Expertise:
- Certified Project Management Professional
- Scrum Master
- Proven ability to manage teams of up to 160 technical personnel
- Experienced in managing Fixed Price and Time & Material contracts
- Proficient in Scrum, Kanban, and Waterfall methodologies

Forward-thinking and ambitious change manager, dedicated to continuous business improvement, with a focus on enhancing revenue and streamlining operations to maximize profit through multifaceted business approaches."
62,"Certified Scrum Master (PSM I) and Agile Project Manager (ICP-APM)

Results-driven Agile Project Manager with 3+ years of experience delivering successful projects from idea to commercial launch. Proven ability to lead in-house and distributed development teams, achieving project goals within time and budget constraints.

Key accomplishments include:
- Implementation of Scrum framework, Kanban, and project management tools and techniques in multiple companies and teams
- Improvement of company structures and processes
- Organization of reports, workshops, and meetups on Lean startup, Lean software development, Agile, and Scrum

Possess excellent leadership and communication skills, with the ability to inspire teams to reach their full potential. Skilled in planning and coordinating project activities to exceed targets, with a decisive and committed approach to creating an environment that fosters great ideas.

Expertise in setting up effective working processes for both in-house and distributed development teams. Committed to promoting Agile culture and mindset, with a willingness to act as a change agent in any environment."
63,"Results-Driven IT Professional

Summary:
Highly competent IT professional with experience in management and development, seeking an enterprise-level project with a friendly team and atmosphere, offering opportunities for creative growth and new challenges.

Experience:
- Led and built two teams in Ukraine, comprising an IT engineer team for software development and an operational team for game and platform operation
- Implemented agile/scrum framework in the development process to enhance team efficiency
- Mentored, coached, and developed high-performing teams to achieve project goals
- Successfully delivered and operated a Fantasy Sport startup as a standalone business, overseeing all aspects of its development and launch
- Designed and delivered multiple casino games utilizing Flash and HTML technologies
- Simultaneously managed four mobile projects for both iOS and Android platforms, including the preparation of comprehensive business documentation and detailed development specifications
- Led a team of over 20 members, gaining valuable experience working with international companies from the UK, Germany, and Switzerland

Skills:
- IT Practice: Agile Project Management, Business Analysis, PMBOK, BABOK, SCRUM, Kanban, Waterfall, Mobile and Web Software Development, iGaming and Casino Industry
- Business Competence: Startup Development, Business Growth, Marketing and Sales Strategy, Public Speaking, Brand and Product Management, Customer Service, Company and People Management, Team Building, Coaching, and Motivation

Language Skills:
- English: Fluent
- German: Upper-Intermediate
- Polish: Low-Intermediate
- Ukrainian: Native
- Russian: Native

Expectations:
- Participation in enterprise-level projects
- Collaborative and friendly team environment
- Open-minded, polite, and respectful workplace culture
- Opportunities for new experiences and challenges
- Professional growth and development prospects"
64,"Agile Project Manager and Scrum Master
Over 12 years of experience in software development

Summary:
Results-driven Agile Project Manager and Scrum Master with 12+ years of experience in software development, leveraging expertise in Agile practices, leadership, and problem-solving to drive successful business outcomes.

Professional Experience:
Agile Project Manager and Scrum Master
- Improve project processes and develop best Agile practices across project teams
- Lead and coach project teams to deliver results and drive successful business outcomes

Software Developer and Architect
- Developed high-quality software for US and European customers
- Utilized expertise in C/C++ to participate in numerous projects

Skills:
- Excellent communication, consensus building, and conflict management
- Strong leadership skills with well-developed networking ability
- Passion for problem-solving and decision-making
- Ability to communicate complex information in a compelling and concise manner
- Competent liaison between top management, clients, and personnel
- Quick learner, able to adopt new tools, techniques, practices, and methodologies

Languages:
- English (excellent)
- Russian (native)
- Ukrainian (native)

Contact:
Available for project collaborations, please get in touch."
65,"Results-driven Agile Project Manager and Delivery Manager with 8 years of IT experience, leveraging expertise in Scrum, Kanban, Lean, and other Agile techniques to optimize product development and ensure high quality.

Proven track record of successfully implementing the Kanban approach, utilizing the Kanban Maturity Model and Evolutionary Change Model to drive safe and culturally compatible changes, resulting in:
* Doubling of deliverables
* Reduction of Time to market metric by one third

Experienced in managing various team formats, including atomic Scrum teams and cross-functional units with 40+ FTEs, with the capability to manage organizations with 100+ FTEs and familiarity with related processes.

A seasoned professional seeking new opportunities to collaborate with organizations aiming to enhance their performance."
66,"Results-driven Delivery Manager and Scrum Master with experience in managing large-scale projects and cross-functional teams. Proven track record of establishing and implementing processes, coaching teams, and driving high team satisfaction ratings.

Summary:
Managed 40+ team members across 3 Scrum Teams, coaching and guiding them to achieve project goals
Established a Release Management process, developed a requirements gathering and implementation process, and implemented team performance metrics
Achieved an overall team feedback satisfaction rating of 4.9/5

Leadership Experience:
Led and managed 25+ team members in diverse environments, including FinTech and Healthcare domains
Successfully managed domain projects with budgets of $100-150K per month

Scrum Master Experience:
Led cross-functional teams comprising developers, QA, BA, and stakeholders
Implemented peopleware practices, including 1-to-1 meetings and check-ins
Facilitated Agile ceremonies, such as planning, daily stand-ups, retrospectives, and iteration demos
Coordinated delivery processes, ensuring effective communication between development teams and product owners
Conducted Scrum Workshops to promote Agile methodologies

Project Management Experience:
Created and executed development plans, controlling progress and adapting to changes
Managed change requests, risks, and requirements, maintaining a Risk Register and mitigation plans
Reported progress, informed stakeholders of changes, and analyzed requirements through stakeholder interviews and User Story mapping

Key Achievements:
Established a Release Management process across 3 teams and multiple domains/functionality
Developed and implemented a requirements gathering, processing, and implementation process from scratch
Conducted High-Level Q-planning and implemented team performance metrics from scratch
Achieved an overall team feedback satisfaction rating of 4.9/5"
67,"Results-driven IT professional with over 11 years of industry experience and 7+ years of expertise in Agile project management, delivering successful outcomes through dynamic team leadership. Proven track record of effectively managing growing teams utilizing Scrum and Kanban process models, with a strong commitment to continuous learning and improvement.

Key Skills:
Agile
Scrum
Kanban
Project Management
Agile Project Management
JIRA
Risk Management
Conflict Management
Change Management
Team Building
Motivation
Applications Deployment

Dedicated leader with a passion for fostering growth and development in others, seeking a dynamic and challenging work environment with a friendly atmosphere that aligns with my values. I aim to make a meaningful contribution and leverage my skills to drive success in a team-oriented setting."
68,"Agile Transformation Leader
Results-driven professional with experience managing large-scale transformations, leading 50+ personnel through change initiatives
Key Experience:
Scrum Master
  - Led 5 concurrent teams, ensuring seamless execution and collaboration
Project Management Expertise
  - Utilized PMBOK guidelines to drive project success, leveraging industry best practices to deliver results"
69,"Scrum Master/Agile Specialist

Key Responsibilities:
* Collaborated with cross-functional teams to enhance efficiency, self-management, and productivity, focusing on timely sprint releases and obstacle removal
* Partnered with Product Owners to define product and sprint goals, manage Product Backlog, and facilitate stakeholder communication
* Supported organizational development by introducing agile methodologies, implementing best practices, and optimizing processes
* Facilitated collaboration, built productive relationships, and assisted in hiring and onboarding staff
* Ensured effective interaction between departments, removing obstacles and fostering cooperation to achieve organizational goals

Experience Highlights:
* Improved team efficiency and self-management through targeted coaching and support
* Enhanced Product Backlog management and sprint planning through collaboration with Product Owners
* Implemented agile approaches and good practices, adapting tools and processes to meet organizational needs
* Fostered positive and productive Scrum events, ensuring timely and effective execution within designated timeboxes"
70,"Gulnar Abasova
Master's Student in International Project Management, Vilnius University
Recipient of the Lithuanian State Scholarship

Results-driven Agile Project Coordinator with over a year of experience in coordinating self-managing and cross-functional developer teams, both remotely and in-office.

Key Responsibilities:
- Facilitated Scrum events, including sprint planning and sprint retrospectives
- Tracked project schedules to ensure timely completion
- Conducted grooming sessions with Product Owners to align project goals
- Ensured adherence to Agile/Scrum principles, promoting efficient project delivery
- Coordinated information exchange between Product Owners and development team members, including testers, to foster collaboration
- Gathered suggestions for improvement and aided teams in meeting project deadlines, driving productivity

Project Experience:
- Contributed to Fintech-related projects, including internal systems for sales teams and online banking applications, leveraging Agile methodologies
- Successfully contributed to doubling the team's speed in meeting deadlines after transitioning to the current format, demonstrating adaptability and process improvement skills

Tools and Skills:
- Proficient in Notion, Jira Atlassian, and MS Project for tracking product development life cycles and managing projects
- Experienced in the entire Scrum journey, from idea generation and UX research to wireframing, QA, and debugging, with a strong understanding of Agile principles

Career Aspirations:
Seeking to expand skills in agile management and explore new opportunities, particularly in start-up environments where collaboration with development teams is key."
71,"Results-driven Scrum Master
5+ years of experience managing distributed teams of up to 40 FTE
Expertise in project management best practices"
72,"Agile Project Manager and Scrum Master
Results-driven leader with experience managing teams of varying sizes across multiple projects, driving business objectives and ensuring timely completion of milestones. Proven ability to define and implement effective processes and tools tailored to each project's unique needs. Adept at adapting to changing requirements and client goals, with a strong focus on team building and excellent communication skills."
73,"Results-driven IT professional with 12+ years of experience in the industry and 11+ years in IT Management, possessing a strong background in Agile methodologies.

Certifications: 
CSM, CSPO, ICP-APM

Key Experience:
- 4+ years of experience in Agile
- Proven experience in outsource and product development
- Successful leadership of teams with 30+ Engineers across multiple teams
- Built engineering teams from scratch
- Strong expertise in Agile (Scrum, XP, Kanban) and Waterfall methodologies, practices, and frameworks
- Maintained Agile community and evangelized Agile values
- Fulfilling roles as Scrum Master and Product Owner

Skills:
- Strong soft skills, leadership, and mentorship
- Proficient in Project Management tools
- Proven track record of successful project delivery in all stages: initiation, planning, implementation, monitoring, control, maintenance, and closure"
74,"Results-driven Project Manager with 10+ years of experience in IT companies, overseeing projects from concept to launch. Proven track record of successfully managing distributed teams of up to 50 people and handling multiple projects simultaneously, with over 20 projects delivered to date.

As a seasoned project management professional, I possess a high level of personal initiative, with the ability to establish effective relationships with cross-functional teams and quickly adapt to new subjects. My primary focus is on delivering exceptional client satisfaction and fostering a supportive team environment. Notably, my teams have successfully released over 5 products in the past year, including platforms, marketplaces, mobile apps, and websites."
