,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
12520,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with 5+ years of experience leading web and mobile (Android) development projects across diverse industries including e-commerce, B2B, corporate, and media sectors. Proven ability to manage cross-functional teams of 7-10 people and deliver integrated solutions using enterprise systems (1C, Капитал).

# CORE COMPETENCIES

Project Planning & Scheduling | Business Requirements Analysis | Risk Management & Issue Resolution | Scope & Budget Management | Resource Allocation & Team Leadership | Stakeholder & Customer Relationship Management | Strategic Alignment & Objective Definition | Detail-oriented & Analytical Problem-solving | Cross-functional Collaboration | Strong Communication Skills | Business & IT Strategy

# PROFESSIONAL EXPERIENCE

**Project Manager**

Led concurrent projects while maintaining schedule adherence and budget compliance. Conducted comprehensive business requirements analysis and created detailed project plans with defined schedules and milestones. Managed cross-functional teams of 7-10 people, ensuring clear alignment of project objectives with company goals and delivering integrated solutions across web, mobile, and enterprise integration projects.

Proactively monitored project progress, identified and mitigated risks, tracked issues, and managed scope throughout project lifecycle. Supported design and development tasks, facilitated problem resolution across teams, and ensured on-time delivery. Maintained stakeholder communication with customers, sponsors, and internal teams through regular project reports and updates. Strategically allocated resources to optimize team performance and project outcomes.

# TECHNICAL SKILLS

Jira | Teamwork | Trello | Photoshop | MS Office"
12521,"# PROJECT MANAGER & BUSINESS ANALYST

## PROFESSIONAL SUMMARY
Results-driven Project Manager and Business Analyst with 5+ years of experience leading IT project teams from inception through completion. Proven expertise across telecommunications and banking sectors with strong background in project management methodologies including Waterfall, Scrum, and Agile frameworks.

## CORE COMPETENCIES
- Project Management (Waterfall, Scrum, Agile)
- Business Analysis
- Systems Thinking & Task Decomposition
- Multitasking & Data Management
- Priority Setting & Resource Planning
- Cross-functional Communication
- Problem Solving
- Team Leadership & Independent Work

## KEY STRENGTHS
- Successfully manage multiple concurrent projects and products
- Decompose complex tasks into actionable subtasks with clear priorities
- Evaluate tools, information sources, and implementation timelines effectively
- Work efficiently under strict deadlines
- Communicate effectively with diverse stakeholder groups
- Build and maintain strong professional relationships across organizations

## PROFESSIONAL EXPERIENCE

**Project Manager & Business Analyst** | 5+ Years
- Led full-cycle IT project implementations from conception through completion across telecommunications and banking sectors
- Managed multiple concurrent projects simultaneously while maintaining quality standards
- Utilized Waterfall, Scrum, and Agile project management methodologies in all implementations
- Demonstrated expertise in systems thinking and task decomposition to break down complex initiatives
- Prioritized resources and set clear timelines to meet project objectives

## EDUCATION

**Certification in Project Management**
Foundational knowledge in project management principles and methodologies"
12523,"**PROFESSIONAL EXPERIENCE**

**Product Owner / Business Analyst**

Spearheaded and executed multiple high-impact banking projects across retail and digital channels:

• Front-office system for retail banking operations encompassing credit card sales, cash loans, refinancing, current and deposit account opening, debit card management, and CRM functionality

• Tokenization system developed in partnership with Visa (Google Pay, Apple Pay, Garmin Pay) and MasterCard (Google Pay, Apple Pay), managed from initial conception through production deployment

• Internet banking platform for retail customers featuring peer-to-peer transfers with cross-border capability, account-to-account transfers (including SEPA), card management, online currency exchange, and deposit and card account opening

**CORE COMPETENCIES**

• 17 years of banking industry experience with deep expertise in digital retail banking
• 7 years of IT project experience across BA, PM, and PO roles
• End-to-end system implementation from design through production
• Business Requirements Documentation (BRD) and Business Process modeling (BPMN 2.0)
• Project planning, backlog management, and team supervision
• UX/UI team leadership and oversight
• Software Development Life Cycle (SDLC) management
• Proficiency in Jira, Confluence, and Figma
• Agile methodology and framework implementation
• Specialized expertise in digital banking and fintech projects with proven ability to deliver results across diverse initiatives"
12525,"# PROFESSIONAL SUMMARY

Results-driven Product Owner with proven expertise in leading cross-functional teams to deliver customer-focused solutions. Known for fostering collaborative environments, resolving conflicts efficiently, and bridging technical and business perspectives to transform strategic vision into actionable product solutions.

# KEY RESPONSIBILITIES & ACHIEVEMENTS

**Product Strategy & Vision**
- Gathered needs and vision from client's strategic Product Owner
- Established clear goals and product vision
- Contributed to global roadmap development aligned with strategic objectives

**Product Management**
- Managed product backlog including feature specification, prioritization, and testing
- Facilitated product development discussions and animated team collaboration
- Organized releases and communicated short-term roadmap across the team

**Stakeholder Management**
- Served as bridge between customer requirements and technical team capabilities
- Transformed business ideas into optimal solutions in collaboration with development team
- Contributed to UX/UI improvements with strategic stakeholders

**Support & Operations**
- Managed support functions and eliminated obstacles to product delivery

# INDUSTRY EXPERIENCE

Printing and Publishing, Retail, CRM/ERP, E-commerce, Healthcare, VR/AR Entertainment

# CAREER EXPECTATIONS

Seeking opportunities for professional growth including mentorship, training, and course attendance in challenging projects within a creative and collaborative environment with regular performance-based compensation reviews."
12526,"# RESUME

**Core Competencies**
Initiative, analytical thinking, responsibility, proactive engagement, creative problem-solving, accuracy, interpersonal skills, rapid learning ability, ambition, strong work ethic, commitment to continuous improvement.

**Professional Experience**

*Project Leadership & Management*
- Built company's core system from scratch
- Managed scope for 3 cross-functional teams
- Planned sprints and quarterly deliverables
- Served as Scrum Master

*Strategic Initiatives*
- Directed internet marketing and sales initiatives
- Optimized supply chain processes

*Requirements & Solutions Development*
- Gathered requirements and translated them for development teams
- Developed solutions by preparing and evaluating alternative workflow approaches
- Established specifications to control solution quality

*Cross-Functional Collaboration*
- Collaborated with cross-functional teams to ensure seamless integration of business processes
- Created documentation for new and modified features

**Technical Skills**
JIRA, Rally, MS Office, e-Commerce, CRM, SAP ERP"
12527,"**CERTIFICATIONS**
- PSM 1
- SAFe 5 Agilist
- SAFe Scrum Master
- SAFe Product Owner & Product Manager

**PROFESSIONAL EXPERIENCE**

**Senior Business Analyst** | EPAM
December 2020 – Present
- Led discovery phase and solutioned scope for the quarter
- Validated requirements and provided UX recommendations using UX prototyping tools
- Created well-organized Confluence documentation with all project requirements
- Organized workshops with end-user focus groups to elicit requirements and align expectations
- Conducted insurance product research to enhance business value for customers

**Middle Business Analyst** | GlobalLogic
November 2019 – December 2020
- Created detailed, US-formatted requirements documentation
- Organized and facilitated scrum ceremonies including daily meetings, sprint planning, and estimation sessions
- Performed UX prototyping of web interfaces using Wireframe Pro and Axure
- Managed full requirements lifecycle: elicitation, clarification, documentation, and maintenance
- Facilitated impediment removal for development team

**Business Analyst** | Nix Solutions
May 2018 – November 2019
- Translated stakeholder requirements into deliverables: requirements specifications, user stories with acceptance criteria, and workflow diagrams
- Supported Product Owner in backlog prioritization and maintenance
- Provided ongoing requirements support to development team
- Supported sales and presale activities through requirements gathering for project estimation
- Conducted UX competitor research and UI prototyping for web and mobile interfaces in Axure

**Sales Manager / Business Analyst** | Galaxy IT
December 2017 – May 2018
- Identified potential customers via Upwork, Freelancer.com, and LinkedIn to develop business
- Gathered business requirements and translated them into development team tasks
- Established JIRA project management and implemented Agile methodologies (SCRUM/Kanban)
- Conducted sprint results demonstration sessions with customers
- Facilitated sprint planning sessions with development team"
12528,"# HCM Configuration Specialist                                                                    Aug 2019 - May 2021
- Initialized, managed, and validated customer data throughout all development stages
- Supported and troubleshot customer issues to ensure business continuity
- Customized systems according to client requirements and specifications
- Collaborated with development team to write specifications and ensure results matched requirements
- Tested and validated requirements across all development phases

# Configuration Manager                                                                                      Feb 2013 – July 2019
- Configured and managed the build release process for software products
- Established and maintained test and production environments for company software products
- Prepared comprehensive technical design documentation
- Supported projects and customer databases

# Software Implementation Specialist                                                                       May 2010 – Feb 2013
- Drafted user instructions and documented manufacturing processes
- Imported, managed, and maintained data in Oracle
- Configured products to customer requirements and developed additional reports
- Prepared systems for product revision and administration
- Wrote automated QA tests to ensure software quality
- Trained users on system operation and provided ongoing customer support

# Software Implementation Specialist                                                                       May 2008 – Apr 2010
- Maintained accounting software and prepared test environments
- Configured products to customer requirements, developed additional reports, and prepared for product revision
- Trained users on system operation and provided customer support
- Coded in HTML, CSS, PHP, and VBasic"
12529,"# PROFESSIONAL SUMMARY

Results-driven Project Manager and Business Analyst with expertise in delivering successful projects through Agile methodologies, stakeholder management, and process optimization. Proven ability to drive product success by aligning business objectives with technical execution while fostering team development and cross-functional collaboration.

# KEY ACHIEVEMENTS

- Delivered project MVP with one Agile team in 4 months, demonstrating ability to execute projects on time
- Introduced Scrum practices to the project, resulting in improved planning and work organisation
- Strengthened stakeholder relationships, resulting in increased trust and collaboration
- Developed team members, contributing to their professional growth and advancement
- Led analysis and documentation of requirements for new system implementations, collaborated with development teams to ensure technical solutions met business needs, and drove successful implementation and adoption

# CORE COMPETENCIES

**Project Management:** Project planning, prioritization, team management, budgeting, risk management, quality management, change management, reporting

**Business Analysis:** Requirements gathering and analysis, solution development, documentation, opportunity identification, process improvement

**Stakeholder Management:** Strategic communication with project stakeholders to ensure alignment with project goals, progress tracking, and results delivery

**Process Optimization:** Continuous evaluation and improvement of processes and systems to drive efficiency, productivity, and profitability; elimination of wasteful processes to deliver maximum value

**Agile & Scrum:** MVP development, sprint planning, team coordination

# CURRENT ROLE

Project Manager and Business Analyst responsible for driving projects to successful completion on time and within budget while meeting client objectives, identifying improvement opportunities, developing solutions, facilitating stakeholder communication, and ensuring projects deliver business value and organizational benefits."
12530,"# RESUME

**Amdocs Israel**
Program Manager
2020 - Present

**Pasha Bank Georgia**
IT Section Manager
June 2018 – December 2019
Coordinated Department activities across multiple operational areas:
• Managed 3 units: IT Operations, Software Development, Business Analysis and Service Quality

**Geocell – TeliaCompany – Telecommunications**
Technology Division, Services – Products and IT Section Manager
February 2015 – June 2018
Coordinated Department activities across multiple operational areas:
• Managed 5 units: Billing and Charging, Product and Services, Software Development, Enterprise IT, Business Support and Reporting

**Geocell – TeliaCompany – Telecommunications**
ICT Division, Service Network Department Manager
January 2006 - February 2015
Managed systems including Prepaid Charging System, Ericsson Billing Gateway Platform, and VAS platforms (SMSC, CRBT, WAP GW, Voice Mail):
• Provided technical helpdesk support (1st and 2nd line)
• Performed systems administration and maintenance
• Led implementation and deployment of new products

**Geocell LLC - Telecommunications**
Service and Product Operations Team Coordinator (Technical Department)
March 2004 – January 2006
Managed systems including Prepaid Charging System, Ericsson BGW (EMM) platform, and Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail):
• Provided 24x7 technical helpdesk support (1st and 2nd line) with internal customer support

**Geocell LLC - Telecommunications**
Prepaid Charging System Engineer (Technical Department)
March 2000 - March 2004
• Administered and maintained Ericsson (PPL) prepaid charging system
• Provided 24/7 technical helpdesk and 1st and 2nd line support
• Configured and implemented new products and tariff plans

**New Net Georgia LLC**
Digital PSTN Switching Center Technical Manager
February 1997 – March 2000
• Administered and maintained PSTN switching center
• Managed shift staff planning and operations
• Provided 24/7 technical helpdesk and 1st and 2nd line support

## KEY PROJECTS

**Retail Bank Launch (Cash-Loan and TopCard)**
August 2018 – August 2019
Complex project including Processing Center swap, Core Banking integration and system upgrade, CRM and Sales Force deployment, Internet Banking and Mobile Banking implementation, Contact Center PBX system swap, and Terminal Payment system integration.

**Prepaid Billing System Swap (Amdocs/Comverse One to Peter-Service BSS)**
August 2017 – December 2017
Migrated Prepaid Billing System with online credit and balance control capabilities.

**Geocell Deep Packet Inspection, Policy and Charging Rules Function Platform Swap**
January 2017 – December 2017
Executed PCRF/PCEF platform swap.

**Post-paid Billing and Interconnect Systems Swap (CBOSS to Peter Service BSS)**
May 2016 – December 2016
Migrated Post-paid and Interconnect Billing Systems with online credit and balance control.

**Prepaid Billing System Swap (Orga OPSC Classic to Comverse ONE BSS)**
January 2014 – September 2014
Completed Prepaid Billing System migration."
12531,"# PROFESSIONAL SUMMARY

Results-driven professional with 10+ years of experience in Project Management and B2B Sales within the agribusiness sector, transitioning expertise into the IT sphere. Certified in IT Project Management and IT Business Analysis with strong foundational knowledge of software development lifecycle and methodologies.

# CORE COMPETENCIES

Project Management & Planning | IT Business Analysis | Software Development Lifecycle (SDLC) | Software Development Methodologies | Risk Management | B2B Sales | Analytical & Problem-Solving Skills | Organizational & Planning Skills | Technical Communication | Document & Presentation Development

# EDUCATION & CERTIFICATIONS

**IT Project Management Certificate**
IT Education Academy (ITEA)

**IT Business Analysis Course**
BA Space School

# PROFESSIONAL EXPERIENCE

**Project Manager & B2B Sales Professional**
Agribusiness Industry | 10+ Years
- Managed cross-functional projects while maintaining strategic client relationships
- Developed comprehensive documentation and professional presentations for key stakeholders
- Applied analytical and organizational expertise to drive business initiatives and deliver measurable results

# OBJECTIVE

Seeking a long-term position in the IT industry to leverage project management and business analysis background while developing technical expertise on challenging, meaningful projects."
12532,"# PROFESSIONAL SUMMARY

Results-driven Project Manager and Business Analyst with proven expertise leading SAP ERP implementation in the metallurgical sector and driving business transformation across multiple industries. Demonstrated strengths in stakeholder management, requirements analysis, cross-functional team coordination, and process optimization. Seeking a Business Analyst or Project Manager role in a fast-paced organization to leverage expertise and drive professional growth.

# PROFESSIONAL EXPERIENCE

## Project Manager / Project Lead – SAP ERP Implementation
Metallurgical Company

- Promoted to Head of SAP Project team
- Led end-to-end ERP implementation from 1C: Enterprise 8.2 to SAP ERP, managing system migration and user transition
- Built and managed cross-functional teams, facilitating strategic communication between senior management and technical stakeholders to align business requirements with implementation timelines
- Defined comprehensive business needs and developed detailed requirements documentation for Sales, Marketing, Finance, and Procurement departments
- Managed Product Backlog prioritization and controlled project scope to deliver critical deadlines
- Executed rigorous testing protocols, oversaw system refinements and improvements, and managed bug resolution
- Delivered first-line user support and developed comprehensive training materials and learning resources
- Enhanced stakeholder alignment by reducing miscommunication across IT, business teams, project personnel, and developers through clear scope definition and strategic communication protocols
- Mentored team members who advanced to Senior Business Analyst roles and project leadership positions

## Business Analyst – Beauty Industry
Over 1 year

- Customized software solutions (YClients/Altegio) to optimize business operations
- Analyzed and streamlined operational workflows and processes

## Additional Experience
- Civil international organization: 1.5 years (administrative operations, contract management, human resources)
- Sales and marketing: Over 1 year

# CORE COMPETENCIES

**Project Management & Methodologies:** SDLC, Agile, Scrum, RACI matrix, Product Vision Boards, Story Mapping

**Business Analysis:** User stories, use cases, scenarios, requirements analysis, backlog management, BPMN

**Tools & Technologies:** SAP ERP, MS Office (Word, Excel, Project, Outlook, Skype for Business), JIRA, Confluence, Miro, Basilique

**Soft Skills:** Stakeholder communication, team leadership, cross-functional coordination, training and mentoring

# RECOGNITION

- Recommended to Staff Roster (prospective employees) multiple times at Metinvest-SMC based on staff assessment results (2015-2017)
- Contract extension with OSCE SMM in Ukraine based on high-performance evaluation"
12533,"**PROFESSIONAL SUMMARY**

Experienced project manager and Scrum Master with expertise in web platform development and solutions for Telecom companies. Skilled communicator with a proven ability to manage stakeholder relationships and deliver high-quality projects on time and within budget.

**CORE COMPETENCIES**

Project Management | Agile Frameworks | Scrum Master | Stakeholder Communication | Problem-Solving | Project Management Software | Budget and Deadline Management | Team Leadership | NFT Project Management

**PROFESSIONAL EXPERIENCE**

**Scrum Master** – Current Role
Facilitate agile team processes and remove impediments to support team productivity and project success. Utilize expertise in Agile frameworks to enhance team collaboration and delivery.

**Project Manager**
Managed NFT project with focus on detail and deadline/budget adherence. Developed strong project planning and execution capabilities through effective stakeholder communication and resource management.

**KEY STRENGTHS**

Effective communication with diverse stakeholders | Active listening and problem-solving skills | Business-oriented mindset | Knowledge of latest technologies | Time-efficient and results-driven team player | Consistent delivery of high-quality projects on time and within budget"
12565,"**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Scrum Master with 4 years of business analytics experience and 5 years of sales experience. Proven track record managing cross-functional development teams of up to 24 people, implementing 5+ complex integrations, and delivering successful products across diverse sectors. Strong client communication skills with USA/EU clients, combined with ability to drive sales strategy and team performance.

**CORE COMPETENCIES**

- Business Analytics & Project Management
- Scrum Master & Team Leadership
- Sales Strategy & Affiliate Program Development
- Requirements Gathering & Documentation
- Agile Methodologies & Sprint Management
- Technical Requirements & UML Specifications
- Budget & Risk Management
- Client Communication & Stakeholder Management

**PROFESSIONAL EXPERIENCE**

**Business Analyst / Scrum Master**
- Managed cross-functional development teams: Team 1 (15 people: 2 iOS developers, 2 Android developers, 4 Frontend, 5 Backend, 2 QA) and Team 2 (9 people: 2 Mobile developers, 2 Frontend, 3 Backend, 2 QA)
- Implemented 5+ integrations and successfully released MVP
- Facilitated Scrum events including sprint planning, grooming, estimations, retrospectives, and backlog management
- Created detailed documentation including user stories, use cases, and wireframes in Confluence
- Managed project timelines and sprint schedules ensuring on-time delivery
- Maintained transparent backlog and dashboards for team and client visibility
- Monitored team performance and produced regular progress reports
- Presented status updates, problems, and solutions to Product Owners and stakeholders
- Managed change requests and updated changelogs
- Produced technical requirements including UML diagrams and functional and non-functional specifications
- Managed project budgeting, expenses, estimations, and risk management
- Collaborated with development teams, QAs, UI/UX designers, and Business Owners
- Managed diverse project portfolio: healthcare applications, cryptocurrency and crowdfunding platforms, and fitness applications

**Sales Management**
- Managed sales department including 8 sales managers and pre-sales managers
- Established and implemented Affiliate Program
- Developed and implemented Sales Strategy

**KEY ACHIEVEMENTS**

- End-to-end project management from concept to delivery
- Start-up company experience
- Outsourcing project management expertise
- Client communication with USA/EU stakeholders
- Diverse project portfolio spanning fitness, finance, healthcare, cryptocurrency, and crowdfunding sectors

**EDUCATION & TRAINING**

- IT Project Management (April 2019)
- Quantitative and Quality Market Research (November 2019)
- Technical Training: MS SQL, MySQL, HTML, CSS, PHP (March 2020 - July 2020)"
12656,"# PROFESSIONAL EXPERIENCE

**Current: Web Analyst / Business Analyst**

**Position 1 (2021-2022): Business Analyst / Web Analyst**
– Restructured company reporting into a dynamic format across 10+ projects, enabling enhanced data accessibility and improved decision-making capabilities
– Automated daily reporting through a universal algorithm, reducing manual processing time and improving reporting consistency
– Established cross-departmental collaboration and accelerated internal process exchange to streamline organizational workflows
– Expanded analytical capacity by increasing available projects for analysis by 2.5x

**Position 2 (2020-2023): Lecturer, Ukrainian University (Part-time)**
– Published 10+ scientific and expert articles indexed in Scopus and Web of Science, contributing to peer-reviewed research
– Developed and implemented educational YouTube channel to extend educational reach

**Position 3 (2017-2021): Chief Executive Officer, Online IT Project**
– Built proprietary business model achieving approximately 90% average monthly profitability through strategic planning and execution
– Achieved full project automation across technical, managerial, and business processes within 14 months, optimizing operational efficiency
– Established sustainable operational framework by transitioning project to content manager support structure

**Position 4 (2016-2021): Project Manager (Remote)**
– Increased site monthly traffic nearly 5x over 4 years, growing user base from 1.5M to 7M through data-driven optimization strategies
– Expanded revenue-generating partnerships by growing advertising partner network by 3x
– Restructured resource allocation by transitioning project to freelance developer support model

# CORE COMPETENCIES

Business Analysis | Web Analytics | Project Management | Process Automation | Strategic Planning | Cross-functional Team Leadership | Data-Driven Optimization"
12674,"# Professional Resume

**Professional Summary**
Results-driven professional with 10+ years of IT experience specializing in process optimization, team leadership, and requirements management. Proven expertise in building and leading Scrum teams, managing complex software projects, and translating business needs into technical solutions across global organizations.

**Core Competencies**
- Scrum Master & Agile Methodologies (Scrum, Kanban, Waterfall)
- Requirements Analysis & Management
- Process Automation & Optimization
- Project Management (4+ years)
- Software Requirements Definition (use cases, user stories, requirements diagrams)
- Team Leadership & Coaching
- Change Management
- Documentation & Process Design
- Multi-project Coordination
- Software Testing Knowledge

**Professional Experience**

**Process Optimization & Team Leadership**
- Gathered, analyzed, documented and automated software selling and support processes across global organization spanning approximately 15 offices
- Built and established Scrum team processes from inception; served as Scrum Master providing ongoing team guidance and coaching

**Requirements & Product Ownership**
- 8+ years of Business Analyst and Proxy Product Owner experience across multiple concurrent projects
- Created comprehensive project documentation and detailed software requirements specifications
- Developed use case diagrams utilizing Visio and StarUML; authored use cases and user stories with cascaded requirements
- Conducted requirements validation and managed change management processes

**Project & Team Management**
- 4+ years of Project Management experience
- Conducted training sessions, brainstorming sessions, and facilitation activities with certification in coaching training
- Successfully managed multiple concurrent responsibilities while performing effectively under pressure

**Technical Experience**
- Contributed to mobile and desktop applications development projects
- Developed strong understanding of development methodologies and software testing practices"
12687,"# ANDRII
**Visionary Engineer | Automation & Business Process Optimization Specialist**

---

## PROFESSIONAL SUMMARY

Results-driven automation specialist with 14+ years of experience designing and implementing custom business solutions. Expert in transforming complex processes into elegant, data-driven systems. Proven ability to deliver strategic automation across diverse industries with 100% job success rate and 2,500+ satisfied clients globally. Fluent in multiple languages with strong financial acumen and exceptional communication skills.

---

## CORE COMPETENCIES

**Automation & Development**
- Professional Microsoft Excel & Google Sheets Development
- Advanced VBA / Google Apps Script (JavaScript)
- Full Automation | Workflow Optimization | Digital Integrations
- Data Processing, Transformation & External APIs
- Automated Reporting & Data Analysis

**Business Solutions**
- Business Process Analysis & Optimization
- Financial Modeling & Data Analytics
- Smart Decision-Making Tools & Dashboards
- Custom Calculators & Business Trackers
- Data Visualization & KPI Development

**Technical Skills**
- Microsoft Office Integration (Word, PowerPoint, Outlook, SharePoint)
- Google Workspace Integration (Drive, Gmail, Docs, Slides, Calendar, Forms)
- Low-Code/No-Code Platforms: Airtable, Power BI, Power Apps, Zapier, IFTTT
- Web Technologies: WordPress, HTML, CSS, JavaScript, PHP, SQL
- Programming: Java, Python
- Project Management: Jira, Confluence, Trello, ServiceNow

**Soft Skills**
- Professional Negotiation & Public Speaking
- Strategic Thinking & Problem-Solving
- Process Management & Project Leadership
- Exceptional Communication & Attention to Detail

---

## PROFESSIONAL EXPERIENCE

**Top Rated Plus Upwork Freelancer** | 2010–Present
- 14+ years of automation development with 100% Job Success Rate
- Completed 50+ long-term projects with 2,500+ clients across US, Canada, UK, Australia and beyond
- Specialized clientele: CEOs, CFOs, Crypto Traders, Investors, Startups

**IT Project Manager – ThinkWider App**
- Led digital platform for manufacturing process improvement
- Managed full project lifecycle: concept, development, staging, implementation, and deployment

**Manager & Developer – IShare Educational Platform**
- Designed and managed comprehensive digital learning platform
- Developed training materials and conducted live online training

---

## EDUCATION & CREDENTIALS

**Master of Arts – Financial Management** (with Honors)
Erasmus+ Student, Krakow, Poland

**Bachelor of Arts – Corporate Finance**

**Bachelor of Arts – English Translation**

**Language Proficiency**
- Fluent English (IELTS C1)
- Native Ukrainian & Russian

---

## INDUSTRY EXPERIENCE

Finance | Marketing | Sales | Insurance | Manufacturing | Construction | Real Estate | Government | Healthcare | Education | Agriculture | Media

---

## CLIENT TESTIMONIALS

*""Andrii has exceptional knowledge in business and technology. We were able to successfully work towards our end goal. Our solution now works flawlessly!""*

*""Exceptional Work! His strategic thinking and problem solving skills far outreaches anyone in business / IT logic.""*

*""Andrii has completed several projects with exceptional care and attention. He sees the big picture, works through details rigorously, and his interpersonal skills make the process smooth.""*

*""Andrii was amazing. He took time to understand scope, asked great questions, and even improved our vision. Professional, skilled, great communicator, and reliable.""*"
12736,"# RESUME

## PROFESSIONAL SUMMARY
Entrepreneurial professional with proven success launching and scaling a company to $20,000 turnover in the first year. Extensive experience in team leadership, business development, talent management, and event organization.

## PROFESSIONAL EXPERIENCE

**Co-founder and Business Manager | Whales of Design**
- Led project teams ranging from 4-12 people
- Established and managed business operations and identified potential partners through participation in specialized conferences
- Cultivated and maintained relationships with external contractors and designers
- Managed customer relationships and order fulfillment from conception through completion, including conflict resolution

**Recruiter and Manager**
- Recruited and onboarded staff members
- Implemented quality control measures for work performance
- Organized major events including Ocean Elzy, Atlas Weekend, and Imagine Dragons concerts

## CAREER OBJECTIVES
Seeking a position with a large organization that offers opportunities for intellectual and professional growth."
13078,"**YELYZAVETA**

**IT Professional | Project Manager | Business Development Manager**

---

**PROFESSIONAL SUMMARY**

Accomplished and passionate IT professional with diverse skill set and strong track record of success in project management and financial expertise. Active Project Manager with invaluable insights into technical nuances of project development. Adept at resolving complex issues and delivering excellence in IT project management and financial solutions.

---

**CORE COMPETENCIES**

- Project Management
- Business Development
- Issue Resolution & Technical Expertise
- Financial Management
- Client Relations
- Resource Cost Calculation
- Project Margin Analysis
- Process Configuration
- Team Collaboration
- Documentation & Data Exchange

---

**PROFESSIONAL EXPERIENCE**

**Project Manager**
- Gained invaluable insights into technical nuances of project development
- Resolved complex issues throughout project lifecycle

**Business Development Manager**
- Demonstrated issue resolution and technical expertise in project development
- Managed financial operations and maintained strong client relations
- Increased revenue through upselling supplementary solutions
- Managed invoicing and time tracking inquiries
- Collaborated with Delivery Managers on client-side process configuration
- Streamlined and optimized client-side project management processes
- Calculated project resource costs to ensure profitability and viability
- Analyzed and calculated complete project margins to gauge overall profitability
- Coordinated effective documentation and seamless data exchange

---

**PROFESSIONAL GOALS**

Committed to continuous learning and professional growth. Dedicated to delivering results and becoming a highly qualified specialist. Ready to contribute value and drive success within teams and organizations."
13080,"# PROFESSIONAL SUMMARY

7 years of overall experience in IT with expertise in sales, business development, and business analysis.

## BUSINESS DEVELOPMENT MANAGER

**Sales & Business Development**
- Executed full-cycle sales process including lead generation, prospect qualification, opportunity development, and deal closure
- Prepared contract documentation including Estimates, Proposals, MSA, and SOW
- Served as primary point of contact for prospects during pre-sale stage, coordinating technical interviews, gathering client feedback, and addressing objections
- Elicited and documented client requirements during sales calls
- Managed full-cycle email campaigns
- Demonstrated proficiency with CRM systems including Salesforce, Zoho, Dynamics, and Act!
- Demonstrated proficiency with email marketing platforms including SendGrid, Reply, and Outreach
- Experienced with project tracking systems including Jira and Trello

**Cross-Functional Collaboration**
- Coordinated with multiple departments during pre-sale stage including recruiters, project managers, and company executives
- Served as key contact between project managers and clients to ensure project success
- Participated in screening and interviewing Sales & Marketing department candidates
- Mentored and educated junior team members including remote teams in Ukraine and international offices

**Marketing & Content**
- Developed marketing materials including case studies, press releases, and website content

## BUSINESS ANALYST

- Elicited and evaluated client requirements
- Created Software Requirements Specifications
- Maintained and updated project documentation
- Communicated with customer representatives and development teams
- Prepared user guides
- Created UI wireframes"
13146,"**PROFESSIONAL SUMMARY**

Certified Internal Auditor (ISO22000) with 7+ years of international management experience across Ukraine, Qatar, UAE, and Lebanon. Dean's List honoree from American University in Dubai for outstanding academic achievements.

**CORE COMPETENCIES**

Management & Leadership | Project Management | Business Development & Production | International Business Operations | Supply Chain & Logistics | Team Coordination & Communication | International Document Management | NDA Compliance | Fluent English

**PROFESSIONAL EXPERIENCE**

**Director of Business Development & Production** | Ukraine & International Companies (Qatar, UAE, Lebanon) | 7 years
- Progressed through management roles from Assistant Project Manager to Director level
- Supervised and managed direct teams of up to 15 personnel including engineers, designers, and sales managers
- Coordinated relationships with approximately 10 third-party service providers
- Managed complex supply contracts, logistics operations, and outsourcing relationships
- Applied core management principles including planning, organizing, leading, and controlling
- Facilitated team communication and cross-departmental cooperation using Trello and Google Documents
- Oversaw ecommerce projects and online news publications

**EDUCATION & CERTIFICATIONS**

American University in Dubai — Dean's List for Outstanding Academic Achievements

ISO22000 Certified Internal Auditor

**LANGUAGES**

English — Fluent (professional reports, presentations, international documentation)"
13147,"# Professional Resume

## Professional Summary
Versatile partnership and project management professional with 3+ years of project management experience and 2+ years in business development within the IT sector. Proven track record of building and managing strategic relationships, leading cross-functional teams, and delivering successful project outcomes. Skilled communicator with expertise in client management, team leadership, and process optimization.

## Core Competencies
Project Management | Partnership Development | Business Development | Client Relationship Management | Team Leadership | Agile Methodologies | Stakeholder Communication | Onboarding & Client Success

## Technical Proficiencies
Trello | Notion | Slack | Jira | Agile | CRM | ActiveCampaign

## Professional Experience

**Partnership Manager** | Outsourcing/Outstaffing Agency
- Developed and maintained strategic partnership network of 150+ IT companies across Ukraine, Poland, Bulgaria, and additional markets
- Conducted strategic meetings with clients and suppliers to align objectives and drive mutual growth
- Optimized client acquisition and retention through enhanced communication and streamlined onboarding processes
- Led cross-functional teams of developers and designers on multiple concurrent engagements
- Oversaw 10+ concurrent projects with comprehensive oversight while maintaining high quality standards
- Implemented process optimization initiatives to enhance organizational efficiency and support operations

## Professional Attributes
- Strong communication and interpersonal skills
- Proactive approach to addressing challenges and driving continuous professional development
- Commitment to collaborative teamwork and organizational success"
