,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
12448,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7 years of combined experience delivering innovative solutions across multiple domains. Proven expertise in requirements analysis, user experience design, and cross-functional team leadership. Seeking part-time or project-based opportunities with collaborative, inclusive teams.

## KEY ACHIEVEMENTS

- Built and led a team from scratch for an innovative project, delivering 96% of scheduled features on time over 2 years of development (verified through Jira reports)
- Designed user interfaces based on custom mockups for multiple projects with measurable customer satisfaction (validated through customer surveys)
- Successfully relaunched a legacy billing system interface for 100k+ users with zero disruption or user frustration
- Delivered mockups and requirements for Ukraine's largest petroleum company; project successfully launched

## CORE COMPETENCIES

**Business Analysis & Strategy**
- Requirements collection and management
- Competitive market analysis
- Stakeholder management from concept to delivery

**Design & Documentation**
- Interactive mockup and prototype development
- Technical specification writing
- User guides and FAQ creation
- Business requirements documentation

**Project Management**
- Project lifecycle management
- Roadmap creation and prioritization
- Epic and User Story structuring
- Jira-based issue tracking and reporting

## PROFESSIONAL EXPERIENCE

**Business Analyst & Project Manager** | 7 Years
Directed end-to-end project delivery across multiple domains including Online Services, E-commerce, Manufacturing, CRM/ERP, Education, and Automotive. Encompassed requirements development, mockup and specification creation, team leadership, and roadmap management. Led cross-functional teams through full project lifecycle from concept to launch, with demonstrated expertise in stakeholder alignment and on-time delivery.

## AVAILABILITY

Open to part-time and project-based engagements."
12449,"**PROFESSIONAL SKILLS**

Business Analysis | Requirements Analysis | Use Cases | User Stories | Agile | Scrum | Jira | BPMN | Requirements Management | Balsamiq Mockups | Figma

**CORE COMPETENCIES**

• Agile project management and full life cycle delivery management across multiple concurrent projects
• Team and people management with conflict resolution and management expertise
• Requirements gathering, elicitation, analysis, and implementation oversight
• Budget control and financial reporting
• Designing and establishing requirements approval and change control processes
• Developing software delivery processes with cross-functional collaboration among Development, Quality Assurance, and Business Analysis teams
• Documenting comprehensive project deliverables including Vision and Scope Definitions and Software Requirement Specifications
• Solution acceptance testing and requirements validation
• Creating workflow diagrams, charts, and presentations
• Authoring user stories and customer journey maps using industry-standard tools including Figma and Balsamiq Mockups"
12450,"# PROFESSIONAL SUMMARY

Accomplished Implementation Consultant and Project Manager with 7+ years of progressive experience delivering enterprise solutions. Proven expertise in CRM, ERP, and HR core system implementations, with demonstrated success in process automation, core banking system integration, and cross-functional stakeholder management throughout full project lifecycles.

## CORE COMPETENCIES

CRM Implementation & Development | ERP Systems Implementation | HR Core System Implementation | Core Banking System Integration | Recruitment Process Automation | Project Lifecycle Management | Business Analysis | Stakeholder Management & Negotiations | Project Resource Planning | Implementation Consulting | Time Management

## PROFESSIONAL EXPERIENCE

**Implementation Consultant, Business Analyst, Project Manager**
*7+ years*

- Led enterprise solution implementations through complete development and project lifecycles for CRM, ERP, and HR core systems
- Designed and executed recruitment process automation initiatives, delivering measurable efficiency improvements
- Integrated core banking systems with existing enterprise infrastructure
- Managed stakeholder negotiations across multiple departments to align project objectives and ensure successful delivery
- Optimized project timelines and resource allocation to meet organizational goals"
12451,"# PROFESSIONAL EXPERIENCE

**Business Analyst / Project Manager** (12.2021 - Present)

- Manage multiple concurrent projects including migrations, application upgrades, and disaster recovery tests across various phases
- Track task performance and develop high-level and detailed project plans
- Facilitate stakeholder communication at all levels, including executive management, through status updates, meeting notes, and notifications
- Schedule and facilitate meetings to ensure effective project coordination
- Collect and analyze project requirements, dependencies, and risks
- Generate comprehensive reports and charts including vulnerability updates, infrastructure project status, and test results

**Associate Business Analyst / Project Manager** (06.2021 - 12.2021)

- Managed multiple concurrent projects including migrations, application upgrades, and disaster recovery tests across various phases
- Tracked task performance and developed high-level and detailed project plans
- Facilitated stakeholder communication at all levels, including executive management, through status updates, meeting notes, and notifications
- Scheduled and facilitated meetings to ensure effective project coordination
- Collected and analyzed project requirements, dependencies, and risks
- Generated comprehensive reports and charts including vulnerability updates, infrastructure project status, and test results

**Junior Software Engineer** (11.2020 - 06.2021)

- Facilitated global client communication across multiple time zones
- Collected and documented project requirements
- Resolved and verified support tickets related to relational databases and CRM systems, assigning them to appropriate resolver groups
- Tested CRM system updates and enhancements"
12452,"# PROFESSIONAL EXPERIENCE

**Project Management**
- Collected and discussed project requirements with customers
- Planned projects and created comprehensive project documentation including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Produced and distributed project tasks with clear deliverables
- Monitored and managed task implementation timelines
- Coordinated cross-functional project work and led scrum meetings
- Maintained proactive communication with customers throughout project lifecycles
- Successfully managed multiple concurrent projects
- Consistently delivered projects on schedule
- Oversaw end-to-end project development
- Excelled in challenging, complex problem-solving environments
- Collaborated effectively within team-oriented settings
- Demonstrated ongoing commitment to professional growth and development"
12453,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7+ years of experience delivering projects on time and within budget across diverse industries. Proven track record of gathering requirements, managing cross-functional teams, and implementing process improvements that drive profitability and customer satisfaction.

## PROFESSIONAL EXPERIENCE

**Business Analyst** | Fintech/Crypto Company | 9 months
- Conducted requirements gathering and analysis for cross-functional projects
- Served as liaison between IT department, design team, and stakeholders
- Wrote and maintained technical specifications

**Arbitration Team**
- Designed and built processes generating $90,000–$160,000+ in monthly profit

**Vintage**
- Ensured timely release delivery and comprehensive customer support for major clients including Oshadbank and Totis

**Sales Doubler**
- Developed landing page and promotional materials for Financial Storm 3.0 contest with 3,000,000 UAH budget, completed in two weeks

**Zhansaya Sanatorium Website** | Kazakhstan
- Generated 412 applications and calls within 22 business days
- Achieved 4% visitor-to-conversion rate
- Implemented CRM system and established client acquisition value at $0.30

## CORE COMPETENCIES

Requirements gathering and analysis | UX/UI understanding | Stakeholder communication | Pre-design studies | UX prototyping | Technical specifications and documentation | Project management | Process optimization | Multi-project management | Team organization | Decision-making and accountability | Client-focused approach | Agile methodology | Scrum and Kanban implementation

## TOOLS & PLATFORMS

JIRA | Confluence | Trello | YouTrack | Monday | Bitrix | Redmine | Balsamiq | Moqups | Draw.io | Figma

## INDUSTRY EXPERTISE

Fintech | Crypto | Health & Beauty | Gambling | E-Commerce | Tourism | Manufacturing | Consulting

## OBJECTIVE

Seeking a Business Analyst or PM/BA hybrid role focused on building innovative, user-centric products with opportunity for professional growth."
12454,"# RESUME

## EDUCATION
Bachelor of Arts (BA)

## PROFESSIONAL SUMMARY
Analytical professional with strong research and project management capabilities. Skilled in information analysis, stakeholder communication, and process improvement. Proven ability to work with large datasets and deliver actionable insights.

## CORE COMPETENCIES
- Project Management & Planning
- Market & Commercial Intelligence Research
- Data Analysis & Reporting
- Stakeholder Communication
- Risk Management
- Process Improvement
- Budget Development & Cost Estimation
- Resource Monitoring

## EMPLOYMENT HISTORY

**Project Manager | ArtHome Startup | Dnipro, Ukraine**
*June 2019 – January 2020*
- Managed project planning, monitoring, and resource allocation
- Developed and maintained detailed project plans with stage-by-stage planning
- Identified and managed project risks with contingency planning
- Conducted project evaluations and prepared follow-on recommendations
- Controlled time management, cost estimation, and budget development
- Established and maintained effective stakeholder communications
- Represented company interests to partners and design professionals
- Coordinated cooperation agreements with Ukrainian artists

**Researcher, Commercial Intelligence | Noosphere | Dnipro, Ukraine**
*April 2019 – July 2019*
- Conducted vertical research and comprehensive niche reviews
- Analyzed country-specific market features and business trends
- Performed open source intelligence research on companies and entrepreneurs
- Identified business weaknesses including organizational structure, financing, and model changes
- Prepared comprehensive company and sector analysis reviews
- Analyzed venture capital deals for trend identification

**Audit & Training Development | Bartolomeo Resort**
- Conducted facility audit and operations review
- Improved staff training effectiveness from 52% to 93%

**Market Analyst | Global Fertilizer Market**
- Communicated with market players and industry stakeholders
- Exchanged market information and prepared analytical reports"
12455,"# RESUME

**PROFESSIONAL SUMMARY**

Experienced professional with 6+ years of expertise in FinTech and Logistics domains, specializing in account and project management, client onboarding, process optimization, and process automation.

**EXPERIENCE**

**Account Project Manager**
Oct 2019 - Present
FinTech

- Define and execute client launch plans, conduct product demonstrations, and provide API documentation consulting for new platform clients
- Analyze customer needs and deliver strategic consultation during sales engagements
- Manage comprehensive client task backlogs including analysis, requirements definition, scheduling, implementation oversight, quality assurance, and delivery
- Review API documentation against client specifications and validate requests using Postman
- Translate customer feature requests into documented business and technical requirements for development teams
- Manage project workflows in Jira and document operational processes using BPMN and Confluence

**Project Manager**
Jun 2017 - Oct 2019
UVK Ukraine | Transport & Logistics

- Improved container turnover profitability by 40% on average
- Streamlined accounting operations and reduced operational losses through process automation
- Trained and reconciled accounts with approximately 40 clients
- Executed reconciliations with regional offices across 23 regions
- Developed technical specifications for developers while monitoring implementation timelines and testing phases
- Created regulatory documentation and operational work instructions
- Achieved and maintained KPI targets"
12456,"# Professional Resume

**Core Competencies**

Data analysis, evaluation, and planning • Budget planning and analysis • User story creation and backlog prioritization • Stakeholder management • Technical problem-solving • Product feature decision-making • Report generation and departmental communication • Project team oversight • Risk management • Time and scope management

**Professional Experience**

- Supported existing projects and initiated new project development
- Implemented CRM and ERP solutions for logistics company
- Enhanced sales planning initiatives
- Resolved internal operational challenges through IT solutions
- Gathered and analyzed technical requirements from business stakeholders
- Communicated project progress, challenges, and changes to team members and stakeholders
- Assigned clear tasks and monitored project delivery to ensure accountability
- Demonstrated commitment to transparent project management and ethical practices

**Additional Information**

Open to project-based opportunities with nonprofit organizations."
12457,"# BUSINESS ANALYST

**Professional Summary**

Results-driven business analyst with 10 years of experience designing and implementing solutions across diverse projects. Proven ability to translate client needs into strategic solutions with strong understanding of software development lifecycle, architecture design, and deployment processes.

**Core Competencies**

- Business Analysis & Requirements Gathering
- Solution Architecture & Design
- Software Development Lifecycle (SDLC)
- Project Management
- Client Engagement & Proposal Development
- Systems Deployment & User Training
- Process Development & Optimization
- Sales Process Management

**Professional Experience**

**Business Analyst / Project Manager** (1 year)
- Developed product concepts and architecture plans in collaboration with technical experts
- Conducted user training and system deployment activities
- Managed cross-functional project execution

**Engagement Manager – Pre-Sales**
- Prepared initial proposals and comprehensive scope analyses for client engagements
- Identified client needs and market requirements
- Delivered end-to-end engagement support

**Business Analyst** (4 years)
- Built solutions of varying size and complexity
- Leveraged QA engineering background to identify technical requirements and solutions
- Rapidly assessed client needs and market positioning to recommend optimal solutions

**Entrepreneur**
- Developed business processes from conception
- Gained deep understanding of sales operations and business development"
12458,"# Product Manager

**Core Responsibilities**

- Gathered requirements from stakeholders and translated them into actionable product initiatives
- Wrote and prioritized user stories and use cases to guide development roadmap
- Created comprehensive roadmap and user flows for SaaS platform, establishing permission structure from inception
- Collaborated closely with design team to refine and improve user experience
- Managed Product and Sprint Backlogs to ensure efficient workflow and delivery
- Facilitated daily standups, backlog grooming, and retrospective meetings
- Decomposed user stories into granular tasks and prioritized backlog items based on business impact
- Defined specifications for data delivery from data science department to backend team
- Maintained and supported product documentation"
12459,"# Alex
**Project Manager** | Marrix Power

## Professional Summary
Results-driven Project Manager with demonstrated expertise in managing 16 distinct projects through complete development lifecycles, from concept to execution. Proven ability to lead cross-functional teams of 3-5 members and maintain strong client relationships. Skilled in requirements elicitation and documentation, feasibility analysis, and project planning with a track record of successful lifecycle management.

## Core Competencies
- Project Management & Planning
- Requirements Elicitation & Documentation
- Client Relationship Management
- Team Leadership & Coordination
- Feasibility Analysis
- Project Development Lifecycle Management

## Professional Experience

**Project Manager** | Marrix Power
- Managed 16 distinct projects through complete development lifecycles from concept to execution with cross-functional teams of 3-5 members
- Maintained continuous client communication throughout all project phases
- Elicited and documented comprehensive requirements for assigned projects
- Oversaw project development lifecycle including concept, design planning, and development execution"
12460,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Results-driven professional with 4 years of experience in Sales Management, Product Management, and Business Analysis. Proven expertise in driving client engagement, leading high-performing teams, delivering impactful product solutions, identifying market opportunities, streamlining business processes, and translating complex requirements into actionable strategies.

## CORE COMPETENCIES
- Client Management & Engagement
- Team Leadership & Stakeholder Management
- Requirements Elicitation & Definition
- User Story & Use Case Development
- Interactive Prototyping & Wireframing (MockingBot, Figma)
- Business Process Modeling (BPMN, draw.io, Camunda)
- Technical Documentation Development & Validation
- Sales & Upselling

## PROFESSIONAL EXPERIENCE

**Sales Manager | Product Manager | Business Analyst**
*4 years of experience*

- Led cross-functional teams and managed key client relationships to drive engagement, retention, and business growth
- Conducted requirements elicitation and definition to align business objectives with product development initiatives
- Created interactive prototypes and wireframes using MockingBot and Figma to visualize and validate product concepts
- Designed and optimized business processes using BPMN, draw.io, and Camunda to improve operational efficiency and reduce costs
- Developed comprehensive user stories and use cases to guide development efforts and ensure alignment with stakeholder needs
- Produced and validated technical documentation to ensure accuracy, clarity, and stakeholder comprehension
- Drove upselling initiatives and identified expansion opportunities to maximize revenue and enhance client value"
12461,"**Project Manager & Business Analyst**

Delivered end-to-end projects by gathering requirements, managing stakeholder expectations, and ensuring customer satisfaction within agreed timelines and budget constraints.

**Key Responsibilities:**

• Elicited and documented business and functional requirements through user stories, flow diagrams, block diagrams in Visio, and wireframes; developed and presented prototypes to stakeholders and cross-functional teams

• Collaborated with Developers, Engineers, and QA to define solution architecture, establish estimation parameters, and define acceptance criteria

• Managed client requirements including new requests and change requests in Confluence while securing client approvals on scope and estimations

• Prioritized and planned sprint scope in Jira; facilitated sprint planning and retrospective meetings to ensure timely task completion aligned with priorities

• Monitored and communicated project progress to stakeholders

• Developed use cases and test scenarios; analyzed QA test results; validated custom solutions prior to deployment

• Presented solutions to clients and facilitated User Acceptance Testing to confirm customer satisfaction and obtain sign-off"
12462,"# PROFESSIONAL EXPERIENCE

**System Analyst**

**Key Achievements:**
- Identified and implemented technical solutions that reduced estimated project time by up to 90%
- Provided constructive feedback to senior management on technical solutions, resulting in successful outcomes
- Streamlined technical documentation processes, eliminating unnecessary manual bureaucratic work

**Core Responsibilities:**
- Authored comprehensive technical documentation including Business Requirements Documents (BRD), Software Requirements Specifications (SRS), API Specifications, and User Guides
- Designed and optimized database structures
- Estimated backlog requests and prioritized work items based on business needs
- Conducted demonstration meetings for completed work to stakeholders
- Facilitated retrospective meetings with development teams to drive continuous improvement
- Performed API testing, manual testing, and automated testing to ensure quality assurance
- Developed smoke test scope, regression test cases, and comprehensive test scenarios
- Wrote release notes and delivery protocols for production deployments
- Assumed team lead responsibilities during primary team lead absences

**Technical Environment:**
- Application platform serving as template for app creation, server management, and front-end libraries
- API integration across systems to maximize feature utilization"
12463,"# Resume

**LPNU**
- Completed 3 course-based projects in business analysis and software development
- Demonstrated proficiency in problem definition, analysis, and solution design through prototyping, personas, and technical specification using use case diagrams
- Conducted current state (AS-IS) and future state (TO-BE) process analysis for organizational improvement
- Applied requirement elicitation techniques in project deliverables
- Developed machine learning solutions

**Novomind, Germany**
*Java Developer Intern (3 months)*
- Designed and developed software solutions for client projects using Java
- Collaborated effectively within Agile team environments
- Communicated professionally in English with team members and stakeholders"
12464,"# PROFESSIONAL EXPERIENCE

**Product Manager / Business Analyst** (1 year)
- Managed lifecycle processes of multiple projects
- Gathered and analyzed requirements through documentation, interviews, workflow analysis, business model evaluation, and requirements review sessions
- Coordinated development processes according to Scrum methodology, serving as Scrum Master
- Tracked progress, monitored risks, and managed changes using backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Transformed stakeholder requirements into user stories, use cases, visual models, functional and system requirement specifications
- Facilitated communication between multiple stakeholders
- Developed technical standards for development processes
- Participated in creation of software, business model, and procedures for a new delivery service from inception

**Business Owner** (5 years)
- Established and operated e-commerce business selling products in the US market with manufacturing in China
- Executed day-to-day operations including customer support, procurement, promotions, and logistics
- Negotiated terms with suppliers and contractors
- Adapted business strategies to changing market conditions

**Efficiency Manager** (1.5 years)
- Re-engineered business processes using scope analysis, business rules, existing practices, and alternative approaches
- Designed new functionality for internal ERP system
- Designed and implemented routing system for Sales Department
- Wrote technical tasks for development team
- Trained employees during change integration and process implementation"
12465,"# RESUME

**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Project Manager with 6+ years of commercial experience across diverse domains. Demonstrated expertise in IT outsourcing, enterprise systems, and cross-functional project delivery. Proactive professional with strong technical acumen, exceptional communication and organizational capabilities, and a proven track record of achieving company objectives.

**CORE COMPETENCIES**

- Project Management (2 years)
- IT Outsourcing (2+ years)
- ERP/CRM Systems (5 years)
- Retail Operations (6 years)
- Healthcare Industry Knowledge (2 years)
- Sales and Marketing (2 years)"
12466,"**SKILLS**
- Strong analytical skills with ability to analyze complex problems
- Project management
- Statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Ability to work independently and in teams while managing multiple engagements
- Negotiation and conflict resolution
- Learning and teaching
- Advanced proficiency in Excel and PowerPoint
- Languages: Ukrainian (native), English (fluent), Russian (fluent), German (basic)

**EXPERIENCE**

- Developed Terms of References and technical requirements for e-procurement systems in accordance with Open Contracting Data Standard
- Developed and implemented data processing systems
- Conducted research and analytics with creation of analytical reports, including reporting and trend analysis of public procurement procedures for government institutions
- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitored e-procurement system ProZorro including compliance, reporting, research, investigations, and risk indicators
- Performed functional and effectiveness analysis and identified, analyzed, and interpreted trends and patterns in data
- Described and optimized business processes through analysis of best practices and international experience of central purchasing bodies
- Developed strategic proposals for central purchasing bodies in Ukraine
- Verified and compiled data; searched, gathered, and processed catalogues and information
- Developed specifications for construction and equipment
- Communicated with BI users, procurers, suppliers, controllers, and other stakeholders
- Participated as speaker, BI expert, and participant at public events, conferences, and lectures"
12467,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with proven expertise in requirements analysis, backlog management, and Agile methodologies. Background in marketing analysis and coordination within the FMCG sector. Strong client-oriented approach combined with business acumen. Experienced in both pre-sales and delivery capacities, seeking opportunities with dynamic organizations offering interesting projects in fast-paced, rapidly-changing environments.

# CORE COMPETENCIES

**Business Analysis & Project Management**
- Requirements Analysis (SRS, Use Cases, UML)
- Backlog Management (User Stories, Acceptance Criteria)
- UX Design
- Agile Methodologies and Scrum
- Agile Certified Professional (IC Agile)

**Technical Skills**
- MySQL (Basic)
- HTML (Basic)
- CSS (Basic)

# PROFESSIONAL EXPERIENCE

**Business Analyst & Project Manager**
- Managed pre-sales processes and conducted opportunity assessments
- Executed project delivery and managed multiple concurrent initiatives
- Combined strategic business analysis with tactical project oversight in hybrid BA/PM role

**Marketing Analyst – FMCG**
- Performed market and consumer analysis

**Marketing Coordinator – FMCG**
- Coordinated and executed marketing initiatives and campaigns"
12468,"**Business Analyst and Project Manager**

Results-driven Business Analyst and Project Manager with three years of progressive experience in the Healthcare domain. Proven expertise in leveraging BI tools to drive project success while demonstrating the ability to quickly master technical details and deliver measurable results across all project execution stages.

**Core Competencies:**
• Business Analysis
• Project Management
• Healthcare Industry Knowledge
• BI Tools
• Technical Problem-Solving
• Team Leadership
• Team Collaboration and Support
• Conflict Resolution
• Soft Skills Training

**Professional Strengths:**
Experienced professional with demonstrated expertise in building positive, energized team environments and managing conflicts effectively. Brings proven ability to apply technical and interpersonal expertise to support teams throughout all project stages while consistently delivering measurable results."
12469,"# Professional Experience

**Translation & Localization Specialist** | Healthcare & Pharmaceutical Sector

Translated and proofread reports, presentations, and websites from and into English for leading industry clients including Novo Nordisk, Bayer, Parexel, and EURORDIS. Ensured accuracy and cultural relevance of content across multiple formats and deliverables.

**English Language Instructor**

Delivered English language instruction to students utilizing the Zoom platform, online resources, and Google tools. Developed individualized educational plans and conducted comprehensive assessments and evaluations to support student learning objectives."
12470,"# Product Manager

**Career Objective**

Seeking a growth-focused organization where I can drive measurable impact on complex multi-platform initiatives while leveraging expertise in product strategy, user research, and cross-functional leadership.

**Core Competencies**

Product Strategy | User Research | Product Validation | Design Team Leadership | Multi-Platform Product Development | Cross-Functional Leadership | Business Analysis

**Professional Experience**

Validated product concepts through user research and strategic analysis with founders across multiple startups and established products. Directed product strategy development, led design team operations, and drove cross-functional initiatives to support business objectives."
12471,"# Business Analyst / Project Manager

**Professional Summary**

Experienced Business Analyst and IT Project Manager with 7+ years of experience across diverse industries including education, tourism, e-commerce, fintech, medical services, and entertainment. Skilled in strategic planning, project management, customer service, user experience design, and stakeholder communication. Proven track record of leading cross-functional teams up to 15 members and delivering results in fast-paced environments, both in-house and remotely.

**Core Competencies**

Project Management | Business Analysis | Team Leadership | Strategic Planning | Customer Service | User Experience | User Interface | SEO | Event Management | Public Speaking | Agile | SCRUM | Kanban | Stakeholder Management | Process Development | Budget Management | Quality Assurance

**Technical Proficiencies**

Jira | Confluence | Asana | CRM | ERP | BPMN | Google Analytics | Hotjar | Power BI | Adobe Creative Suite (Photoshop, Illustrator, InDesign) | WordPress | Drupal | HTML | CSS | Email Marketing

**Professional Experience**

- Led cross-functional teams up to 15 members across multiple concurrent projects
- Oversaw creation of 9 new internet projects and optimization of 22+ existing projects
- Developed and implemented client-specific processes and project pipelines
- Optimized project workflows to minimize overtime and maintain team productivity
- Negotiated complex client agreements regarding budgets and deadlines
- Established collaborative and productive working environments
- Managed B2C and B2B client relationships for market introduction in Ukraine and international markets (Arab countries, China, UK, USA)
- Coordinated cross-functional teams including developers, designers, copywriters, and marketing specialists
- Conducted user story development, usability testing, and quality assurance
- Collaborated with organizations ranging from 5-person startups to 8000+ employee enterprises

**Work Arrangements**

Available for full-time or part-time positions. Experienced working in office and remote settings."
12472,"# Professional Resume

**PROFESSIONAL SUMMARY**

Founder and Manager of web studio with 9 years of experience in project management and business analysis. Proven track record leading cross-functional teams of 5 to 20 employees and delivering diverse web-based solutions including online stores, B2B applications, billing systems, and cryptocurrency exchanges. Skilled in combining technical knowledge with strategic business oversight to drive successful project delivery and client satisfaction.

**CORE COMPETENCIES**

Project Management | Business Analysis | Product Management | Agile/Scrum | User Stories | Product Roadmap | Project Scoping | Analytics | Jira | Trello | B2B Applications | UX/UI | Mockups | Manual Testing | HTML | PHP | MySQL | Marketing | Sales Management | Web Development

**PROFESSIONAL EXPERIENCE**

**Web Studio Founder & Manager** | 9 years
- Founded and managed web studio from inception, scaling operations to lead cross-functional teams of 5 to 20 employees
- Managed all phases of project lifecycle across diverse client engagements, ensuring timely delivery and client satisfaction
- Delivered web-based solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges
- Directed project management and business analysis for all engagements, overseeing scope, timeline, and resource allocation
- Oversaw sales management and web development initiatives while maintaining strategic business oversight

**CORE SKILLS**

Project Management | Business Analysis | Product Management | Team Leadership | Client Engagement | Web Development | Sales Management

**OBJECTIVE**

Seeking Business Analyst or Project Manager position with a large IT company."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 6+ years of experience delivering 50+ successful projects. Proven expertise in leading cross-functional teams of 2-7 members and managing budgets up to $250,000. Skilled in agile methodologies and process optimization with a strong track record of driving measurable business value through analytical thinking and strategic problem-solving. Former Product Owner in IT-startup environment.

## CORE COMPETENCIES

**Project Management & Methodologies**
Scrum | Kanban | Waterfall | Lean | BPMN

**Tools & Technology**
Jira | Asana | Trello | MS Visio | Google Docs | Excel | SQL (basic) | Java (basic)

**Communication & Collaboration**
Zoom | MS Teams | Google Meet

**Leadership & Soft Skills**
Leadership | Team Management | People Management | Project Management | Goal-Oriented | Proactive | Analytical Thinking | Business Systematization | Creative Problem-Solving

## LANGUAGE PROFICIENCY

English: B1 (Upper-Intermediate)

## PROFESSIONAL OBJECTIVE

Seeking a challenging opportunity to leverage extensive project management expertise and analytical capabilities to drive business success and deliver measurable results within an organization aligned with professional values."
12474,"# RESUME

## September 2019 - February 2020 | Business Analyst
QArtrock

**Corporate Website Project**
Official website for Turkish international trading company
• Project definition and requirements elicitation
• Concept creation and system modeling
• Requirements analysis and documentation

**Store Website Project**
E-commerce website for electronics retailer
• Project definition and requirements elicitation
• Concept creation and system modeling
• Requirements analysis and documentation

---

## November 2019 - February 2020 | Instructor, Software Testing Courses
Quality Assurance Group

Instructed coursework covering:
• Quality Assurance fundamentals
• Business Analysis fundamentals

---

## May 2019 - August 2019 | QA Trainee
Quality Assurance Group

**Pharmacy Management System Project**
Web application for online pharmacy management
• Requirements analysis, test design, and test case creation and execution
• Bug report documentation

**Online Education Platform Project**
Educational course selection program based on user surveys
• Performance testing using JMeter
• Database testing in MySQL
• API testing in Postman

**Construction Online Store Project**
E-commerce platform for construction materials
• Requirements analysis and test planning
• Test design, test case creation and execution
• Bug report and test summary report documentation

---

## October 2011 - April 2019 | Scientific Consultant

Diagnostic, improvement, and analytical support for scientific project development and implementation
• Implementation of innovative technologies in educational systems
• Psychological support for innovative activity"
12475,"# Professional Summary

Results-driven professional with over 3 years of experience managing turnkey projects in jewelry direction, eco-friendly paper packaging production, and the beauty industry. Proven expertise in team building (5-7 people), remote team organization, client communication, and project implementation with post-delivery support. Skilled at decomposing complex tasks into clear project structures and adapting project management approaches to meet business needs.

## Experience

**Business Analyst, IWIS LLC** | October 2020 – January 2021
Project analysis and business requirements documentation

**Project Manager, LLC «Politara»** | March 2019 - December 2019
Project planning, execution, and stakeholder management

**Lead Analyst, ITek** | 2016-2018
System analysis and technical leadership

**Implementation Specialist & System Administrator, LLC «Sky»** | 2013-2015
Accounting systems, production, and trading processes implementation; system administration

**EDMS Analyst, SC «Zovnishtorhvydav»** | 2012-2013
Electronic document management systems analysis and support

**System Administrator, PrJSC «UkrSRINDT»** | 2011-2012
IT infrastructure and systems administration

**System Administrator, LLC «PIPING INTEGRATION COMPANY»** | 2010-2011
IT systems support and administration

## Professional Skills

- ERP implementation
- Project management approach optimization aligned with business needs
- Technical documentation, requirements gathering, user acceptance testing, and reporting
- Conflict management
- Technical specification writing, task delegation, and user manual development
- 1C system configuration (7.7, 8.2, 8.3): UPP, UTP, UNF, retail, and production modules
- User training and technical support
- MS Server 2008/2012 and Unix systems administration
- MS SQL database administration
- VM Ware and VirtualBox virtual systems administration
- Team building and remote team organization
- Client communication and project implementation

## Education

**Specialist in Theoretical and Applied Mechanics**
Taras Shevchenko National University of Kyiv | 2006-2011

**Master of Common Law**
Institute of Postgraduate Education | 2014-2017

## Certifications

**MindsetPM**
- Big IT Project Management Program | July 2019 | Certificate #PM-EDU-20190728-03
- Manipulations Practice and Defence | August 2019 | Certificate #PM-EDU-20190804-07"
12476,"# PROFESSIONAL SUMMARY

Results-driven professional with eight years of experience in the ICT sector, specializing in business analysis, project management, and business intelligence. Proven expertise in data-driven decision-making, team leadership, and stakeholder management. Skilled in Python, SQL, and machine learning with ongoing development in R, deep learning, and NLP. Seeking remote opportunities to leverage data science expertise in healthcare, energy, manufacturing, marketing, fintech, or retail sectors.

# PROFESSIONAL EXPERIENCE

**Business Intelligence Manager** | Helind Company
- Improved organizational decision-making through data analysis and visualization for renewable energy and electronic device manufacturing company
- Leveraged business intelligence expertise to drive data-driven strategies across key business functions

**Project Manager** | Business Insights International Research Group
- Led cross-functional teams in evaluating individual and branch KPIs for insurance company operations
- Defined and managed stakeholder needs and requirements through collaborative engagement
- Oversaw data collection, data entry, and data preprocessing operations
- Extracted, analyzed, and reported actionable insights to insurance company stakeholders

**Business Analyst** | Sumaks Technologies
- Analyzed business needs and identified improvement opportunities in hardware development startup environment

# TECHNICAL SKILLS

- Python, SQL, R (in progress)
- Machine learning models and preprocessing methods
- Deep learning algorithms (in progress)
- Natural Language Processing (in progress)
- Data analysis and visualization
- Data science project management"
