,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
12493,"# PROFESSIONAL SUMMARY

Results-driven business professional with expertise in business model development, process analytics, and comprehensive documentation. Proven capabilities in people management, business development, marketing, and content management, supported by strong analytical thinking and communication skills.

---

# CORE COMPETENCIES

- Business Model Development
- Business Process Analytics
- Business Development & Marketing
- People Management & Education
- Content Management

---

# TECHNICAL SKILLS

**Methodologies:** SDLC (Agile/Scrum/Kanban)

**Process Modelling:** BPMN, UML

**Documentation:** SRS, Functional Requirements, Business Requirements, System Requirement Specifications

**Tools:** Jira, Confluence

---

# KEY STRENGTHS

- Problem-Solving & Analytical Thinking
- Strong Communication Skills"
12494,"# Professional Summary

IT professional with nearly three years of experience integrating technical support expertise with business analysis capabilities. Skilled at building departments from the ground up, establishing scalable processes, and driving cross-functional collaboration. Strong analytical and communication abilities with a commitment to continuous improvement.

# Experience Highlights

- Developed foundational infrastructure for a new department, creating documentation frameworks and establishing interdepartmental communication channels
- Delivered technical support to a global customer base, resolving issues across diverse environments
- Analyzed processes to identify inefficiencies and recommend targeted improvements

# Skills & Knowledge

**Business Analysis**
- SDLC methodologies
- Requirements management
- User stories and use cases
- Roadmaps and Vision & Scope documentation
- Risk management

**Technical Competencies**
- BPMN notation
- UML diagrams

**Core Strengths**
- Clear written and verbal communication
- Analytical problem-solving
- Process development and documentation
- Cross-departmental collaboration

# Professional Development

Business Analysis Courses — Completed"
12495,"# PROFESSIONAL RESUME

## DOMAINS

Pharmacy & Healthcare | E-Commerce | Marketing Automation | FMCG | Photography & Video Production | Social Networking | Sports Management

---

## PROFESSIONAL EXPERIENCE

### Business Analyst / Project Manager

**Electronic Prescriptions Mobile Application & Medical Information System Web Service**

- Led end-to-end requirements elicitation utilizing interviews, document analysis, workshops, surveys, site visits, business process modeling, use cases, scenarios, and workflow analysis
- Orchestrated cross-functional collaboration with clients, system integrators, government stakeholders, healthcare providers, and patients to achieve strategic alignment of project objectives
- Executed comprehensive market research, competitor analysis, and audience profiling to establish competitive positioning and inform decisions on cost, volume, and timeline
- Created user portraits, user flows, and system architecture concepts guiding product development
- Translated complex eHealth IT technical documentation into clear, actionable requirements for design and development teams
- Built interactive prototypes for mobile and web platforms, validating concepts and accelerating development cycles
- Established detailed work breakdown structures, risk assessments, and project schedules, achieving consistent on-time delivery
- Oversaw contract drafting and invoice processing throughout the project lifecycle

**B2B Marketing Automation Website (beeway.com.ua) & Photo/Video Production Website (recartframe.com)**

- Synthesized requirements through direct client engagement and targeted market research
- Performed competitor benchmarking and audience analysis, identifying and articulating key competitive advantages
- Designed user portraits, system concepts, and cohesive brand strategies
- Authored WordPress implementation specifications and developed mobile/web prototypes
- Directed contracts, invoicing, project scheduling, and risk mitigation planning

---

### Junior Business Analyst / Sales Manager

**Medical Messenger Mobile/Web Application**

- Executed market research, competitor analysis, audience segmentation, and hypothesis validation to shape product strategy
- Built and maintained comprehensive databases of healthcare providers and patients
- Negotiated with customers on product offerings and new module development opportunities
- Developed demand generation strategies for new service offerings
- Created sales scripts, product roadmaps, and promotional video content
- Delivered webinars and presentations at outpatient clinics, clinical departments, and MedExpo 2020 (All-Ukrainian Specialized Medical Exhibition)
- Partnered cross-functionally with design, development, QA, marketing, and support teams"
12496,"**PROFESSIONAL SUMMARY**

Detail-oriented Business Analyst with expertise in project management and technical writing. Proven ability to bridge communication gaps between stakeholders through comprehensive documentation. Experienced in both product and outsource company environments across financial, healthcare, travel, services, and video streaming domains.

**CORE COMPETENCIES**

Requirements Elicitation & Documentation | Pre-Sale Activities & Research | Project Planning & Prioritization | Technical Writing | Stakeholder Communication | Training & Presentations

**PROFESSIONAL EXPERIENCE**

**Business Analyst**

- Led end-to-end project activities from inception through completion, including pre-sale research, requirements elicitation, planning, prioritization, and supervision across financial, healthcare, travel, services, and video streaming domains
- Gathered and documented requirements in Software Requirements Specifications (SRS), acceptance test plans, product descriptions, and vision and scope documents
- Created tailored documentation for diverse audiences, including end-users, customers, and developers
- Delivered training sessions, presentations, and product demonstrations to stakeholders
- Bridged communication gaps between technical teams and business stakeholders through clear, comprehensive documentation
- Contributed to both product and outsource company environments, adapting approaches to meet varied organizational needs"
12497,"# PROJECT MANAGER | BUSINESS ANALYST

Seeking an engaging opportunity with a product company to leverage comprehensive skills in delivering exceptional, user-focused software solutions.

---

## PROFESSIONAL EXPERIENCE

### Project Manager
**US Product Company, Lead Generation**

- Create and maintain product roadmaps aligned with business objectives, ensuring strategic direction across all initiatives
- Drive backlog prioritization and stakeholder communication across multiple concurrent projects
- Plan and coordinate business analysis, development, and QA phases at strategic and tactical levels
- Facilitate Agile ceremonies including daily stand-ups, grooming sessions, demos, and retrospectives
- Design and implement development processes to optimize team performance and delivery outcomes
- Oversee estimations, release management, risk mitigation, and change request handling
- Lead cross-functional teams of developers, business analysts, and QA engineers
- Conduct performance reviews and spearhead newcomer onboarding initiatives
- Review business analysis documentation and lead BA candidate interviews to strengthen team capability
- Maintain hands-on business analysis expertise: requirements elicitation, analysis, documentation, and gap analysis

### Business Analyst
**Online Travel Agency**

- Analyzed and validated business cases and stakeholder needs to inform product decisions
- Elicited business and technical requirements from diverse sources across the organization
- Conducted market and competitor analysis to shape product strategy
- Translated business requirements into actionable user stories and team tasks
- Designed solutions, logic flows, and wireframes informed by business needs and market trends
- Managed requirements organization, traceability, and impact analysis
- Facilitated planning sessions, grooming, estimations, and product demos
- Collaborated with UX design and technical teams; supported UAT and QA processes

### Data Analyst
**Media Agency**

- Administered databases and developed custom SQL queries and functions
- Built reports and dashboards enabling data-driven decision making
- Performed data analysis and operated specialized media software

---

## PROFESSIONAL DEVELOPMENT

**Coursera:** Software Processes and Agile Practices | Agile Planning for Software Products | Client Needs and Software Requirements | Introduction to Software Product Management | Design Thinking for Innovation

**Stanford University (Prometheus):** How to Start a Startup

**Google Analytics Academy:** Google Analytics for Beginners

**Green Forest:** Advanced English Course"
12498,"**PROFESSIONAL EXPERIENCE**

**Business Analyst**
E-commerce Product Company | Present
- Drive implementation of new functionality from concept through delivery to end customers

**Trade Marketing Manager**
Distribution Company
- Managed performance of 3 trademarks across Ukraine
- Oversaw minor retail channels and Ukrainian TOP chains

**Project Manager**
IT Outsource Company | 1 Year
- Led team of 5 developers, managing up to 5 projects simultaneously
- Directed projects across CRM, e-commerce, and mobile application domains

**Commercial System Analyst**
1 Year
- Promoted from Application Administrator position
- Supported field force systems across 3 markets, serving 500+ users
- Recipient, Recognition of Excellence Award

**Application Administrator for Retail Partners**
1 Year

---

**EDUCATION**

Master's Degree in Management of International Business and English Translation

---

**PROFESSIONAL DEVELOPMENT**

- Product Management Internship | Tonti Laguna Mobile
- IT Business Fundamentals Program | Genesis IT School (3 months)
- Business Analysis Fundamentals | Web Academy
- Project Management Basics | Web Academy
- Marketing for Mobile Apps | Wikr Group
- Basic Web UI Development | Lviv IT School
- Basic Web Design | Projector Design School

---

**OBJECTIVE**

To develop exceptional products for customers within reasonable budget and timeline constraints, ideally within a digital, product, or web agency environment."
12499,"# PROFESSIONAL SUMMARY

IT Project Manager and Business Analyst with over 6 years of experience delivering successful outcomes for organizations and clients. Skilled at combining analytical thinking with strategic planning and leadership to cultivate strong business partner relationships. Partners directly with clients to identify challenges, assess needs, and deliver effective technical solutions. Facilitates clear, effective communication across cross-functional teams. Researches and analyzes business processes and procedures to design and implement impactful business solutions.

# CORE COMPETENCIES

- IT Project Management
- Business Analysis
- Strategic Planning
- Stakeholder Relationship Management
- Cross-Functional Team Leadership
- Business Process Analysis
- Technical Solution Development
- Client Needs Assessment"
12500,"# PROFESSIONAL RESUME

## CREDENTIALS
- Attorney License
- Certificate in Project Management and Business Analysis, IT-Cluster Academy

## PROFESSIONAL SUMMARY
Detail-oriented Project Manager and Business Analyst with six years of experience in the construction industry. Skilled at managing complex information workflows, ensuring regulatory compliance, and delivering projects within established deadlines.

## CORE COMPETENCIES
- Construction Industry Operations & Regulatory Compliance
- Data Analysis & Decision Support
- Project Lifecycle Management
- Deadline & Priority Management
- Risk Identification & Mitigation
- Cross-Functional Stakeholder Collaboration

## PROFESSIONAL EXPERIENCE

**Registrar | Construction Industry | 6 Years**

- Managed high-volume information workflows across multiple concurrent projects while maintaining rigorous accuracy standards
- Delivered consistent on-time results through deadline enforcement and strategic prioritization of competing demands
- Leveraged regulatory and legal expertise to facilitate smooth construction processes and maintain full compliance
- Partnered with cross-functional stakeholders to advance project objectives and resolve operational challenges

## CAREER OBJECTIVE

Seeking opportunities to expand expertise and contribute to innovative projects in project management and business analysis."
12501,"# HEAD OF DEPARTMENT

**KB ""Yuzhnoe""** | Dnipro
1995 – Present

## Professional Summary

Strategic aerospace executive with nearly 30 years of progressive leadership at a premier organization responsible for the successful launch of dozens of satellites into Earth orbit. Demonstrated expertise in departmental operations, project economics, quality management systems, and cross-functional team leadership.

## Core Competencies

Project Economics & Assessment | Business Strategy & Planning | Financial Analysis (NPV/IRR Methodologies) | Project Auditing | Quality Assurance Management (ISO 9001) | Certification & Compliance Standards | Marketing Research & Analysis | Human Resources Management

## Professional Experience

**Head of Department**
KB ""Yuzhnoe"" | Dnipro | 1995 – Present

- Direct departmental operations supporting satellite launch programs with consistent mission success, contributing to dozens of successful orbital deployments
- Drive project assessment and financial analysis utilizing NPV and IRR methodologies to evaluate economic viability and inform strategic decision-making
- Oversee quality assurance management aligned with ISO 9001 standards, ensuring organizational excellence and regulatory compliance
- Lead certification processes and compliance initiatives across departmental functions
- Execute marketing research and analysis to identify opportunities and support strategic business planning
- Manage human resources functions encompassing personnel development, team performance, and workforce planning"
12502,"**PROFESSIONAL SUMMARY**

Experienced professional with extensive expertise in project management, risk management, and project planning. Published author of more than 15 scientific articles in peer-reviewed and professional publications covering business analysis, project management, project communication, and team management.

---

**CORE COMPETENCIES**

Project Management | Risk Management | Project Planning | Project Communication | Business Analysis | Product Ownership | Team Management | Leadership

---

**PROFESSIONAL EXPERIENCE**

**Business Analyst & Product Owner**
Start-up Organizations

- Drove project success through strategic business analysis and product ownership across e-commerce, healthcare, and finance sectors
- Aligned stakeholders and delivered results through effective communication and cross-functional team management

---

**PUBLICATIONS**

Author of more than 15 peer-reviewed and professional articles:
- Business Analysis
- Project Management
- Project Communication
- Team Management

---

**CAREER OBJECTIVE**

Seeking opportunities to expand professional horizons through challenging projects, unique cases, and enhanced communication responsibilities."
12503,"# BUSINESS ANALYST

## Core Competencies

**Requirements Engineering**
- Elicit, document, and present business and technical requirements
- Develop Epics, User Stories, and Use Cases to support agile delivery

**Business Strategy & Modeling**
- Apply Business Model Canvas to define value propositions and revenue streams
- Conduct competitive analysis to inform strategic positioning
- Define and develop Minimum Viable Products (MVPs)

**Stakeholder Management**
- Perform stakeholder analysis, mapping, and register development to align project objectives with business needs

**Technical Documentation**
- Create UML diagrams including Sequence Diagrams and Entity Relationship Diagrams (ERD)
- Model business processes using BPMN notation

## Professional Training

**Business Analysis in IT** – Certificate Program"
12504,"# RESUME

## Career Objectives

Results-driven professional with four years of experience in auditing, data analysis, and cross-functional team leadership seeking to transition into the IT sector. Eager to leverage analytical expertise and business acumen in a collaborative environment offering engaging projects with measurable impact, professional growth opportunities, exposure to modern technologies, and competitive compensation.

---

## Professional Experience

**Auditor/Business Analyst**
Roshen | 4 Years

- Led and managed a team while fostering accountability and performance excellence
- Conducted comprehensive on-site retail audits evaluating product representation, equipment availability, and compliance with company standards
- Analyzed sales data to identify trends and developed data-informed business recommendations
- Performed competitive intelligence research and marketing analysis to drive strategic decisions
- Delivered strategic presentations to clients, established performance objectives, and facilitated cross-functional meetings
- Partnered with distributors to optimize product assortment and improve market positioning
- Managed vendor relationships to maximize value and operational efficiency
- Evaluated prospective business locations and monitored existing site performance metrics
- Identified market opportunities and successfully acquired new customers
- Developed and executed advertising initiatives to increase brand visibility"
12505,"**PROFESSIONAL EXPERIENCE**

**LIMS Specialist**
TerraLab IT, LTD | Khmelnytskyi, Ukraine
June 2014 – December 2021

- Led end-to-end LIMS implementation projects encompassing requirements gathering, scope definition, configuration, deployment, and ongoing support across multiple laboratory environments
- Designed and executed comprehensive implementation plans, system configurations, and database management strategies to optimize laboratory operations
- Integrated laboratory equipment and developed custom integration solutions connecting legacy and new systems to ensure seamless data flow
- Built custom reports and printing forms using FastReport software, delivering tailored solutions aligned with operational requirements
- Created user documentation, training programs, and instructional manuals to accelerate end-user adoption and reduce support requests
- Administered production LIMS environments, performing software configuration, database maintenance, and technical troubleshooting to maximize system uptime
- Collaborated with development teams to identify and implement software process improvements
- Translated complex client requirements into actionable technical specifications and delivered customized solutions
- Provided onsite consulting, technical guidance, and presales support throughout the full project lifecycle
- Resolved code and configuration issues across multiple managed environments while coordinating with cross-functional stakeholders"
12506,"**PROFESSIONAL SUMMARY**

Results-driven professional with 15+ years of combined experience in banking and entrepreneurship. Background includes 7+ years specializing in SME lending and credit risk analysis, complemented by 8+ years founding and scaling a trading platform to 85,000+ users. Demonstrated expertise in requirements gathering, product development, process optimization, cross-functional team leadership, and stakeholder management. Seeking a Junior Business Analyst/Project Manager Assistant role to leverage deep banking knowledge and entrepreneurial acumen in support of banking products and process automation initiatives.

---

**PROFESSIONAL EXPERIENCE**

**Owner & Maintainer | Trading Platform (Social Networks & Messengers)**
*2015 – Present*

- Founded and grew trading platform from concept to 85,000+ active users
- Defined product vision, monetization strategy, and business growth roadmap
- Authored requirements specifications and managed end-to-end feature delivery
- Implemented risk diversification strategies ensuring long-term platform sustainability

**Head of Corporate Business Credit Operations Administration Department | Banking Sector**
*2007–2013 (Final Position)*

- Spearheaded organization-wide centralization of credit administration functionality
- Aligned cross-departmental stakeholders to drive seamless process implementation
- Gathered, documented, and translated business requirements into actionable process improvements
- Designed operational workflows, logistics frameworks, budgets, and responsibility matrices

**Head of SME Credit Risks Analysis Department | Banking Sector**

- Directed department operations and led team of 6 direct reports
- Analyzed financial statements and documentation for legal entities and entrepreneurs with annual turnover up to 30 million UAH
- Delivered lending recommendations—including restructuring and modifications—while minimizing institutional risk exposure
- Presented credit cases to Head Office Credit Committee for final approval
- Enhanced products, processes, and methodologies across retail and SME credit operations

**Credit Expert, Small and Medium Business Services Department | Banking Sector**

- Cultivated client relationships and delivered comprehensive loan consultancy services
- Assessed deal documentation and borrower financials using IPC methodology
- Contributed to credit committee evaluations and decision-making processes
- Prepared and finalized deal documents and agreements"
12507,"**PROFESSIONAL SUMMARY**

Recent IT graduate with a solid foundation in technology resource management and optimization. Committed to staying current with emerging technological advances. Prepared to contribute innovative solutions and support seamless IT strategy integration.

---

**EDUCATION**

Bachelor of Science in Information Technology

---

**CORE COMPETENCIES**

Technology Resource Management | IT Strategy Integration | Problem Solving | Adaptability | Innovative Thinking

---

**CAREER OBJECTIVE**

Seeking to apply technical knowledge and contribute to an organization's IT management initiatives, supporting the optimization of technology resources and strategic integration."
12508,"**Professional Summary**

Business analysis and project management professional with expertise in driving complex projects from conception to production. Adept at coordinating diverse teams and stakeholders while cultivating strong working relationships built on trust and collaboration. Delivers clear, effective communication with internal teams, external parties, and suppliers to ensure projects are completed on time, within budget, and within scope.

**Core Competencies**

Business Analysis & Project Management | Stakeholder Coordination & Relationship Building | Requirements Definition & Translation | Cross-Functional Team Leadership | Budget & Timeline Management | Clinical Outcome Assessment Development | Full Project Lifecycle Management

**Professional Experience**

**Business Analyst / Project Manager**

- Partner with business stakeholders to develop solutions that address organizational needs, establishing shared understanding of objectives and driving alignment across teams
- Collect, define, and translate business objectives into detailed requirements and actionable tasks to guide development efforts
- Lead functionality development through the full project lifecycle, from conception to production
- Manage clinical outcome assessment development for clinical trials, overseeing multiple concurrent projects with distinct objectives, stakeholders, timelines, and budgets
- Ensure all deliverables meet defined scope and specifications while maintaining high standards of quality throughout project execution"
12509,"# PROFESSIONAL RESUME

## OBJECTIVE
CRM System Administrator and Business Analyst seeking to leverage expertise in system implementation, quality assurance, and international market expansion within a collaborative, forward-thinking team environment.

## SKILLS
- CRM System Administration
- Business Analysis
- Manual Testing & Quality Assurance
- SQL
- JSON Log Analysis
- Postman
- Microsoft Excel
- MS Visio

## WORK EXPERIENCE

**CRM System Administrator / Business Analyst**

**System Administration & Operations**
- Administered enterprise CRM system overseeing business processes, transactions, and transactional mailings
- Configured loyalty program rules and system parameters aligned with business objectives
- Maintained database integrity through systematic management of discounts, bonuses, coupons, and customer data
- Monitored product receipts and executed check revisions ensuring data accuracy

**Quality Assurance & Technical Support**
- Identified, tracked, and reported system bugs to contractors, driving timely resolution
- Developed test cases and executed manual testing protocols ensuring system reliability
- Analyzed JSON logs to diagnose system issues and identify root causes
- Authored technical specifications for system enhancements and new functionality

**International Implementation**
- Led end-to-end CRM implementation for foreign market expansion, from requirements gathering through deployment
- Configured business processes and loyalty program rules tailored to international market requirements
- Executed comprehensive system testing ensuring successful international deployment

**Business Analysis & Documentation**
- Developed business analysis documentation throughout full project lifecycle
- Designed feature prototypes in MS Visio to communicate concepts to stakeholders
- Produced weekly and monthly analytical reports in Excel driving stakeholder decision-making
- Created and delivered staff training programs maximizing system adoption"
12510,"# Professional Resume

## Summary

Business Analyst and Project Manager with over 5 years of experience delivering projects across banking, healthcare, and mobile application domains. Proven expertise in Agile methodologies, requirements analysis, stakeholder collaboration, and end-to-end project delivery.

---

## Professional Experience

**Business Analyst / Project Manager**
ValueTek

- Led Banking and Mobile Application projects, driving comprehensive requirements gathering and cross-functional team coordination

**Project Manager / Business Analyst**
Viseven

- Managed Event-Driven Architecture initiatives, strategically aligning technical solutions with business objectives

**Business Analyst, Implementation**
ISD

- Delivered Healthcare product implementation, ensuring successful client onboarding and seamless system integration

**IT Analyst**
PrivatBank

- Supported Web Development projects, translating business needs into technical specifications

---

## Skills

**Methodologies:** Scrum, Kanban

**Documentation & Modeling:** UML, Draw.io, Miro

**Design Tools:** Figma, Photoshop

**Project Management:** Jira, Confluence, Hibob

**Technical:** SQL"
12511,"# PROFESSIONAL EXPERIENCE

## Business Analyst | OVR360
**May 2020 – Present**

- Lead requirements gathering and documentation for cross-functional applications across real estate technology, healthcare fintech, and luxury retail verticals
- Translate complex stakeholder needs into comprehensive technical specifications, enabling seamless collaboration between business units and development teams
- Deliver end-to-end business analysis for diverse platforms including photography scheduling, digital wallet solutions, and bespoke customization software

## Business Analyst | JV ""OptimaPharm LTD""
**December 2019 – May 2020**

- Drove end-to-end requirements analysis and technical specification development for enterprise high-risk workplace training platform with DA Directum integration
- Spearheaded requirements gathering and product management for 1C warehouse management system implementation, bridging 1C and DA Directum platforms
- Defined data management requirements for weekend driver standby system connecting logistics application and DA Directum ecosystem
- Established quality assurance frameworks encompassing test case design, execution, process validation, and comprehensive user documentation

## Freelance Business Analyst
**March 2018 – December 2019**

**CIT Global Consulting** *(September – December 2019)*
- Engineered requirements for Polycard multi-platform integration connecting loyalty, point-of-sale, and automation systems
- Designed and executed comprehensive test cases for product management and data integration workflows

**SmartVillage** *(August – December 2019)*
- Authored technical specifications for IoT-enabled smart home management platform with integrated data solutions
- Delivered end-to-end testing documentation and process validation

**Expert Order Management** *(March – September 2018)*
- Managed full business analysis lifecycle from requirements elicitation through technical specification development to business process testing

**E-Commerce Projects** *(June – July 2019)*
- Captured and documented requirements for consumer-facing web applications in retail and healthcare services sectors"
12512,"# PROFESSIONAL RESUME

---

## CONTACT

Local Coordinator, Kyiv Branch
15x4 Science Communication Project (15x4.org)

---

## PROFESSIONAL SUMMARY

Versatile professional with over 20 years of experience spanning information technology, film production, and international business development. Proven track record in regional leadership, market expansion across multiple countries, and creative production management. Combines deep technical expertise with entrepreneurial initiative and cross-cultural business fluency.

---

## EXPERIENCE

### Information Technology

**Regional Manager**
Infopulse Ukraine (TietoEVRY subsidiary)
*2016–2019*

- Reported directly to Executive Vice President of Business Development
- Spearheaded company expansion across Ukraine and European Union markets
- Led strategic business development initiatives at regional level

**IT Specialist**
Mindspeed Technologies UDC (now MACOM Technologies)
*2009–2014*

- Managed IT asset procurement and full lifecycle management
- Directed infrastructure projects from planning through implementation

---

### Film Production

**Producer | Line Producer | Production Manager | Assistant Director**
Generator Productions | Kiev Design Works | Freelance
*2003–2006, 2019–Present*

---

### International Business Development

**Regional Marketing and Customer Relations Agent**
World's End Motorcycles (UK)
*2012–Present*

- Manage six-country territory: Ukraine, Russia, Belarus, Moldova, Kazakhstan, and Kyrgyzstan
- Oversee IT operations and drive business development across regional markets

---

### Entrepreneurial Ventures

**Founder**, Kiev Design Works (2003–2014)

**Founder & Editor-in-Chief**, Motomania Magazine, ISSN 1993-8306 (2007–2008)

**Owner**, Motorbike Parts Online Dealership and Trade Sales (2007–2014)

**Freelance Web Developer**, PHP, JavaScript, MySQL, Apache (2003–2006)

**Project Manager**, Web Design Studios (2000–2003)

---

## EDUCATION

**MSc Computer Sciences**
National Technical University of Ukraine
*1994–2000*

Specializations: Applied Mathematics, System Analysis, Mathematical Modelling, Statistics

---

## AVAILABILITY

Open to flexible and part-time arrangements

**Compensation:** $3,000–4,000 monthly (full-time) | Negotiable (part-time)"
12513,"**PROJECT MANAGEMENT**

- Directed Project Management Office operations, driving efficiency and strategic oversight across the project portfolio
- Analyzed and optimized project implementation processes, minimizing delays and ensuring timely delivery of key results
- Upheld quality standards across the portfolio by reviewing project manager reports for accuracy, completeness, and alignment with organizational objectives
- Prepared and delivered quarterly and annual project portfolio reports for the National Bank of Ukraine
- Tested and validated Jira & Confluence configurations to ensure alignment with project management workflows
- Developed and delivered 3 project management training courses on Jira & Confluence, tailoring content to meet the needs of diverse participant groups

**COMPLIANCE SPECIALIST**

- Serve as key AML team member, supporting regulatory adherence and enterprise risk mitigation
- Ensure Bank compliance with local and Group AML and Compliance legislation by developing and maintaining internal banking documents and procedures
- Prepare and submit statistical reports to the National Bank of Ukraine
- Drive process improvement through IT development initiatives, including preparing business requirements, collaborating with analysts on functional specifications, and conducting user acceptance testing
- Contribute to Credit Agricole Group initiatives and projects, fostering cross-functional collaboration across teams

**BUSINESS ANALYST**

- Gather, document, and consolidate stakeholder requirements to drive successful project delivery
- Leverage FBL and Data Model expertise to inform and shape business solutions
- Manage workflows and documentation using Jira & Confluence to ensure transparency and traceability
- Apply Python and SQL for data analysis, transforming complex data into actionable business insights
- Validate system functionality through rigorous user acceptance testing"
12514,"**PROFESSIONAL SUMMARY**

Project Manager and Business Analyst with 4+ years of experience in blockchain, cryptocurrency, and SaaS product development. Proven ability to retain client relationships during crisis conditions, deliver products with constrained resources, and manage multiple concurrent projects. Recognized for collaborative approach and strong stakeholder relationships.

---

**PROFESSIONAL EXPERIENCE**

**Product Owner / Business Analyst**
*Blockchain Storage Startup | 1 year*

- Conducted market research and competitive analysis to inform product strategy and positioning
- Facilitated cross-functional brainstorming sessions, translating product concepts into actionable roadmaps
- Created and maintained product documentation, backlog, user stories, and business requirements documents

**Project Manager / Business Analyst / Product Owner**
*Cryptocurrency Outsource Company | 1.5 years*

- Retained 100% of client portfolio following outbreak of full-scale war, ensuring business continuity during crisis
- Led junior development team to successful launch of NFT marketplace white-label solution
- Managed multiple concurrent blockchain and cryptocurrency projects across full delivery lifecycle
- Led discovery sessions and authored business requirements, user stories, backlog items, and acceptance criteria
- Delivered preliminary development estimates for time and cost to support client decision-making
- Owned client communications, sprint planning, daily standups, and estimation sessions
- Drove business development through pre-sales activities and revenue opportunity identification
- Prepared executive reports for General Management
- Designed and delivered internal training course: ""Blockchain for Project Managers""

**Project Manager**
*Blockchain Travel Industry Startup | 10 months*

- Executed full project management lifecycle including sprint planning and weekly, monthly, and semi-annual roadmaps
- Managed release cycles and led recruitment processes for project team expansion
- Coordinated R&D initiatives and proof-of-concept development

**Project Manager / Product Owner**
*Out-stream Commercials Service | 10 months*

- Established project management processes and workflows from the ground up
- Conducted feasibility and ROI analysis to support product launch decisions
- Managed releases and delivery pipeline across development lifecycle
- Led QA team of 2 members

**Project Manager / Head of QA**
*Blockchain Trading Platform and ICO Launcher (Silicon Valley) | 15 months*

- Managed end-to-end project delivery and release cycles for Silicon Valley-based client
- Built and led QA department of 4 team members
- Maintained direct client communication and executive stakeholder management

---

**CORE COMPETENCIES**

Product Discovery & Requirements Development | Backlog Management & User Story Creation | Sprint Planning & Agile Ceremonies | Release & Delivery Management | Client Communication & Stakeholder Management | QA Team Leadership | Pre-sales & Business Development | Blockchain & Cryptocurrency Ecosystems"
12515,"# Professional Summary

Results-driven professional with proven success in improving team productivity and velocity. Demonstrated track record of delivering successful projects while maintaining high satisfaction among teams and clients globally.

---

# Core Competencies

**Project & Business Management**
Business Analysis | Project Management | Business Development | Web Projects Management | Project Execution & Control | Estimating & Cost Control

**Documentation & Planning**
Business Requirements Gathering & Documentation | Work Breakdown Structure Development | Business Requirements Document Composition | Backlog Grooming

**Leadership & Change Management**
People Management | Change Management | Risk Management & Mitigation | Crisis Management

**Methodologies**
SDLC | WDLC

**Business Development**
Pre-sale Activities | Negotiations | Marketing Research | Research & Development

**Stakeholder Engagement**
Cross-functional Communication | Client Relationship Management

---

# Professional Experience

Versatile professional with multi-project experience spanning Business Analyst, Project Manager, and Business Developer roles.

---

# Career Objectives

Seeking opportunities for continued career growth, skill development, and professional advancement."
12516,"# PROFESSIONAL SUMMARY

Results-driven manager with 7 years of experience leading teams at one of Ukraine's largest retail companies. Proven track record of building high-performing teams and driving sales growth, consistently exceeding all initial targets.

# CORE COMPETENCIES

**Leadership & Strategy**
- Team Building & Development
- Growth Strategy & Execution
- Staff Training

**Operations & Growth**
- Product Management
- New Product Implementation
- Market Analysis

**Technology**
- Technology Roadmap Development
- R&D Collaboration

# EXPERIENCE

**Managerial Position**
Major Retail Company | Ukraine | 7 Years

- Built and led high-performing teams that consistently exceeded all initial targets
- Identified and capitalized on growth opportunities to drive sales performance
- Spearheaded new product implementations across the organization
- Developed and executed technology roadmaps in collaboration with R&D teams

# EDUCATION

**Master's Degree in Economics**
National Technical University of Ukraine 'Kyiv Polytechnic Institute'

**Bachelor's Degree in Metrology and Measurement Technologies**
National Technical University of Ukraine 'Kyiv Polytechnic Institute'

# VALUE PROPOSITION

Bringing innovative approaches and fresh perspectives from large-scale retail operations to elevate sales team performance.

---

*Additional details available upon interview*"
12518,"# PROFESSIONAL RESUME

## SUMMARY

Entrepreneurial manager with 5 years of experience developing new business initiatives and leading high-impact projects. Driven by intellectual curiosity and a passion for technology. Seeking to leverage project management expertise while expanding technical proficiencies.

## SKILLS

**Management & Strategy**
- Business Development
- Product Development & Marketing
- Project Management
- Agile Methodology

**Technical**
- Microsoft Azure
- Blockchain
- HTML5 & CSS
- Jira

**Analytics & Productivity**
- Google Analytics
- Microsoft Excel
- Microsoft PowerPoint"
