,Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5
12422,"**PROFESSIONAL CERTIFICATIONS**

Project Management Institute
Certified Associate in Project Management (CAPM)

**EDUCATION**

Northeastern University
Master of Science in Project Management, concentrated on Project Business Analysis, GPA: 3.76/4.0

Academy of Public Administration
Bachelor of International Relations

**PROFESSIONAL EXPERIENCE**

**PrintInk, Baku, Azerbaijan**
Junior Project Coordinator | May 2023 – Present
• Effectively coordinated and monitored project budgets of $80,000–$150,000, identifying and reporting variances to administration
• Developed, organized, and managed diverse project resources including material, equipment, and personnel within a 10–15 person team
• Revised and maintained project schedules and timelines for team members, ensuring tasks and goals were delivered within set deadlines
• Carried out quality assurance testing by assessing and verifying that new products met established quality standards

**Location Scout Training Program Development, Boston, USA**
• Wrote SMART business requirements for the program plan and defined in and out-of-scope elements, project assumptions, and constraints, reducing ambiguity by up to 60% within an 8-person project planning team
• Prepared and prioritized project deliverables and submitted project scope, cost, and schedule baseline statements to the sponsor within the first 4 weeks
• Prepared contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy, aggregated in a single 20-page document with more than 5 tables and 2 sets of matrices

**MBTA Transportation App Development, Boston, USA**
• Developed project plan, project activities, resources, budget, and schedule, assigning tasks among 11 team members
• Planned and executed risk management using 2 different techniques (qualitative and quantitative) and 3 different contingency plans for each risk

**Globe Life Liberty National Division, West Covina, CA, USA**
Insurance Business Analyst | November 2022 – February 2023
• Established productive working relationships with clients and engaged in building 15-minute rapport
• Determined clients' particular needs and financial situations by scheduling fact-finding appointments and determining the extent of present coverage and investments with 20-minute-long presentations
• Ascertained clients' long-term goals by offering more than 10 different plans and supplemental benefits"
12435,"**PROCUREMENT MANAGER**

**Professional Experience**

Procurement Manager | 4 years

Key Responsibilities:
- Warehouse balance control and inventory management
- Sales analysis and forecasting
- Procurement planning and supplier order placement
- Order execution monitoring and quality assurance
- Complaint and returns management
- Supplier negotiation and relationship management
- Transport logistics coordination

**Professional Development**

Data Analysis and Statistical Inference in R Language
Online Course | Prometheus.org.ua | November 2016
Certificate: https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf

**Education**

Master's Degree in HR Management
Diploma with Distinction | 3rd Place, All-Ukrainian Olympiad in Speciality"
12436,"# RESUME

## Professional Experience

**Project Coordinator**
- Delivered projects for national Canadian corporation

**Business Analyst Lead**
- Built and established BA processes
- Created communication plans with customer and development team
- Coordinated cross-located team activities

## Core Competencies

**Business Analysis**
- Requirements Elicitation and Gathering
- Capability Gaps Assessment
- Elaboration Phase Execution
- Requirements Gathering Workshops
- On-site Customer Engagement
- Requirements Management and Prioritization

**Management**
- Project and Team Management

**Human Resources**
- Coaching
- Events Planning and Coordination
- Training Development and Delivery"
12437,"# Resume

**Professional Experience**

Led more than 15 successful projects across diverse business areas, including:
- Methodology and design
- Development and implementation
- Financial management systems

**Key Skills & Development**

- Project management and execution
- Business process design
- Systems development and implementation
- Financial systems expertise
- English language proficiency"
12447,"# PROFESSIONAL EXPERIENCE

**Product & Project Manager**
- Delivered MVP for UK real estate startup that secured significant investment from Google through Agile methodologies
- Managed feature delivery for UK insurance startup across multiple customers with varying requirements and tight timeframes
- Prioritized competing demands across consistent team while maintaining delivery standards
- Supported business development managers during presale stage, identifying and scoping new project opportunities
- Conducted upselling initiatives as needed
- Managed DevOps production support team overseeing 800+ environments
- Improved response rate, quality, and variety of support services

**Client Relations**
- Earned three positive reviews on Clutch for managed projects
- Built strong client relationships resulting in continued support and referrals

**Business Analysis**
- Created technical specifications and Figma mockups for multiple projects

# INDUSTRY EXPERTISE

- SaaS solutions for real estate and insurance startups
- E-commerce platforms (Shopify, Magento 1/2, WordPress)
- Mobile development (iOS, Android, VR games, iOS healthcare applications)
- Cloud DevOps and production support
- AI-based solutions

# PREFERENCES

- SaaS and mobile solutions
- English-speaking clients"
12448,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7 years of combined experience delivering innovative solutions across multiple domains. Proven expertise in requirements analysis, user experience design, and cross-functional team leadership. Seeking part-time or project-based opportunities with collaborative, inclusive teams.

## KEY ACHIEVEMENTS

- Built and led a team from scratch for an innovative project, delivering 96% of scheduled features on time over 2 years of development (verified through Jira reports)
- Designed user interfaces based on custom mockups for multiple projects with measurable customer satisfaction (validated through customer surveys)
- Successfully relaunched a legacy billing system interface for 100k+ users with zero disruption or user frustration
- Delivered mockups and requirements for Ukraine's largest petroleum company; project successfully launched

## CORE COMPETENCIES

**Business Analysis & Strategy**
- Requirements collection and management
- Competitive market analysis
- Stakeholder management from concept to delivery

**Design & Documentation**
- Interactive mockup and prototype development
- Technical specification writing
- User guides and FAQ creation
- Business requirements documentation

**Project Management**
- Project lifecycle management
- Roadmap creation and prioritization
- Epic and User Story structuring
- Jira-based issue tracking and reporting

## PROFESSIONAL EXPERIENCE

**Business Analyst** — 5 years
**Project Manager** — 2 years

Responsibilities encompassed requirements development, mockup creation, specifications writing, and end-to-end project coordination across stakeholder vision through delivery.

## INDUSTRY EXPERTISE

Online Services, E-commerce, Manufacturing, CRM/ERP, Education, Automotive

## AVAILABILITY

Open to part-time and project-based engagements"
12449,"**PROFESSIONAL SKILLS**

Business Analysis | Requirements Analysis | Use Cases | User Stories | Agile | Scrum | Jira | BPMN | Requirements Management | Balsamiq Mockups | Figma

**CORE COMPETENCIES**

• Agile project management across multiple concurrent projects
• Full life cycle delivery management
• Team and people management
• Requirements gathering, elicitation, and analysis
• Conflict resolution and management
• Budget control and financial reporting
• Designing and establishing requirements approval and change control processes
• Developing software delivery processes with cross-functional collaboration (Development, Quality Assurance, Business Analysis)
• Documenting project deliverables including Vision and Scope Definitions and Software Requirement Specifications
• Requirements implementation oversight and solution acceptance testing
• Creating workflow diagrams, charts, and presentations
• Authoring user stories and customer journey maps using Figma"
12450,"# PROFESSIONAL SUMMARY

Accomplished Analyst with 7+ years of progressive experience as an Implementation Consultant, Business Analyst, and Project Manager. Proven expertise in developing and implementing enterprise solutions including CRM, ERP, and HR core systems. Skilled in process automation, core banking system integration, and stakeholder management across full project lifecycles.

## CORE COMPETENCIES

- CRM Implementation & Development
- ERP Systems Implementation
- HR Core System Implementation
- Recruitment Process Automation
- Core Banking System Integration
- Project Lifecycle Management
- Stakeholder Negotiations
- Time Management
- Business Analysis
- Implementation Consulting
- Project Management

## PROFESSIONAL EXPERIENCE

**Implementation Consultant | Business Analyst | Project Manager**
*7+ years*

- Led projects through complete development and implementation lifecycles
- Managed CRM, ERP, and HR core system implementations
- Designed and executed recruitment process automation initiatives
- Integrated core banking systems
- Negotiated with multiple stakeholders to ensure project success
- Effectively managed project timelines and resources"
12451,"# PROFESSIONAL EXPERIENCE

**Business Analyst / Project Manager** (12.2021 - Present)

- Manage multiple concurrent projects including migrations, application upgrades, and disaster recovery tests across various phases
- Track task performance and develop high-level and detailed project plans
- Facilitate stakeholder communication at all levels, including executive management, through status updates, meeting notes, and notifications
- Schedule and facilitate meetings to ensure effective project coordination
- Collect and analyze project requirements, dependencies, and risks
- Generate comprehensive reports and charts including vulnerability updates, infrastructure project status, and test results

**Associate Business Analyst / Project Manager** (06.2021 - 12.2021)

- Managed multiple concurrent projects including migrations, application upgrades, and disaster recovery tests across various phases
- Tracked task performance and developed high-level and detailed project plans
- Facilitated stakeholder communication at all levels, including executive management, through status updates, meeting notes, and notifications
- Scheduled and facilitated meetings to ensure effective project coordination
- Collected and analyzed project requirements, dependencies, and risks
- Generated comprehensive reports and charts including vulnerability updates, infrastructure project status, and test results

**Junior Software Engineer** (11.2020 - 06.2021)

- Facilitated global client communication across multiple time zones
- Collected and documented project requirements
- Resolved support tickets related to relational databases and CRM systems
- Verified tickets and assigned them to appropriate resolver groups
- Tested CRM system updates and enhancements"
12452,"# PROFESSIONAL EXPERIENCE

**Project Management**
- Collected and discussed project requirements with customers
- Planned projects and created project documentation including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Produced and distributed project tasks
- Monitored task implementation timelines
- Coordinated project work and led scrum meetings
- Maintained regular communication with customers
- Managed multiple projects simultaneously
- Delivered projects on schedule
- Oversaw project development

**Work Environment & Management Style**
- Thrived in challenging, complex problem-solving environments
- Worked effectively in informal settings with collaborative teams
- Supported by competent, professional management
- Demonstrated commitment to professional growth and development"
12453,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7+ years of experience delivering projects on time and within budget across diverse industries. Proven track record of gathering requirements, managing cross-functional teams, and implementing process improvements that drive profitability and customer satisfaction.

## CURRENT POSITION

**Business Analyst** | Fintech/Crypto Company | 9 months
- Requirements gathering and analysis
- Liaison between IT department, designers, and stakeholders
- Technical specification writing and maintenance

## KEY ACHIEVEMENTS

**Arbitration Team**
- Built processes generating $90,000-$160,000+ monthly profit

**Vintage**
- Delivered timely releases and customer support for major clients (Oshadbank, Totis)

**Sales Doubler**
- Developed landing page and promotional materials for Financial Storm 3.0 contest (3,000,000 UAH budget) in two weeks

**Zhansaya Sanatorium Website (Kazakhstan)**
- Generated 412 applications and calls in 22 business days
- Achieved 4% visitor-to-conversion rate
- Implemented CRM system
- Established client acquisition value at $0.30

## CORE COMPETENCIES

Requirements gathering and analysis | UX/UI understanding | Stakeholder communication | Pre-design studies | UX prototyping | Technical specifications and documentation | Project management | Process optimization | Multi-project management | Team organization | Decision-making and accountability | Client-focused approach | Agile methodology | Scrum and Kanban implementation

## TOOLS & PLATFORMS

JIRA | Confluence | Trello | YouTrack | Monday | Bitrix | Redmine | Balsamik | Moqups | Draw.io | Figma

## PROFESSIONAL BACKGROUND

Project Manager and Business Analyst across fintech, health & beauty, gambling, e-commerce, tourism, manufacturing, and consulting sectors. Managed full project lifecycle from initiation through completion and ongoing support.

## OBJECTIVE

Seeking Business Analyst or PM/BA hybrid role focused on building innovative, user-centric products with opportunity for professional growth."
12454,"# RESUME

## EDUCATION
Bachelor of Arts (BA) – Completed

## PROFESSIONAL SUMMARY
Analytical professional with strong research and project management capabilities. Skilled in information analysis, stakeholder communication, and process improvement. Proven ability to work with large datasets and deliver actionable insights. Seeking opportunities for career growth and development.

## CORE COMPETENCIES
- Project Management & Planning
- Market & Commercial Intelligence Research
- Data Analysis & Reporting
- Stakeholder Communication
- Risk Management
- Process Improvement
- Budget Development & Cost Estimation
- Resource Monitoring

## EMPLOYMENT HISTORY

**Project Manager | ArtHome Startup | Dnipro, Ukraine**
*June 2019 – January 2020*
- Managed project planning, monitoring, and resource allocation
- Developed and maintained project plans with detailed stage planning
- Identified and managed project risks with contingency planning
- Conducted project evaluations and prepared follow-on recommendations
- Controlled time management, cost estimation, and budget development
- Established and maintained effective communications with stakeholders
- Represented company interests to partners and design professionals
- Coordinated cooperation agreements with Ukrainian artists

**Researcher, Commercial Intelligence | Noosphere | Dnipro, Ukraine**
*April 2019 – July 2019*
- Conducted vertical research and comprehensive niche reviews
- Analyzed country-specific market features and business trends
- Performed open source intelligence research on companies and entrepreneurs
- Identified business weaknesses including organizational structure, financing, and model changes
- Prepared comprehensive company and sector analysis reviews
- Analyzed venture capital deals for trend identification

**Audit & Training Development | Bartolomeo Resort**
- Conducted facility audit and operations review
- Improved staff training effectiveness from 52% to 93%

**Market Analyst | Global Fertilizer Market**
- Communicated with market players and industry stakeholders
- Exchanged market information and prepared analytical reports"
12455,"# RESUME

**PROFESSIONAL SUMMARY**

Experienced in FinTech and Logistics domains with 3+ years of experience in account and project management, client onboarding, and process optimization.

**EXPERIENCE**

**Account Project Manager**
Oct 2019 - Present

Lead Account Project Manager
1.5 years

Account Project Manager
0.5 years

FinTech

*Responsibilities:*
- Onboard new clients to the platform including defining launch plans, conducting demos, and consulting on API documentation
- Analyze customer needs and provide consultation during sales stage
- Manage client task backlogs including analysis, description, timing, implementation control, testing, and delivery
- Analyze API documentation, compare with client requirements, and test requests using Postman
- Identify customer feature requests and create tasks for development team, documenting business and technical requirements
- Manage tasks using Jira
- Document processes using BPMN and Confluence

**Project Manager**
Jun 2017 - Oct 2019
UVK Ukraine
Transport & Logistics

*Accomplishments:*
- Increased profitability from container turnover from 0 to 40% on average
- Automated accounting processes
- Reduced operational losses

*Responsibilities:*
- Trained clients on services provided and conducted container reconciliations with approximately 40 clients
- Conducted reconciliations with regional offices across 23 regions
- Wrote technical specifications for developers and monitored implementation timelines and testing
- Prepared regulatory documents and work instructions
- Fulfilled KPI indicators"
12456,"# Professional Resume

**Core Competencies**

- Data analysis, evaluation, and planning
- Budget planning and analysis
- User story creation and backlog prioritization
- Stakeholder management and technical problem-solving
- Product feature decision-making
- Report generation and departmental communication
- Project team oversight
- Risk management
- Time and scope management

**Professional Experience**

- Supported existing projects and initiated new project development
- Realized CRM and ERP implementation for logistics company
- Increased sales planning initiatives
- Resolved internal operational challenges through IT solutions
- Gathered and analyzed technical requirements from business stakeholders
- Communicated project progress, challenges, and changes to team members
- Assigned clear tasks and monitored project delivery
- Demonstrated commitment to transparent project management and ethical practices

**Additional Information**

Open to project-based opportunities with nonprofit organizations"
12457,"# BUSINESS ANALYST

**Professional Summary**

Results-driven business analyst with 10 years of experience designing and implementing solutions across diverse projects. Proven ability to translate client needs into strategic solutions with strong understanding of software development lifecycle, architecture design, and deployment processes.

**Core Competencies**

- Business Analysis & Requirements Gathering
- Solution Architecture & Design
- Software Development Lifecycle (SDLC)
- Project Management
- Client Engagement & Proposal Development
- Systems Deployment & User Training
- Process Development & Optimization
- Sales Process Management

**Professional Experience**

**Business Analyst / Project Manager** (1 year)
- Developed product concepts and architecture plans in collaboration with technical experts
- Conducted user training and system deployment activities
- Managed cross-functional project execution

**Engagement Manager – Pre-Sales** 
- Prepared initial proposals and comprehensive scope analyses for client engagements
- Identified client needs and market requirements
- Delivered end-to-end engagement support

**Business Analyst** (4 years)
- Built solutions of varying size and complexity
- Leveraged QA engineering background to identify technical requirements and solutions
- Rapidly assessed client needs and market positioning to recommend optimal solutions

**Entrepreneur**
- Developed business processes from conception
- Gained deep understanding of sales operations and business development

**Seeking** new opportunities to drive client success through strategic business solutions."
12458,"# Product Manager

**Core Responsibilities**

- Gathered requirements from stakeholders and translated them into actionable product initiatives
- Wrote and prioritized user stories and use cases to guide development roadmap
- Created comprehensive roadmap and user flows for SaaS platform, establishing permission structure from inception
- Collaborated closely with design team to refine and improve user experience
- Managed Product and Sprint Backlogs to ensure efficient workflow and delivery
- Facilitated daily standups, backlog grooming, and retrospective meetings
- Decomposed user stories into granular tasks and prioritized backlog items
- Defined specifications for data delivery from data science department to backend team
- Maintained and supported product documentation"
12459,"# Alex
**Project Manager** | Marrix Power

## Professional Summary
Results-driven Project Manager with demonstrated expertise in end-to-end project development, from concept to execution. Proven ability to manage cross-functional teams, elicit and document comprehensive requirements, and maintain strong client relationships. Seeking Business Analysis opportunities to leverage project management and requirements gathering experience.

## Core Competencies
- Project Management & Planning
- Requirements Elicitation & Documentation
- Client Relationship Management
- Team Leadership & Coordination
- Feasibility Analysis

## Professional Experience

**Project Manager** | Marrix Power
- Managed 16 distinct projects with team sizes of 3-5 members
- Maintained constant communication with all clients throughout project lifecycles
- Elicited and documented comprehensive requirements for all assigned projects
- Oversaw complete project development lifecycle from initial concept through design planning and development execution"
12460,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Sales Manager, Product Manager, and Business Analyst with 4 years of experience in client management, team leadership, and product development. Skilled at identifying opportunities and adapting to new challenges and processes.

## CORE COMPETENCIES
- Client Management & Engagement
- Team Leadership & Stakeholder Management
- Requirements Elicitation & Definition
- User Story & Use Case Development
- Interactive Prototyping & Wireframing (MockingBot, Figma)
- Business Process Modeling (BPMN, draw.io, Camunda)
- Technical Documentation Development & Validation
- Sales & Upselling

## PROFESSIONAL EXPERIENCE

**Sales Manager | Product Manager | Business Analyst**
*4 years of experience*

Key Responsibilities:
- Managed teams and clients
- Client nurturing, engagement, and management
- Team and stakeholder management
- Interactive prototyping and wireframing using MockingBot and Figma
- Business process modeling (BPMN) using draw.io and Camunda
- Requirements elicitation and definition
- Preparing user stories and use cases
- Upselling initiatives
- Technical documentation development and validation"
12461,"**Project Manager & Business Analyst**

Responsible for end-to-end project delivery, ensuring customer requirements are met within agreed timelines and budget constraints.

**Key Responsibilities:**

• Gathered and documented business and functional requirements through elicitation and elaboration, creating user stories, flow diagrams, block diagrams in Visio, and wireframes

• Collaborated with Developers, Engineers, and QA to define solution architecture, estimation parameters, and acceptance criteria; developed and presented prototypes to stakeholders and cross-functional teams

• Managed client requirements including new requests and change requests in Confluence; obtained client approvals on scope and estimations

• Planned sprint scope in Jira by prioritizing tasks; participated in sprint planning and retrospective meetings to ensure tasks were completed according to agreed priorities and timelines

• Tracked and reported project progress to stakeholders

• Developed use cases and test scenarios; reviewed QA test results; conducted testing of custom solutions prior to deployment

• Presented solutions to clients and facilitated User Acceptance Testing to ensure customer satisfaction and sign-off"
12462,"# PROFESSIONAL EXPERIENCE

**System Analyst**

**Key Achievements:**
- Identified and implemented technical solutions that reduced estimated project time by up to 90%
- Provided constructive feedback to senior management on technical solutions, with successful outcomes
- Streamlined technical documentation processes to minimize manual bureaucratic work

**Core Responsibilities:**
- Authored technical documentation including Business Requirements Documents (BRD), Software Requirements Specifications (SRS), API Specifications, and User Guides
- Designed database structures
- Estimated backlog requests and prioritized work items
- Conducted demonstration meetings for completed work
- Facilitated retrospective meetings with development teams
- Performed API testing, manual testing, and automated testing
- Developed smoke test scope, regression test cases, and comprehensive test scenarios
- Wrote release notes and delivery protocols
- Assumed team lead responsibilities in the absence of the primary team lead

**Technical Environment:**
- Worked on application platform serving as template for app creation, server management, and front-end libraries
- Integrated applications through APIs and maximized feature utilization across systems"
12463,"# Resume

**LPNU**
- Completed 3 course-based projects involving business analysis and software development
- Demonstrated skills in problem definition and analysis, solution design through prototyping and personas, and technical specification using use case diagrams
- Conducted current state (AS-IS) and future state (TO-BE) analysis for organizational processes
- Applied requirement elicitation techniques
- Developed machine learning solutions

**Novomind, Germany**
*Java Developer Intern (3 months)*
- Developed software solutions for client projects
- Collaborated effectively within an Agile team environment
- Communicated professionally in English"
12464,"# PROFESSIONAL EXPERIENCE

**Product Manager / Business Analyst** (1 year)
- Managed lifecycle processes of multiple projects
- Gathered and analyzed requirements through documentation, interviews, workflow analysis, business model evaluation, and requirements review sessions
- Coordinated development processes according to Scrum methodology, serving as Scrum Master
- Tracked progress, monitored risks, and managed changes using backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Transformed stakeholder requirements into user stories, use cases, visual models, functional and system requirement specifications
- Facilitated communication between multiple stakeholders
- Developed technical standards for development processes
- Participated in creation of software, business model, and procedures for a new delivery service from inception

**Business Owner** (5 years)
- Established and operated e-commerce business selling products in the US market with manufacturing in China
- Executed day-to-day operations including customer support, procurement, promotions, and logistics
- Negotiated terms with suppliers and contractors
- Adapted business strategies to changing market conditions

**Efficiency Manager** (1.5 years)
- Re-engineered business processes using scope analysis, business rules, existing practices, and alternative approaches
- Designed new functionality for internal ERP system
- Designed and implemented routing system for Sales Department
- Wrote technical tasks for development team
- Trained employees during change integration and process implementation"
12465,"# RESUME

**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Project Manager with 6+ years of commercial experience across diverse domains. Demonstrated expertise in IT outsourcing, enterprise systems, and cross-functional project delivery. Proactive professional with strong technical acumen, exceptional communication and organizational capabilities, and a proven track record of achieving company objectives.

**CORE COMPETENCIES**

- Project Management (2 years)
- IT Outsourcing (2+ years)
- ERP/CRM Systems (5 years)
- Retail Operations (6 years)
- Healthcare Industry Knowledge (2 years)
- Sales and Marketing (2 years)"
12466,"**SKILLS**
- Strong analytical skills with ability to analyze complex problems
- Project management
- Statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Ability to work independently and in teams while managing multiple engagements
- Negotiation and conflict resolution
- Learning and teaching
- Advanced proficiency in Excel and PowerPoint
- Languages: Ukrainian (native), English (fluent), Russian (fluent), German (basic)

**EXPERIENCE**
- Development of Terms of References and technical requirements
- Development and implementation of data processing systems
- Verification and compilation of data
- Development of specifications for construction and equipment

- Research and analytics with creation of analytical reports
- Functional and effectiveness analysis
- Identification, analysis, and interpretation of trends and patterns in data
- Description and optimization of business processes
- Analysis of best practices and international experience of central purchasing bodies
- Development of strategic proposals for central purchasing bodies in Ukraine

- Analysis of public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitoring of e-procurement system ProZorro including compliance, reporting, research, and investigations
- Participation in development of Terms of References and technical tasks for e-procurement systems in accordance with Open Contracting Data Standard
- Searching, gathering, and processing of catalogues and information
- Communication with BI users, procurers, suppliers, controllers, and other stakeholders
- Participation as speaker, BI expert, and participant at public events, conferences, and lectures
- Support in development of e-procurement risk indicators system
- Reporting and trend analysis of public procurement procedures for government institutions"
12467,"# PROFESSIONAL SUMMARY

Results-driven professional with a background in marketing analysis and coordination within the FMCG sector, transitioning into IT with a strong client-oriented approach and business acumen. Currently performing Business Analyst and Project Manager functions in both pre-sales and delivery capacities.

# CORE COMPETENCIES

**Business Analysis & Project Management**
- Requirements Analysis (SRS, Use Cases, UML)
- Backlog Management (User Stories, Acceptance Criteria)
- UX Design
- Agile Methodologies and Scrum
- Agile Certified Professional (IC Agile)

**Technical Skills**
- MySQL (Basic)
- HTML (Basic)
- CSS (Basic)

# PROFESSIONAL EXPERIENCE

**Business Analyst & Project Manager**
- Pre-sales process involvement
- Delivery and project execution
- Hybrid BA/PM responsibilities

**Previous Experience**
- Marketing Analyst – FMCG
- Marketing Coordinator – FMCG

# CAREER OBJECTIVES

Seeking opportunities with dynamic organizations offering interesting projects and fast-paced, rapidly-changing environments."
12468,"Business Analyst and Project Manager with three years of experience in the Healthcare domain. Proficient in BI tools with ability to quickly master technical project details and drive achievement of project goals across all execution stages.

Core Competencies:
• Business Analysis
• Project Management
• Healthcare Industry Knowledge
• BI Tools
• Technical Problem-Solving
• Team Support and Collaboration
• Soft Skills Training
• Conflict Resolution
• Team Leadership

Professional Strengths:
Experienced in creating positive, energized team environments and managing conflicts effectively. Proven ability to apply professional expertise to support teams at any project stage and deliver results."
12469,"Professional Experience

**Translation & Localization Specialist**
Healthcare & Pharmaceutical Sector

Translated and proofread reports, presentations, and websites from and into English for leading industry clients including Novo Nordisk, Bayer, Parexel, and EURORDIS.

**English Language Instructor**

Delivered English language instruction to students utilizing Zoom platform, online resources, and Google tools. Developed individualized educational plans and conducted comprehensive assessments and evaluations."
12470,"# Product Manager

**Professional Experience**

Collaborated with founders across multiple startups and established products to validate product concepts through user research and strategic analysis. Directed product strategy development, led design team operations, and contributed to cross-functional initiatives.

**Core Competencies**

Product Strategy | User Research | Product Validation | Design Team Leadership | Multi-Platform Product Development

**Career Objectives**

Seeking a role with a growth-focused organization offering the opportunity to drive impact on complex multi-platform initiatives while advancing business analysis expertise."
12471,"# Business Analyst / Project Manager

**Professional Summary**

Experienced Business Analyst and IT Project Manager with 7+ years of experience across diverse industries. Skilled in strategic planning, project management, customer service, user experience design, and stakeholder communication. Proven track record of leading cross-functional teams and delivering results in fast-paced environments, both in-house and remotely.

**Core Competencies**

Project Management | Business Analysis | Team Leadership | Strategic Planning | Customer Service | User Experience | User Interface | SEO | Event Management | Public Speaking | Agile | SCRUM | Kanban | Stakeholder Management | Process Development | Budget Management | Quality Assurance

**Technical Proficiencies**

Jira | Confluence | Asana | CRM | ERP | BPMN | Google Analytics | Hotjar | Power BI | Adobe Creative Suite (Photoshop, Illustrator, InDesign) | WordPress | Drupal | HTML | CSS | Email Marketing

**Professional Experience Highlights**

- Successfully managed teams up to 15 members across multiple concurrent projects
- Developed and implemented client-specific processes and project pipelines
- Optimized project workflows to minimize overtime and maintain team productivity
- Resolved complex negotiations with clients regarding budgets and deadlines
- Established collaborative and productive working environments
- Oversaw creation of 9 new internet projects and improvement of 22+ existing projects
- Directed projects across multiple industries: education, tourism, e-commerce, fintech, medical services, and entertainment
- Managed B2C and B2B client relationships for market introduction in Ukraine and international markets (Arab countries, China, UK, USA)
- Coordinated cross-functional teams including developers, designers, copywriters, and marketing specialists
- Conducted user story development, usability testing, and quality assurance
- Worked with organizations ranging from 5-person startups to 8000+ employee enterprises

**Work Arrangements**

Available for full-time or part-time positions. Experienced working in office and remote settings."
12472,"# Professional Resume

**PROFESSIONAL SUMMARY**

Founder and Manager of web studio with 9 years of experience in project management and business analysis. Proven track record leading cross-functional teams and delivering diverse web-based solutions. Skilled in combining technical knowledge with strategic business oversight.

**CORE COMPETENCIES**

Project Management | Business Analysis | Product Management | Agile/Scrum | User Stories | Product Roadmap | Project Scoping | Analytics | Jira | Trello | B2B Applications | UX/UI | Mockups | Manual Testing | HTML | PHP | MySQL | Marketing | Sales Management | Web Development

**PROFESSIONAL EXPERIENCE**

**Web Studio Founder & Manager** | 9 years
- Founded and managed web studio from inception
- Led teams ranging from 5 to 20 employees
- Managed all phases of project lifecycle across diverse client engagements
- Primary focus: Project Management and Business Analysis

**Project Portfolio**
- Online stores
- B2B web applications
- Billing systems
- Cryptocurrency exchanges

**Additional Experience**
- Sales Management
- Web Development

**OBJECTIVE**

Seeking Business Analyst or Project Manager position with a large IT company."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 6+ years of experience delivering 50+ successful projects. Proven expertise in leading cross-functional teams (2-7 members) and managing budgets up to $250,000. Skilled in agile methodologies and process optimization with a track record of driving business value through analytical thinking and strategic problem-solving. Former Product Owner in IT-startup environment.

## CORE COMPETENCIES

**Project Management & Methodologies**
Scrum | Kanban | Waterfall | Lean | BPMN

**Tools & Technology**
Jira | Asana | Trello | MS Visio | Google Docs | Excel | SQL (basic) | Java (basic)

**Communication & Collaboration**
Zoom | MS Teams | Google Meet

**Leadership & Soft Skills**
Leadership | Team Management | People Management | Project Management | Goal-Oriented | Proactive | Analytical Thinking | Business Systematization | Creative Problem-Solving

## LANGUAGE PROFICIENCY

English: B1 (Upper-Intermediate)

## OBJECTIVE

Seeking a challenging opportunity to leverage extensive project management expertise and analytical capabilities to drive business success within an organization aligned with my professional values."
12474,"# RESUME

## November 2019 - February 2020 | Teacher, ""Software Testing"" Courses
Quality Assurance Group

Instructed coursework covering:
• Quality Assurance fundamentals
• Business Analysis fundamentals

---

## September 2019 - February 2020 | Business Analyst
QArtrock

**Corporate Website Project**
Official website for Turkish international trading company
• Project definition and requirements elicitation
• Concept creation and system modeling
• Requirements analysis and documentation

**Store Website Project**
E-commerce website for electronics retailer
• Project definition and requirements elicitation
• Concept creation and system modeling
• Requirements analysis and documentation

---

## May 2019 - August 2019 | QA Trainee
Quality Assurance Group

**Pharmacy Management System Project**
Web application for online pharmacy management
• Requirements analysis, test design, and test case creation and execution
• Bug report documentation

**Online Education Platform Project**
Educational course selection program based on user surveys
• Performance testing using JMeter
• Database testing in MySQL
• API testing in Postman

**Construction Online Store Project**
• Requirements analysis and test planning
• Test design, test case creation and execution
• Bug report and test summary report documentation

---

## October 2011 - April 2019 | Scientific Consultant

Diagnostic, improvement, and analytical support for scientific project development and implementation
• Implementation of innovative technologies in educational systems
• Psychological support for innovative activity"
