,Modified_claude-opus-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-opus-4-5
13149,"# PROFESSIONAL EXPERIENCE

**Project Management & International Partnership Development** | 2 Years
- Managed international B2C and B2B partnership projects spanning Europe, Asia, America, CIS, and Africa
- Led telecommunications interconnections and partnership network expansion for 1.5 years
- Sourced, negotiated, and developed business cases with new partners through full agreement cycle
- Coordinated cross-functional collaboration across technical, commercial, and legal departments
- Drove partner integration across all organizational functions
- Executed multi-channel outreach strategies via telephone, email, Skype, and LinkedIn

**Business Development & Partnership Management** | 6 Months
- Established 48 new interconnections with companies across Europe, CIS, America, and Asia
- Identified 5 fraudulent companies through comprehensive verification processes

**Technical Proficiencies**
Pipedrive CRM, Odoo, Confluence, Jira, Mattermost

# CORE COMPETENCIES

- International Project Management
- Business Development & Strategic Partnerships
- Negotiation & Contract Management
- Fraud Detection & Due Diligence
- B2B & B2C Relationship Management
- Cross-functional Coordination
- Multi-channel Communication
- Problem Solving & Multitasking
- Self-motivated & Results-driven

# PROFESSIONAL INTERESTS

- International multilingual work environments
- Project management and communication-focused roles
- Emerging technologies, tools, and methodologies
- Collaborative team environments
- Customer-oriented cultures with professional development opportunities"
13150,"# BUSINESS DEVELOPMENT, SALES & PROJECT MANAGER

## Professional Summary

Accomplished Enterprise Sales Professional with 9 years of experience in sales, project management, and business development across Enterprise, B2B, and B2C sectors. Proven track record of exceeding targets, building profitable partnerships, and maximizing customer lifetime value. Recognized for persuasive communication, creative problem-solving, and a solution-oriented approach in fast-paced, dynamic environments. Combines strong entrepreneurial drive with expertise in sales strategy, account management, business process development, and digital transformation.

## Core Competencies

**Sales & Business Development:** Sales Strategy | Account Management | High-Value Selling | C-Level Negotiations | Partnership Management

**Product & Project Management:** Product Development | CRM Implementation | Agile & Waterfall Methodologies | Business Analysis

**Technology & Marketing:** IT Solutions Implementation | Cloud Computing (SaaS, API, Cloud Services) | Marketing Strategy | Brand Development

**Leadership:** Team Leadership | Change Management | Business Process Development

## Professional Experience

### Business Development Manager

- Managed portfolio of 10 active accounts and 40+ prospects representing $1M total ARR across FMCG, Agro, and Manufacturing sectors
- Closed 15 deals within 1.5 years while consistently exceeding performance targets
- Developed and executed strategic account plans for top FMCG clients, driving improved sales conversion rates
- Generated €300,000 in annual sales turnover through engagement with 10+ clients
- Built and maintained partner relations network of 5+ partners annually, producing €220,000 in sales turnover

### Product Development & CRM Leadership

- Led end-to-end product creation and CRM development, including business concept, Terms of Reference, roadmap, UX/UI design, and resource management
- Developed commercial and marketing strategies across full product portfolio to establish compelling value propositions for new client acquisition
- Implemented project management and business analysis standards and methodologies into strategic corporate sales processes

### Marketing Strategy & Campaign Management

- Contributed to marketing strategy development encompassing brand promotion, customer loyalty programs, lead generation, and media relations
- Managed humanitarian project involving comprehensive IT solutions implementation, including value conception, CRM deployment, website development, and fundraising initiatives"
13196,"# PROFESSIONAL EXPERIENCE

**Operations Manager** | 2022 – Present
- Lead cross-functional team of 4 Team Leads and 42 Sales Development Representatives across Mexico and Ukraine locations
- Consistently recognized as Best Manager on a monthly basis
- Direct operations for multiple concurrent client accounts, ensuring seamless service delivery across international teams

**Team Lead** | 2021 – 2022
- Spearheaded Sales Development Representative team in B2B business development initiatives
- Managed 3-4 client relationships simultaneously while delivering comprehensive business development services
- Maintained personalized communication with 10 active clients concurrently, ensuring high-touch engagement
- Contributed to testing and implementation of internal tools to optimize team performance

**Sales Development Representative** | 2019 – 2021
- Executed targeted cold outreach campaigns across multiple channels including email, LinkedIn, and phone
- Built expertise in client acquisition and relationship management within B2B sales development

# CORE COMPETENCIES

Team Leadership & Management | Business Development | Client Relationship Management | Multi-channel Outreach (Email, LinkedIn, Phone) | Operations Management | Cross-location Team Coordination | Internal Tool Testing & Implementation"
13382,"# Business Process Architect & Project Manager

Results-driven Business Process Architect and Project Manager with 10+ years of experience delivering complex projects within scope, budget, and timelines. Proven expertise in stakeholder management, cross-functional communication, and strategic problem-solving. Adept at leveraging Agile, Waterfall, and hybrid methodologies to drive project success and customer satisfaction.

## Core Competencies

**Certifications & Methodologies:** BPMN 2.0, Scrum, Waterfall, SDLC, Agile

**Tools & Technologies:** ERP, CRM, Microsoft Dynamics, ManageEngine Service Desk Plus, Microsoft Project, Jira, Confluence, Microsoft Office Suite (PowerPoint, Excel, Power BI, Visio, Access), WordPress, WooCommerce

**In Progress:** PMP Certification

## Professional Experience

**ERP System Implementation**

Led enterprise ERP system implementation on time and within budget amid rapidly changing business requirements, delivering measurable operational improvements:

- Consolidated database infrastructure from 13 to 3 databases, streamlining data architecture
- Accelerated data exchange time by 95%, reducing processing from 40 minutes to 2 minutes
- Optimized full-cycle processing by 92%, cutting duration from 3 hours to 15 minutes
- Scaled system capacity to support 2,500 concurrent users within a single database
- Designed comprehensive productivity metrics with automated alert thresholds
- Unified store balance data across all locations into a single consolidated database

**CRM Implementation**

Delivered Microsoft Dynamics CRM system implementation within a 6-month timeline

**Service Management System Implementation**

Deployed ManageEngine Service Desk Plus, establishing structured support for Levels I and II and enabling integrated project management capabilities

## Professional Affiliations

PMI Chapter Member"
13461,"# RESUME

**Chief Accountant of the Bank | Director of the Bank**

## Summary

Senior banking professional with more than 10 years of leadership experience in software implementation, team management, and automation product development.

## Professional Experience

**Leadership & Team Management**
- Managed and maintained a development team of up to 10 people
- Led implementation of complex projects
- Drove further development and new business directions

**Software Implementation**
- Implemented software solutions for treasury operations
- Implemented software solutions for processing operations
- Implemented software solutions for agency sales

**Product Development & Coordination**
- Created and maintained automation products for banking activities from concept through completion
- Coordinated with customers on project requirements and specifications
- Established development tasks with subsequent testing and implementation

**Additional Experience**
- International company environment experience"
13475,"# PROFESSIONAL SUMMARY

Results-driven operations and project management leader with proven expertise in business transformation, team scaling, and process optimization. Demonstrated success scaling teams by 200%, increasing profitability by 40%, and reducing client-reported defects by 80%. Track record of delivering significant improvements in operational efficiency and project delivery quality.

---

# CORE COMPETENCIES

- Business Process Analysis & Optimization
- Team Leadership & Development (teams up to 36 members)
- Project Management & Delivery
- Time-tracking Systems Design & Implementation
- OKR Methodology Implementation
- Hiring & Performance Management
- Web Development (WordPress, Kirby, Shopify, WooCommerce)

---

# PROFESSIONAL EXPERIENCE

**Business Transformation Manager** | Digital Studio | 1 year

- Scaled team from 12 to 36 members, achieving 200% growth
- Reduced client-reported defects by 80% through improved quality controls
- Increased project margins by 27%
- Implemented parallel processes to reduce project delivery timelines and increase volume of successfully delivered projects
- Analyzed business processes and workflows to identify and eliminate bottlenecks
- Managed company documentation standards and controls
- Delivered e-commerce projects (Shopify, WooCommerce) and creative projects with animations and designs

**Head of PM** | 8 months

- Increased company profit by 40%
- Improved developer workload indicator by 20%
- Reduced downtime between projects to near zero
- Led and managed team of 35 professionals across PM, development, QA, design, and sales functions
- Directed PM team training and problem resolution initiatives
- Conducted hiring, interviews, performance reviews, and personal development planning for QA and management personnel

**Project Manager** | 1 year 10 months

- Successfully launched 40+ websites
- Developed and implemented common time-tracking standard across team
- Improved developer estimates, nearly eliminating project overruns
- Implemented OKR methodology at management level
- Managed team of 17 people, including 2 managers and 15 developers
- Trained project managers from entry level to proficiency
- Executed manual testing and web design for 3 personal and 1 commercial project

---

# TECHNICAL SKILLS

**Front-End & CMS Platforms:** WordPress, Kirby, Shopify, WooCommerce
**Project Delivery:** Complete understanding of web development cycle and stages
**Testing & Design:** Manual testing, Web design"
13477,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY
Head of Business Analysis with 8 years of combined experience in IT and financial services. Proven track record leading business analysis teams and managing complex projects. Proactive leader and team player with expertise in systemic and critical thinking, strategic planning, and process optimization.

## KEY ACHIEVEMENTS
- Delivered 20+ projects as Head of Business Analytics
- Established project management processes for internal teams and client engagements
- Built strategic partnerships with top Ukrainian banking clients: Alfa Bank, Ukrsotsbank, Aval Bank, Bank Credit Dnipro, and Idea Bank
- Designed and implemented loan portfolio segmentation, improving work efficiency by 8-10%
- Developed a scoring model based on 50+ indicators, reducing costs by 15% and increasing efficiency by 20%
- Unified call center and legal team operations into a single cohesive unit

## CORE COMPETENCIES
Systemic & Critical Thinking | Strategic Planning | Stakeholder Communication | Team Leadership & Development | Process Optimization | Agile Methodology | Requirements Analysis | Resource Planning

## KEY RESPONSIBILITIES
- Lead and mentor BA team and coordinate with development resources
- Drive sprint planning and optimize workload distribution
- Streamline and monitor operational processes
- Gather, analyze, and formalize requirements (SRS documentation)
- Develop labor cost estimates and resource allocation plans
- Author user guides and software administration documentation"
13537,"# PROFESSIONAL EXPERIENCE

**Team Lead - Customer Service**

• Led and managed a team of junior customer service representatives, establishing goals and objectives while meeting ongoing deadlines
• Trained and onboarded new staff members, providing product knowledge and disseminating critical information through monitored team communications
• Prepared monthly KPI reports analyzing team performance and generated analytical data to support work process planning
• Coordinated project tasks to ensure successful development and completion across multiple workstreams
• Identified service and product issues, developing strategic recommendations for improvement
• Facilitated cross-departmental communication to resolve customer inquiries efficiently and develop tailored solutions for diverse customer requests

**Customer Service Representative**

• Delivered exceptional customer service across multiple channels including chat, tickets, messengers, and social networks
• Communicated with English-speaking clients from India, Australia, Canada, Nigeria, and Pakistan, handling a wide range of requests with professionalism and accountability
• Resolved complex service issues and troubleshot problems, transforming customer challenges into effective solutions
• Utilized CRM systems across various functions, quickly adapting to new programs and operational changes"
13893,"**PROFESSIONAL ACCOMPLISHMENTS**

• Generated $1,000,000 in revenue within 9 months
• Built and established lead generation and sales team in 4 months
• Implemented OKR and KPI frameworks to drive performance and track progress

**CORE COMPETENCIES**

• B2B Sales & Business Development (Lead Generation through Customer Support)
• Sales Team, Business Development & Account Manager Leadership
• Negotiation & Deal Closing
• Planning & Budgeting
• Partnership Program Management
• Product Advocacy

**PROFESSIONAL SUMMARY**

Results-driven sales and business development leader with a proven track record of building high-performing teams and delivering significant revenue growth. Expert in implementing OKR and KPI frameworks to optimize performance and manage complex business operations. Demonstrated ability to rapidly establish sales infrastructure and generate seven-figure revenue within aggressive timelines."
13897,"# Commercial Director

## Professional Summary

Results-driven Commercial Director with four years of progressive leadership experience in international trade. Demonstrated success in commercial strategy development, key account management, and cross-functional team coordination. Committed to driving organizational growth through strategic partnerships, contract optimization, and operational excellence.

## Core Competencies

- Commercial Strategy & Operations
- Key Account Management
- Contract Negotiation
- International Partner Relations
- Team Leadership & Development
- Cross-Functional Coordination
- Sales & Marketing Alignment
- Supplier & Buyer Relationship Management

## Professional Experience

### Commercial Director | International Trading Company | 4 Years

- Directed commercial operations across all phases of company growth and strategic expansion
- Developed and executed commercial strategies aligned with organizational objectives
- Cultivated and strengthened relationships with key accounts and international partners to support sustained business development
- Negotiated supplier and buyer contracts to optimize commercial terms and drive favorable outcomes
- Led cross-functional coordination among Sales, Marketing, Finance, and Logistics to ensure seamless operations and strategic alignment
- Built and managed a high-performing team focused on achieving commercial targets and organizational goals"
14744,"# Resume

**Production Management**
Designed and built management resource system based on MRP II principles, eliminating raw material stockouts, increasing production planning efficiency, and minimizing operational disruptions.

**Retail Operations**
Oversaw and automated operational activities across a chain of grocery and electronics supermarkets, including corporate directory administration, marketing promotions management, and loyalty programs.

**Logistics & Warehouse Management**
Implemented address storage, goods consignment accounting, and WMS in logistics centers, reducing performer errors in goods selection, placement, and order picking while increasing service levels.

**Distribution Systems**
Developed and implemented S&OP, WMS, SCM, and BI systems in distribution companies, driving increased overall business efficiency.

**Leadership & Project Management**
Led change management initiatives in large trading and manufacturing companies. Directed projects encompassing business analysis and system analysis as project manager and process owner across warehouse logistics, supply chain management, production management, sales/shipping/production/supply planning, and budgeting. Led cross-functional teams of programmers and analysts up to 20 people. Managed IT projects across four countries remotely, establishing and consolidating management accounting systems.

**Systems Design & Implementation**
Architected Comprehensive Information Systems and consolidated accounting systems. Developed and implemented specialized systems including MRP II, ERP, WMS, CRM, BI, and MDB. Established specialized divisions and directed technical teams."
14862,"# Professional Experience

**Founder & General Manager**

- Built and scaled company from inception, assembling a high-performing team that achieved annual targets in 7 months
- Drove 102% revenue growth while increasing net profit 58% above planned indicators
- Spearheaded rebranding initiative, redesigning organizational structure and operational frameworks
- Streamlined business processes, delivering 30% cost reduction

# Core Competencies

**Business & Project Management**
11+ years of deep expertise spanning Innovative Technologies, Entertainment (3+ years), Media, and Fashion (8+ years)

**People Management**
10+ years leading teams of 5 to 500+ members across all organizational levels

**Operations & Process Management**
- End-to-end operational design and implementation
- Business process systematization and automation
- Document digitization and workflow optimization
- Strategic planning and financial performance management

**International Experience**
Proven track record managing cross-border projects and multicultural teams across France, Italy, Great Britain, UAE, USA, Germany, Saudi Arabia, and Spain"
14882,"**PROFESSIONAL SUMMARY**

Founder and CEO of two software technology startups with 7+ years of product and project management experience across local and international IT companies. Demonstrated success taking products from concept through technical implementation to market launch. Expert in cross-functional team leadership, stakeholder coordination, and delivering 10+ web and mobile projects in agile environments.

**CORE COMPETENCIES**

**Leadership & Strategy**
Startup Founding & Operations | Product Strategy & Development | Business Development & Strategic Partnerships | Team Leadership & Cross-Functional Coordination

**Execution & Delivery**
Project Management (Web & Mobile) | Process Optimization & Automation | Stakeholder Management | Agile Methodologies

**Growth & Innovation**
Marketing Strategy & Growth Initiatives | Exponential Technologies | Referral Programs & Partnership Development

**PROFESSIONAL EXPERIENCE**

**Founder & CEO**
*Software Technology Startups*

- Founded and led two software technology startups, directing all business operations including HR, finance, technology development, legal, marketing, fundraising, and business partnerships
- Drove end-to-end product development from concept and research through evaluation and implementation
- Launched multiple web and mobile products serving local and international markets
- Designed and executed marketing strategies encompassing referral programs, cash back campaigns, and offline partnerships

**Product & Project Manager**
*IT Industry*

- Delivered 10+ web and mobile IT projects over 7+ years for local and international companies
- Served as primary coordination point between internal teams and external stakeholders
- Led technical teams to successful roadmap execution within defined resource constraints
- Managed local and remote cross-functional teams in fast-paced, agile environments

**CAREER INTERESTS**

Seeking opportunities with ambitious organizations building products that drive positive social impact and disruptive innovation. Strong preference for roles offering career development within a collaborative corporate culture."
14890,"# PROFESSIONAL RESUME

## SUMMARY

Results-driven Business Analyst and Project Manager with extensive experience in requirements gathering, business process optimization, and cross-functional team coordination. Proven track record in CRM development, marketing analytics, and SEO strategy across multiple industries.

---

## PROFESSIONAL EXPERIENCE

### Business Analyst

- Collected, consolidated, analyzed, and documented requirements for 1C Enterprise systems
- Facilitated oral and written communication with company stakeholders
- Analyzed and documented business processes
- Optimized 1C Enterprise system performance
- Collaborated with 1C development teams

### CEO | Business Analyst | Project Manager

- Gathered, consolidated, analyzed, and documented client requirements
- Maintained communication with local and global development teams
- Contributed to project management, coordination, and cross-team collaboration
- Developed methodologies for analyzing marketing costs and measuring effectiveness
- Created technical specifications and defined functional responsibilities throughout project lifecycles
- Identified optimization opportunities for existing processes
- Leveraged CRM systems for data collection and analysis
- Launched a charitable NFT initiative
- Conducted market research, developed SEO architecture, created UX prototypes, and led project teams

### Project Manager | Business Analyst

- Collected, consolidated, analyzed, and documented client requirements
- Developed SEO structure and enhanced website usability
- Coordinated cross-functional team activities
- Formulated marketing strategies
- Implemented process optimization initiatives
- Designed and developed CRM systems for data collection and analysis

### Owner | CEO | Business Analyst

- Promoted awareness of internet business opportunities
- Developed comprehensive business models
- Designed SEO structure and optimized website usability
- Established organizational infrastructure including documentation, recruitment, and role distribution
- Created and executed marketing strategies and campaigns
- Pioneered process optimization approaches
- Built CRM systems for data collection and analysis"
14906,"# RESUME

## PROFESSIONAL SUMMARY

Results-driven business development professional with 6 years of diverse experience spanning strategic partnerships, team leadership, project management, and business operations. Proven track record of driving substantial revenue growth and implementing operational systems that enhance organizational efficiency.

## PROFESSIONAL EXPERIENCE

**Development Director** – Restaurant Business

**Business Owner & Director**

**Project Manager & Organizer**

**Head of Partnership Department**

**PR Specialist**

**Political Worker**

## KEY ACHIEVEMENTS

- Generated over UAH 10,000,000 in monthly revenue through strategic partnership initiatives and relationship management
- Spearheaded team efforts that achieved 10-fold revenue growth within one year, scaling from UAH 100,000 to UAH 1,000,000
- Designed and implemented comprehensive operational systems including 45 staff efficiency metrics and project-based task management frameworks, driving measurable improvements in income generation and project completion rates

## EDUCATION

**Bachelor of International Relations**

## LANGUAGES

- Ukrainian – Fluent
- Russian – Fluent
- English – B2/C1
- German – Beginner
- Spanish – Beginner"
14907,"# PROFESSIONAL RESUME

**EXECUTIVE PROFILE**

Results-driven leader with 16+ years of experience spanning investment banking, business development, and cryptocurrency. Proven track record of scaling products, managing high-performance portfolios, and driving systematic organizational transformation. Seeking CEO, Head of Product, CTO, or Head of Sales role with emphasis on principal-agent alignment.

**CORE COMPETENCIES**

**Business Transformation & Strategy**
- Systematized business and departmental operations; completed multiple MBA courses
- Led products achieving 10%+ monthly user growth
- Forecasted stock market direction, financial crises, and currency/commodity movements with 1-year accuracy

**Portfolio & Risk Management**
- Managed crypto portfolios using market neutral strategies, achieving 5%+ monthly profitability
- Created algorithmic trading systems targeting 50% annual returns with maximum 5% equity drawdown
- Secured funding for fixed income allocation, venture investments, and directional trading strategies

**Leadership & Communication**
- Analytical, detail-oriented, persistent, and results-focused approach to problem-solving
- Collaborative communicator with demonstrated team leadership capabilities

**TECHNICAL PROFICIENCIES**

**Technologies:** Python, WebSockets, REST APIs, Excel Macros, VPN
**Platforms:** Bloomberg, TradingView, MetaTrader, cTrader, ClickUp, Coda, Jira, Confluence, Miro, Slack, Teams, Discord, Zoom

**PROFESSIONAL EXPERIENCE**

**Head of Liquidity | Crypto Exchange | 2021 – Present**
*Promoted from Business Analyst → Product Manager → Head of Liquidity*
- Led Listings and Liquidity products

**Product Owner & AlgoTrading Developer | Cryptocurrency Sector | 2017 – 2021**
- Designed portfolio allocation systems for Bitcoin and USD positions
- Executed manual trading strategies

**Founder | Cryptocurrency Hedge Fund | 2013 – 2017**

**Analyst → Portfolio Manager | Investment Banking & B2B Sales | 2008 – 2013**
- Gained 2 years of business development experience in B2B banking sales"
14914,"**PROFESSIONAL EXPERIENCE**

**Chief Executive Officer / Project Manager**
LLC «ДБК-7» | 2017 – 2022

- Led team building initiatives and cross-functional coordination to drive organizational performance
- Directed full project lifecycle management from initiation through commissioning
- Managed multi-level negotiations and cultivated relationships with key stakeholders
- Oversaw contractual processes, documentation, and regulatory compliance
- Secured government permits and navigated complex regulatory requirements
- Organized and participated in competitive tender processes
- Developed strategic plans and managed organizational budgets
- Conducted risk analysis and implemented mitigation strategies
- Facilitated meetings and ensured effective communication across departments
- Directed marketing efforts and prepared comprehensive reports
- Successfully delivered projects through final commissioning phase

**Deputy Head, Own Forces Department**
LLC «KAN BUD» | 2012 – 2017

- Coordinated departmental operations and construction site activities
- Implemented cost optimization strategies to maximize profitability
- Streamlined processes and improved operational workflows
- Analyzed financial performance and identified improvement opportunities
- Managed budgeting, tender submissions, contracts, and cost estimates
- Verified and approved ""КБ-2"" documentation
- Directed procurement activities and vendor relationships
- Supervised contractors and project organization partners
- Established project timelines and monitored deadline compliance
- Reviewed and adjusted pricing policies to maintain competitiveness"
14916,"# PROFESSIONAL SUMMARY

Results-driven CEO with 8+ years of experience leading CitySites, a global media management company operating 115 branches across seven countries. Proven expertise in scaling operations, strategic market expansion, and building high-performing teams.

# RECOGNITION

Ranked among Ukraine's Best Young Media Managers by Talent Advisors and mmr.ua in partnership with PwC

# CORE COMPETENCIES

**Leadership & Management**
- Team leadership across multinational operations (up to 200 employees)
- Staff recruitment, training, and development
- Business process analysis and modeling
- Documentation preparation and development

**Business Development**
- Strategic market expansion and entry
- Large-scale project creation and development
- Sales management and customer service optimization
- Presentation delivery and objection handling

**Digital Marketing & Strategy**
- SEO and Internet Marketing
- PPC and Social Media Marketing
- Project management

# PROFESSIONAL EXPERIENCE

**Chief Executive Officer**
CitySites | citysitesglobal.com

- Scaled company operations to 200+ employees across 115 branches in seven countries
- Directed multinational portfolio including 057.ua, inalmaty.kz, comoros24.com, and vilniuje.info

# KEY ATTRIBUTES

Self-motivated and proactive leader with persistent drive toward measurable results and continuous improvement."
14930,"**PROJECT MANAGER & TEAM LEADER**

Certified Project Manager, Scrum Master, and Team Leader with 3+ years of experience managing high-stakes projects for demanding clients including Siemens. Proven track record of delivering projects on time and within budget while exceeding quality standards and client expectations.

**CORE COMPETENCIES**

Project Management | Resource & Budget Management | Team Leadership & Mentoring | Stakeholder Management | .NET & Node.js | Business Requirements Analysis | Quality Assurance | Risk Management | Process Improvement

**PROFESSIONAL EXPERIENCE**

**Project Manager & Team Leader** | 3+ Years

• Reversed client dissatisfaction on two Siemens projects through dedicated management, delivering both on time and within budget—exceeding expectations and securing continued cooperation with expanded project portfolio

• Designed and executed six-month training program for two junior teams, accelerating development from junior to mid-level proficiency in .NET and Node.js, achieving competence equivalent to 2–3 years of professional experience

• Managed end-to-end project lifecycle including timelines, resources, and budgets while maintaining high-quality deliverables

• Developed project plans, established team goals, and delegated tasks while ensuring team members had necessary resources and skills

• Monitored team performance, identified potential risks, and implemented corrective actions to maintain project momentum

• Managed stakeholder relationships and delivered regular progress updates

**Business Analyst** | 2 Years

• Translated client business requirements into actionable user stories and process diagrams

• Partnered with development and UX teams to ensure requirement clarity and design compatibility

• Facilitated client meetings and workshops, identified challenges, and recommended process improvements

**Quality Assurance Engineer** | 2 Years

• Contributed to development of clinical communication tool integrating secure instant messaging with medical imaging

• Supported product development for licensed code identification across multiple projects

• Ensured products met quality standards and specifications"
14932,"# Professional Summary

Blue Prism Certified Professional Developer with 5 years of RPA development experience and full-stack automation expertise. Proven ability to design robust architectures, lead technical teams, and deliver enterprise-scale solutions across multiple regions.

## Core Competencies

- RPA Development & Process Automation
- Process Scope Identification & Architecture Design
- End-to-End Development & Production Support
- Technical Documentation & Knowledge Transfer
- Node.js Back-End Development
- Team Leadership & Project Management

## Professional Experience

**RPA Developer**
- Architected and delivered complex RPA and data processing solution for international client, achieving successful rollout across Europe, Asia, and Australia
- Developed and maintained production RPA processes adhering to industry best practices
- Provided technical support and created comprehensive documentation to enable knowledge transfer

**Project Manager**
- Led cross-functional RPA team delivering automation solutions for global EU client

**Full-Stack Automation Developer**
- Engineered Node.js back-end solutions utilizing Express.js, MS SQL, and Sequelize ORM
- Designed and implemented automated monitoring systems for Blue Prism processes supporting web-based solutions

## Certifications

- Blue Prism Professional Developer"
14939,"# SCRUM MASTER & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Certified Scrum Master with over 8 years of excellence at the world's biggest IT company. Highly skilled in Agile methodologies and Kanban, with successful implementation of Scrum frameworks from inception. Adept at coaching and mentoring teams to achieve optimal performance. Proficient in leveraging Agile/Scrum/Kanban practices to drive project success and in collecting and utilizing diverse Agile metrics using PERF, Azure DevOps, Jira, and XLS.

Comprehensive understanding of Project Management activities, including project timelines, resource planning, roadmap creation, risk management, hiring and staffing initiatives, and project status reporting to clients and management. Skilled in stakeholder management, scope definition, prioritization, and team performance optimization.

## KEY ACHIEVEMENTS

**Project Leadership in Complex Programs**
Guided challenged projects within large programs as Scrum Master. Identified issues and bottlenecks, implemented process improvements, and addressed resource constraints, ensuring on-time delivery and program adherence.

**Dual Role Excellence**
Served as both Scrum Master and Resource Manager for a 34-member team, achieving outstanding results in project delivery and people management.

**Agile Community Leadership**
Contributed to Agile community events, sharing expertise on Agile metrics analysis, Scrum-Kanban integration, effective Retrospectives, and Agile certification preparation.

## CERTIFICATIONS

- Professional Scrum Master II (PSM II)
- Professional Scrum with Kanban I (PSK I)
- Kanban System Design (KSD)"
14947,"# RESUME

**CERTIFICATIONS**
- Project Management Professional (PMP)
- PMI Agile Certified Practitioner (PMI-ACP)
- Professional Scrum Master I (PSM I)

**PROFESSIONAL SUMMARY**

Outcome-focused Program Manager with PMP, PMI-ACP, and PSM I credentials. 8 years of progressive experience leading development teams and delivering web, mobile, and API projects for clients across the USA, Great Britain, and Western Europe. Proven expertise managing delivery cycles for small, mid-sized, and enterprise-level organizations.

**CORE COMPETENCIES**

- Project Team Leadership
- Stakeholder Collaboration
- Client Relationship Management
- Senior Management Collaboration
- Process Development
- People Management
- Problem Solving
- Professional Communication

**PROFESSIONAL PRIORITIES**

- Streamlined organizational processes with minimal bureaucracy
- Work-life balance
- Personal and professional development opportunities
- Competitive compensation"
15180,"# RESUME

**LEADERSHIP & PROJECT MANAGEMENT**

Led cross-functional teams of project managers and IT developers, overseeing 10+ team members. Directed Service Desk system implementation from inception through deployment. Developed and optimized business processes to drive organizational improvement. Managed Pearson VUE certification center modernization project.

**CLOUD JIRA IMPLEMENTATION & ADMINISTRATION**

Spearheaded company-wide Cloud Jira implementation across multiple departments. Designed and built projects within the Cloud Jira platform. Delivered employee training programs on Cloud Jira utilization. Established post-implementation support project to facilitate user adoption and ongoing assistance.

**SERVICE DESK SYSTEMS**

Architected and built Service Desk system from the ground up. Managed full implementation lifecycle including testing, bug identification, and deployment.

**QUALITY ASSURANCE & TESTING**

Executed comprehensive testing and bug detection for Service Desk system. Performed quality assurance testing for mobile food ordering application. Conducted website testing for training company platform.

**COMPLIANCE & PROCESS IMPROVEMENT**

Implemented controls ensuring contemporaneous work time record documentation. Contributed to successful ISO 9001 compliance audits. Contributed to successful ISO 27001 compliance audits. Participated in CISCO Golden Partnership audits."
15240,"# Professional Resume

## Executive Leadership

Chief Operating Officer | Chief Financial Officer | Chief Strategy Officer | Chief Performance Officer

## Senior Management

Senior Project Manager | Senior Business Analyst | Lead Data Scientist

---

## Core Competencies

**Enterprise Resource Planning**
SAP ERP R/3 (SD, MM, PP, FI, CO) | MS Axapta | MS Navision | QuickBooks EE | Sage Line 50 | 1C

**Business Intelligence**
SAP BO | IBM Cognos BI | Tableau | Power BI | Qlik | Dundas | BI Studio

**Data Science & Artificial Intelligence**
Machine Learning | Deep Learning | Natural Language Processing | Text Mining | Computer Vision | Object Detection | Text Recognition | Recommendation Systems | Fraud Detection | Clinical Trials & Diagnostics | Business Statistics | Geolocation Services | 3D Modeling | SparQL

**Technical Tools & Languages**
Python | R | SPSS | SAS | MiniTAB | JMP | OriginPro | Statsgraphics

**Project Management Methodologies**
PMI PMBOK 6 | BABOK | SCRUM | Kanban | Scrumban | SAFe | Lean Six Sigma

**Additional Expertise**
CRM Systems | Digital Marketing | Web Development | Team Performance Management | Code Metrics

---

## Notable Projects

Antonov | MoSi GT Engines | SAP ERP Implementations | Business Intelligence Solutions | AI and Data Science Initiatives

## International Team Leadership

Ukraine | Russia | USA | United Kingdom | Germany | Turkey | India | China | Belarus

## Education

Ph.D. | Double Higher Degree in Economics | Higher Technical Degree | Post-Graduate Degree in Engineering | Post-Graduate Degree in Economics

## Publication

Co-author, first book on SAP and AI (O'Reilly, 2019)"
15339,"# ADVERTISING & COMMUNITY MANAGEMENT PROFESSIONAL

## ADVERTISING PLATFORM EXPERIENCE

**Facebook Ads** | 6 years
**Google Ads** | 2 years
**Yandex.Direct** | 1.5 years
**myTarget** | 1 year
**VK Ads** | 1 year

## CAMPAIGN EXPERTISE

**Social Media & Channel Growth**
- Facebook, Instagram, VKontakte
- Telegram, Viber
- YouTube

**Performance Marketing**
- Website traffic generation
- E-commerce sales optimization for grocery online supermarket
- Mobile app installation campaigns across Google Play and App Store
- Traffic arbitrage monetization
- Social casino player retention

## MANAGEMENT EXPERIENCE

- 3 years leading and scaling teams in community management and monetization
- Demonstrated success growing and monetizing communities across social networks and messaging platforms"
