,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5_Modelclaude-opus-4-5
12447,"# Project Manager

## Professional Experience

**Project Manager | UK Real Estate Startup**
Led delivery of MVP that secured investment from Google. Applied Agile methodologies to optimize demo presentations and achieve successful stakeholder buy-in.

**Project Manager | UK Insurance Startup**
Managed feature delivery across multiple clients under tight deadlines with a consistent team. Implemented priority management strategies to meet competing demands.

**Presales Support**
Partnered with Business Development managers during presale stages to win new projects. Contributed to upselling initiatives as opportunities arose.

**DevOps Team Lead | Production Support**
Managed a DevOps production support team overseeing 800+ environments. Improved response rates, service quality, and expanded support service offerings.

## Client Recognition
Three positive reviews on Clutch for successfully delivered projects.

## Domain Experience
SaaS Solutions (Real Estate, Insurance) · E-commerce (Shopify, Magento 1/2, WordPress) · Mobile Development (iOS, Android, VR Games, Healthcare Applications) · Cloud DevOps & Technical Support · AI-based Solutions

## Business Analysis
Developed specifications and Figma mockups for select projects.

## Preferences
SaaS and mobile solutions · English-speaking clients"
12448,"# BUSINESS ANALYST | PROJECT MANAGER

**7 Years of Combined Experience** — 5 Years as Business Analyst, 2 Years as Project Manager

---

## KEY ACHIEVEMENTS

- Built and led a team from the ground up for an innovative project, achieving 96% on-time feature delivery across 2 years of development (verified through Jira reports)
- Designed UI/UX solutions based on original mockups for multiple projects, driving measurable improvements in customer satisfaction (confirmed through customer surveys)
- Successfully relaunched a complex billing system interface serving 100,000+ users with zero disruption
- Delivered comprehensive mockups and requirements for Ukraine's largest petroleum company, resulting in successful project launch and ongoing operations

---

## CORE COMPETENCIES

**Analysis & Design**
Mockup and Prototype Development | Business Requirements and Specifications | Market and Competitor Analysis

**Project Delivery**
Roadmap Creation and Backlog Structuring (Epics, User Stories) | Requirements Management | Project Development Lifecycle Management

**Documentation**
User Guides | FAQs | Technical Specifications

---

## DOMAIN EXPERTISE

Online Services | E-commerce | Manufacturing | CRM/ERP | Education | Automotive

---

## AVAILABILITY

Available for part-time engagements and project-based work. Effective collaborator capable of covering business analysis needs without full-time commitment."
12449,"# PROFESSIONAL RESUME

## Objective

Results-driven professional seeking to leverage expertise in Agile project management, business analysis, and cross-functional team leadership to drive successful project delivery.

---

## Core Competencies

**Methodologies & Frameworks:** Agile | Scrum | BPMN

**Technical Skills:** Jira | Balsamiq Mockups | Figma

**Business Analysis:** Requirements Analysis | Requirements Management | Use Cases | User Stories | Customer Journey Mapping

---

## Professional Experience & Capabilities

### Project & Delivery Management
- Lead Agile project management across multiple concurrent projects
- Manage full project lifecycle from initiation through completion
- Oversee budget control and financial reporting

### Business Analysis & Requirements
- Gather, analyze, and manage requirements throughout the project lifecycle
- Establish requirements elicitation, approval, and change control processes
- Develop and document comprehensive user stories
- Monitor and validate solution acceptance

### Process Optimization & Documentation
- Establish and optimize software delivery processes
- Create workflow diagrams, charts, and presentations
- Produce project documentation including Vision and Scope Definition and Software Requirement Specifications

### Team Leadership & Stakeholder Management
- Lead cross-functional teams spanning Development, QA, and Business Analysis
- Resolve conflicts and facilitate collaboration across diverse stakeholders"
12450,"# PROFESSIONAL RESUME

## SUMMARY

Results-driven Analyst with over 7 years of IT industry experience specializing in implementation consulting, business analysis, and project management. Proven expertise in developing and implementing CRM, ERP, and HR core systems, automating recruitment processes, and integrating core banking systems. Adept at managing full project lifecycles and leading stakeholder negotiations to drive successful outcomes.

---

## CORE COMPETENCIES

- Full Project Lifecycle Management
- CRM, ERP & HR Core System Development and Implementation
- Recruitment Process Automation
- Core Banking System Integration
- Stakeholder Negotiation and Engagement
- Implementation Consulting
- Business Analysis

---

## PROFESSIONAL EXPERIENCE

**Analyst / Implementation Consultant / Business Analyst / Project Manager**

*7+ Years of Experience*

- Directed end-to-end project lifecycles, from initiation through successful delivery
- Spearheaded stakeholder negotiations at all levels to ensure alignment and drive project success
- Designed and implemented CRM, ERP, and HR core systems to achieve organizational objectives
- Streamlined recruitment processes through automation, enhancing operational efficiency
- Executed core banking system integrations to elevate business functionality and performance

---

## SKILLS

- Implementation Consulting
- Business Analysis
- Project Management
- Stakeholder Engagement
- System Integration
- Time Management"
12451,"**BUSINESS ANALYST / PROJECT MANAGER**

**Business Analyst / Project Manager** | December 2021 – Present

- Lead end-to-end project management for migration, application upgrade, and disaster recovery test initiatives
- Develop strategic and detailed project plans aligned with organizational objectives
- Drive stakeholder communication at all organizational levels, including executive leadership, delivering status updates, meeting documentation, and critical notifications
- Facilitate cross-functional meetings to maintain project alignment and team coordination
- Conduct requirements gathering, dependency mapping, and risk analysis to inform project decisions
- Produce analytical reports and visualizations encompassing vulnerability assessments, infrastructure status, and test results

**Associate Business Analyst / Project Manager** | June 2021 – December 2021

---

**JUNIOR SOFTWARE ENGINEER** | November 2020 – June 2021

- Managed client communications across global markets, ensuring timely and professional correspondence
- Gathered, documented, and translated business requirements into actionable specifications
- Resolved technical issues involving relational databases and CRM systems
- Triaged incoming tickets and assigned to appropriate resolver groups based on issue classification
- Executed testing protocols for CRM system updates to ensure quality and functionality"
12452,"**PROFESSIONAL EXPERIENCE**

**Project Manager**

- Drove end-to-end project delivery by gathering requirements through direct customer collaboration, defining scope, objectives, and stakeholder-aligned timelines
- Authored comprehensive documentation including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Optimized resource utilization by strategically allocating tasks across project teams and tracking milestones through all phases
- Led cross-functional coordination and facilitated Scrum meetings to ensure seamless departmental collaboration and agile workflow alignment
- Managed multiple concurrent projects while balancing competing priorities and maintaining proactive customer communication throughout the project lifecycle
- Consistently delivered projects on schedule, meeting established deadlines and objectives

---

**WHAT I VALUE IN A WORKPLACE**

- Challenging work that drives continuous learning
- Collaborative, transparent environment
- Professional growth opportunities"
12453,"# BUSINESS ANALYST / PROJECT MANAGER

## PROFESSIONAL SUMMARY

Business Analyst and Project Manager with 7+ years of experience in traffic arbitrage, website development, and fintech. Proven expertise across fintech, health and beauty, gambling, e-commerce, tourism, manufacturing, and consulting industries. Consistent track record of delivering projects on time, within budget, and to high quality standards.

## OBJECTIVE

Seeking a Business Analyst or hybrid PM/BA position working with user-focused products.

## CURRENT POSITION

**Business Analyst** | Fintech (Crypto) | 9 months

- Conduct requirements analysis and gathering across cross-functional teams
- Serve as liaison between IT department, designers, and stakeholders
- Author and maintain technical specifications and documentation

## KEY ACHIEVEMENTS

**Arbitration Team**
- Built operational processes generating $90,000–$160,000+ in monthly profit

**Sales Doubler**
- Developed landing page and promotional materials for Financial Storm 3.0 contest (3,000,000 UAH budget) within a two-week deadline

**Zhansaya Sanatorium (Kazakhstan)**
- Generated 412 applications and calls in 22 business days at $0.30 cost per potential client
- Achieved 4% visitor-to-conversion rate
- Implemented CRM system to streamline client management

**Vintage**
- Delivered timely releases and customer support for clients including Oshadbank and Totis

## SKILLS

Requirements Gathering & Analysis | Stakeholder Communication | UX/UI Understanding & Prototyping | Technical Specification & Documentation | Pre-design Studies | Agile, Scrum, Kanban | Multi-project Management | Team Organization & Leadership | Decision-making & Accountability

## TOOLS

JIRA | Confluence | YouTrack | Monday | Bitrix | Redmine | Trello | Balsamiq | Moqups | Draw.io | Figma"
12454,"# PROFESSIONAL SUMMARY

Results-driven professional with a BA and diverse experience spanning project management, commercial intelligence research, and market analysis. Proven ability to lead cross-functional teams, conduct comprehensive research, and deliver measurable results—including improving staff training outcomes from 52% to 93%. Strong analytical and communication skills with a commitment to continuous professional development.

---

# EMPLOYMENT HISTORY

**Project Manager**
ArtHome | Dnipro, Ukraine | June 2019 – January 2020

- Led Scrum team through full project lifecycle, from planning and execution to final delivery
- Developed and monitored Gantt charts to track milestones and ensure on-time project completion
- Created comprehensive project plans, stage plans, and contingency strategies to identify and mitigate risk
- Managed project budgets, cost estimation, and resource allocation, initiating corrective actions as needed
- Cultivated strategic relationships with Ukrainian artists and interior designers to support business objectives
- Conducted post-project evaluation reviews and developed actionable follow-on recommendations
- Designed company website using Tilda; managed social media presence and partner communications

**Researcher, Commercial Intelligence**
Noosphere | Dnipro, Ukraine | April 2019 – July 2019

- Conducted vertical research and market niche reviews to inform product launch strategy
- Performed country-specific market analysis and open-source intelligence gathering on IT companies, entrepreneurs, and industry events
- Analyzed venture capital deals to identify emerging investment trends
- Prepared detailed company and individual profiles, uncovering key connections through investigative research

**Auditor**
Bartolomeo Resort

- Conducted comprehensive audits of resort operations
- Elevated staff training pass rates from 52% to 93% through targeted assessment and improvement initiatives

**Market Analyst, Global Fertilizer Market**

- Engaged directly with key market players and industry stakeholders
- Prepared analytical reports on market trends, developments, and competitive dynamics

---

# SKILLS

Project Management | Scrum Methodology | Gantt Chart Development | Risk Management | Contingency Planning | Budget Development | Cost Estimation | Open-Source Intelligence Research | Market Analysis | Competitive Analysis | Stakeholder Communication | Website Development (Tilda)"
12455,"# PROFESSIONAL SUMMARY

Results-driven Project Manager with 5+ years of experience in FinTech and Logistics, specializing in client onboarding, platform integration, process optimization, and cross-functional team coordination. Proven track record of driving profitability through automation and delivering seamless client experiences.

---

# EXPERIENCE

## Lead Account Project Manager
**FinTech Industry**
*January 2022 – Present*

- Spearhead account project management initiatives for platform client integration, defining comprehensive launch plans and delivering compelling product demonstrations to drive successful client onboarding
- Provide strategic consultative support during sales engagements, analyzing customer needs and translating feature requests into actionable business and technical requirements for development teams
- Manage end-to-end client task backlogs encompassing analysis, specification, scheduling, implementation control, testing, and delivery
- Analyze API documentation and validate technical requirements against client specifications using Postman

## Account Project Manager
**FinTech Industry**
*October 2019 – December 2021*

- Onboarded and integrated new clients to platform, delivering consultative guidance on API documentation and implementation best practices
- Created and managed tasks in Jira while documenting processes using BPMN methodology and Confluence

## Project Manager
**UVK Ukraine | Transport & Logistics**
*June 2017 – October 2019*

- Drove container turnover profitability from 0% to 40% through strategic process automation and operational loss reduction initiatives
- Managed client relationships and conducted container reconciliations across a portfolio of 40 clients and 23 regional offices
- Authored technical specifications for developers, monitored implementation timelines, executed testing protocols, and prepared regulatory documents and work instructions
- Consistently achieved KPI targets throughout tenure"
12456,"**PROFESSIONAL SUMMARY**

Results-driven professional with expertise in project management, data analysis, and IT solutions. Led CRM and ERP system implementations for a logistics company while driving sales growth and resolving complex operational challenges. Committed to transparency, ethical practices, and delivering measurable value.

---

**KEY COMPETENCIES**

Data Analysis, Evaluation & Planning | Budget Planning & Analysis | Project Risk Management | Time & Scope Management | Stakeholder Communication | Team Leadership & Oversight

---

**PROFESSIONAL EXPERIENCE**

**Project Management & Business Analysis**

- Led CRM and ERP system implementation for a logistics company, coordinating cross-functional teams from planning through execution
- Improved company sales plan achievement through strategic project initiatives
- Diagnosed internal operational challenges and implemented targeted IT solutions to resolve them
- Authored user stories and prioritized product backlog to align development team execution with business objectives
- Translated complex technical problems into actionable solutions through close partnership with business stakeholders
- Served as key decision-maker for product features and functionality
- Delivered comprehensive reports to department heads and senior management
- Directed project teams while managing timelines, scope, and risk mitigation strategies
- Balanced ongoing project maintenance with new initiative development

---

**PROFESSIONAL VALUES**

Dedicated to transparency in project management, budgeting, and issue resolution. Strong interest in contributing to NGO and mission-driven projects."
12457,"**PROFESSIONAL SUMMARY**

Business Analyst with 10 years of experience delivering solutions across varying scales, complexity levels, and business objectives. A foundation as a QA Engineer provides deep SDLC expertise, enabling rapid identification of client needs and market requirements to architect solutions aligned with strategic drivers.

**CORE COMPETENCIES**

Business Analysis | Requirements Gathering | Solution Design | SDLC | Project Management | Architecture Planning | Stakeholder Training | System Deployment | Pre-Sales & Proposal Development | Client Engagement

**EXPERIENCE HIGHLIGHTS**

**Business Analysis & Project Management**
- Served in dual Business Analyst and Project Manager capacity, bridging strategic planning with hands-on execution
- Partnered with technical experts to develop product concepts and plan solution architecture
- Designed and delivered user training programs; managed end-to-end system deployment

**Engagement Management & Pre-Sales**
- Drove full-cycle pre-sales activities from initial client engagement through proposal delivery
- Conducted comprehensive scope analyses to define project parameters and align client expectations

**Entrepreneurship**
- Founded and operated independent business venture, establishing operational processes from inception
- Developed end-to-end expertise across sales lifecycle and business operations

**CAREER FOUNDATION**

**QA Engineer** | 4 Years

Built technical foundation in quality assurance with comprehensive understanding of software development lifecycle methodologies."
12458,"**Professional Experience**

**Product Manager**

• Translated stakeholder requirements into comprehensive user stories and use cases, ensuring alignment between business needs and development priorities

• Built product roadmap, user flows, and permission structure for SaaS platform from inception through delivery

• Partnered with design team to enhance user experience across the product lifecycle

• Owned Product and Sprint Backlog management, driving user story decomposition and strategic prioritization to maximize value delivery

• Led Agile ceremonies including daily standups, backlog grooming sessions, and retrospectives, fostering team collaboration and continuous improvement

• Established data delivery specifications bridging data science and backend engineering teams, enabling seamless cross-functional collaboration

• Maintained comprehensive product documentation to support stakeholder communication and team alignment"
12459,"# Alex

**Project Manager | Marrix Power**

Seeking Business Analysis Opportunities

---

## Professional Summary

Project Manager with proven expertise in end-to-end project delivery, from initial concept through planning and execution. Combines strong requirements gathering and documentation skills with thorough feasibility assessment capabilities to transform business ideas into actionable, development-ready project plans.

---

## Experience

**Project Manager | Marrix Power**

- Led 16 projects through complete lifecycle, encompassing ideation, feasibility analysis, design preparation, planning, and development phases
- Directed cross-functional teams of 3–5 members per project, aligning deliverables with strategic business objectives
- Elicited, analyzed, and documented requirements across all assigned projects, translating stakeholder needs into clear specifications
- Maintained consistent stakeholder communication throughout project lifecycles, driving client alignment and satisfaction

---

## Core Competencies

- Project Management & Lifecycle Oversight
- Requirements Gathering & Documentation
- Stakeholder Communication & Client Relations
- Feasibility Analysis & Assessment
- Strategic Project Planning"
12460,"# Sales Manager | Project Manager | Business Analyst

Results-driven professional with 4 years of experience delivering measurable outcomes across sales management, project management, and business analysis. Proven ability to manage cross-functional teams, cultivate lasting client relationships, and translate complex business requirements into actionable solutions.

---

## Core Competencies

**Sales & Client Relations**
- Client nurturing, engagement, and relationship management
- Strategic upselling initiatives

**Project & Team Leadership**
- Development team and stakeholder management
- Cross-functional collaboration and alignment

**Business Analysis**
- Requirements elicitation and definition
- User stories and use cases development
- Business process modeling (BPMN) using draw.io and Camunda
- Interactive prototyping and wireframing using MockingBot and Figma
- Technical documentation development and validation

---

## Professional Experience

**Sales Manager | Project Manager | Business Analyst**
*4 Years*

Led cross-functional teams while managing stakeholder relationships and driving consistent sales growth. Cultivated and maintained client relationships through strategic engagement and targeted upselling initiatives. Delivered end-to-end business analysis across multiple projects, encompassing requirements gathering, business process modeling, interactive prototyping, and technical documentation development and validation.

---

Open to new opportunities and eager to take on new challenges."
12461,"**Professional Experience**

Drive end-to-end project implementation with full accountability for delivering client requirements on time and within budget.

**Requirements Analysis & Documentation**
- Elicit, elaborate, and document business and functional requirements through user stories, process flow diagrams, block diagrams, and wireframes using Visio
- Manage client requirements, new requests, and change requests in Confluence, securing client approvals on scope and estimations

**Cross-Functional Collaboration**
- Partner with Developers, Engineers, and QA teams to define solution architecture, estimations, and acceptance criteria
- Prototype solutions and deliver presentations to clients and internal stakeholders

**Agile Project Management**
- Plan sprint scope and prioritize tasks in Jira
- Lead sprint planning and retrospectives, ensuring alignment with priorities and timelines
- Track progress and deliver status reports to stakeholders

**Quality Assurance & Client Delivery**
- Develop use cases and test scenarios; review test results with QA
- Conduct solution testing prior to deployment
- Present solutions to clients and facilitate User Acceptance Testing, ensuring customer satisfaction and sign-off"
12462,"**PROFESSIONAL EXPERIENCE**

**System Analyst**

Platform application supporting app creation, server management, and front-end library integration via API

- Delivered technical solutions achieving up to 90% reduction from initial time estimates
- Provided strategic counsel to senior leadership, successfully advocating for improved technical approaches
- Streamlined technical documentation processes, reducing manual workload
- Assumed Team Lead responsibilities during TL absence

**Documentation & Analysis**
- Authored Business Requirements Documents, Software Requirements Specifications, API Specifications, and User Guides
- Designed database structures and managed backlog estimation and prioritization

**Quality Assurance**
- Executed API, manual, and automated testing including smoke tests, regression tests, test cases, and test scenarios
- Prepared release notes and delivery protocols

**Stakeholder Engagement & Continuous Improvement**
- Facilitated demonstration meetings presenting completed work to stakeholders
- Led retrospective meetings driving continuous improvement initiatives"
12463,"# RESUME

## Education

**LPNU** — Bachelor's Degree

**Academic Projects:**
- Led end-to-end problem analysis initiatives, developing actionable solutions through strategic prototyping and persona creation while producing comprehensive use case documentation with supporting diagrams
- Conducted thorough AS-IS state analysis of organizational processes and architected TO-BE state transformation recommendations
- Applied structured requirement elicitation techniques to gather and define project specifications
- Completed machine learning coursework, building foundational knowledge in data-driven methodologies

---

## Professional Experience

**Java Developer Intern**
novomind | Germany | 3 months

- Designed and developed software solutions to resolve assigned technical cases, delivering functional code within project timelines
- Collaborated within an Agile development environment, contributing to sprint planning, iterative development cycles, and team problem-solving sessions
- Communicated effectively in English with cross-functional team members and stakeholders throughout project lifecycles"
12464,"**PROFESSIONAL EXPERIENCE**

**Project Manager / Business Analyst** (1 year)

- Managed full lifecycle processes across multiple concurrent projects, ensuring alignment between business objectives and technical execution
- Elicited and analyzed requirements through stakeholder interviews, workflow analysis, business modeling, documentation, and structured review sessions
- Served as Scrum Master, maintaining and coordinating Agile development processes across cross-functional teams
- Tracked progress, monitored risks, and managed change through backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Translated stakeholder requirements into user stories, use cases, visual models, functional requirement specifications, and system requirement specifications
- Facilitated communication and alignment among diverse stakeholder groups to drive consensus and project success
- Established technical standards governing development processes

**Business Owner** (5 years)

- Founded and operated international e-commerce business with US market presence and China-based production
- Directed day-to-day operations encompassing customer support, procurement, promotional campaigns, and end-to-end logistics
- Negotiated contracts with suppliers and contractors to optimize costs while maintaining quality standards
- Pivoted business strategy in response to evolving market conditions, demonstrating adaptability and strategic decision-making

**Efficiency Manager** (1.5 years)

- Re-engineered business processes through comprehensive analysis of scope, business rules, existing practices, and alternative approaches
- Designed new functionality for internal ERP system, driving measurable improvements in operational efficiency
- Designed and implemented routing system for Sales Departments
- Authored technical specifications to guide development team execution
- Led employee training initiatives during organizational change integration

**ENTREPRENEURIAL EXPERIENCE**

- Co-created software solution, business model, and operational procedures for a delivery service, guiding the venture from inception through successful launch"
12465,"**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Project Manager with over 6 years of commercial experience spanning retail, healthcare, and sales and marketing sectors. Combines strong technical expertise in ERP/CRM systems with exceptional communication and organizational skills to deliver measurable business outcomes.

---

**CORE COMPETENCIES**

Business Analysis | Project Management | ERP/CRM Systems Implementation & Management | IT Outsourcing | Cross-Functional Team Collaboration | Stakeholder Communication | Strategic Planning & Execution

---

**PROFESSIONAL EXPERIENCE**

**Industry Experience**

- Retail: 6 years
- ERP/CRM Systems: 5 years
- Healthcare: 2 years
- Sales & Marketing: 2 years

**Functional Experience**

- Project Management: 2 years
- IT Outsourcing: 2+ years

---

**KEY STRENGTHS**

- Drives projects from conception through completion with a disciplined, goal-oriented approach
- Delivers strong analytical and problem-solving capabilities across complex business challenges
- Communicates effectively with stakeholders at all organizational levels
- Adapts quickly across industries while maintaining focus on company objectives"
12466,"# PROFESSIONAL RESUME

## SKILLS

**Analytical & Technical**
- Complex problem analysis and resolution
- Statistical analysis and data interpretation
- Trend and pattern identification
- Business process optimization, modeling, and documentation

**Tools & Technologies**
- Advanced proficiency in Excel and PowerPoint
- QlikView and QlikSense BI tools
- E-procurement systems (ProZorro)
- Open Contracting Data Standard

**Management & Communication**
- Project management
- Negotiation and conflict resolution
- Strong communication and presentation skills
- Stakeholder engagement across diverse client groups
- Public speaking and training delivery

**Work Style**
- Effective in independent and collaborative environments
- Skilled at managing multiple concurrent engagements

**Languages**
- Ukrainian: Native
- English: Fluent
- Russian: Fluent
- German: Basic

## PROFESSIONAL EXPERIENCE

**E-Procurement Analytics & Monitoring Specialist**

Analyzed public procurement procedures using QlikView and QlikSense BI tools to identify compliance issues and support investigations. Monitored the ProZorro e-procurement system, producing compliance reports for government institutions. Contributed to developing an e-procurement risk indicators system. Authored terms of reference and technical requirements aligned with the Open Contracting Data Standard. Delivered trend analysis and strategic reports on public procurement to government stakeholders. Engaged with BI users, procurers, suppliers, controllers, and clients to communicate insights and recommendations. Presented as a BI expert at public events, conferences, and lectures.

**Research & Strategic Development Analyst**

Conducted research and authored analytical reports on procurement effectiveness. Performed functional analysis and benchmarked international best practices of central purchasing bodies. Developed strategic proposals for Ukraine's Central Purchasing Body. Optimized and documented business processes.

**Technical Documentation & Data Processing Specialist**

Developed terms of reference, technical requirements, and specifications for construction and equipment. Designed and implemented data processing solutions. Verified, compiled, and processed catalogues and procurement data."
12467,"**PROFESSIONAL SUMMARY**

Business Analyst with pre-sales and delivery expertise, combining technical proficiency with business acumen developed through Marketing Analyst and Marketing Coordinator roles in FMCG. Delivers end-to-end project ownership, performing both Business Analyst and Project Manager functions with a client-oriented approach.

**SKILLS**

**Business Analysis:** SRS, Use Cases, UML, Backlog Management, User Stories, Acceptance Criteria, UX

**Methodologies:** Agile, Scrum

**Technical:** MySQL, HTML, CSS

**Certification:** Agile Certified Professional (ICAgile)

**EXPERIENCE**

**Business Analyst** | Current Position

- Lead business analysis activities across pre-sales and delivery phases
- Manage dual Business Analyst and Project Manager responsibilities
- Apply client-oriented methodology and business expertise to drive project success

**Marketing Analyst / Marketing Coordinator** | FMCG Industry

- Cultivated client-oriented approach and cross-functional business understanding
- Established foundation in stakeholder management and analytical thinking

**CAREER OBJECTIVE**

Seeking challenging projects with a dynamic company in a fast-changing environment."
12468,"# Business Analyst & Project Manager

## Professional Summary

Results-driven Business Analyst and Project Manager with three years of Healthcare domain experience. Combines strong proficiency in BI tools with the ability to rapidly master complex technical project details. Leverages analytical expertise and soft skills training background to foster collaborative team environments, resolve conflicts effectively, and drive projects to successful completion across all execution stages.

## Core Competencies

**Analysis & Strategy**
- Business Analysis
- Business Intelligence Tools
- Healthcare Domain Expertise

**Leadership & Delivery**
- Project Management
- Team Collaboration & Support
- Conflict Resolution
- Training & Facilitation"
12469,"# PROFESSIONAL EXPERIENCE

**Freelance Translator & Proofreader**

- Translate and proofread reports, presentations, and websites between English and target languages for leading healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS
- Deliver accurate, industry-specific translations requiring specialized terminology and regulatory awareness

**Online English Instructor**

- Deliver personalized English language instruction via Zoom and various online learning platforms
- Develop individualized educational plans tailored to student learning objectives and proficiency levels
- Conduct ongoing assessment and evaluation to track progress and optimize learning outcomes
- Leverage Google tools and digital resources to enhance the learning experience"
12470,"# PROFESSIONAL SUMMARY

Versatile product professional with experience supporting startups and established products through the full product lifecycle. Skilled in product validation, user research, strategic planning, and design team leadership. Driven to contribute to complex, multi-platform projects while advancing business analysis expertise.

---

# EXPERIENCE

**Product Consultant**

- Partner with founders to validate product concepts and assess market viability
- Conduct user research to inform product decisions and enhance user experience
- Develop and execute product strategies aligned with business objectives
- Lead design teams to deliver cohesive product outcomes

---

# OBJECTIVE

Seeking a role within an innovative organization that offers complex, multi-platform projects and opportunities for continued professional growth in business analysis."
12471,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7+ years of IT project management expertise. Combines strategic planning acumen with hands-on technical proficiency across SEO, UX/UI, and digital product development. Proven ability to scale operations from startup environments to enterprise organizations of 8,000+ employees while delivering exceptional customer experiences and managing complex stakeholder relationships.

---

# KEY ACHIEVEMENTS

- Led cross-functional teams of up to 15 members across in-house and remote environments
- Spearheaded development of 9 new internet projects while optimizing 22+ existing digital products
- Engineered workflow processes that eliminated overtime requirements and aligned deliverables with client pipelines
- Negotiated complex budgets and deadlines, fostering long-term client partnerships
- Built high-performance team cultures that drove productivity and collaboration

---

# PROFESSIONAL EXPERIENCE

**Project Management & Leadership**

- Directed 3–10 concurrent projects in both in-house and digital agency settings
- Orchestrated cross-functional collaboration among developers, designers, copywriters, and advertising specialists
- Authored comprehensive user stories and business requirements documentation
- Executed end-to-end quality assurance: task acceptance, functional testing, and usability testing
- Developed commercial proposals and managed strategic business correspondence
- Designed UI components for individual blocks and pages

**Industry Expertise**

Education · Educational Tourism · Medical Tourism · Sailing · Tourism · Showbiz · E-commerce · Fintech

**Market Experience**

B2C and B2B clients across Ukrainian and international markets, including Arab countries, China, Great Britain, and USA

---

# TECHNICAL SKILLS

**Methodologies:** Agile, Scrum, Kanban, BPMN

**Project Management:** Jira, Confluence, Asana, CRM, ERP

**Analytics & Marketing:** Google Analytics, Hotjar, Power BI, SEO, Email Marketing, VCC

**Design & Development:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, WordPress, Drupal, HTML, CSS

**Quality Assurance:** Functional Testing, Usability Testing"
12472,"**PROFESSIONAL SUMMARY**

Founder and Managing Director with 9 years of experience leading a web studio. Proven track record combining project management and business analysis expertise with hands-on technical and sales capabilities. Skilled in building and managing cross-functional teams of 5 to 20 employees while delivering diverse digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

---

**SKILLS**

**Project Management:** Agile, Scrum, Jira, Trello, Product Roadmap, Product Management, Resource Allocation, Stakeholder Communication

**Business Analysis:** Requirements Gathering, User Stories, Mockups, UX/UI, Technical Specifications, Analytics, B2B Solutions

**Technical:** HTML, PHP, MySQL, Manual Testing

**Sales & Business Development:** Client Relationship Management, Full Business Development Lifecycle, Marketing

---

**PROFESSIONAL EXPERIENCE**

**Founder & Managing Director**
Web Studio | 9 Years

- Founded and scaled a web studio from inception through sustained growth, directing all business operations
- Built and managed cross-functional teams of 5 to 20 employees, overseeing multiple concurrent projects
- Led end-to-end project management: scope definition, timeline planning, resource allocation, and stakeholder communication
- Conducted comprehensive business analysis including requirements gathering, user story development, mockup creation, and translation of client needs into technical specifications
- Delivered diverse digital solutions: online stores, B2B web applications, billing systems, and cryptocurrency exchanges
- Drove sales initiatives and cultivated client relationships throughout the full business development lifecycle

---

**OBJECTIVE**

Seeking a Business Analyst or Project Manager position within a large IT company to leverage 9 years of entrepreneurial experience leading digital projects and cross-functional teams."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

Results-driven Business Analyst and Project Manager with 6+ years of experience delivering 50+ projects across cross-functional teams of 2-7 members. Proven expertise managing budgets up to $250,000 while applying Scrum, Kanban, and Waterfall methodologies. Hands-on Product Owner experience gained in an IT startup environment.

---

## CORE COMPETENCIES

**Project Management:** Scrum | Kanban | Waterfall | Lean

**Process Modeling:** BPMN | MS Visio

**Project Tools:** Jira | Asana | Trello

**Technical Skills:** SQL | Java (basic)

**Documentation:** Google Docs | Excel

**Collaboration:** Zoom | MS Teams | Google Meet

---

## PROFESSIONAL STRENGTHS

- Cross-functional team leadership and people management
- Analytical and strategic thinking
- Business process systematization and optimization
- Creative problem-solving with a goal-oriented approach

---

## LANGUAGES

English – B1

---

## OBJECTIVE

Seeking to leverage extensive expertise in business analysis and project management within a values-aligned organization committed to operational excellence."
