,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
12460,"# Professional Resume

## Summary

Versatile professional with 4 years of experience spanning Sales Management, Project Management, and Business Analysis. Skilled at managing teams, clients, and stakeholders while delivering results across the full project lifecycle.

## Core Competencies

- Client Engagement, Nurturing & Relationship Management
- Development Team & Stakeholder Management
- Requirements Elicitation & Definition
- User Stories & Use Cases Development
- Interactive Prototyping & Wireframing
- Technical Documentation Development & Validation
- Upselling & Business Development
- Business Process Modeling

## Technical Skills

- **Prototyping & Design:** Figma, MockingBot
- **Process Modeling:** Draw.io, Camunda (BPMN)

## Professional Experience

**Sales Manager / Project Manager / Business Analyst**
*4 Years*

- Managed end-to-end client relationships, guiding engagements from initial contact through delivery and ongoing support
- Led cross-functional development teams while coordinating stakeholder communication and alignment
- Designed interactive prototypes and wireframes to visualize solutions and accelerate stakeholder buy-in
- Built business process models using BPMN methodology to clarify workflows and identify optimization opportunities
- Elicited, defined, and documented requirements through stakeholder interviews and collaborative workshops
- Authored user stories and use cases to translate business needs into actionable development guidance
- Produced and validated technical documentation to ensure accuracy and support seamless handoffs
- Drove revenue growth by identifying upselling opportunities within existing client accounts"
12461,"**Business Analyst**

Results-driven Business Analyst with expertise in end-to-end project implementation, delivering customer requirements within agreed timelines and budget.

**Core Competencies**

Requirements Engineering | Stakeholder Collaboration | Agile Project Delivery | Solution Validation

**Professional Experience**

**Requirements Analysis & Documentation**
- Elicit, elaborate, and document business and functional requirements through user stories, process flow diagrams, block diagrams in Visio, and wireframes
- Manage client requirements including new requests and change requests in Confluence; obtain client approvals on scope and estimations

**Cross-Functional Collaboration**
- Collaborate with Developers, Engineers, and QA on solution architecture, estimation, and acceptance criteria
- Prototype solutions for client and team presentations

**Agile Delivery & Project Management**
- Plan sprint scope in Jira through task prioritization
- Participate in sprint planning and retrospectives to ensure alignment with agreed priorities and timelines
- Track and report project progress to stakeholders

**Quality Assurance & Client Delivery**
- Create use cases and test scenarios; review test results with QA
- Validate custom solutions prior to deployment
- Present solutions to clients; support User Acceptance Testing to ensure customer satisfaction and acceptance"
12462,"**SYSTEM ANALYST**

---

**KEY ACHIEVEMENTS**

- Delivered technical solutions that reduced project timelines by up to 90% against initial estimates
- Drove adoption of improved technical approaches through strategic collaboration with senior leadership
- Optimized technical documentation processes, minimizing manual effort and elevating team efficiency

---

**PROFESSIONAL EXPERIENCE**

**System Analyst**

Contributed to the development of a core application platform serving as a template for application creation, server management, and front-end libraries, enabling seamless API integration across multiple applications.

**Documentation & Analysis**
- Authored Business Requirements Documents, Software Requirements Specifications, API Specifications, and User Guides
- Produced Release Notes and Delivery Protocols to support deployment processes

**Technical Design & Testing**
- Designed database structures to support application requirements
- Executed API testing, manual testing, and automated testing protocols
- Developed Smoke Scope and Regression test cases and comprehensive test scenarios

**Project Coordination**
- Estimated and prioritized Backlog Requests to align with project objectives
- Conducted demonstration meetings to present completed deliverables to stakeholders
- Facilitated Retrospective meetings to drive continuous improvement
- Served as acting Team Lead during TL absence, maintaining team productivity and coordination"
12463,"**EDUCATION**

**Lviv Polytechnic National University (LPNU)**
Bachelor of Arts

**Academic Projects**
- Led end-to-end problem analysis initiatives, delivering solutions through strategic prototyping and persona development while producing comprehensive system design documentation including use case diagrams
- Executed thorough AS-IS state assessments and architected TO-BE state recommendations driving organizational improvement
- Applied advanced requirement elicitation techniques to gather and define project specifications
- Implemented machine learning methodologies to develop data-driven solutions

---

**PROFESSIONAL EXPERIENCE**

**Java Developer Intern**
novomind | Germany | 3 months

- Designed and developed software solutions to resolve assigned technical cases
- Contributed as an active member within a collaborative Agile team environment
- Maintained professional English communication with international colleagues across cross-functional teams"
12464,"**PROFESSIONAL EXPERIENCE**

**Project Manager / Business Analyst** (1 year)

- Managed full lifecycle processes across multiple projects while serving as Scrum Master
- Gathered and analyzed requirements through stakeholder interviews, workflow analysis, business modeling, documentation, and requirements review sessions
- Transformed stakeholder requirements into user stories, use cases, visual models, functional requirements specifications, and system requirements specifications
- Tracked progress, monitored risks, and managed change using backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Facilitated communication among multiple stakeholders and composed technical standards for development processes

**Business Owner** (5 years)

- Built and operated e-commerce business selling products in the US market, sourced from China
- Managed day-to-day operations including customer support, procurement, promotions, and logistics
- Negotiated with suppliers and contractors and adapted business strategy to changing market conditions

**Efficiency Manager** (1.5 years)

- Re-engineered business processes by analyzing scope, business rules, existing practices, and alternatives
- Designed new functionality for internal ERP system and implemented routing system for Sales Departments
- Authored technical specifications for development team and trained employees during change integration initiatives

**ENTREPRENEURIAL EXPERIENCE**

- Co-created software, business model, and operational procedures for a new delivery service from inception"
12465,"**BUSINESS ANALYST | PROJECT MANAGER**

Proactive, results-driven Business Analyst and Project Manager with over 6 years of commercial experience across retail, healthcare, and IT outsourcing. Combines strong technical acumen with exceptional communication and organizational skills to deliver measurable outcomes aligned with strategic objectives.

---

**CORE COMPETENCIES**

Business Analysis & Requirements Gathering | Project Management | ERP/CRM Implementation & Management | IT Outsourcing | Cross-Functional Team Leadership | Stakeholder Communication | Sales & Marketing Strategy

---

**PROFESSIONAL EXPERIENCE**

**Industry Experience**

**Retail** | 6 Years
- Delivered business analysis and project management across retail operations
- Managed ERP/CRM system implementations and ongoing optimization

**ERP/CRM Systems** | 5 Years
- Led system implementation, configuration, and management initiatives
- Collaborated with cross-functional teams to align technology with business requirements

**IT Outsourcing** | 2+ Years
- Coordinated outsourced IT projects and vendor relationships
- Ensured deliverables met quality standards and timelines

**Healthcare** | 2 Years
- Applied business analysis methodologies within healthcare environments
- Supported project delivery and stakeholder communication

**Sales & Marketing** | 2 Years
- Contributed analytical and project management expertise to sales and marketing initiatives

**Project Management** | 2 Years
- Managed end-to-end project lifecycles
- Facilitated stakeholder alignment and cross-functional collaboration"
12466,"# [NAME]

## Skills

- Advanced analytical capabilities in complex problem-solving and data interpretation
- Project management and cross-functional stakeholder coordination
- Statistical analysis, business intelligence, and data-driven decision support
- Business process optimization and modeling
- Excellent communication, presentation, and negotiation abilities
- Conflict resolution and collaborative team leadership
- Proven ability to manage multiple engagements independently and within teams
- Advanced proficiency in Excel, PowerPoint, QlikView, and QlikSense
- Languages: Ukrainian (native), English (fluent), Russian (fluent), German (basic)

## Professional Experience

**Public Procurement Analyst & BI Specialist**

- Developed and implemented risk indicators system for e-procurement monitoring and fraud prevention
- Built trend analysis frameworks and strategic reports on public procurement for government institutions
- Analyzed and interpreted complex patterns in procurement data to support policy decisions
- Monitored ProZorro e-procurement system for compliance, reporting, research, and investigations using QlikView and QlikSense
- Researched international best practices of central purchasing bodies to develop strategic proposals for Ukraine's Central Purchasing Body
- Managed stakeholder relationships across BI users, procurers, suppliers, and controllers
- Delivered presentations at public events, conferences, and lectures as subject matter expert

**Technical & Data Specialist**

- Developed terms of reference and technical requirements aligned with Open Contracting Data Standard
- Designed and implemented data processing systems for analytical reporting
- Created specifications for construction and equipment projects
- Conducted functional and effectiveness analysis to optimize business processes
- Verified and compiled data to ensure accuracy and integrity in reporting"
12467,"**PROFESSIONAL SUMMARY**

Business Analyst combining pre-sales and delivery expertise with strong business acumen developed through Marketing Analyst and Marketing Coordinator experience in FMCG. Client-oriented professional performing both Business Analyst and Project Manager functions across the full project lifecycle.

**SKILLS**

**Business Analysis:** SRS, Use Cases, UML, Backlog Management, User Stories, Acceptance Criteria, UX

**Methodologies:** Agile, Scrum | IC Agile Certified Professional

**Technical:** MySQL, HTML, CSS

**EXPERIENCE**

- Lead end-to-end involvement across pre-sales process and project delivery
- Perform dual Business Analyst and Project Manager functions
- Leverage FMCG industry expertise to drive client-focused solutions

**CAREER BACKGROUND**

Marketing Analyst and Marketing Coordinator, FMCG Industry

**OBJECTIVE**

Seeking challenging projects in a dynamic, fast-paced environment."
12468,"# Business Analyst & Project Manager

## Professional Summary

Results-driven Business Analyst and Project Manager with three years of Healthcare domain experience. Demonstrated expertise in business intelligence tools combined with the ability to rapidly master technical project details. Proven track record of delivering project objectives while providing comprehensive team support from initiation through completion.

Background as a soft skills trainer enables the cultivation of high-performance team environments and effective conflict resolution.

## Core Competencies

**Analysis & Delivery**
- Business Analysis
- Project Management
- Business Intelligence Tools

**Domain & Collaboration**
- Healthcare Domain Knowledge
- Team Collaboration & Support
- Training & Facilitation
- Conflict Resolution"
12469,"# PROFESSIONAL EXPERIENCE

**Freelance Translator & Proofreader**

- Translate and proofread reports, presentations, and websites between English and target languages for leading healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS
- Specialize in medical and pharmaceutical terminology within the life sciences sector

**English Language Instructor**

- Deliver personalized English instruction to students through virtual platforms including Zoom and Google-based tools
- Develop individualized educational plans tailored to each student's learning objectives and proficiency level
- Conduct ongoing assessment and performance evaluation to track progress and optimize learning outcomes
- Leverage diverse online resources to create engaging and effective learning experiences"
12470,"# PROFESSIONAL SUMMARY

Versatile product and design professional experienced in supporting startups and established products throughout the development lifecycle. Skilled in product validation, user research, product strategy, and design team leadership. Seeking opportunities to contribute to challenging multi-platform projects while advancing business analysis capabilities.

# EXPERIENCE

**Product & Design Consultant**

- Partner with founders to validate product concepts and refine market positioning
- Conduct user research to inform product decisions and enhance user experience
- Develop and execute product strategy aligned with business objectives
- Lead and manage design teams to deliver cohesive product experiences

# OBJECTIVE

To join an organization offering complex, multi-platform projects that provide opportunities for continuous growth and advancement of business analysis expertise."
12471,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with over 7 years of IT project management expertise. Combines strategic planning capabilities with hands-on experience in user experience, user interface optimization, and SEO to deliver measurable business outcomes. Demonstrates versatility across organizational scales—from agile startups of 5–10 employees to large enterprises with 8,000+ staff. Adept at orchestrating 3–10 concurrent projects in both in-house and digital agency environments while leading teams of up to 15 members.

# KEY ACHIEVEMENTS

- Spearheaded the creation of 9 new internet projects and delivered strategic improvements to more than 22 existing projects
- Led cross-functional teams of up to 15 members while maintaining work-life balance and eliminating overtime through effective resource management
- Designed and implemented streamlined processes aligned with client pipelines to enhance operational efficiency
- Navigated complex client negotiations involving budgets and deadlines to achieve mutually beneficial outcomes
- Cultivated positive working environments that elevated team performance and collaboration

# PROFESSIONAL EXPERIENCE

**Project Management & Business Analysis**

- Oversaw full project lifecycle management encompassing terms negotiation, business correspondence, and commercial proposal development
- Authored comprehensive user stories and facilitated collaboration among developers, designers, copywriters, and advertising specialists
- Executed acceptance testing, usability testing, and quality assurance protocols to ensure deliverable excellence
- Coordinated both in-house and remote development teams across multiple time zones
- Delivered B2C and B2B solutions for Ukrainian and international markets including Arab countries, China, Great Britain, and USA

**Industries:** Education | Educational Tourism | Medical Tourism | Sailing | Tourism | Showbiz | E-commerce | Fintech

# TECHNICAL SKILLS

**Methodologies:** Agile, SCRUM, Kanban, BPMN

**Tools:** Jira, Confluence, Asana, CRM, ERP, Google Analytics, Hotjar, Power BI, VCC

**Marketing:** SEO, Email Marketing

**Design & Development:** Adobe Photoshop, Illustrator, InDesign, WordPress, Drupal, HTML, CSS"
12472,"**PROFESSIONAL SUMMARY**

Founder and Director with 9 years of experience integrating project management and business analysis expertise. Demonstrated success scaling teams from 5 to 20 employees while delivering complex digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges. Comprehensive background spanning sales, development, and leadership functions.

**EXPERIENCE**

**Founder & Managing Director**
Web Studio | 9 Years

- Founded and scaled a web studio from 5 to 20 employees, overseeing all business operations
- Led end-to-end project management and business analysis for diverse client engagements
- Delivered online stores, B2B web applications, billing systems, and cryptocurrency exchanges
- Gathered requirements, created user stories, and translated business needs into technical specifications
- Designed mockups and collaborated on UX/UI decisions to ensure alignment with client objectives
- Applied Agile and Scrum methodologies to manage cross-functional development teams
- Drove sales initiatives and client relationships throughout the project lifecycle
- Utilized Jira and Trello for project tracking, sprint planning, and team coordination
- Performed manual testing and worked directly with HTML, MySQL, and PHP during development phases

**SKILLS**

**Project & Product Management:** Project Management, Product Management, Product Roadmap, Scrum, Agile, User Stories

**Tools:** Jira, Trello

**Analysis & Design:** Business Analysis, Analytics, Mockups, UX/UI

**Technical:** Manual Testing, HTML, MySQL, PHP

**Business:** B2B, Marketing

**OBJECTIVE**

Seeking a Business Analyst or Project Manager position within a large IT company."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

Results-driven Business Analyst and Project Manager with 6+ years of experience delivering 50+ projects. Proven track record managing cross-functional teams of 2–7 members and budgets up to $250,000. Skilled in Scrum, Kanban, and Waterfall methodologies with hands-on experience as Product Owner in an IT startup environment.

---

## CORE COMPETENCIES

**Project Management:** Scrum | Kanban | Waterfall | Lean

**Tools & Platforms:** Jira | Asana | Trello | MS Visio

**Process Modeling:** BPMN

**Documentation & Analysis:** Google Docs | Excel | SQL

**Technical Knowledge:** Java (basic level)

**Collaboration Platforms:** Zoom | MS Teams | Google Meet

---

## PROFESSIONAL STRENGTHS

- Leadership & Cross-Functional Team Management
- Analytical & Strategic Thinking
- Business Process Systematization
- Proactive, Goal-Oriented Execution
- Creative Problem-Solving

---

## LANGUAGES

English – B1

---

## OBJECTIVE

Seeking to leverage expertise in project management and business analysis within a values-driven organization committed to delivering impactful results."
12474,"**PROFESSIONAL EXPERIENCE**

**Teacher, Software Testing Courses**
Quality Assurance Group | November 2019 – February 2020

- Delivered comprehensive instruction in Quality Assurance fundamentals and testing methodologies
- Provided training in Business Analysis principles and best practices

---

**Business Analyst**
QArtrock | September 2019 – February 2020

*Corporate Website – Turkish International Trading Company*
- Led project definition and stakeholder requirements elicitation
- Developed system concepts and created detailed system models
- Performed comprehensive requirements analysis and produced thorough documentation

*Store Website – Electronics E-commerce Platform*
- Drove project scoping and requirements gathering initiatives
- Designed system concepts and developed architectural models
- Conducted requirements analysis and maintained detailed documentation

---

**QA Trainee**
Quality Assurance Group | May 2019 – August 2019

*Pharmacy Management System – Web Application for Online Pharmacy Management*
- Analyzed functional requirements and designed comprehensive test strategies
- Authored and executed detailed test cases
- Identified defects and produced clear, actionable bug reports

*Online Education Platform – Course Selection Program Based on User Surveys*
- Conducted performance testing and load analysis using JMeter
- Executed database validation and testing in MySQL
- Performed API testing and verification using Postman

*Construction Online Store*
- Analyzed project requirements and authored comprehensive test plan
- Designed test scenarios and developed detailed test cases
- Executed full test cycles and documented defects with detailed bug reports
- Compiled and delivered test summary report with findings and recommendations

---

**Scientific Consultant**
October 2011 – April 2019

- Provided diagnostic, improvement, and analytical support throughout scientific project development and implementation lifecycles
- Specialized in integrating innovative technologies within educational systems
- Delivered expertise in psychological maintenance and support of innovative activity initiatives"
12475,"# PROFESSIONAL SUMMARY

Project Manager with over 3 years of experience spanning jewelry, eco-friendly paper packaging production, and beauty industry sectors. Proven track record in turnkey project management from initiation through delivery and post-implementation support. Skilled in building and leading teams of 5-7 people, organizing remote workflows, developing technical specifications, managing client relationships, and decomposing complex projects into clear, actionable elements.

---

# EXPERIENCE

**Business Analyst** | IWIS LLC | October 2020 – January 2021

**Project Manager** | LLC Politara | March 2019 – December 2019

**Lead Analyst** | ITek | 2016 – 2018

**Implementation Specialist & System Administrator** | LLC Sky | 2013 – 2015
- Led accounting systems, production, and trading processes implementation

**EDMS Analyst** | SC Zovnishtorhvydav | 2012 – 2013

**System Administrator** | PrJSC UkrSRINDT | 2011 – 2012

**System Administrator** | LLC Piping Integration Company | 2010 – 2011

---

# PROFESSIONAL SKILLS

**Project & Business Analysis:** ERP Implementation | Adaptive Project Management | Requirements Gathering | Technical Documentation | User Acceptance Testing | Reporting

**Technical Expertise:** 1C Configuration (7.7, 8.2, 8.3: UPP, UTP, UNF, Retail, Production) | MS Server 2008/2012 | Unix Administration | MS SQL Database Administration | VMware | VirtualBox

**Communication:** Technical Writing | Specification Development | User Manual Development | Training Delivery | Conflict Management

---

# EDUCATION

**Master of Common Law** | Institute of Postgraduate Education | 2014 – 2017

**Specialist, Theoretical and Applied Mechanics** | Taras Shevchenko National University of Kyiv | 2006 – 2011

---

# CERTIFICATIONS

**MindsetPM** | 2019
- Big IT Project Management Program
- Manipulations Practice and Defence

---

# OBJECTIVE

Seeking a position to apply my full potential and expertise. Committed to building strong teams and delivering exceptional results. Confident managing complex assignments both independently and collaboratively."
12476,"# PROFESSIONAL SUMMARY

Results-driven professional with eight years of ICT experience spanning business analysis, project management, and business intelligence. Proven track record of leading data-driven initiatives, managing cross-functional teams, and translating complex data into actionable insights. Currently expanding expertise in data science, machine learning, and advanced analytics.

---

# PROFESSIONAL EXPERIENCE

**Business Intelligence Manager**
Helind Company | Renewable Energy & Electronic Manufacturing

- Transformed complex datasets into strategic visualizations that enhanced organizational decision-making processes
- Drove analytical support for development of renewable energy solutions and alternative energy electronic devices

**Project Manager**
Business Insights International Research Group

- Led cross-functional team in comprehensive evaluation of individual and branch KPIs for insurance company workforce
- Partnered with stakeholders to define project scope, needs, and requirements
- Directed data collection, data entry, and data preprocessing teams through full project lifecycle
- Synthesized study findings into actionable insights and delivered strategic reports to clients

**Business Analyst**
Sumaks Technologies | Hardware Development Startup

- Conducted business needs assessments and identified strategic opportunities for operational improvement

---

# SKILLS & TRAINING

**Technical:** Python, SQL, Machine Learning, Data Preprocessing, Data Visualization
**Currently Developing:** R, Deep Learning, Natural Language Processing
**Core Competencies:** Business Analysis, Project Management, Business Intelligence, Stakeholder Management, KPI Evaluation

---

# INDUSTRIES OF INTEREST

Healthcare | Energy | Manufacturing | Marketing | Fintech | Retail

---

*Seeking remote opportunities*"
12477,"# PROFESSIONAL RESUME

## SKILLS & COMPETENCIES

**Product Management & Strategy**
Product Management | MVP Development | Product Specification | Feature Breakdown Structure | Roadmap Planning | User Stories | Change Request Management | Risk Matrix Development | SWOT Analysis

**User Research & Discovery**
Brainstorming Facilitation | Focus Groups | User Interviews

**Project Management Methodologies**
Scrum | Kanban | Waterfall | LEAN | Rapid Application Development (RAD)

**Agile Practices**
Sprint Planning | Sprint Retrospectives | Sprint Releases | Standup Facilitation | Communication Planning

**Design & Prototyping**
Axure | NinjaMock | Android Design Guidelines | iOS Design Guidelines | UI Best Practices

**Technical Skills**
REST API Integration | Postman | Relational Databases | SQL | Microsoft SQL Server Management Studio | Python

**Analytics & Business Intelligence**
Advanced Excel (Pivot Tables, Statistical Calculations) | QlikView | QlikSense | Google Analytics | Kibana

**Project & Collaboration Tools**
Jira | Asana | Redmine | Bitrix24 | Trello

**Platforms & CMS**
Magento | WordPress | OpenCart | BPMonline

**Payment Systems Integration**
WayForPay | Bitcoin

**Interpersonal Skills**
Team Facilitation | Conflict Resolution | Problem Solving | Public Speaking | B2B Negotiations | Presentation Delivery

---

## AREAS OF INTEREST

Big Data | Artificial Intelligence | AR/VR | Gaming"
12478,"# PROFESSIONAL SUMMARY

Product and project delivery professional with hands-on experience shipping Samsung mobile firmware to factory production. Combines process implementation expertise with UX prototyping capabilities to drive results across the full product lifecycle.

---

# EXPERIENCE

**Product/Project Delivery**
- Delivered Samsung mobile firmware from development through factory production

**Process & Workflow Development**
- Designed and implemented company-wide processes and workflows integrating development and sales management functions

**UX & Prototyping**
- Created preliminary UX designs and prototypes to support product development

---

# SKILLS

**Methodologies:** Agile, Scrum, Kanban

**Project Management:** Project Planning, Budget Planning, Requirements Gathering, Use Cases

**Tools:** Jira, Trello, Axure, MS Project

**Design:** Wireframes, Prototyping

---

# PREFERENCES

- International projects
- Enterprise environments
- Startups"
12479,"# PROFESSIONAL SKILLS

## Business Analysis
- Business process description, mapping, and analysis
- Customer needs assessment and requirements elicitation
- End-to-end requirements management throughout the SDLC

## Technical Documentation
- User Stories
- Use Cases
- Software Requirements Specifications (SRS)

## Leadership & Management
- Team leadership, mentoring, and professional guidance
- Project and team management
- Cross-functional project coordination
- Process design, implementation, and continuous improvement"
12480,"**[YOUR NAME]**
[Contact Information]

---

**PROFESSIONAL EXPERIENCE**

**Customer Success Project Manager & Business Analyst**
Revenue Grid
2023–Present

---

**Presale Business Analyst**
Soft-Industry Alliance
2022–2023

- Led stakeholder elicitation sessions and delivered comprehensive project documentation including requirements specifications and process flows
- Partnered with solutions architects to craft compelling proposals, solution overviews, and value propositions for prospective clients
- Designed, tested, and implemented processes and tools for the Partner Success Management team utilizing BPMN methodology
- Executed audit of company business processes to identify optimization opportunities
- Established enterprise-wide OKR/KPI framework with real-time management dashboards using Excel, deployed across team screens organization-wide

---

**Revenue Operations Analyst**
OpenText Corporation, Waterloo, Canada
2021–2022

- Drove development of CRM and ERP features, defining scope and gathering functional requirements and non-functional requirements
- Authored user stories applying Agile methodologies including Scrum, Waterfall, and Kanban frameworks
- Managed Salesforce releases on a CI/CD basis ensuring seamless deployment
- Partnered with internal stakeholders to troubleshoot and resolve Salesforce and SAP user issues
- Conducted regression testing in ALM and developed comprehensive test cases
- Built and maintained customer reports and executive dashboards for Executive Leadership Team

---

**Billing Coordinator, Operations Management**
OpenText Corporation, Waterloo, Canada
2018–2021

- Supported sales team by evaluating legal, financial, product, and pricing components of deals submitted via Salesforce
- Ensured accurate deal fulfillment in SAP ERP, collaborating cross-functionally with Fulfillment, Customer Support, and Renewals teams
- Configured, maintained, and audited Changepoint engagements and projects
- Delivered reports and data sets directly to sales organization leadership
- Drove continuous process improvement initiatives as member of the Streamline Process Committee
- Supported finance organization with SAP ERP challenges as SAP Tier 1 group member
- Contributed to finance reconciliation and audit activities
- Participated in strategic pricing calls
- Executed testing activities in ALM
- Authored corporate processes and SOPs for each line of business
- Delivered onboarding through buddy program and facilitated global training programs for junior team members

---

**Customer Records & Entitlements Associate**
Nuance Communications Inc. (Imaging), Waterloo, Canada
2017

---

**Order Fulfillment Clerk**
Canadian General Tower, Cambridge, Canada
2016"
12481,"# JANE GUROVICH

**Business Analyst | Product Support Specialist**

---

## PROFESSIONAL SUMMARY

Business Analyst skilled in the full requirements lifecycle—gathering, analysis, and formalization—delivering clear specifications that enable development teams to execute effectively. Proven ability to negotiate product deliverables, coordinate Dev/QA teams, and implement robust product support procedures. Adept at driving results within Agile environments.

---

## CORE COMPETENCIES

- Requirements Gathering, Analysis & Documentation
- Stakeholder & Product Delivery Negotiation
- Functional Testing & Quality Assurance
- First & Second Level Product Support Implementation
- Dev/QA Team Coordination (Small to Medium-Sized Teams)
- Product Training & Awareness Presentations

---

## TECHNICAL SKILLS

**Methodologies:** Agile (Scrum)
**Tools:** JIRA, Confluence
**Technical Knowledge:** SQL, HTML, CSS, XML
**Operating Systems:** UNIX-like Systems

---

## LOCATION

Ukraine

---

## CAREER OBJECTIVES

- Advancing within a quality-driven management environment
- Continued professional growth with competitive compensation"
12482,"# PROFESSIONAL SUMMARY

QC Engineer with 6 years of experience integrating quality assurance, business analysis, and team leadership. Demonstrated success managing complex, multi-project environments while leading cross-functional teams. Seeking to transition into Business Analysis or Project Management roles.

---

# PROFESSIONAL EXPERIENCE

**QA Leader / QC Engineer**

*6 years*

**Leadership & Team Management**
- Directed QA team of 3-4 members over 1.5 years, driving quality assurance processes and team coordination
- Delivered 40-45 customization projects within timelines of 2 weeks to 4 months
- Navigated dynamic workloads requiring daily transitions between 2-4 distinct project customizations

**Business Analysis**
- Analyzed functional requirements and facilitated stakeholder alignment through meetings, calls, and written correspondence
- Developed client-facing proposals aligned with customer expectations and business objectives
- Assessed and documented product and project risks
- Authored comprehensive user guides and technical documentation

**Project Scope**
- Delivered customizations for an employee management and timekeeping system
- Operated across multiple system modules: scheduling, timekeeping, leave management, payroll, personnel data, and analytics
- Partnered with end users to analyze requests and implement tailored solutions

---

# CAREER OBJECTIVE

Seeking opportunities to advance expertise in Business Analysis or Project Management.

---

# AVAILABILITY

Part-time: 4-5 hours per day, flexible schedule (remote)."
12483,"# IT SPECIALIST & BUSINESS ANALYST

## Professional Summary

Results-driven IT Specialist with over 10 years of experience spanning Business Analysis, Software Maintenance and Support, and Project Management. Deep domain expertise in Finance/Banking (9+ years), E-commerce, and Logistics. Proven ability to bridge business and technical teams, translate complex requirements into actionable specifications, and drive project success through effective stakeholder engagement and cross-functional collaboration.

## Core Competencies

- Business Analysis & Requirements Engineering
- Stakeholder Engagement & Communication
- Project Coordination & Management
- System Migrations & Integrations
- Incident & Problem Management
- SDLC Methodologies: Agile, Scrum, Waterfall
- Data Analysis & SQL Querying
- Team Leadership & Collaboration

## Technical Skills

**Tools & Platforms:** Atlassian Jira, Confluence, Visio, Balsamiq, Firebase, MS Office, MS SQL Server, Sybase SQL Anywhere

**Documentation:** PRD, SRS, API Specifications, A/B Testing Specifications, User Stories, Use Cases

**Modeling:** UML, BPMN Diagrams

**Data Formats:** XML, JSON

## Professional Experience

### Business Analyst
**Epicentr M** | Oct 2020 – Present

### Business Analyst
**Scallium** | Dec 2019 – Oct 2020

### Business Analyst
**NullGravity** | Sep 2018 – Dec 2019

### Business Analyst
**Coreteca** | Aug 2017 – Sep 2018

- Engaged stakeholders to elicit, analyze, and document business requirements
- Conducted competitive analysis to identify strategic product improvement opportunities
- Designed BPMN and UML diagrams to model business processes and system functionality
- Translated business requirements into detailed technical specifications
- Authored comprehensive documentation including software specifications, user stories, use cases, API specifications, and A/B testing documentation
- Developed and standardized specification templates to improve documentation consistency
- Actively participated in Agile ceremonies including daily scrums, sprint planning, and retrospectives
- Served as liaison between business stakeholders and technical teams

### Senior Software Analyst / Project Manager
**OJS Universal Bank** | Jun 2013 – Aug 2017

### Senior Engineer
**Intesa Sanpaolo Group Ukraine (Pravex Bank)** | Jul 2011 – May 2013

### Lead Software Engineer
**Prominvestbank** | Sep 2007 – Dec 2010

### System Administrator
**BMS Service** | Feb 2011 – Jul 2011

### Engineer - Programmer
**Nikolaev Petroleum** | May 2007 – Aug 2007

### Engineer
**Information Technology. Services & Solutions** | Nov 2006 – May 2007"
12484,"**Professional Experience**

Led requirements gathering for project initiation across public health, monitoring and evaluation, and related sectors. Conducted in-depth analysis of business processes at Synergy International Systems and IDeA Foundation, delivering actionable recommendations that drove operational improvements.

Partnered with IT specialists to design and develop two internal portals using MS SharePoint, both of which remain in active use across their respective organizations.

Authored comprehensive project documentation, including project plans in MS Project, risk management frameworks, communication strategies, and multi-project budgets.

Served as the primary focal point for project status reporting, ensuring consistent stakeholder communication and transparency."
12485,"# PROFESSIONAL SUMMARY

Results-driven Project Manager and Business Analyst with over 12 years of experience spanning project management, business analysis, marketing analysis, and business process optimization. Honors graduate in Management and Project Management with QA Manual certification. Proven expertise in bridging technical and business stakeholders to deliver effective solutions. Seeking to leverage comprehensive IT experience in a Project Manager or Business Analyst role.

---

# SKILLS

**Project Management & Business Analysis**
- 7+ years of dedicated business analyst experience
- Strategic project planning using SMART goal methodology
- End-to-end business requirements gathering and solution development
- Technical project documentation and concept development
- Business process analysis and optimization
- Implementation of automated control systems
- Requirements change management and stakeholder alignment

**Documentation & Quality Assurance**
- Comprehensive project documentation (Use Cases, Business Rules, Functional & Non-Functional Specifications)
- Test planning, design, and execution
- Test case development and bug report compilation

**Interpersonal & Leadership**
- Cross-functional communication and negotiation
- Stakeholder management

---

# TECHNICAL SKILLS

Jira | SQL (Basic) | HTML/CSS (Basic) | 1C | Microsoft Office Suite (Word, Excel, Outlook, PowerPoint)

---

# EDUCATION

**Management and Project Management** — Graduated with Honors

**QA Manual Certification**"
