,Modified_claude-opus-4-5_of_Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5_Modelclaude-opus-4-5
12435,"# PROCUREMENT MANAGER

## Professional Experience

**Procurement Manager** | 4 Years

- Directed end-to-end procurement operations, including strategic planning, supplier selection, and order placement coordination
- Optimized warehouse inventory control and balance management to ensure operational efficiency
- Performed sales analysis and demand forecasting to inform data-driven procurement decisions
- Led supplier negotiations to secure favorable terms and strengthen vendor partnerships
- Monitored order execution lifecycle, ensuring timely fulfillment and delivery
- Managed complaint resolution and returns processes to maintain service quality
- Coordinated transport logistics operations to streamline supply chain performance

## Education

**Master's Degree in HR Management**
- Graduated with Distinction
- 3rd Place, All-Ukrainian Olympiad in Speciality

## Professional Development

**Data Analysis and Statistical Inference in R Language**
Prometheus.org.ua | November 2016
Certificate: https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf

## Core Competencies

Procurement Planning & Strategy | Supplier Relationship Management | Inventory Control | Sales Forecasting & Data Analysis | Negotiations | Logistics Coordination | Complaint Resolution"
12436,"**PROFESSIONAL EXPERIENCE**

**Project Coordinator**
Directed end-to-end project delivery for a national Canadian corporation, ensuring seamless execution from initiation through completion.

**Business Analyst Lead**
- Established and implemented business analysis processes and frameworks to drive organizational efficiency
- Developed and executed strategic communication plans for customer and development team stakeholders
- Led cross-functional, geographically distributed teams to achieve project objectives

**CORE COMPETENCIES**

**Business Analysis**
- Requirements elicitation through stakeholder workshops and onsite customer engagement
- Capability gap assessments and strategic recommendations
- Elaboration phase facilitation
- Requirements prioritization, documentation, and lifecycle management

**Leadership & Management**
- Cross-functional team leadership and coordination
- End-to-end project oversight and delivery

**Human Resources & Development**
- Staff coaching, mentorship, and professional development
- Training program coordination and delivery
- Event planning and facilitation"
12437,"# PROFESSIONAL RESUME

## Summary

Results-driven project professional with 15+ successful projects delivered across multiple business sectors. Expert in full project lifecycle management—from methodology development and system design through implementation. Specialized focus in financial management systems.

## Core Competencies

- End-to-End Project Lifecycle Management
- Business Methodology Analysis & Development
- System Design & Architecture
- Software Development
- Financial Management Systems Implementation
- English Communication

## Professional Experience

**Project Delivery Specialist**

Delivered 15+ projects across diverse business domains, with responsibilities including:

- Conducting business methodology analysis and developing tailored solutions
- Designing system architecture aligned with business requirements
- Leading software development initiatives
- Implementing and deploying financial management systems

## Professional Development

- Advancing English language proficiency
- Pursuing challenging projects to continuously expand technical and domain expertise"
12447,"# Project Manager

## Professional Experience

**Project Manager | UK Real Estate Startup**
Led delivery of MVP that secured investment from Google. Applied Agile methodologies to optimize demo presentations and achieve successful stakeholder buy-in.

**Project Manager | UK Insurance Startup**
Managed feature delivery across multiple clients under tight deadlines with a consistent team. Implemented priority management strategies to meet competing demands.

**Presales Support**
Partnered with Business Development managers during presale stages to win new projects. Contributed to upselling initiatives as opportunities arose.

**DevOps Team Lead | Production Support**
Managed a DevOps production support team overseeing 800+ environments. Improved response rates, service quality, and expanded support service offerings.

## Client Recognition
Three positive reviews on Clutch for successfully delivered projects.

## Domain Experience
SaaS Solutions (Real Estate, Insurance) · E-commerce (Shopify, Magento 1/2, WordPress) · Mobile Development (iOS, Android, VR Games, Healthcare Applications) · Cloud DevOps & Technical Support · AI-based Solutions

## Business Analysis
Created specifications and Figma mockups for select projects.

## Preferences
SaaS and mobile solutions · English-speaking clients"
12448,"# BUSINESS ANALYST | PROJECT MANAGER

**7 years of combined experience** — 5 years as Business Analyst, 2 years as Project Manager

---

## KEY ACHIEVEMENTS

- Built and led a team from the ground up for an innovative project, achieving 96% on-time feature delivery across 2 years of development (verified through Jira reports)
- Designed UI/UX solutions based on original mockups for multiple projects, driving measurable improvements in customer satisfaction (confirmed through customer surveys)
- Successfully relaunched a complex billing system interface serving 100,000+ users with zero disruption or user frustration
- Delivered comprehensive mockups and requirements for Ukraine's largest petroleum company, resulting in successful project launch and ongoing operations

---

## CORE COMPETENCIES

**Analysis & Design:** Mockup and prototype development | Business requirements and specifications | Market and competitor analysis

**Project Delivery:** Roadmap creation and backlog structuring (Epics, User Stories) | Requirements management | Project development lifecycle management

**Documentation:** User guides | FAQs | Technical specifications

---

## DOMAIN EXPERTISE

Online Services | E-commerce | Manufacturing | CRM/ERP | Education | Automotive

---

## AVAILABILITY

Available for part-time engagements and project-based work. Effective collaborator capable of covering business analysis needs without full-time commitment."
12449,"# PROFESSIONAL RESUME

## Objective

Seeking a position that leverages expertise in Agile project management, business analysis, and cross-functional team leadership to drive successful project delivery.

---

## Core Competencies

**Methodologies & Frameworks:** Agile | Scrum | BPMN

**Technical Skills:** Jira | Balsamiq Mockups | Figma

**Business Analysis:** Requirements Analysis | Requirements Management | Use Cases | User Stories | Customer Journey Mapping

---

## Professional Experience & Capabilities

### Project & Delivery Management
- Lead Agile project management across multiple concurrent projects
- Manage full life cycle delivery from initiation through completion
- Oversee budget control and financial reporting

### Business Analysis & Requirements
- Gather, analyze, and manage requirements throughout project lifecycle
- Establish requirements elicitation, approval, and change processes
- Develop and document user stories
- Monitor and validate solution acceptance

### Process & Documentation
- Establish and optimize software delivery processes
- Create workflow diagrams, charts, and presentations
- Produce project documentation including Vision and Scope Definition and Software Requirement Specifications

### Team Leadership
- Lead and manage cross-functional teams spanning Development, QA, and Business Analysis
- Resolve conflicts and facilitate collaboration across stakeholders"
12450,"# PROFESSIONAL RESUME

## SUMMARY

Results-driven Analyst with over 7 years of IT industry experience specializing in implementation consulting, business analysis, and project management. Proven expertise in developing and implementing CRM, ERP, and HR core systems, automating recruitment processes, and integrating core banking systems. Skilled at managing full project lifecycles and leading stakeholder negotiations to drive successful outcomes.

---

## CORE COMPETENCIES

- Full Project Lifecycle Management
- CRM & ERP Development and Implementation
- HR Core System Implementation
- Recruitment Process Automation
- Core Banking System Integration
- Stakeholder Negotiation and Engagement
- Time Management

---

## PROFESSIONAL EXPERIENCE

**Analyst / Implementation Consultant / Business Analyst / Project Manager**

*7+ Years of Experience*

- Managed projects through complete lifecycle phases, from initiation through delivery
- Led stakeholder negotiations at all levels to ensure alignment and drive project success
- Developed and implemented CRM, ERP, and HR core systems to meet organizational objectives
- Automated recruitment processes, improving operational efficiency
- Integrated core banking systems to enhance business functionality and performance

---

## SKILLS

- Implementation Consulting
- Business Analysis
- Project Management
- Stakeholder Engagement
- System Integration"
12451,"**BUSINESS ANALYST / PROJECT MANAGER**

**Business Analyst / Project Manager** | December 2021 – Present
**Associate Business Analyst / Project Manager** | June 2021 – December 2021

- Lead end-to-end project management for migration, application upgrade, and disaster recovery test initiatives
- Develop strategic and detailed project plans ensuring alignment with organizational objectives
- Drive stakeholder communication at all organizational levels, including executive leadership, delivering status updates, meeting documentation, and critical notifications
- Facilitate cross-functional meetings to maintain project alignment and team coordination
- Conduct requirements gathering, dependency mapping, and risk analysis to inform project decisions
- Produce analytical reports and visualizations encompassing vulnerability assessments, infrastructure status, and test results

---

**JUNIOR SOFTWARE ENGINEER** | November 2020 – June 2021

- Managed client communications across global markets, ensuring timely and professional correspondence
- Gathered, documented, and translated business requirements into actionable specifications
- Resolved technical issues involving relational databases and CRM systems
- Triaged incoming tickets and assigned to appropriate resolver groups based on issue classification
- Executed testing protocols for CRM system updates to ensure quality and functionality"
12452,"**PROFESSIONAL EXPERIENCE**

**Project Manager**

- Gathered and analyzed project requirements through direct customer collaboration to define scope and objectives
- Developed comprehensive project timelines, milestones, and deliverables aligned with stakeholder expectations
- Authored documentation including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Allocated and distributed tasks across project teams to optimize workflow and resource utilization
- Tracked project milestones and drove timely task completion across all phases
- Coordinated cross-functional activities to ensure seamless collaboration between departments
- Facilitated Scrum meetings to maintain agile workflow and team alignment
- Maintained proactive customer communication throughout the project lifecycle to manage expectations and ensure satisfaction
- Managed multiple concurrent projects while balancing competing priorities
- Delivered projects on schedule, meeting established deadlines and objectives

---

**WHAT I VALUE IN A WORKPLACE**

- Challenging tasks that drive continuous learning
- Informal, collaborative work environment
- Effective, transparent management
- Professional growth and development opportunities"
12453,"# BUSINESS ANALYST / PROJECT MANAGER

## PROFESSIONAL SUMMARY

Business Analyst and Project Manager with 7+ years of experience spanning traffic arbitrage, website development, and fintech. Expertise across diverse industries including fintech, health and beauty, gambling, e-commerce, tourism, manufacturing, and consulting. Consistent track record of delivering projects on time, within budget, and to high quality standards.

## CURRENT POSITION

**Business Analyst** | Fintech (Crypto) | 9 months
- Conduct requirements analysis and gathering across cross-functional teams
- Serve as liaison between IT department, designers, and stakeholders
- Author and maintain technical specifications and documentation

## KEY ACHIEVEMENTS

**Arbitration Team**
- Built operational processes generating $90,000–$160,000+ monthly profit

**Sales Doubler**
- Developed landing page and promotional materials for Financial Storm 3.0 contest (3,000,000 UAH budget) within two-week deadline

**Zhansaya Sanatorium (Kazakhstan)**
- Generated 412 applications and calls in 22 business days
- Achieved $0.30 cost per potential client
- Attained 4% visitor-to-conversion rate
- Implemented CRM system

**Vintage**
- Delivered timely releases and customer support for clients including Oshadbank and Totis

## SKILLS

Requirements Gathering & Analysis | Stakeholder Communication | UX/UI Understanding & Prototyping | Technical Specification & Documentation | Pre-design Studies | Agile, Scrum, Kanban | Multi-project Management | Team Organization & Leadership | Decision-making & Accountability

## TOOLS

JIRA, Confluence, YouTrack, Monday, Bitrix, Redmine, Trello, Balsamiq, Moqups, Draw.io, Figma

## OBJECTIVE

Seeking a Business Analyst or hybrid PM/BA position working with user-focused products."
12454,"# PROFESSIONAL SUMMARY

Results-driven professional with a BA and diverse experience spanning project management, commercial intelligence research, and market analysis. Proven ability to lead cross-functional teams, conduct comprehensive research, and deliver measurable results—including improving staff training outcomes from 52% to 93%. Strong analytical and communication skills with a commitment to continuous professional development.

---

# EMPLOYMENT HISTORY

**Project Manager**
ArtHome | Dnipro, Ukraine | June 2019 – January 2020

- Led Scrum team through full project lifecycle, managing planning, execution, and delivery
- Developed and monitored Gantt charts to track milestones and ensure on-time completion
- Created project plans, stage plans, and contingency strategies to mitigate risk
- Controlled project budgets, cost estimation, and resource allocation, initiating corrective actions as needed
- Cultivated relationships with Ukrainian artists and interior designers to support business objectives
- Conducted project evaluation reviews and developed follow-on action recommendations
- Designed company website using Tilda and managed social media presence and partner communications

**Researcher, Commercial Intelligence**
Noosphere | Dnipro, Ukraine | April 2019 – July 2019

- Conducted vertical research and market niche reviews to support product launch strategy
- Performed country-specific market analysis and open-source intelligence gathering on IT companies, entrepreneurs, and industry events
- Analyzed venture capital deals to identify emerging trends
- Prepared detailed company and individual profiles, uncovering key connections through investigative research

**Auditor**
Bartolomeo Resort

- Conducted comprehensive audits of resort operations
- Elevated staff training pass rates from 52% to 93%

**Market Analyst, Global Fertilizer Market**

- Engaged with key market players and stakeholders
- Prepared analytical reports on market trends and developments

---

# SKILLS

Project Management & Scrum Methodology | Gantt Chart Development | Risk Management & Contingency Planning | Budget Development & Cost Estimation | Open-Source Intelligence Research | Market & Competitive Analysis | Stakeholder Communication | Website Development (Tilda)"
12455,"# PROFESSIONAL SUMMARY

Project Manager with 5+ years of experience in FinTech and Logistics domains, specializing in client onboarding, platform integration, process optimization, and cross-functional team coordination.

---

# EXPERIENCE

## Lead Account Project Manager
**FinTech Industry**
*January 2022 – Present*

- Lead account project management initiatives for platform client integration, defining launch plans and delivering product demonstrations for new client onboarding
- Provide consultative support during sales stage, analyzing customer needs and translating feature requests into business and technical requirements for development teams
- Manage end-to-end client task backlogs encompassing analysis, specification, scheduling, implementation control, testing, and delivery
- Analyze API documentation and validate against client requirements using Postman

## Account Project Manager
**FinTech Industry**
*October 2019 – December 2021*

- Onboarded and integrated new clients to platform, providing consultative guidance on API documentation
- Created and managed tasks in Jira while documenting processes using BPMN and Confluence

## Project Manager
**UVK Ukraine | Transport & Logistics**
*June 2017 – October 2019*

- Increased profitability from container turnover from 0% to 40% on average through process automation and operational loss reduction
- Managed client relationships and conducted container reconciliations across 40 clients and 23 regional offices
- Authored technical specifications for developers, monitored implementation timelines, performed testing, and prepared regulatory documents and work instructions
- Achieved KPI targets consistently throughout tenure"
12456,"**PROFESSIONAL SUMMARY**

Results-driven professional with expertise in project management, data analysis, and IT solutions. Led CRM and ERP system implementations for a logistics company while driving sales growth and resolving complex operational challenges. Committed to transparency, ethical practices, and delivering measurable value.

---

**KEY COMPETENCIES**

- Data Analysis, Evaluation & Planning
- Budget Planning & Analysis
- Project Risk Management
- Time & Scope Management
- Stakeholder Communication
- Team Leadership & Oversight

---

**PROFESSIONAL EXPERIENCE**

**Project Management & Business Analysis**

- Spearheaded CRM and ERP system implementation for a logistics company through cross-functional team collaboration
- Drove improvements in company sales plan achievement through strategic project initiatives
- Diagnosed and resolved internal operational challenges by implementing targeted IT solutions
- Authored user stories and prioritized product backlog to guide development team execution
- Partnered with business stakeholders to translate technical problems into actionable solutions
- Served as key decision-maker for product features and functionality
- Delivered comprehensive reports to department heads and senior management
- Directed project teams while managing timelines, scope, and risk mitigation strategies
- Balanced ongoing project maintenance with new initiative development

---

**PROFESSIONAL VALUES**

Dedicated to transparency in project management, budgeting, and issue resolution. Strong interest in contributing to NGO and mission-driven projects."
12457,"**PROFESSIONAL SUMMARY**

Business Analyst with 10 years of experience delivering solutions across varying scales, complexity levels, and business objectives. Foundation as a QA Engineer provides deep SDLC expertise, enabling rapid identification of client needs and market requirements to architect solutions aligned with strategic drivers.

**EXPERIENCE HIGHLIGHTS**

**Business Analysis & Project Management**
- Led dual Business Analyst and Project Manager functions, bridging strategic planning with hands-on execution
- Partnered with technical experts to develop product concepts and plan solution architecture
- Delivered user training programs and managed end-to-end system deployment

**Engagement Management & Pre-Sales**
- Drove full-cycle pre-sale activities from initial engagement through proposal delivery
- Conducted comprehensive scope analyses to define project parameters and client expectations

**Entrepreneurship**
- Founded and operated independent business venture
- Established operational processes from inception
- Developed end-to-end understanding of sales lifecycle and business operations

**CORE COMPETENCIES**

Business Analysis | Requirements Gathering | Solution Design | SDLC | Project Management | Architecture Planning | Stakeholder Training | System Deployment | Pre-Sales & Proposal Development | Client Engagement

**CAREER FOUNDATION**

QA Engineer | 4 Years

Established technical foundation in quality assurance, developing comprehensive understanding of software development lifecycle methodologies."
12458,"**Professional Experience**

**Product Manager**

• Gathered stakeholder requirements and translated them into comprehensive user stories and use cases

• Built product roadmap, user flows, and permission structure for SaaS platform from inception

• Partnered with design team to enhance user experience

• Owned Product and Sprint Backlog management, including user story decomposition and strategic prioritization

• Led Agile ceremonies including daily standups, backlog grooming sessions, and retrospectives

• Established data delivery specifications bridging data science and backend engineering teams

• Maintained comprehensive product documentation"
12459,"# Alex

**Project Manager | Marrix Power**

Seeking Business Analysis Opportunities

---

## Professional Summary

Project Manager with proven expertise in end-to-end project delivery, from initial concept through planning and execution. Combines strong requirements gathering and documentation skills with thorough feasibility assessment capabilities to transform business ideas into actionable, development-ready project plans.

---

## Experience

**Project Manager | Marrix Power**

- Led 16 projects through complete lifecycle: ideation, feasibility analysis, design preparation, planning, and development
- Directed cross-functional teams of 3-5 members per project, ensuring alignment with business objectives
- Elicited, analyzed, and documented requirements across all assigned projects
- Maintained consistent stakeholder communication throughout project lifecycles, ensuring client alignment and satisfaction

---

## Core Competencies

- Project Management & Lifecycle Oversight
- Requirements Gathering & Documentation
- Stakeholder Communication & Client Relations
- Feasibility Analysis & Assessment
- Strategic Project Planning"
12460,"# Sales Manager | Project Manager | Business Analyst

Dynamic professional with 4 years of experience driving results across sales management, project management, and business analysis.

---

## Core Competencies

**Sales & Client Relations**
- Client nurturing, engagement, and management
- Upselling strategies

**Project & Team Leadership**
- Development team and stakeholder management
- Cross-functional collaboration

**Business Analysis**
- Requirements elicitation and definition
- User stories and use cases development
- Business process modeling (BPMN) using draw.io and Camunda
- Interactive prototyping and wireframing (MockingBot, Figma)
- Technical documentation development and validation

---

## Professional Experience

**Sales Manager | Project Manager | Business Analyst**
*4 Years*

Managed cross-functional teams, cultivated client relationships, and aligned stakeholders while driving sales growth. Delivered comprehensive business analysis across multiple projects, including requirements gathering, process modeling, prototyping, and technical documentation.

---

Open to new opportunities and eager to take on new challenges."
12461,"**Professional Experience**

Drive end-to-end project implementation with full accountability for delivering client requirements on time and within budget.

**Requirements Analysis & Documentation**
- Elicit, elaborate, and document business and functional requirements through user stories, process flow diagrams, block diagrams, and wireframes using Visio
- Manage client requirements, new requests, and change requests in Confluence, securing client approvals on scope and estimations

**Cross-Functional Collaboration**
- Partner with Developers, Engineers, and QA teams to define solution architecture, estimations, and acceptance criteria
- Prototype solutions and deliver presentations to clients and internal stakeholders

**Agile Project Management**
- Plan sprint scope and prioritize tasks in Jira
- Participate in sprint planning and retrospectives, ensuring alignment with priorities and timelines
- Track progress and deliver status reports to stakeholders

**Quality Assurance & Client Delivery**
- Develop use cases and test scenarios; review test results with QA
- Conduct solution testing prior to deployment
- Present solutions to clients and facilitate User Acceptance Testing to ensure customer satisfaction and sign-off"
12462,"**PROFESSIONAL EXPERIENCE**

**System Analyst**

Platform application supporting app creation, server management, and front-end library integration via API

- Delivered technical solutions achieving up to 90% reduction from initial time estimates
- Provided strategic counsel to senior leadership, successfully advocating for improved technical approaches
- Streamlined technical documentation processes, reducing manual workload
- Assumed Team Lead responsibilities during TL absence

**Documentation & Analysis**
- Authored Business Requirements Documents (BRD), Software Requirements Specifications (SRS), API Specifications, and User Guides
- Designed database structures
- Estimated and prioritized backlog requests

**Quality Assurance**
- Executed API testing, manual testing, and automated testing
- Developed smoke tests, regression tests, test cases, and test scenarios
- Prepared release notes and delivery protocols

**Stakeholder Engagement & Continuous Improvement**
- Facilitated demonstration meetings presenting completed work to stakeholders
- Led retrospective meetings driving continuous improvement initiatives"
12463,"# RESUME

## Education

**LPNU** — Bachelor's Degree

**Academic Projects:**
- Led end-to-end problem analysis initiatives, developing actionable solutions through strategic prototyping and persona creation while producing comprehensive use case documentation with supporting diagrams
- Conducted thorough AS-IS state analysis of organizational processes and architected TO-BE state transformation recommendations
- Applied structured requirement elicitation techniques to gather and define project specifications
- Completed machine learning coursework, building foundational knowledge in data-driven methodologies

---

## Professional Experience

**Java Developer Intern**
novomind | Germany | 3 months

- Designed and developed software solutions to address assigned technical cases
- Contributed as an active team member within an Agile development environment, participating in iterative workflows and collaborative problem-solving
- Maintained professional English communication with cross-functional team members and stakeholders throughout project lifecycles"
12464,"**PROFESSIONAL EXPERIENCE**

**Project Manager / Business Analyst** (1 year)

- Managed full lifecycle processes across multiple concurrent projects
- Elicited and analyzed requirements through stakeholder interviews, workflow analysis, business modeling, documentation, and structured review sessions
- Served as Scrum Master; maintained and coordinated development processes
- Tracked progress, monitored risks, and managed change through backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Translated stakeholder requirements into user stories, use cases, visual models, functional requirement specifications, and system requirement specifications
- Facilitated communication and alignment among diverse stakeholder groups
- Established technical standards governing development processes

**Business Owner** (5 years)

- Founded and operated e-commerce business serving the US market with China-based production
- Directed day-to-day operations encompassing customer support, procurement, promotional campaigns, and logistics
- Negotiated contracts with suppliers and contractors to optimize costs and quality
- Pivoted business strategy in response to evolving market conditions

**Efficiency Manager** (1.5 years)

- Re-engineered business processes through analysis of scope, business rules, existing practices, and alternative approaches
- Designed new functionality for internal ERP system to improve operational efficiency
- Designed and implemented routing system for Sales Departments
- Authored technical specifications to guide development team execution
- Led employee training during change integration initiatives

**ENTREPRENEURIAL EXPERIENCE**

- Co-created software solution, business model, and operational procedures for a delivery service from inception to launch"
12465,"**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Project Manager with over 6 years of commercial experience spanning retail, healthcare, and sales and marketing sectors. Combines strong technical expertise in ERP/CRM systems with exceptional communication and organizational skills to deliver measurable business outcomes.

---

**CORE COMPETENCIES**

Business Analysis | Project Management | ERP/CRM Systems Implementation & Management | IT Outsourcing | Cross-Functional Team Collaboration | Stakeholder Communication | Strategic Planning & Execution

---

**PROFESSIONAL EXPERIENCE**

**Industry Experience**

Retail — 6 years
ERP/CRM Systems — 5 years
Healthcare — 2 years
Sales & Marketing — 2 years

**Functional Experience**

Project Management — 2 years
IT Outsourcing — 2+ years

---

**KEY STRENGTHS**

- Drives projects from conception through completion with a disciplined, goal-oriented approach
- Delivers strong analytical and problem-solving capabilities across complex business challenges
- Communicates effectively with stakeholders at all organizational levels
- Adapts quickly across industries while maintaining focus on company objectives"
12466,"# PROFESSIONAL RESUME

## SKILLS

**Analytical & Technical**
- Complex problem analysis and resolution
- Statistical analysis and data interpretation
- Trend and pattern identification
- Business process optimization and modeling

**Tools & Technologies**
- Advanced proficiency in Excel and PowerPoint
- QlikView and QlikSense BI tools
- E-procurement systems (ProZorro)
- Open Contracting Data Standard

**Management & Communication**
- Project management
- Negotiation and conflict resolution
- Excellent communication and presentation abilities
- Stakeholder engagement across diverse client groups
- Public speaking and training

**Work Style**
- Effective in independent and collaborative environments
- Capable of managing multiple concurrent engagements

**Languages**
- Ukrainian: Native
- English: Fluent
- Russian: Fluent
- German: Basic

## PROFESSIONAL EXPERIENCE

**E-Procurement Analytics & Monitoring**
- Analyzed public procurement procedures using QlikView and QlikSense BI tools to identify compliance issues and support investigations
- Monitored the ProZorro e-procurement system, producing compliance reports for government institutions
- Contributed to the development of an e-procurement risk indicators system
- Authored terms of reference and technical requirements aligned with the Open Contracting Data Standard
- Delivered trend analysis and strategic reports on public procurement to government stakeholders
- Engaged with BI users, procurers, suppliers, controllers, and clients to communicate insights and recommendations
- Presented as a BI expert at public events, conferences, and lectures

**Research & Strategic Development**
- Conducted research and authored analytical reports on procurement effectiveness
- Performed functional analysis and benchmarked international best practices of central purchasing bodies
- Developed strategic proposals for Ukraine's Central Purchasing Body
- Optimized and documented business processes

**Technical Documentation & Data Processing**
- Developed terms of reference, technical requirements, and specifications for construction and equipment
- Designed and implemented data processing solutions
- Verified, compiled, and processed catalogues and procurement data"
12467,"**PROFESSIONAL SUMMARY**

Business Analyst combining pre-sales and delivery expertise with strong business acumen developed through previous experience as a Marketing Analyst and Marketing Coordinator in FMCG. Performs both Business Analyst and Project Manager functions with a client-oriented approach.

**SKILLS**

**Business Analysis:** SRS, Use Cases, UML, Backlog Management, User Stories, Acceptance Criteria, UX

**Methodologies:** Agile, Scrum

**Technical:** MySQL, HTML, CSS (Basic Level)

**Certification:** Agile Certified Professional (IC Agile)

**EXPERIENCE**

**Business Analyst** | Current Position

- Lead business analysis activities across pre-sales and delivery phases
- Perform Project Manager functions alongside Business Analyst responsibilities
- Drive project success through client-oriented methodology and business expertise

**Marketing Analyst / Marketing Coordinator** | FMCG Industry

- Developed client-oriented approach and business understanding
- Built foundation in stakeholder management and analytical thinking

**CAREER OBJECTIVE**

Seeking opportunities with a dynamic company offering challenging projects in a fast-changing environment."
12468,"# Business Analyst & Project Manager

## Professional Summary

Results-driven Business Analyst and Project Manager with three years of Healthcare domain experience. Combines strong proficiency in BI tools with the ability to rapidly master complex technical project details. Leverages analytical expertise and soft skills training background to foster collaborative team environments, resolve conflicts effectively, and drive projects to successful completion across all execution stages.

## Core Competencies

- Business Analysis
- Project Management
- Healthcare Domain Expertise
- Business Intelligence Tools
- Team Collaboration & Support
- Conflict Resolution
- Training & Facilitation"
12469,"# PROFESSIONAL EXPERIENCE

**Freelance Translator & Proofreader**

- Translate and proofread reports, presentations, and websites between English and target languages for leading healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS
- Deliver accurate, industry-specific translations for the healthcare and pharmaceutical sectors

**Online English Instructor**

- Deliver personalized English language instruction via Zoom and various online learning platforms
- Develop individualized educational plans tailored to student learning objectives and proficiency levels
- Conduct ongoing assessment and evaluation to track progress and optimize learning outcomes
- Leverage Google tools and digital resources to enhance the learning experience"
12470,"# PROFESSIONAL SUMMARY

Versatile product professional experienced in supporting startups and established products through the full product lifecycle. Skilled in product validation, user research, strategic planning, and design team leadership. Passionate about contributing to challenging multi-platform projects while continuously developing business analysis capabilities.

---

# EXPERIENCE

**Product Consultant**

- Partner with founders to validate product concepts and assess market viability
- Conduct user research to inform product decisions and enhance user experience
- Develop and execute product strategy aligned with business objectives
- Lead design teams to deliver cohesive product outcomes

---

# OBJECTIVE

Seeking a role within an innovative organization offering complex, multi-platform projects and opportunities for ongoing professional growth in business analysis."
12471,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7+ years of IT project management expertise. Combines strategic planning acumen with hands-on technical proficiency across SEO, UX/UI, and digital product development. Adept at scaling operations from startup environments to enterprise organizations of 8,000+ employees while delivering exceptional customer experiences and managing complex stakeholder relationships.

---

# KEY ACHIEVEMENTS

- Led and managed cross-functional teams of up to 15 members across in-house and remote environments
- Spearheaded development of 9 new internet projects while optimizing 22+ existing digital products
- Engineered workflow processes that eliminated overtime requirements and aligned with client pipelines
- Successfully navigated complex budget and deadline negotiations, fostering long-term client partnerships
- Cultivated high-performance team cultures that drove productivity and collaboration

---

# PROFESSIONAL EXPERIENCE

**Project Management & Leadership**

- Directed 3–10 concurrent projects in both in-house and digital agency environments
- Orchestrated collaboration among developers, designers, copywriters, and advertising specialists
- Authored comprehensive user stories and business requirements documentation
- Executed end-to-end quality assurance including task acceptance, functional testing, and usability testing
- Developed commercial proposals and managed strategic business correspondence
- Designed UI components for individual blocks and pages

**Industry Expertise**

Education | Educational Tourism | Medical Tourism | Sailing | Tourism | Showbiz | E-commerce | Fintech

**Market Experience**

B2C and B2B clients across Ukrainian and international markets including Arab countries, China, Great Britain, and USA

---

# TECHNICAL SKILLS

**Methodologies:** Agile, SCRUM, Kanban, BPMN

**Project Management:** Jira, Confluence, Asana, CRM, ERP

**Analytics & Marketing:** Google Analytics, Hotjar, Power BI, SEO, Email Marketing, VCC

**Design & Development:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, WordPress, Drupal, HTML, CSS

**Quality Assurance:** Functional Testing, Usability Testing"
12472,"**PROFESSIONAL SUMMARY**

Founder and Managing Director with 9 years of experience leading a web studio. Proven track record combining project management and business analysis expertise with hands-on technical and sales capabilities. Skilled in managing cross-functional teams of 5 to 20 employees and delivering diverse digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

---

**SKILLS**

**Project Management:** Scrum, Agile, Jira, Trello, Product Roadmap, Product Management

**Business Analysis:** User Stories, Mockups, UX/UI, Analytics, B2B

**Technical:** HTML, PHP, MySQL, Manual Testing

**Additional:** Marketing, Sales

---

**PROFESSIONAL EXPERIENCE**

**Founder & Managing Director**
Web Studio | 9 Years

- Founded and scaled a web studio, directing all business operations from inception through sustained growth
- Built and managed cross-functional teams of 5 to 20 employees across multiple concurrent projects
- Led end-to-end project management including scope definition, timeline planning, resource allocation, and stakeholder communication
- Conducted business analysis activities: gathering requirements, writing user stories, creating mockups, and translating client needs into technical specifications
- Delivered diverse digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges
- Drove sales initiatives and client relationships, managing the full business development lifecycle

---

**OBJECTIVE**

Seeking a Business Analyst or Project Manager position within a large IT company where I can leverage 9 years of entrepreneurial experience leading digital projects and cross-functional teams."
