,Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5
12531,"# PROFESSIONAL SUMMARY

Results-driven professional with over 10 years of experience in Project Management and B2B Sales within the agribusiness sector. Completed specialized training in IT Project Management and IT Business Analysis. Strong analytical, planning, organizational and communication skills with proven ability to create well-structured and easy-to-read documents and presentations. Seeking long-term opportunity in IT sector to leverage expertise and contribute to innovative projects.

# EDUCATION & CERTIFICATIONS

**IT Education Academy (ITEA)**
IT Project Management - Certificate

**BA Space School**
IT Business Analysis Courses

# PROFESSIONAL EXPERIENCE

**Project Management & B2B Sales**
Agribusiness Sector
10+ years

# CORE COMPETENCIES

- Project Management
- B2B Sales
- Software Development Lifecycle
- Software Development Methodologies
- Risk Management
- Project Planning
- Analytical Skills
- Strategic Planning
- Organizational Management
- Communication & Stakeholder Engagement
- Documentation & Presentation Development

# CAREER OBJECTIVES

Seeking a long-term position in IT where I can apply and enhance my project management and business analysis skills while contributing to meaningful projects in a dynamic environment that supports continuous professional development."
12532,"# PROFESSIONAL SUMMARY

Business Analyst and Project Manager with extensive SAP ERP implementation experience in the metallurgical industry, seeking a Business Analyst or Project Manager role in a fast-paced organization. Proven track record of leading cross-functional teams, managing stakeholder communications, and delivering successful system implementations on time. Expertise in requirements gathering, process optimization, and team development.

---

# PROFESSIONAL EXPERIENCE

## SAP ERP Implementation Project | Metallurgical Company

**Head of SAP Project Team / Project Lead / Project Manager**

- Led SAP ERP implementation project, fulfilling multiple roles including Project Manager, Business Analyst, QA, and Customer Support Manager
- Promoted to Head of the SAP Project team
- Successfully delivered system refinements and solutions, meeting all project deadlines
- Organized and prioritized Product Backlog to align with business objectives
- Defined business needs and prepared requirements for Sales, Marketing, Finance, and Procurement departments
- Coordinated with TOP management and technical managers to ensure business needs were met and solutions were implemented with quality and timeliness
- Managed system migration process from 1C: Enterprise 8.2 to SAP ERP
- Tested IT solutions, refinements, system improvements, and bug fixes
- Reduced misunderstandings between IT and business stakeholders, project team members, and developers through improved communication and clear project scope delivery
- Served as first line of support for end users
- Developed instructions and learning materials; conducted user training sessions
- Mentored team members resulting in professional advancement: one became Senior BA at a major IT company in Ukraine; another led an implementation project

**Metinvest-SMC**
- Recommended to Staff Roster multiple times based on staff assessment results (2015-2017)

## Business Analyst | Beauty Industry

**Duration: 1+ year**

- Customized software solutions using YClients (now Altegio)
- Organized and optimized business working processes

## OSCE SMM in Ukraine

**Duration: 1.5 years**

- Performed administrative duties, contract management, and Human Resources functions
- Received contract extension based on high-performance evaluation

## Sales and Marketing

**Duration: 1+ year**

- Gained experience in sales and marketing operations

---

# TECHNICAL SKILLS & TOOLS

**Project Management & BA Tools:**
MS Office (Word, Excel, Project, Outlook, Skype for Business), JIRA, Confluence, Miro, Basilique

**Methodologies & Frameworks:**
SDLC, Agile, Scrum, BPMN

**Requirements & Documentation:**
User Stories, Use Cases, Scenarios, Backlog Management, Product Vision Boards, Story Mapping, RACI Matrix, Diagrams, Prototypes

**Systems:**
SAP ERP Test Systems"
12533,"# Professional Summary

Experienced project manager specializing in web platform development and solutions for Telecom companies. Currently serving as Scrum Master with expertise in Agile frameworks and development methodologies. Project manager for NFT project with proven track record of delivering projects on time and within budget.

# Core Competencies

- Project Management
- Scrum Master
- Agile Frameworks
- Web Platform Development
- Telecom Solutions
- Stakeholder Communication
- Project Management Software
- Budget Management
- Team Leadership
- Business Strategy

# Professional Experience

**Scrum Master**
Current Company

- Facilitate Agile processes and Scrum ceremonies
- Remove impediments and enable team productivity
- Coach team members on Agile principles and practices

**Project Manager - NFT Project**

- Manage project timelines, budgets, and deliverables
- Coordinate with stakeholders to ensure project alignment
- Apply Agile frameworks to maintain project momentum
- Deliver high-quality results on schedule and within budget

**Project Manager - Telecom Sector**

- Develop web platforms and solutions for Telecom companies
- Manage cross-functional teams and multiple stakeholders
- Utilize project management software for planning and tracking
- Maintain effective communication across all project phases

# Key Strengths

- Effective communication with diverse stakeholders
- Strong attention to detail
- Problem-solving capabilities
- Time-efficient execution
- Business-oriented approach
- Knowledge of latest technologies
- Collaborative team player"
12565,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Scrum Master with 4 years of business analytics experience and 5 years of sales background. Proven track record in managing cross-functional development teams, launching MVPs, implementing integrations, and establishing sales strategies. Experienced in healthcare, cryptocurrency, crowdfunding, fitness, and finance projects for USA/EU clients.

---

# CORE COMPETENCIES

**Business Analysis & Project Management**
- Requirements gathering, analysis, and documentation
- Technical documentation (UML, Use Cases, Functional & Non-Functional Specifications, Sequence Diagrams)
- User stories, use cases, and wireframe creation
- Backlog management and change request analysis
- Project budgeting, estimation, and risk management

**Scrum Master & Agile Leadership**
- Sprint planning, grooming, estimation, and retrospectives
- Gantt chart development and timeline scheduling
- Facilitating Scrum events and ceremonies
- Team performance monitoring and improvement
- Stakeholder reporting and progress tracking

**Technical Skills**
- MS SQL, MySQL
- HTML, CSS, PHP
- Confluence documentation management

**Communication & Stakeholder Management**
- Client communication (USA/EU markets)
- Cross-functional team coordination (developers, QA, UI/UX designers, Business Owners, Product Owners)
- Stakeholder presentations and reporting
- Problem-solving and solution proposing

---

# PROFESSIONAL EXPERIENCE

**Business Analyst / Scrum Master**

**Team Leadership:**
- Managed first team of 15 members: 2 iOS developers, 2 Android developers, 4 Frontend developers, 5 Backend developers, 2 QA specialists
- Managed second team of 9 members: 2 Mobile developers, 2 Frontend developers, 3 Backend developers, 2 QA specialists
- Successfully released MVP and implemented at least 5 integrations in second project

**Recent Projects (Last Year):**
- 2 healthcare projects
- 1 cryptocurrency and crowdfunding project

**Previous Project Experience:**
- Fitness applications
- Finance systems
- Various projects across multiple industries

**Key Responsibilities:**
- Client communication with USA/EU stakeholders
- Requirements identification, gathering, and analysis with businesses and Product Owners
- Development process management and collaboration with developers, QA, UI/UX designers, and Business Owners
- Facilitation of all Scrum events including sprint planning, Gantt building, grooming, estimations, retrospectives, backlog fulfillment, and developer support during sprints
- User story enrichment and detailed documentation creation/updates in Confluence
- Project timeline and sprint planning to ensure on-time delivery
- Dashboard and backlog visibility and transparency maintenance for team members and clients
- Team performance monitoring and improvement with client visibility
- Regular progress reporting on project status
- Presentations to Product Owners and stakeholders on progress, problems, and solutions
- Change management implementation to meet project outputs
- Technical requirements production including UML diagrams
- Change request analysis and changelog preparation/updates
- Solution proposing and customer requirements support
- Project expense budgeting and planning, project estimations, and risk management

**Sales Manager**

- Managed and coordinated sales department of 8 sales managers and pre-sales managers
- Established and implemented Affiliate Program
- Established and implemented Sales Strategy

---

# EXPERIENCE HIGHLIGHTS

- Launched projects from scratch in start-up environments
- Worked on outsourcing projects
- 4 years in business analytics
- 5 years in sales

---

# EDUCATION & PROFESSIONAL DEVELOPMENT

**IT Project Management Course** – Completed April 2019

**Quantitative and Qualitative Market Research Course** – Completed November 2019

**Technical Skills Training** – March 2020 to July 2020
Private courses in MS SQL, MySQL, HTML, CSS, and PHP"
12656,"**PROFESSIONAL EXPERIENCE**

**Web Analyst / Business Analyst**
Current Position | National Retail Company

**Business Analyst / Web Analyst**
2021 – 2022

• Restructured company reporting into dynamic format for approximately 10 projects
• Automated daily reporting and developed universal algorithm for standardized delivery
• Established cross-departmental collaboration and accelerated internal process workflows
• Increased new project analysis capacity by 2.5 times

**Lecturer (Part-time)**
2020 – 2023 | Ukrainian University

• Authored more than 10 scientific and expert publications indexed in Scopus, Web of Science, and other scientometric databases
• Implemented concept for educational YouTube channel

**Chief Executive Officer**
2017 – 2021 | Online IT Project

• Developed and implemented comprehensive business model
• Achieved average monthly profitability of approximately 90%
• Fully automated technical, managerial, and business processes within 14 months
• Transitioned project to content manager support for ongoing operations

**Project Manager (Remote)**
2016 – 2021

• Increased monthly site traffic nearly 5 times over 4 years, growing from 1.5 to 7 million users
• Expanded advertising partner network by 3 times
• Optimized project operations for single-developer freelance support model

**PROFESSIONAL SUMMARY**

Experienced IT professional with expertise in Business Analysis, Web Analytics, and Project Management seeking opportunities that leverage analytical capabilities and strategic thinking to drive business growth and operational excellence."
12674,"# PROFESSIONAL SUMMARY

Business Analyst and Scrum Master with more than 10 years of IT experience. Proven track record in gathering, understanding, describing, and automating software selling and support processes in a global enterprise environment (~15 offices globally). Built scrum team processes from scratch and established agile workflows for cross-functional teams.

# CORE COMPETENCIES

**Process & Methodology:**
- Agile, Scrum, Kanban, Waterfall
- Scrum Master
- Requirements validation and change management
- Software testing

**Business Analysis & Documentation:**
- Software requirements creation: use case diagrams (Visio, StarUML), use cases, user stories, cascaded requirements
- Project documentation development
- Process automation and optimization

**Leadership & Facilitation:**
- Training facilitation
- Brainstorming sessions
- Team meetings and debates
- Multitasking under pressure

# PROFESSIONAL EXPERIENCE

**8+ years** - Analyst and Proxy Product Owner
- Acted as proxy product owner across multiple projects
- Created comprehensive software requirements including use case diagrams, use cases, user stories, and cascaded requirements
- Validated requirements and managed change processes
- Collaborated on mobile and desktop application development projects

**4+ years** - Project Manager
- Managed full project lifecycle and documentation
- Applied Waterfall, Agile (Scrum), and Kanban methodologies
- Coordinated cross-functional teams and stakeholders

**Scrum Master**
- Built scrum team processes from ground up
- Facilitated agile ceremonies and team collaboration
- Coached teams on agile best practices

# ADDITIONAL QUALIFICATIONS

- Coach training certification - qualified to conduct trainings, brainstorms, debates, and meetings
- Software testing training and hands-on testing experience
- Experience with mobile and desktop application development projects
- Preference for small, enthusiastic, product-oriented teams
- Seeking stable, long-term project engagement"
12687,"# ANDRII [LAST NAME]
Visionary Engineer | Top Rated Plus Upwork Freelancer

## PROFESSIONAL SUMMARY

Automation specialist with expertise in business process optimization since 2010. Master's degree in Financial Management with Honors and Bachelor's in Corporate Finance. Proven track record with over 2500 clients across US, Canada, UK, and Australia, maintaining 100% Job Success Rate on Upwork. Experienced IT Project Manager and Platform Developer with strong background in financial modeling, data analytics, and full-stack automation solutions.

## EDUCATION

**Master of Arts – Financial Management (with Honors)**
Erasmus+ MA Program, Krakow, Poland

**Bachelor of Arts – Corporate Finance**

**Bachelor of Arts – English Translation**

**IELTS C1 – English Language Certification**

## CORE COMPETENCIES

**Technical Expertise:**
- Automation Development & Workflow Optimization
- Business Process Analysis & Optimization
- Low-Code/No-Code Solutions
- Financial Modeling & Data Analytics
- IT Project Management
- Process Management & Optimization

**Communication Skills:**
- Fluent English (IELTS C1)
- Native Ukrainian & Russian
- Professional Negotiation
- Public Speaking & Presentations
- Online Training & Lecturing

**Professional Attributes:**
- Fast typing (top 1%, >100 WPM)
- Deep engagement in modern IT technologies
- Strong financial background
- Strategic thinking & problem-solving
- Client-focused approach

## PROFESSIONAL EXPERIENCE

**IT Project Manager – ThinkWider App**
- Managed application for factory workers to submit process improvement ideas
- Oversaw full idea processing lifecycle from review and discussion through staging, implementation, and reward distribution

**Manager and Developer – IShare Educational Platform**
- Developed and managed digital educational platform
- Created training materials and coordinated online live training sessions

**Top Rated Plus Freelancer – Upwork**
- Delivered 50+ successful long-term projects
- Served 2500+ clients across US, Canada, UK, and Australia
- Maintained 100% Job Success Score
- Worked with three international companies

## INDUSTRIES SERVED

Finance • Marketing • Sales • Insurance • Manufacturing • Construction • Real Estate • Government • Healthcare • Education • Agriculture • Media

## CLIENT PROFILE

Crypto Traders | Investors | Stockbrokers | CEOs | CFOs | Senior Management | Startups

## PRIMARY SKILLS

**Microsoft Excel & Google Sheets Development:**
- Professional development with advanced formula expertise
- Advanced VBA and Google Apps Script (JavaScript)
- Full automation, workflow optimization, digital integrations
- Complex calculations, dynamic conditional formatting, pivot tables & pivot charts
- Macros, user-defined functions, UI forms, data scrapers, web connections, data backups, emailing
- Automated reporting and data analysis, complex dataset processing, data transformation
- File generation, database management, external controlling
- Data summary, data visualization, dashboards, charts, graphs, KPIs
- Financial modeling, data analytics, planning, forecasting
- Advanced graphical user interface (GUI), architecture design
- Smart decision-making tools, solvers, schedulers, triggers, alerts & notifications
- Business tools, trackers, file processors, bar/QR code generators
- Custom calculators: business, financial, insurance, fitness

**Integration Capabilities:**
- Microsoft Office workflow and data integration (Word, PowerPoint, Outlook, SharePoint, InfoPath, OneNote)
- WinApi, FileSystemObject (FSO), ADODB (MS Access, MS SQL), Web APIs
- Google Workspace (G Suite) integration (Admin Console, Drive, Gmail, Docs, Slides, Calendar, Forms, Sites, Keep)

## ADDITIONAL TECHNICAL SKILLS

**Platforms & Tools:**
Airtable • Google Data Studio • Power BI • Databox • Power Query • Power Pivot

**Automation Tools:**
Microsoft Flow • Zapier • IFTTT • Integromat • Automate.io • Power Automate • Automatic Mouse & Keyboard • FileMaker Pro

**Development:**
Power Apps • App Sheet • bubble.io • Webflow • Telegram Bots

**Web Technologies:**
WordPress • HTML • CSS • JavaScript • PHP • SQL • Hosting & Domain Management

**Project Management:**
Trello • Jira • Confluence • Microsoft To-Do • ServiceNow

**Design & Media:**
Canva • diagrams.net (draw.io) • Paint.net • Phot"
12736,"# Professional Experience

**Co-founder and Business Manager**  
Whales of Design  

• Founded new company and successfully entered foreign market, achieving $20,000 turnover in first year  
• Led project teams of 4-12 people  
• Organized business operations and identified potential partners at specialized conferences  
• Established and maintained relationships with external contractors and designers  
• Resolved client conflicts and managed orders from initiation through completion

**Recruiter and Manager**  

• Recruited and onboarded staff  
• Monitored and ensured quality of work performance  
• Contributed to event organization including Ocean Elzy concert, Atlas Weekend, and Imagine Dragons concert

# Career Objectives

Seeking opportunity with established organization offering intellectual and professional growth potential"
13078,"# Yelyzaveta

**Business Development Manager | Project Manager | IT Professional**

---

## Professional Summary

Accomplished IT professional with extensive experience in project management, business development, and financial operations. Proven track record of resolving complex technical issues, managing client relationships, and optimizing project profitability through strategic resource allocation and margin analysis.

---

## Core Competencies

**Project Management**
- Technical project development and lifecycle management
- Client-side process configuration and coordination
- Collaboration with Delivery Managers for seamless project execution
- Documentation and data exchange management

**Business Development & Client Relations**
- Issue resolution and technical consultation
- Upselling and cross-selling additional services
- Client communication and relationship management
- Invoice and time tracking management

**Financial Management**
- Project resource cost calculation
- Company-wide project margin analysis
- Profitability assessment and optimization
- Strategic resource allocation

**Technical Expertise**
- Deep understanding of IT project development
- Complex problem-solving capabilities
- Technical issue resolution beyond sales department scope

---

## Professional Experience

**Business Development Manager**
- Manage client interactions and financial matters with professionalism
- Resolve complex technical issues throughout project lifecycle
- Provide additional services and supplementary solutions to clients
- Handle invoicing and time tracking inquiries

**Project Manager**
- Lead technical project development initiatives
- Calculate specialized resource costs for project viability
- Analyze complete project margins for profitability assessment
- Streamline client-side project management processes
- Coordinate with Delivery Managers for successful project delivery

---

## Professional Objectives

Committed to delivering excellence in IT project management and financial solutions. Seeking opportunities to contribute to team success, continuously develop professional skills, and grow into a highly qualified specialist while driving measurable results for the organization."
13080,"# PROFESSIONAL SUMMARY

IT professional with 7 years of comprehensive experience spanning business development and business analysis disciplines.

# PROFESSIONAL EXPERIENCE

**Business Development Manager**

- Executed full cycle sales process from lead generation through deal closure, including prospect qualification and opportunity development
- Prepared comprehensive contract documentation including Estimates, Proposals, MSAs, and SOWs
- Leveraged multiple CRM platforms (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach)
- Utilized project tracking systems including Jira and Trello
- Collaborated cross-functionally with recruiters, project managers, and company executives throughout pre-sale stages
- Elicited and documented client requirements during sales consultations
- Served as key liaison coordinating between project managers and clients to ensure seamless project execution
- Functioned as primary point of contact for prospects during pre-sale activities, including coordinating technical interviews, collecting client feedback, and addressing objections
- Designed and executed full-cycle email marketing campaigns
- Developed marketing collateral including case studies, press releases, and website content
- Contributed to recruitment efforts by participating in screening and interviewing candidates for Sales & Marketing department
- Mentored and trained junior team members across remote offices in Ukraine and international locations

**Business Analyst**

- Elicited and evaluated client requirements for software development projects
- Authored Software Requirements Specifications
- Maintained and updated comprehensive project documentation
- Facilitated communication between customer representatives and development teams
- Prepared user guides and end-user documentation
- Designed UI wireframes for application development"
13146,"# PROFESSIONAL SUMMARY

Results-driven management professional with 7 years of international experience across Ukraine, Qatar, UAE, and Lebanon. Proven track record in project management, business development, and production oversight. Dean's Honor List recipient from American University in Dubai. ISO22000 Certified Internal Auditor.

# CORE COMPETENCIES

- Team Leadership & Development (up to 25 direct and indirect reports)
- Business Development & Production Management
- International Contract Negotiation & Documentation
- Project Management & Strategic Planning
- Cross-functional Team Coordination
- Process Optimization & Quality Control
- Stakeholder Communication & Presentations

# PROFESSIONAL EXPERIENCE

**Director of Business Development & Production**
International Company | 5+ years
- Led teams of up to 15 professionals including engineers, designers, and sales managers
- Managed relationships with third-party service providers overseeing approximately 10 personnel
- Applied comprehensive management framework encompassing planning, organization, leadership, and control
- Negotiated and managed international supply contracts, logistics agreements, and outsourcing arrangements
- Maintained confidentiality protocols under NDA requirements
- Utilized project management tools including Trello and Google Workspace for team collaboration

**Project Manager to Assistant Manager**
Various International Companies | Ukraine, Qatar, UAE, Lebanon
- Progressive advancement through managerial positions demonstrating consistent performance excellence
- Streamlined complex processes into actionable components with clear implementation strategies
- Developed comprehensive reports and product presentations for diverse stakeholders
- Facilitated cross-departmental communication and cooperation

# ENTREPRENEURIAL VENTURES

- Successfully launched and managed eCommerce initiatives
- Established and operated online news publications

# CERTIFICATIONS & EDUCATION

- ISO22000 - Certified Internal Auditor
- American University in Dubai - Dean's Honor List for Outstanding Academic Achievements

# PROFESSIONAL SKILLS

- Fluent English proficiency (business communication, technical reporting, presentations)
- International business documentation expertise
- Project management software (Trello, Google Workspace, and adaptable to additional platforms)"
13147,"**PROFESSIONAL SUMMARY**

Results-driven professional with 3+ years of project management experience and 2 years as a Business Development Manager in IT. Versatile team player with strong communication skills and enthusiasm for new challenges. Proven track record in partnership development, client relations, and team management within the outsourcing/outstaffing sector.

**KEY ACHIEVEMENTS**

• Developed a partnership network with 150+ IT companies across Ukraine, Poland, Bulgaria, and other regions
• Successfully managed more than 10 projects and numerous support tasks

**PROFESSIONAL EXPERIENCE**

**Partnership Manager | Outsourcing/Outstaffing Agency**

• Conducted meetings with clients and suppliers to facilitate mutual understanding and collaborative growth
• Led communication and onboarding processes for new clients
• Managed teams of developers and designers

**TECHNICAL PROFICIENCIES**

Trello | Notion | Slack | Agile | Jira | CRM | ActiveCampaign

**CAREER OBJECTIVE**

Seeking to join a dynamic team that offers opportunities for continuous learning and professional development"
13148,"**PROFESSIONAL EXPERIENCE**

**Business Development Manager and Fundraiser** (5 years)

• Established and maintained relationships with stakeholders to invest in startup company, raising $30,000 in one week

• Communicated new product developments to prospective clients

• Contacted potential clients to establish rapport and arrange meetings

• Identified new business opportunities

• Attended conferences, meetings, and industry events

• Developed goals for the development team and business growth and ensured they were met

• Researched organizations and individuals to find new opportunities


**Business Development Manager – Startup Project**

• Set goals for the business development team and developed strategies to meet those goals

• Met with stakeholders

• Trained business development staff

• Researched prospective accounts in target markets


**Project Manager – State Enterprise**

• Determined and defined project scope and objectives

• Tracked project costs to meet budget

• Monitored progress and made adjustments as needed

• Measured project performance to identify areas for improvement


**PROFESSIONAL OBJECTIVE**

Seeking team-oriented work environment to leverage business development and project management expertise"
13149,"**PROFESSIONAL EXPERIENCE**

**Telecommunications Company**
*Business Development & Partnership Manager*

Established 48 new international interconnections with partners across Europe, CIS, America, and Asia within 6 months. Identified 5 fraudulent entities through comprehensive verification processes.

Managed international projects and partnerships for 2 years, serving B2C clients and B2B companies globally across Europe, Asia, America, CIS, and Africa.

Led interconnection management and partnership network expansion for 1.5 years in telecommunications sector. Spearheaded partner acquisition, commercial negotiations, business case analysis, fraud prevention, contract execution, and cross-functional coordination across commercial, technical, and legal domains.

Ensured seamless integration of new partnerships with all internal departments. Conducted direct client engagement via telephone, email, Skype, and LinkedIn, including cold and warm outreach.

Utilized CRM and project management platforms including Pipedrive, Odoo, Confluence, Jira, and Mattermost.


**CORE COMPETENCIES**

• International Partnership Development & Management
• B2B & B2C Relationship Building
• Commercial Negotiation & Business Case Analysis
• Fraud Detection & Risk Mitigation
• Cross-Functional Project Coordination
• Multi-Channel Communication (Phone, Email, Video, Social Media)
• CRM & Project Management Tools (Pipedrive, Odoo, Confluence, Jira, Mattermost)
• Structured Problem-Solving
• Multitasking in High-Pressure Environments
• Self-Motivated & Results-Driven


**PROFESSIONAL OBJECTIVES**

Seeking challenging role in international, multilingual environment with focus on communication, project management, and client service (70% communication, 30% technical tasks). Committed to continuous learning of new technologies, tools, and methodologies within customer-oriented, professionally managed organization."
13150,"# PROFESSIONAL SUMMARY

Accomplished Enterprise Sales Professional, Project Manager, and Business Development leader with 9 years of experience in Enterprise, B2B, and B2C environments. Proven track record of exceeding sales goals, building profitable partnerships, and maximizing customer lifetime value in team lead and manager positions. Expert in sales strategy, project and account management, business processes and development, and Cloud Computing solutions (SaaS, API, Cloud Services). Strong entrepreneurial spirit with change management skills, agile and waterfall methodologies expertise, and capability to build relationships with colleagues, partners, and C-level customers. Persuasive communicator with innovative thinking for digital transformation and high-value selling.

# PROFESSIONAL EXPERIENCE

## Business Development, Sales and Project Manager

**Key Achievements:**
- Manage 10 active customers and 40+ prospects with total ARR of $1M across FMCG, Agro, and Manufacturing sectors
- Closed 15 deals in 1.5 years with overachievement success
- Annual involvement of 10+ clients with annual sales turnover €300,000
- Developed account strategy for top clients in FMCG, resulting in higher sales conversion

**Product Development & Strategy:**
- Product creating - CRM with KRA: business concept, ToR, roadmap, UX/UI, RM, commercial and social marketing strategies
- Developed commercial and marketing strategies for all companies' products to create value propositions for new clients
- Participated in developing marketing strategy with KRA: brand promoting, loyalty, new leads, media, social companies, press

**Project & Partnership Management:**
- Humanitarian project: Management implementation of IT solutions (value conception design, CRM, website, fundraising)
- Implementation of PM, BA standards, and methodologies into strategic corporate sales
- Creation and management of partner relations with involvement of 5+ partners per year and sales turnover in partners network of €220k annually

**Expertise & Responsibilities:**
- Responsible for value creation of IT solutions for customers in Agro sector
- Led projects concerning sales strategies, product development, IT solutions implementation, trade marketing activities, and marketing and business plans in Renewable industry, Enterprise Tech and AgTech environments
- Successful negotiations on development and implementation of company and client ideas, needs, and cases"
13196,"# Professional Experience

**Operations Manager** | 2022
- Managed cross-functional team of 4 Team Leads and 42 Sales Development Representatives across Mexico and Ukraine locations
- Recognized as Best Manager within the company every month
- Handled responses for 10 active clients simultaneously while maintaining personalized communication
- Participated in testing and validation of internal tools

**Team Lead** | 2021 - 2022
- Provided business development services to 3-4 clients concurrently

**Sales Development Representative, B2B** | 2019 - 2021
- Executed cold outreach campaigns across multiple channels including email, LinkedIn, and phone calls
- Delivered business development services for diverse client portfolios

# Core Competencies

- Business Development
- Team Leadership & Management
- Client Relationship Management
- Multi-Channel Outreach (Email, LinkedIn, Cold Calling)
- Cross-Cultural Team Operations
- Internal Process Testing & Optimization

# Career Objective

Experienced business development professional seeking to leverage proven client management and team leadership expertise in a Project Manager role requiring extensive client-facing interaction and day-to-day client communication."
13382,"# PROFESSIONAL SUMMARY

Highly motivated Business Process Architect/Project Manager with 10+ years of experience in delivering projects within scope, budget, and timelines. Strong communication, stakeholder management, and problem-solving skills. Adept in using Agile, Waterfall, or hybrid methodologies to ensure project success and customer satisfaction. Member of the PMI chapter with access to the latest project management resources and training opportunities. Currently working towards obtaining Project Management Professional (PMP) certification. Seeking complex and interesting projects with a modern technology stack.

# KEY ACHIEVEMENTS

**Enterprise Resource Planning (ERP) System Implementation**
- Led ERP system implementation delivering high quality results on time and within budget despite numerous unknown and rapidly changing business needs
- Reduced databases from 13 to 3, decreasing data exchange time from 40 minutes to 2 minutes and full cycle time from 3 hours to 15 minutes
- Enabled system scalability to support 2,500 concurrent user sessions in a single database
- Developed extensive productivity metrics with support threshold alerts
- Centralized data availability for store balances across all locations in one unified database

**Customer Relationship Management (CRM) Implementation**
- Successfully implemented Microsoft Dynamics CRM within 6-month timeframe

**IT Service Management System Implementation**
- Implemented Manage Engine Service Desk Plus for Level I and II support operations and project management

# TECHNICAL SKILLS & CERTIFICATIONS

**Methodologies:** Agile, Scrum (Certified), Waterfall (Certified), SDLC, BPMN 2.0 (Certified)

**Project Management Tools:** Microsoft Project (Certified), Jira, Confluence (Certified)

**Enterprise Systems:** ERP, CRM, Microsoft Dynamics

**Microsoft Office Suite:** Power Point, Excel, Power BI, Visio, Access

**Web Technologies:** WordPress, WooCommerce

**In Progress:** PMP Certification"
13461,"# PROFESSIONAL EXPERIENCE

**Bank Director**
- Served as Chief Accountant of the Bank
- Directed organizational operations and strategic initiatives

**Technology Implementation & Project Management**
- Led implementation of treasury management software
- Deployed transaction processing software systems
- Executed agency sales software solutions
- Successfully delivered complex projects throughout tenure

**Team Leadership & Product Development**
- Managed and mentored development teams of up to 10 people
- Built banking automation products from initial concept through full deployment
- Established requirements gathering processes with customers
- Coordinated development task assignment, testing protocols, and customer implementation
- Over 10 years of leadership experience

**Professional Development Focus**
- Pursuing advancement opportunities in complex project environments
- Seeking new projects and strategic directions
- Building expertise within international company settings"
13475,"# BUSINESS TRANSFORMATION MANAGER
**Digital Studio | 1 year**

**Key Achievements:**
- Grew company threefold within 1 year (from 12 team members to 36)
- Improved delivery quality, reducing bug reports from clients by 80%
- Increased project margins by 27%
- Implemented parallel processes, decreasing project delivery timelines
- Increased number of delivered projects

**Responsibilities:**
- Analyzed business processes and workflows to identify bottlenecks for improvements
- Prioritized and implemented business process transformation plans
- Prepared and controlled general company documentation
- Led PM team: trained managers, reviewed difficult situations and project problems with PMs
- Hired and interviewed new employees including QA and managers
- Conducted performance reviews and created personal growth plans with HR and team leads
- Managed operations for team of 35 people (PMs, front-end developers, back-end developers, QA, designers, sales managers)

**Projects:** E-commerce (Shopify), WooCommerce, and creative projects with various animations and designs

---

# HEAD OF PM
**8 months**

**Key Achievements:**
- Improved developer workload indicator by 20%, reducing downtime between projects to near zero and increasing revenue
- Increased company profit by 40%

---

# IT PROJECT MANAGER
**2.5 years total (1 year 10 months as Project Manager)**

**Key Achievements:**
- Developed and implemented common Time-tracking standard for team: improved developer estimates and reduced projects exceeding estimates to nearly zero
- Successfully launched more than 40 projects (websites)

**Responsibilities:**
- Managed team of 17 people (2 managers and 15 developers)
- Implemented OKR methodology at management level to achieve company goals
- Trained project managers from scratch

**Technical Experience:**
- Extensive experience with Front-End and CMS: WordPress, Kirby
- Understanding of web development cycle and stages
- Experience in manual testing
- Experience in web design (3 personal projects and 1 commercial project)

---

**SEEKING:** New opportunities in a great company with a super team. Interested in product development and game development companies. Focused on developing as a specialist in different directions and transforming business processes to advance company goals."
13477,"**PROFESSIONAL SUMMARY**

Results-driven Head of Business Analysis with 4 years of experience leading analytical teams in IT. Previously served 4 years as Project Manager in the financial sector. Proven track record of delivering 20+ projects, optimizing operational efficiency, and managing relationships with top-tier banking clients.

---

**KEY ACHIEVEMENTS**

- Delivered 20+ projects as Head of Business Analytics, establishing streamlined project management processes for team and client collaboration

- Managed strategic partnerships with leading Ukrainian banking institutions: Alfa Bank, Ukrsotsbank, Aval Bank, Bank Credit Dnipro, Idea Bank

- Designed and implemented loan portfolio segmentation strategy, improving work efficiency by 8-10%

- Developed and deployed comprehensive scoring model utilizing 50+ performance indicators, reducing costs by 15% and increasing efficiency by 20%

- Successfully integrated call center and legal departments into unified, cohesive team

---

**CORE COMPETENCIES**

- Systematic and Critical Thinking
- Strategic Planning
- Team Leadership and Communication
- Adaptability and Creative Problem-Solving
- Proactive Leadership
- Collaborative Team Player
- Detail-Oriented and Quality-Focused

---

**KEY RESPONSIBILITIES**

- Assign tasks to Business Analysis team and development staff; monitor implementation and delivery

- Lead sprint planning and optimize workload distribution across team members

- Oversee and optimize operational workflows and processes

- Gather, analyze, and document requirements in Software Requirements Specifications (SRS)

- Estimate labor costs and allocate resources for project execution

- Create comprehensive user manuals and administrator documentation

---

**WHAT I'M LOOKING FOR**

A company offering challenging projects with modern implementation methodologies and a collaborative team of results-oriented professionals."
