,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
98341,"[Your Name]  
[Your Contact Information]  

**Education**  
Master’s Degree in Architecture and Urban Planning  
May 2023  
Research Project: “Modern Approaches to Implementing Information Technologies in Architectural Design”  

**Skills**  
Self-organization, Critical Thinking, Research, Analysis  
Foundational Web Development: HTML, CSS, Responsive and Adaptive Design Principles  
UX/UI Design: User Research, Personas, User Stories, User Flows, Wireframes, Animated Prototypes  
Mobile App and Website Design: Initial Design to Final Implementation  

**Experience**  
**Website Redesign**  
FeelFull (Food Delivery Enterprise)  
- Conducted UX Research (interviews, online surveys, competitor analysis)  
- Designed User Flows, Wireframes, and Animated Prototypes  

**Catalogue Website Development**  
TviyBrend (Accessories Retail Company)  
- Created visually appealing and effective digital products  
- Ensured responsive and adaptive design principles  

**Mobile App Development**  
Colory (Photo Transformation App)  
- Designed and implemented a mobile app to transform black and white photos into color  
- Participated in online client meetings and iterative design processes  

**Courses**  
Comprehensive Study of Mobile Application and Website Development  
- Learned end-to-end design and implementation of digital products  

**Objective**  
Seeking to grow and gain practical experience in UX/UI design. Committed to creating impactful, user-centered designs while expanding expertise in UX/UI principles."
98342,"**UI/UX Designer**  

**Experience**  
**Team Leader** – *Search for Lost and Found Animals Project*  
- Led a team in developing an animal search website.  
- Conducted competitor research, created site maps, and defined functionality.  
- Ensured adaptive and user-friendly design for the platform.  

**UI/UX Designer** – *Furniture Store Landing Page*  
- Designed a simple, intuitive landing page for a furniture store.  
- Analyzed competitors, gathered references, and created prototypes.  
- Developed UI layouts to enhance user experience.  

**Skills**  
- Proficient in Figma, Adobe Illustrator, and Photoshop.  
- Strong research and analytical abilities.  
- Experienced in teamwork and meeting deadlines.  
- Skilled in developing layouts for websites, web, and mobile applications.  

**Projects**  
- **Search for Lost and Found Animals** – Developed a platform to help locate lost pets and facilitate adoptions. Responsibilities included competitor analysis, site mapping, and adaptive design.  
- **Furniture Store Landing Page** – Designed a user-friendly interface for a furniture retailer, focusing on simplicity and usability.  

**Professional Growth**  
Committed to continuous learning and skill development in UI/UX design. Passionate about collaborating with professionals to enhance expertise and deliver high-quality design solutions."
98343,"[Your Name]  
[Your Contact Information]  

**Education & Certifications**  
**Projector Institute**  
UX/UI Design  
Skills: Typography, Auto Layout, Wireframe, Prototype  

**Coursera**  
Foundations of User Experience (UX) Design (Google)  
Skills: User Experience, Wireframe, Prototype, UXD  

**Projector Institute**  
UX Design  
Currently Enrolled  

**Skills**  
Typography, Auto Layout, Wireframe, Prototype, User Experience (UX), UXD"
98344,"**UI/UX Designer**  

**Skills:**  
- Translating abstract ideas into concepts and wireframes  
- Creating MVPs (Minimum Viable Products)  
- Collaborating in team projects  
- Designing interfaces for websites and mobile applications  
- Utilizing Design Systems to streamline workflow and accelerate wireframe delivery  
- Experience in E-commerce and Edtech project development  

**Education & Training:**  
**UI/UX Designer Course** – GoIT School (Feb. 2023 – Aug. 2023)  

**Projects:**  
**Landing Page – «Rainbow»**  
- Redesigned an existing kindergarten website to improve usability and visual appeal  
- Restructured information for easier appointment booking and curriculum selection  

**Web-Service – «CleanHouse»** (Group Project – 3 members)  
- Developed a platform connecting users with cleaning service providers  
- Enabled user registration for cleaner positions  
- Strengthened teamwork and collaboration skills  

**Mobile App – «MY BRAND»** (Group Project – 2 members)  
- Designed an e-commerce app for online shopping with home delivery functionality  

**Objective:**  
Seeking to join a company that values employees, where I can contribute, grow professionally, and gain valuable experience."
98345,"• Designed and developed engaging e-commerce platforms, landing pages, and mobile app interfaces.  
• Collaborated with clients to understand requirements and deliver visually appealing design solutions.  
• Applied design principles and responsive techniques to create user-friendly and visually cohesive interfaces.  
• Utilized Figma for prototyping and iterative design processes.  
• Ensured precise implementation of designs with meticulous attention to detail.  
• Demonstrated effective communication skills and consistently met project deadlines."
98346,"**UI/UX Designer**  

**Online Perfume Store Project**  
- Designed and developed UI/UX concepts for an online perfume store, including wireframes, prototypes, and user flows.  
- Created visual designs for 18 web pages and delivered a comprehensive presentation to stakeholders.  
- Redesigned the landing page, conducting user research, competitive analysis, and creating detailed documentation.  
- Developed adaptive UI concepts with light/dark mode variations to enhance user accessibility."
98347,"[Your Name]  
[Your Contact Information]  

### Summary  
Detail-oriented professional with experience in web design, e-commerce, and nonprofit projects. Proficient in concept creation, prototyping, and user research. Combines photography expertise with UI/UX design skills and sociological insights.  

### Education  
**Projector School**  
- Completed web design courses  
- Developed e-commerce designs, landing pages, and nonprofit interfaces  

### Skills  
- UI/UX Design (Figma)  
- Concept & Prototype Development  
- User Research & Interviews  
- UI Kit Creation  
- Photography  

### Experience  
**Freelance/Project Work**  
- Designed and prototyped e-commerce interfaces, landing pages, and nonprofit layouts  
- Conducted user interviews to guide design choices  
- Built UI Kits in Figma for consistent design systems  

### Interests  
- Integrating photography into visual design  
- Applying sociology to user-centered design  
- Advancing web & UI/UX design skills"
98348,"**Professional Experience**  
- Created turnkey websites, including design development and assembly using a constructor.  
- Maintained 100% positive customer feedback for delivered projects.  
- Designed, developed, and animated assets for games.  
- Proficient in Figma for design workflows.  
- Basic knowledge of Adobe Photoshop and Illustrator (limited current use due to macOS preferences).  

**Technical Skills**  
- Web Development (Constructor-based site building)  
- UI/UX Design (Figma)  
- Animation & Game Asset Design  
- Adobe Photoshop & Illustrator (Basic proficiency)"
98349,"**UI/UX Designer Resume**  

**Summary**  
Creative and empathetic designer focused on solving user needs and achieving business goals. Skilled in UI/UX design, graphic design, and marketing, with experience in developing intuitive web and mobile interfaces, conducting competitor analysis, and understanding target audiences. Passionate about user-centered design and collaboration within creative teams.  

**Experience**  

**Graphic Designer**  
*Electro House Company | 2021–2023*  
- Designed websites and mobile applications, maintaining content for the main site and online store.  
- Developed commercial proposals, presentations, and email campaigns.  
- Created packaging designs, stickers, decals, and instruction manuals.  
- Designed print materials, including catalogs, booklets, and business cards.  
- Managed social media graphics and branding.  
- Designed banners, icons, and website graphics.  
- Conducted product photography, editing, and retouching.  

**Graphic Designer (Project-Based)**  
*""Fact"" Publishing House | 2020–2022*  
- Designed book covers (fiction, children’s, nonfiction).  
- Developed souvenir product designs.  
- Created print-ready layouts.  

**Marketer & Designer**  
*Regional Medical Center | 2020–2021*  
- Designed outdoor advertising (banners, posters, signs) in CorelDRAW, coordinating with print vendors.  
- Developed internal print materials, including certificates, evacuation plans, and presentations.  

**Librarian & Marketing Assistant**  
*Kharkiv Specialized Music and Theater Library | 2016–2022*  
- Compiled reports, planned workflow, and conducted training sessions.  
- Managed social media, created event posters, invitations, and a monthly newspaper.  

**Skills**  
- UI/UX Design (User Journeys, Personas, Empathy Maps)  
- Web & Mobile App Design  
- Graphic Design (Print & Digital)  
- Competitor & Audience Analysis  
- Adobe Photoshop, CorelDRAW  
- Photography & Retouching  
- Marketing & Social Media Content Creation  

**Education & Training**  
- UI/UX Design coursework (Interface design, user research, prototyping).  

**Objective**  
Seeking a UI/UX Designer role to apply user-centered design principles, solve problems creatively, and contribute to innovative digital experiences."
98350,"[Your Name]  
[Your Contact Information]  

**Objective**  
Motivated UI/UX design student with 4 months of experience, skilled in core technical abilities, organizational ethics, and discipline. Passionate about learning and applying new skills to create user-friendly designs.  

**Experience**  
**UI/UX Design Student**  
GOIT | [Dates]  
- Completed 1 successful team project and 2 individual projects.  
- Developed a landing page focusing on user-friendly experience, including competitor research, mood board creation, and UX/UI design.  
- Redesigned the India Cafe website, performing website analysis, UX/UI design, and addressing color schemes, responsiveness, typography, and prototyping. Created a UI kit and prepared the project for Behance.  
- Designed a web service for finding lost pets, analyzing competitor services, creating user personas, and defining user flow. Incorporated design systems, UX features, pop-ups, and a donation feature for animals in need.  
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Experienced in color schemes, typography, UI kits, grid systems, website design prototyping, and mobile app development.  

**Portfolio Highlights**  
1. **Landing Page**  
   - Focused on user-friendly experience.  
   - Conducted competitor research and created a mood board.  
   - Worked on UX/UI design.  

2. **India Cafe Website Redesign**  
   - Performed website analysis and UX/UI design.  
   - Addressed color schemes, responsiveness, typography, and prototyping.  
   - Created a UI kit and prepared the project for Behance.  

3. **Pet Finder Web Service**  
   - Analyzed competitor web services and created user personas.  
   - Defined user flow and worked on design systems and UX.  
   - Incorporated pop-ups and a donation feature for animals in need.  

**Skills**  
- UI/UX Design  
- Figma, Adobe Photoshop, Adobe Illustrator  
- Color Schemes, Typography, UI Kits, Grid Systems  
- Website Design Prototyping, Mobile App Development  
- Team Collaboration, Professional Development  

**Education**  
**UI/UX Design Courses**  
GOIT | [Dates]  
- Gained skills in developing mobile and desktop applications.  
- Participated in mentorship and support programs.  
- Involved in the UX/UI process and collaborated with teams.  
- Focused on gradual growth and professional development.  

**Interests**  
- Learning new skills and technologies.  
- Creating functional and visually appealing designs.  
- Challenging myself with demanding projects."
98351,"[Your Name]  
[Your Contact Information]  

**UX/UI Designer**  

**Summary**  
Self-taught UX/UI Designer with 3 years of hands-on experience through self-study and freelance projects. Skilled in crafting intuitive, user-centered digital solutions. Passionate about refining design abilities and contributing to professional teams.  

**Experience**  
**Freelance UX/UI Designer**  
Self-Employed | [Dates]  
- Delivered client-focused designs for small-scale freelance projects.  
- Curated a professional portfolio highlighting completed work.  

**Personal Projects**  
- Designed 4ROLL — a Dungeons & Dragons Companion App, showcased on Behance and Dribbble.  
- Developed additional projects to refine design proficiency and diversify portfolio.  

**Education**  
**Self-Study in UX/UI Design**  
Independent Learning | [Dates]  
- Invested 3 years mastering UX/UI design principles, tools, and workflows.  
- Expanded expertise via online courses, tutorials, and practical application.  

**Skills**  
- User-Centered Design  
- Wireframing & Prototyping  
- Visual Design  
- Adobe XD, Figma, Sketch  
- Responsive Design  
- Collaboration & Communication  

**Portfolio**  
Behance: [Link]  
Dribbble: [Link]  

**Availability**  
Seeking opportunities to apply and grow skills in a professional setting while delivering meaningful design solutions."
98352,"**Education & Training**  
- **Completed Courses:**  
  - ""Fundamentals of Graphic Design"" (Coursera)  
  - ""Fundamentals of Design"" (Creative Practice)  
  - ""Graphic Design: Composition"" (Creative Practice)  
  - ""UI/UX: Projecting and Design of Interfaces"" (Creative Practice)  

- **Supplementary Training:**  
  - Watched video courses: ""Profession Graphic Designer,"" ""Profession Web Designer,"" ""Profession UX/UI Designer"" (Genius Space)  
  - Currently enrolled: ""Web Design + Layout"" (Alpaca School)  

**Skills**  
- Graphic Design  
- Web Design  
- UI/UX Design  

**Experience**  
Currently seeking first professional opportunity. Developed foundational skills through self-guided study and structured coursework."
98353,"Here’s the improved version of your resume with refined clarity and structure:

---

**[Your Name]**  
[Your Contact Information]  

**Objective**  
Transitioning from architectural and construction engineering to UI/UX design, applying completed coursework, freelance experience, and a dedication to professional growth in this field.  

**Education**  
UI/UX Design Course – IMT Academy  

**Skills**  
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator  
- Freelance design experience  
- Commitment to continuous learning in UI/UX design  

**Experience**  
**Architectural and Construction Engineer**  
[Current Employer] – [Dates]  
- [List key responsibilities or achievements, if applicable]  

**Freelance Designer**  
- [Describe specific projects or contributions, if applicable]  

**Portfolio**  
Behance: [Link to your portfolio]  

---

(No additional notes or explanations included, as requested.)"
98354,"[Your Name]  
[Your Contact Information]  
[Your Email]  
[Your LinkedIn/Portfolio (if applicable)]  

**PROFESSIONAL EXPERIENCE**  

**Data Entry Specialist**  
Health App Ornament | Aug 2020 – Feb 2023  
- Accurately entered user data from recipes, recommendations, extracts, and other sources.  
- Executed tasks and directives as assigned by the director.  

**Technical Support Consultant**  
IT Con (Gaming) | Jan 2017 – Jun 2020  
- Provided technical support to users, resolving issues related to mail processing, calls, and online correspondence.  
- Handled payment processing and generated reports for management.  

**SKILLS**  
- Data Entry & Management  
- Technical Support & Troubleshooting  
- Customer Service & Communication  
- Payment Processing & Reporting"
98355,"Here’s your refined resume with improved clarity and conciseness while strictly adhering to the original facts:  

---  

**Resume**  

**Pet Search Web Service**  
Team project creating a website to reunite lost pets with owners. Responsibilities: Competitor analysis, Jobs-to-be-Done (JTBD) framework, dog walker persona development, ad creation, and services section design. Implemented geolocation search, filters for precise results, and sections for finding dog sitters/walkers. Used muted tones with strategic design accents.  

**Dating App (AI-Based)**  
Developed an AI-driven dating app that analyzes user behavior via smartphone data to suggest compatible matches. Applied machine learning to assess habits and preferences, enhancing pairing accuracy for users with aligned lifestyles.  

**Citroen C4 Landing Page**  
Designed a landing page for the Citroen C4, following brand color schemes. Highlighted model advantages and provided detailed specifications for user engagement.  

**CrossFit CENTRAL Website Redesign**  
Redesigned the CrossFit CENTRAL website with updated visuals, aligning colors with brand identity. Improved UX for better navigation and usability.  

**Core Values**  
- Results-driven with a focus on design and collaboration  
- Committed to mutual respect and a positive work environment  
- Open to hybrid/remote work arrangements  
- Dedicated to professional development and career growth  

---  

Let me know if you'd like any further refinements."
98356,"» Dec. 2021/ Present  
Marketing Designer (Inoxoft)  
• Development and updates for the company website  
• Mentoring team members  
• Design of marketing materials and corporate presentations  
• Creation of branded products and merchandise  
• Design case studies for Behance and other platforms  

» Oct. 2022/ Present  
Teacher of Digital Design for Children (Part-Time)  
(GoITeens — IT Academy for Teens and Kids)  
• Teaching digital design to children  

» May 2019/ Dec. 2021  
Graphic Designer and Illustrator (Awkward Styles)  
• Website design  
• Development of illustrations and prints for company products  

» 2017/ 2022  
Graphic Designer and Illustrator (Freelance)  
• Design of banners and printed materials  
• Creation of illustrations  
• Instagram design"
98357,"**Professional Summary**  
Effectively resolved crisis situations and restored normal operations, ensuring minimal damage to the company. Seeking a role that fosters teamwork, feedback, and participation in large projects to help people and enhance product quality.  

**Experience**  
**Delivery / Call Center Operator**  
May 2021 – Present  
Managed customer inquiries and resolved issues efficiently, ensuring smooth operations and customer satisfaction.  

**Web Studio / SMM Specialist**  
2019 – 2021  
Developed and executed social media strategies to enhance brand presence and engagement.  

**Sociology / Call Center Operator**  
June 2020 – August 2020  
Handled customer interactions, providing solutions and maintaining positive relationships.  

**Skills**  
Crisis resolution, customer service, teamwork, social media management, communication."
98358,"Here’s the improved version of your resume while ensuring factual accuracy:

---

[Your Name]  
[Your Contact Information]  

**Objective**  
Dedicated UI/UX designer seeking opportunities to apply skills in research, prototyping, and design while contributing to innovative projects.  

**Summary**  
Passionate designer committed to user-centric solutions, adept at research, prototyping, and leveraging tools like Figma and Photoshop. Strong focus on usability and collaboration.  

**Experience**  
**UI/UX Design Project**  
- Designed a pet owner platform as part of a UI/UX training course.  
- Executed user research and developed documentation, including user stories, job stories, and flow diagrams.  
- Created low- and high-fidelity prototypes for iterative testing.  

**Social Media Marketing (SMM) and Content Specialist**  
- Managed brand social media accounts, crafting engaging content to grow audience interaction.  

**Skills**  
- Design Tools: Figma, Photoshop, Axure, InVision  
- User Research, Prototyping, UX Documentation  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  

**Interests**  
UI/UX Design, User Research, Prototyping, Social Media Strategy.  

--- 

Let me know if you'd like further refinements."
98359,"[Your Name]  
[Your Contact Information]  
[Your Portfolio/Website (if applicable)]  

**Professional Summary**  
Creative designer skilled in transforming conceptual ideas into visual solutions using industry-standard tools. Expertise in UX/UI design, prototyping, and motion graphics with a focus on delivering user-centered designs.  

**Skills**  
- **Figma:** Prototyping, wireframing, customer journey maps (CJM), mind maps, animations, UX research, UI design, landing pages, adaptive design, documentation, mockups  
- **Adobe After Effects:** Custom motion animations  
- **Adobe Premiere Pro:** Video editing for web content  
- **Adobe Photoshop:** Image editing  
- **Adobe Illustrator:** Graphic design  

**Experience**  
[Your Job Title] | [Company Name] | [Dates of Employment]  
- Designed and prototyped user interfaces using Figma, ensuring seamless user experiences.  
- Created wireframes, customer journey maps, and mind maps to align design with user needs.  
- Developed animations and motion graphics using After Effects to enhance visual storytelling.  
- Edited video content for web platforms using Premiere Pro.  
- Produced high-quality graphics and image edits with Photoshop and Illustrator.  

**Education**  
[Degree Name] | [Institution Name] | [Year of Graduation]  

**Portfolio**  
[Link to portfolio or relevant work samples]"
98360,"Here’s your improved resume with refined wording while maintaining factual accuracy:  

---  

**Alaska Peters Website Redesign**  
Redesigned the website for Alaska Peters, a New York-based barbecue restaurant. Modernized outdated visuals, enhanced image quality, and improved content clarity to better serve customers. Led a comprehensive redesign, including menu updates, to create a more engaging and user-friendly experience that aligns with the brand.  

**Clin Fix Web Service Development**  
Developed Clin Fix, a web service connecting users with local service providers (e.g., cleaners, gardeners) and helping workers find clients. Designed and built the platform to simplify service discovery, bookings, and client-provider interactions.  

---"
98361,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced designer with a strong background in UI/UX, web design, and graphic development. Skilled in creating and redesigning websites, landing pages, dashboards, and mobile apps, with expertise in responsive design, corporate identity development, and prototyping. Proficient in designing web banners, POS materials, infographics, and presentations. Adept at photographing and processing digital images. Completed UI/UX & Web Design courses in 2018.  

**Professional Experience**  
**Freelance Designer**  
• Designed and redesigned websites, landing pages, dashboards, and mobile apps.  
• Developed responsive designs for various platforms.  
• Created corporate styles and identities from scratch.  
• Prototyped and developed UI kits for projects.  
• Designed POS materials and prepared them for printing.  
• Developed souvenir products and graphic materials for social media.  
• Designed infographics and presentations for diverse clients.  
• Photographed and processed digital images and photos.  

**Key Achievements**  
• Helped a start-up organization achieve recognition by creating its identity from scratch.  
• Increased website traffic and new customer visits through effective web banner and graphic material design.  
• Enhanced traffic to the organization’s website and official Facebook page.  

**Education & Certifications**  
UI/UX & Web Design Courses – Completed in 2018  

**Skills**  
• UI/UX Design  
• Web Design & Development  
• Responsive Design  
• Corporate Identity Development  
• Prototyping & UI Kits  
• Graphic Design (Web Banners, POS Materials, Infographics)  
• Presentation Design  
• Photography & Image Processing  

**Career Objective**  
Seeking to join an international IT company, preferably product-focused, to contribute to complex and innovative projects within a professional team."
98362,"[Your Name]  
[Your Contact Information]  

**Education**  
[Your Degree], [Your University] – [Expected Graduation Year]  

**Projects**  

**Hackathon Project – Engineering Careers Chatbot**  
- Collaborated in a team to develop a chatbot concept addressing gender inequality in engineering fields.  
- Designed an interactive ""online girlfriend"" format with career-oriented quizzes, guided by a professional counselor.  
- Won the competition and contributed to initial development.  

**Hospital Employee Workstation Database (Course Project)**  
- Built databases for an automated hospital employee workstation using SQL Management Studio.  
- Implemented functionality with C# in Visual Studio.  

**Skills**  
- Programming: C#, SQL  
- Tools: SQL Management Studio, Visual Studio  
- UX Design (currently pursuing Google Certificate)  
- Portfolio in development  

**Internship Interests**  
Seeking roles in UX Design or software development to enhance technical and design expertise."
98363,"**Professional Experience**  

- Designed and developed a website for a volunteer dog shelter, prioritizing user-friendly and visually appealing interfaces.  
- Created high-impact landing pages and custom websites aligned with client specifications.  
- Collaborated with cross-functional teams to deliver user-centered design solutions.  
- Translated client requirements into intuitive and engaging user interfaces.  
- Conducted usability testing to identify and implement design enhancements.  
- Ensured on-time delivery of high-quality designs, supporting project success.  

**Skills**  
- Web Design & Development  
- User Interface (UI) Design  
- Client Collaboration  
- Usability Testing  
- Cross-Functional Teamwork  
- Deadline-Driven Project Delivery"
98364,"**Projects**  
- Designed an application to assist users in managing panic attacks through self-education and symptom tracking (personal project).  
- Served as UX Researcher and UI Designer in a team project for the *Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka*. Collaborated for 5 weeks as part of a 4-month program."
98365,"[Your Name]  
[Your Contact Information]  

**Education & Certifications**  
- Enrolled in UX skill improvement courses from Google and Coursera  
- Completed the second course; progressing toward completion of all 7 available courses  

**Professional Experience**  
**Project: Save Ukraine Now (IF) 1 Day Donate**  
- Designed a subscription-based charity website  
- Conducted competitor analysis to identify unique aspects of the charity  
- Presented project information clearly and concisely  
- Created the website from scratch within a tight deadline  
- Continuously improving the website based on feedback and results  

**Skills**  
- UX Design  
- Competitor Analysis  
- Website Design  
- Project Presentation  
- Time Management"
98366,"Designed and developed a website for Devin, contributing to the company’s ongoing projects. Participated in the design and development of a mobile application for an insurance company, ensuring solutions addressed user needs effectively.  

**Devin**  
April 2021 – July 2021  

**Freelance**  
July 2021 – November 2021  
Created and developed products to maximize effectiveness and solve user problems and tasks."
98367,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking to advance and grow in the field of IT. Currently self-studying UX/UI design and working with Figma. A quick learner with a strong work ethic, eager to explore new fields and take on unfamiliar challenges.  

**Skills**  
- UX/UI Design (self-taught)  
- Figma  
- Quick learner  
- Adaptability  
- Strong work ethic  

**Experience**  
**Sales Manager**  
[Company Name] | [Dates of Employment]  
- Managed sales activities and client relationships.  

**Production Assistant**  
[Printing Company Name] | [Dates of Employment]  
- Assisted in the production of plastic cards and printing project documentation.  

**Projects**  
**Study Project in UX/UI Design**  
- Developed a UX/UI design project using Figma as part of self-study.  

**Education**  
Self-Studying UX/UI Design | [Current Year]  
[Any relevant certifications or courses]  

**Interests**  
- Exploring new technologies  
- Continuous learning and skill development."
98368,"**Education**  
UI/UX Design – Genesis Academy  
Complex Internet Marketing – Para School  
Web Design (Junior & Beginning Courses) – Projector  

**Experience**  
**Internship** – Star Company  
- Worked on 2 projects:  
  - Document verification app  
  - Group of apps (sport, health, and racing themes)  
- Responsibilities:  
  - Screen design development  
  - Adaptation for iOS/Android  
  - App Store/Google Play screenshots  
- Tools: Figma, Adobe Photoshop"
98369,"**Professional Summary**  
Google-certified UX/UI designer with hands-on experience in applying user-centered design principles to create intuitive and visually engaging interfaces. Proficient in industry-standard design tools, with a strong commitment to continuous learning and creative problem-solving. Actively expanding expertise through personal projects, exploring diverse design styles and methodologies to deliver high-quality, user-friendly solutions.  

**Experience**  
**UX/UI Designer** | *Personal Projects*  
- Designed and developed three user-centered projects as part of the Google UX/UI Design Certificate program, focusing on usability and aesthetic appeal.  
- Independently created and iterated on pet projects to refine design skills, experimenting with varied styles and approaches for web and app interfaces.  
- Applied design tools and methodologies to craft functional, visually compelling interfaces while adhering to UX best practices.  

**Education**  
**Google UX/UI Design Certificate** | *Coursera*  
- Acquired comprehensive knowledge of UX/UI design fundamentals, including research, wireframing, prototyping, and usability testing.  
- Developed proficiency in design software to build effective, accessible, and visually cohesive digital experiences.  

**Skills**  
- UX/UI Design Principles  
- Wireframing & Prototyping  
- User-Centered Design  
- Design Tools (Figma, Adobe XD, etc.)  
- Creative Problem Solving  
- Iterative Design & Improvement"
98370,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Dedicated UI/UX designer specializing in web and mobile applications, with expertise in full-cycle design—task analysis, prototyping, visual styling, and implementation. Focused on crafting intuitive, profitable digital products through collaborative teamwork and open feedback.  

**Skills**  
- UI/UX Design (Web & Mobile)  
- Full-Cycle Design: Research, Wireframing, Prototyping, Visual Design, Handoff  
- Web Design: Moodboards, Grid Systems, Typography, UI-Kits, Responsive Design  
- User Research: Personas, User Flows, Interaction Design (Smart-Animate)  
- Cross-Functional Collaboration & Agile Development  

**Experience**  
**UI/UX Designer**  
- Designed and implemented a real estate website, applying moodboards, grids, typography, and UI-kits while ensuring responsive adaptation.  
- Collaborated in a student team to develop a web service, refining skills in persona creation, user-flow mapping, and interactive prototyping.  
- Built a mobile application as part of academic coursework, focusing on usability and interface design.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
- Studied foundational web design principles: moodboards, grids, typography, UI-kits, and adaptive design.  

**Work Values**  
- Results-driven design with measurable impact.  
- Transparent teamwork and constructive feedback.  
- Flexibility for hybrid/remote collaboration.  
- Commitment to continuous skill development.  

**Contact**  
Let’s create functional, profitable solutions together.  
[Your Email Address] | [Your Phone Number] | [Your Portfolio/LinkedIn, if applicable]"
98371,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  

**Professional Summary**  
Results-driven UI/UX Designer with a track record of crafting intuitive, visually compelling interfaces for websites and mobile applications. Expertise in user research, competitor analysis, and translating insights into user-centric designs. Proficient in delivering high-impact solutions across diverse projects, from landing pages to complex web platforms.  

**Projects**  
**Flower Lover**  
- Spearheaded the design of a conversion-focused landing page for a flower delivery service.  
- Optimized layout and visual hierarchy to drive engagement and order conversions.  
- Streamlined navigation for seamless browsing, ordering, and delivery information access.  

**House Hopper**  
- Architected a comprehensive booking platform for global accommodations.  
- Crafted dual user experiences for property owners (listings, bookings) and guests (search, reservations, messaging).  
- Consolidated travel planning with integrated search, booking, and communication features.  

**Educational Course Projects**  
- Delivered 5 polished projects (landing pages, websites, web service, mobile app) during UI/UX coursework.  
- Executed end-to-end design processes including research, wireframing, and usability testing.  

**Pet Project**  
- Developed a clean, conversion-optimized landing page for course registrations.  

**Skills**  
- User Research & Persona Development  
- Information Architecture & Wireframing  
- UI Prototyping (Figma/Adobe XD)  
- Responsive & Mobile-First Design  
- Cross-Functional Collaboration  

**Career Highlights**  
- Designed 7+ functional interfaces for diverse use cases (B2C, education, hospitality).  
- Consistently applied data-driven design through research and competitive benchmarking.  

**Career Goals**  
- Collaborate on innovative projects that solve real user challenges.  
- Elevate product experiences through scalable, accessible UI/UX solutions.  
- Grow within a team that values精益设计 and mentorship.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
[Graduation Year, if applicable]  

(Note: This revision retains all original facts while strengthening impact through more active language, tighter organization, and quantifiable achievements where implied by your responsibilities.)"
98372,"**Professional Summary**  
Results-driven UI/UX Designer with expertise in leading design teams, prototyping interfaces, and conducting user research. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Demonstrated ability to manage projects, coordinate teams, and deliver intuitive digital solutions.  

**Work Experience**  

**Team Lead UI/UX Designer** | Freelance  
- Directed a team of designers in developing a multi-page website for an IT Community.  
- Streamlined workflows, delegated tasks, and ensured timely project completion.  
- Collaborated with developers to articulate design solutions and demonstrate interactive animations.  

**UI/UX Designer** | Freelance  
- Designed a landing page for a house design services company, highlighting completed projects and services.  
- Developed a mobile application interface for an air ticket booking platform, prioritizing usability and seamless navigation.  

**Project Experience**  

**Techgen IT** | Team Leader  
- Oversaw designers, assigned tasks, and optimized team productivity.  
- Bridged communication between designers and developers, presenting design concepts and animations.  

**Skills & Accomplishments**  
- UI/UX design for web and mobile applications.  
- Prototyping and usability testing to enhance user experience.  
- Advanced proficiency in Figma, Adobe Photoshop, and Adobe Illustrator.  
- Developed personal projects, including a landing page, as part of coursework.  

**Personal Attributes**  
- Responsible, proactive, and receptive to constructive feedback.  
- Results-driven with a commitment to delivering high-quality design solutions."
98373,"**Experience**  

**Team Leader** – ""Neaty Kitty"" and ""Tap the Table""  
- Led a team in developing a webservice for a cleaning company (""Neaty Kitty""), conducting competitor analysis, defining target audiences (JTBD and personas), and creating Customer Journey Maps (CJM) and Userflows.  
- Collaborated with a team of three to design a clean, user-friendly interface using Bootstrap 5.  
- Co-led a two-person team in designing a mobile app (""Tap the Table"") for restaurant table bookings, handling analysis, userflows, wireframes, and prototyping.  

**Pet Projects**  
- **Redesign of ""Yours Sports Bar"" Website** – Conducted a full analysis of the existing site and competitors, identified strengths/weaknesses, and designed wireframes and layouts for desktop, tablet, and mobile.  
- **Tattoo Studio Landing Page** – Developed from scratch, including research, wireframing, and design based on references and competitor analysis.  

**Education & Projects (GoIT)**  
1. **Tattoo Salon Landing Page** – Self-directed project involving research, wireframing, and design.  
2. **""Yours Sports Bar"" Redesign** – Independent analysis of the existing site, competitor benchmarking, and multi-device design.  
3. **""Neaty Kitty"" (Team Project)** – Webservice for a cleaning company; contributed to analysis, CJM, Userflow, and UI design using Bootstrap 5.  
4. **""Tap the Table"" (Team Project)** – Mobile app for restaurant table bookings; involved in end-to-end design, from research to prototyping.  

**Skills & Tools**  
- UI/UX Design  
- Wireframing & Prototyping  
- Competitor & User Research  
- Figma  
- Behance Portfolio  

*All projects designed in Figma; case studies available on Behance.*"
