id,Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat
98361,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced designer with a strong background in UI/UX, web design, and graphic development. Skilled in creating and redesigning websites, landing pages, dashboards, and mobile apps, with expertise in responsive design, corporate identity development, and prototyping. Proficient in designing web banners, POS materials, infographics, and presentations. Adept at photographing and processing digital images. Completed UI/UX & Web Design courses in 2018.  

**Professional Experience**  
**Freelance Designer**  
• Designed and redesigned websites, landing pages, dashboards, and mobile apps.  
• Developed responsive designs for various platforms.  
• Created corporate styles and identities from scratch.  
• Prototyped and developed UI kits for projects.  
• Designed POS materials and prepared them for printing.  
• Developed souvenir products and graphic materials for social media.  
• Designed infographics and presentations for diverse clients.  
• Photographed and processed digital images and photos.  

**Key Achievements**  
• Helped a start-up organization achieve recognition by creating its identity from scratch.  
• Increased website traffic and new customer visits through effective web banner and graphic material design.  
• Enhanced traffic to the organization’s website and official Facebook page.  

**Education & Certifications**  
UI/UX & Web Design Courses – Completed in 2018  

**Skills**  
• UI/UX Design  
• Web Design & Development  
• Responsive Design  
• Corporate Identity Development  
• Prototyping & UI Kits  
• Graphic Design (Web Banners, POS Materials, Infographics)  
• Presentation Design  
• Photography & Image Processing  

**Career Objective**  
Seeking to join an international IT company, preferably product-focused, to contribute to complex and innovative projects within a professional team."
98362,"[Your Name]  
[Your Contact Information]  

**Education**  
[Your Degree], [Your University] – [Expected Graduation Year]  

**Projects**  

**Hackathon Project – Engineering Careers Chatbot**  
- Participated in a hackathon focused on addressing gender inequality in engineering fields.  
- Attended lectures on stereotypes and barriers preventing girls from pursuing engineering specialties.  
- Collaborated in a team to develop a concept for a chatbot designed to guide users in choosing engineering or biological specialties.  
- Designed the chatbot in an interactive ""online girlfriend"" format, incorporating career-oriented quizzes with guidance from a professional career counselor.  
- Won the competition and contributed to the initial development of the chatbot.  

**Hospital Employee Workstation Database (Course Project)**  
- Developed databases for an automated hospital employee workstation.  
- Utilized SQL Management Studio for database management.  
- Implemented functionality using C# in Visual Studio.  

**Skills**  
- Programming: C#, SQL  
- Tools: SQL Management Studio, Visual Studio  
- Currently studying UX Design (Google Certificate program)  
- Portfolio development in progress  

**Internship Interests**  
Seeking opportunities in UX Design or software development to apply and expand technical and design skills."
98363,"Designed and developed website for a volunteer dog shelter, focusing on user-friendly and visually appealing interfaces.  
Created impactful landing pages and websites tailored to client needs.  
Worked collaboratively with cross-functional teams to deliver user-centered design solutions.  
Translated client requirements into intuitive and engaging user interfaces.  
Conducted usability testing to identify and implement design improvements.  
Ensured timely delivery of high-quality designs, contributing to project success."
98364,"Here is your improved resume, based strictly on your provided information:  

---  

**Projects**  
- Designed an application to help users manage panic attacks through self-education and symptom reduction (pet project).  
- Collaborated on a team project as part of the *Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka* (4 months). Role: UX Researcher and UI Designer. Project duration: 5 weeks.  

---  

Let me know if you'd like further refinements while keeping it factually accurate."
98365,"[Your Name]  
[Your Contact Information]  

**Education & Certifications**  
- Currently enrolled in UX skill improvement courses from Google and Coursera  
- Completed the second course; progressing toward completion of all 7 available courses  

**Professional Experience**  
**Project: Save Ukraine Now (IF) 1 Day Donate**  
- Developed a subscription-based charity website design  
- Conducted competitor analysis to identify unique aspects of the charity  
- Presented project information in a concise and clear manner  
- Designed the website from scratch within a short timeframe  
- Ongoing efforts to improve the website based on previous results  

**Skills**  
- UX Design  
- Competitor Analysis  
- Website Design  
- Project Presentation  
- Time Management"
98366,"Designed and developed a website for Devin, contributing to the company’s ongoing projects. Participated in the design and development of a mobile application for an insurance company, ensuring solutions addressed user needs effectively.  

**Devin**  
April 2021 – July 2021  

**Freelance**  
July 2021 – November 2021  
Focused on creating and developing products to maximize effectiveness and solve user problems and tasks."
98367,"[Your Name]  
[Your Contact Information]  

**Objective**  
Seeking to advance and grow in the field of IT. Currently self-studying UX/UI design and working with Figma. A quick learner with a strong work ethic, eager to explore new fields and take on unfamiliar challenges.  

**Skills**  
- UX/UI Design (self-taught)  
- Figma  
- Quick learner  
- Adaptability  
- Strong work ethic  

**Experience**  
**Sales Manager**  
[Company Name] | [Dates of Employment]  
- Managed sales activities and client relationships.  

**Production Assistant**  
[Printing Company Name] | [Dates of Employment]  
- Assisted in the production of plastic cards and printing project documentation.  

**Projects**  
**Study Project in UX/UI Design**  
- Developed a UX/UI design project using Figma as part of self-study.  

**Education**  
Self-Studying UX/UI Design | [Current Year]  
[Any relevant certifications or courses]  

**Interests**  
- Exploring new technologies  
- Continuous learning and skill development"
98368,"Here’s your improved resume while retaining only the original facts:  

---  
**Education**  
UI/UX Design – Genesis Academy  
Complex Internet Marketing – Para School  
Web Design (Junior & Beginning Courses) – Projector  

**Experience**  
**Internship** – Star Company  
- Worked on 2 projects:  
  - Document verification app  
  - Group of apps (sport, health, and racing themes)  
- Responsibilities:  
  - Screen design development  
  - Adaptation for iOS/Android  
  - App Store/Google Play screenshots  
- Tools: Figma, Adobe Photoshop  

---  

Let me know if you'd like any further refinements while staying strictly factual."
98369,"**Professional Summary**  
Completed Google’s UX/UI Design course on Coursera, gaining comprehensive knowledge and skills in design principles, tools, and techniques for creating intuitive and visually appealing interfaces. Proficient in utilizing design programs to develop user-centered solutions. Actively working on personal projects to apply and expand expertise, exploring diverse styles and approaches in website and app design. Committed to continuous improvement, delivering high-quality, user-friendly designs while maintaining a high level of creativity.  

**Experience**  
**UX/UI Designer**  
*Personal Projects*  
- Designed and developed three projects as part of the Coursera UX/UI Design course, focusing on user-centered design principles and effective interface creation.  
- Continued to enhance skills by working on independent pet projects, gaining practical experience and exploring various design styles and methodologies.  
- Applied knowledge of design tools and programs to create intuitive and attractive interfaces, ensuring usability and aesthetic appeal.  

**Education**  
**Google UX/UI Design Certificate**  
*Coursera*  
- Mastered foundational design principles and techniques for creating user-friendly interfaces.  
- Developed proficiency in using design tools and programs to craft effective and visually appealing solutions.  

**Skills**  
- UX/UI Design Principles  
- Interface Design Tools  
- User-Centered Design  
- Creative Problem Solving  
- Continuous Learning and Improvement"
98370,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Dedicated and conscientious UI/UX designer specializing in web and mobile applications. Proficient in full-cycle design, including task analysis, interface prototyping, visual style creation, and implementation. Skilled in creating user-friendly and profitable digital products. Experienced in teamwork and open to constructive criticism.  

**Skills**  
- UI/UX Design for Web and Mobile Applications  
- Full-Cycle Design: Task Analysis, Prototyping, Visual Style, Implementation  
- Web Design: Moodboards, Grids, Typography, UI-Kits, Adaptation  
- Principles of Persona Creation, User-Flow, Smart-Animate  
- Team Collaboration and Project Development  

**Experience**  
**UI/UX Designer**  
- Designed and developed a website for selling apartments, applying knowledge of moodboards, grids, typography, UI-kits, and adaptation.  
- Collaborated with fellow students to create a web service, mastering principles of persona creation, user-flow, and smart-animate.  
- Developed a mobile application during academic studies.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
- Learned the basics of web design, including moodboards, grids, typography, UI-kits, and adaptation.  

**Core Principles**  
- Focus on results, design, and open teamwork.  
- Mutual respect and a friendly atmosphere.  
- Partially remote work flexibility.  
- Corporate training and development opportunities.  
- Career growth potential.  

**Contact**  
Let’s create something great together that will really work and make profit.  
[Your Email Address] | [Your Phone Number] | [Your Portfolio/LinkedIn, if applicable]"
98371,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  

**Professional Summary**  
Passionate UI/UX Designer with experience creating intuitive and aesthetic interfaces for websites and mobile applications. Skilled in conducting user research, competitor analysis, and designing user-friendly solutions. Adept at working on diverse projects, from landing pages to complex web services, with a focus on delivering impactful user experiences.  

**Projects**  
**Flower Lover**  
- Designed a visually appealing and informative landing page for a flower delivery service.  
- Focused on attracting user attention and encouraging flower orders through an engaging interface.  
- Provided users with easy access to explore flower options, place orders, and learn about delivery services.  

**House Hopper**  
- Developed a web service for finding and booking accommodations worldwide.  
- Designed distinct personas for property owners and guests, each with tailored functionalities.  
- Enabled users to search for properties, make reservations, communicate with owners, and access travel information in one platform.  

**Educational Course Projects**  
- Created 5 projects during UI/UX Design courses, including landing pages, websites, web services, and a mobile app.  
- Applied user research and competitor analysis to design simple and understandable interfaces.  

**Pet Project**  
- Designed a landing page for registering for educational courses, focusing on usability and aesthetics.  

**Skills**  
- UI/UX Design  
- User Research  
- Competitor Analysis  
- Wireframing and Prototyping  
- Responsive Design  
- Collaboration and Teamwork  

**Career Goals**  
- Join a team working on exciting projects that positively impact users’ lives.  
- Contribute to the creation of innovative and high-quality UX/UI solutions.  
- Pursue continuous growth and learning in the field of UX/UI design.  
- Collaborate with experienced professionals and share knowledge within a supportive team environment.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
[Graduation Year, if applicable]"
98372,"**Professional Summary**  
Results-driven UI/UX Designer with experience in leading design teams, prototyping interfaces, and conducting user research. Skilled in Figma, Adobe Photoshop, and Adobe Illustrator. Proven ability to manage projects, coordinate teams, and deliver user-friendly digital solutions.  

**Work Experience**  

**Team Lead UI/UX Designer** | Freelance  
- Led a team of designers in creating a multi-page website for an IT Community.  
- Coordinated tasks, planned workflows, and ensured project deadlines were met.  
- Communicated with developers to explain design solutions and demonstrate animations.  

**UI/UX Designer** | Freelance  
- Designed a landing page for a house design services company, showcasing completed projects and service offerings.  
- Created a mobile application interface for an air ticket booking platform, focusing on usability and intuitive navigation.  

**Project Experience**  

**Techgen IT** | Team Leader  
- Managed designers, organized workloads, and delegated tasks.  
- Facilitated communication between designers and developers, presenting design concepts and animations.  

**Skills & Accomplishments**  
- UI/UX design for web and mobile applications.  
- Prototyping and usability testing to optimize user experience.  
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator.  
- Designed pet projects, including a landing page, during coursework.  

**Personal Attributes**  
- Responsible, proactive, and open to constructive feedback.  
- Results-oriented with a strong focus on delivering high-quality design solutions."
98373,"**Experience**  

**Team Leader** – ""Neaty Kitty"" and ""Tap the Table""  
- Led a team in developing a webservice for a cleaning company (""Neaty Kitty""), conducting competitor analysis, defining target audiences (JTBD and personas), and creating Customer Journey Maps (CJM) and Userflows.  
- Collaborated with a team of three to design a clean, user-friendly interface using Bootstrap 5.  
- Co-led a two-person team in designing a mobile app (""Tap the Table"") for restaurant table bookings, handling analysis, userflows, wireframes, and prototyping.  

**Pet Projects**  
- **Redesign of ""Yours Sports Bar"" Website** – Conducted a full analysis of the existing site and competitors, identified strengths/weaknesses, and designed wireframes and layouts for desktop, tablet, and mobile.  
- **Tattoo Studio Landing Page** – Developed from scratch, including research, wireframing, and design based on references and competitor analysis.  

**Education & Projects (GoIT)**  
1. **Tattoo Salon Landing Page** – Self-directed project involving research, wireframing, and design.  
2. **""Yours Sports Bar"" Redesign** – Independent analysis of the existing site, competitor benchmarking, and multi-device design.  
3. **""Neaty Kitty"" (Team Project)** – Webservice for a cleaning company; contributed to analysis, CJM, Userflow, and UI design using Bootstrap 5.  
4. **""Tap the Table"" (Team Project)** – Mobile app for restaurant table bookings; involved in end-to-end design, from research to prototyping.  

**Skills & Tools**  
- UI/UX Design  
- Wireframing & Prototyping  
- Competitor & User Research  
- Figma  
- Behance Portfolio  

*All projects designed in Figma; case studies available on Behance.*"
98374,"UI/UX Designer  

**Projects**  
**Lost Pets** – Web Service for Missing Animals (Team Project)  
- Conducted competitor analysis and created user personas.  
- Developed low-fidelity and high-fidelity prototypes.  
- Completed the full design cycle, including content creation.  

**Mobile Application Development** (Team Project)  
- Collaborated on the design and development process.  

**Hotel and Restaurant Complex Redesign** (Individual Project)  
- Analyzed competitors and modernized the website design.  

**Citroen C4 Landing Page** (Individual Project)  
- Designed a registration page for test drives, adhering to brief requirements.  

**Skills**  
- UI/UX Design  
- Prototyping (Low and High Fidelity)  
- Competitor Analysis  
- User Persona Creation  
- Team Collaboration  
- Individual Project Execution  

**About Me**  
Novice UI/UX designer with a strong willingness to learn and develop new skills. Proficient in working both independently and as part of a team."
98375,"Here’s an improved version of your resume while ensuring factual accuracy:  

---  

**Experience**  
**Design Trainee**  
- Designed landing pages, websites, web services, and mobile applications with a focus on adaptive design.  
- Collaborated on the **Openmind** web service project, a global couchsurfing platform allowing users to find free housing or work opportunities.  
- Conducted competitor analysis to evaluate strengths and weaknesses of similar platforms.  
- Developed user personas, legends, and identified pain points for improved UX.  
- Created user flow diagrams, wireframes, and UI enhancements.  
- Designed UI/UX for the host profile (registration, housing addition interface, and dialogue system).  
- Adapted layouts for mobile and tablet compatibility.  
- Developed a UI-kit for consistent design implementation.  

---  

Let me know if you'd like any refinements."
98376,"Julia  
UX/UI Designer  

Passionate about beauty and creativity, I transitioned from photography to UX/UI design. I completed a course at GoIT and have experience working with Figma independently and as part of a team. I am eager to apply my skills and knowledge to a commercial project, with the goal of continuing to learn and grow as a designer while contributing to meaningful and impactful projects.  

**Projects**  
1. **Buyland Supermarket App**  
   Team project designing a mobile app to help shoppers avoid checkout lines by scanning and paying for purchases in-app. Responsibilities included competitor analysis, defining target audience personas, mapping user journeys, and developing wireframes, prototypes, and mobile app design using Figma.  

2. **Library App**  
   Mini-project designing onboarding and main pages using Figma. Added simple yet delightful animations with ProtoPie to enhance the interface.  

3. **Flower App**  
   Mini-project designing onboarding, registration, main page, and card using Figma. Added animations to create an engaging video.  

4. **Clean Up Web Service**  
   Team project developing a user-friendly web service for cleaning companies to promote their business, attract customers, and facilitate service bookings. Designed a responsive, intuitive interface optimized for various devices. Tasks included competitor analysis, defining target audience personas, mapping user journeys, and developing wireframes, prototypes, and website design.  

5. **IT School Dashboard**  
   Mini-project designing a dashboard for an IT school.  

6. **Mainsail Realty Website Redesign**  
   Redesigned a website for a Florida-based real estate company targeting middle-aged married couples interested in homeownership or investment. Focused on creating a minimalistic, clear, and easy-to-navigate design.  

**Skills**  
- Figma  
- ProtoPie  
- Wireframing  
- Prototyping  
- User Journey Mapping  
- Competitor Analysis  
- Responsive Design  

Seeking a role that challenges me and provides opportunities for personal and professional development."
98377,"**Professional Summary**  
Creative and detail-oriented designer with experience in developing landing pages, advertising banners, and mobile interfaces. Skilled in adhering to design principles, sketching, prototyping, and understanding user interface perception. Actively improving design skills daily and staying updated with modern trends. Currently freelancing and working on diverse projects, including e-commerce, landing pages, and mobile application interfaces.  

**Experience**  
**Freelance Designer**  
- Designed and developed landing pages, online stores, creative banners, and mobile interfaces.  
- Followed structured design processes, including sketching, prototyping, and compositional interface construction.  
- Ensured stylish, high-quality, and user-friendly designs aligned with modern trends.  

**Projects**  
- Created a landing page for a jewelry store to attract potential customers.  
- Developed advertising banners and creatives for various clients.  

**Skills**  
- Landing Page Design  
- Mobile Interface Design  
- Advertising Banners and Creatives  
- Sketching and Prototyping  
- User Interface Perception  
- Compositional Interface Construction  

**Education & Training**  
Actively engaged in self-training through educational projects to enhance design skills and explore various styles.  

**Interests**  
Eager to work on diverse projects, including e-commerce, landing pages, and mobile application interfaces."
98378,"**Professional Summary**  
Experienced designer with a strong background in website and mobile application development, specializing in responsive and adaptive design. Proficient in Figma, Photoshop, Illustrator, Corel Draw, and Canva. Skilled in usability principles, UX methodology, graphic design, typography, and color theory. Demonstrated ability to work effectively both individually and in a team environment, leveraging analytical and creative thinking to deliver impactful results.  

**Skills**  
- Proficient in Figma, Photoshop, Illustrator, Corel Draw, and Canva  
- Expertise in usability principles and UX methodology  
- Strong understanding of graphic design, typography, and color theory  
- Experience in website and mobile application development  
- Skilled in creating responsive and adaptive designs  
- Analytical and creative thinking  
- Effective team collaboration  

**Experience**  
**Social Project Participant**  
- Developed a website for volunteers, focusing on usability and user experience.  

**Recent Projects**  
- **Real Estate Website Redesign**  
  - Conducted research to define goals and target audience.  
  - Performed competitor research and market analysis.  
  - Created personas and user flows.  
  - Designed wireframes and developed a cohesive visual experience.  
  - Ensured responsiveness across devices and optimized media for faster loading.  

- **Pet Search Web-Service**  
  - Defined main blocks and elements of the service.  
  - Selected color schemes, fonts, and graphics for a memorable visual experience.  
  - Analyzed composition and element arrangement for usability.  
  - Developed wireframes and calls to action to engage users.  
  - Optimized design for ease of use and responsiveness.  

**Key Contributions**  
- Research and Planning: Defined goals, target audience, and conducted competitor analysis.  
- Structure and Content Creation: Designed main blocks, selected references, and ensured usability.  
- Development and Optimization: Created wireframes, developed calls to action, and optimized designs for responsiveness and performance.  

**Personal Attributes**  
- Highly motivated and detail-oriented.  
- Strong ability to work independently and collaboratively.  
- Committed to continuous improvement and creative problem-solving."
98379,"Hard Skills:  
· Sitemap and Userflow  
· Analysis of CA and competitors  
· Typography and colors  
· Creation of mood boards  
· Knowledge of UX/UI principles  
· Lo-fi and Hi-fi layouts  
· Prototyping  
· User testing  
· UI and UI-kit  
· Adaptive design  

Soft Skills:  
· Argumentation of decisions  
· Communication skills  
· Adaptability to project requirements  
· Teamwork  
· Attention to detail  
· Self-motivation  
· Workflow organization  
· Project management skills  
· Determination of priorities  
· Creativity  
· Time management  

Experience:  

**E-commerce Project**  
About the Project: Developed a website for new manufacturers combining trends, textiles, and materials. The primary task was to automate ordering goods and present the brand effectively to encourage online engagement.  

Project Stages:  
1) Project research  
2) Competitor analysis  
3) Client briefing  
4) CA determination  
5) Sitemap  
6) Userflow  
7) Lo-Fi and Hi-Fi wireframes  
8) Nielsen Heuristics analysis  
9) Mood board  
10) User testing  
11) UI-kit and UI  
12) Prototype  

Result: Created a convenient catalog with filters, sorting, and detailed product cards. Developed a functional shopping cart with order editing capabilities and an order placement system with delivery and payment options. Prototype testing achieved top results in all metrics: CSAT, Completion rate, and Task time.  

**Landing Page Project**  
About the Project: Designed a landing page to address the issue of animals in shelters and facilitate pet adoption. The goal was to create a stylish, engaging, and non-gloomy interface.  

Project Stages:  
1) Project research  
2) Secondary research  
3) Sketching  
4) Lo-Fi and Hi-Fi wireframes  
5) Brainstorming  
6) Mood board  
7) UI-kit and UI  
8) Prototype  

Result: Designed an attractive interface using 10 blocks to present project details and dispel myths about animals in shelters. Included an interactive form for pet selection.  

Summary:  
I am an enthusiastic designer with a passion for creating intuitive and attractive user interfaces. Experienced in web application development, adaptive design, and prototyping, with a deep understanding of UX/UI principles. Proficient in Figma, including auto layout, components, variants, and animation. Skilled in planning and structuring projects while maintaining attention to detail. Adaptable to changes and able to quickly immerse myself in the work process."
98380,"[Your Name]  
[Your Email] | [Your Phone Number] | [Your Portfolio/LinkedIn]  

### UX/UI Designer  

Self-motivated junior UX/UI designer with a passion for detail and a background in furniture and interior design. Skilled in creating intuitive, visually appealing interfaces for landing pages, web services, and mobile applications. Adept at UX research, wireframing, and adaptive design to enhance user experience.  

---  

### Project Experience  

**BusinessUp by Podvigina – Landing Page Design**  
- Designed a landing page for the ""BusinessUp by Podvigina"" practical course under tight deadlines.  
- Incorporated a UI kit and animation elements to improve engagement.  

**FinEasy – Collaborative Web Service for Accountants & Entrepreneurs**  
- Led UX research, developed personas, and designed user flows.  
- Created adaptive UI components with animations for seamless cross-device usability.  

**Mexican Restaurant – Website Redesign**  
- Conducted competitor analysis and created wireframes.  
- Implemented UI design, adaptation, and animations in Figma to enhance UX.  

**Urban Festival – Landing Page Design**  
- Executed full design cycle: competitor analysis, wireframing, UI development, and responsive adaptation for tablets/mobile.  

---  

### Skills & Approach  
- Focus on results-driven design and collaborative teamwork.  
- Experience with remote work and dynamic team environments.  
- Committed to continuous learning and career growth in innovative settings.  

---  

### Pet Projects  
[Briefly describe your two pet projects if applicable, e.g., ""Designed and prototyped two personal projects focused on [topic].""]  

[Optional: Add a Tools/Software section if relevant, e.g., ""Figma, Adobe XD, etc.""]"
98381,"**Resume**  

**Education**  
**2020**  
Mobios School  
UX/UI Design and Mobile Design Courses  

**2021**  
Projector  
- Junior Web Designer Courses by Alex Kim, Den Potapov  
- Font & Logo Courses by Kate Jacushek  

**Skills & Experience**  
- Banner design for social media and print/outdoor advertising  
- Customer briefing and requirement gathering  
- Basic UX research: competitor analysis, business area research, persona creation, CJM, User Flow  
- Interactive prototyping  
- Typography, grids, color theory, mood, and atmosphere in design  
- Adaptive landing page design (e-commerce, corporate sites, mobile applications)  
- Project presentation development and client representation  
- Logo design"
98382,"**Resume**  

**Experience**  
**UI/UX Designer (Freelance, Project Work – 1 Month)**  
- Researched references and created initial sketches.  
- Developed wireframes and interactive prototypes.  
- Redesigned an existing application for improved usability.  
- Designed YouTube and Instagram banners and intros.  
- Created and redesigned logos.  

**Skills**  
- **Design Tools:** Adobe Photoshop, Figma, InDesign, InVision (Basic), Illustrator (Basic)  
- **Web Development:** HTML/CSS (Basic Understanding)  
- **Languages:** English (Advanced)  
- **Soft Skills:** Communication, Process Organization, Time Management  

**Aims**  
- Enhance expertise in UX design.  
- Solve UX challenges to create seamless website experiences.  
- Collaborate with skilled professionals to grow in a dynamic team.  

*Focused on UX/UI design with a preference for meaningful, ethical projects over gambling or aggressive advertising.*"
98383,"**Resume**  

**Education & Training**  
- Completed basic UI/UX course at Hillel IT School  
- Completed UI/UX webinar from GoIT School  
- Developed a portfolio with several pet-projects  

**Professional Experience**  
**Research Manager**  
*[Company Name]* | [Dates of Employment] (1 year, 3 months)  
- Researched, collected, and analyzed information including target audience data, competitor insights, and legal policies for target countries.  
- During the final month, contributed part-time to UI/UX project and regression testing with the QA department.  

**Projects**  
**Destin/Tattoo**  
- Conducted competitor analysis and evaluated the salon’s outdated website with poor UX.  
- Performed user analysis and redesigned the site with updated colors, typography, and user flow, significantly improving usability.  
*Tools:* Figma  

**HelpPets**  
- Collaborated in competitor analysis and developed Typography and UIKit for a web-service supporting volunteer work, charity, and lost pet searches.  
- Proposed innovative features (e.g., AI-assisted pet movement prediction).  
- Designed user flow and UI for a key user group (pet owners searching for lost pets).  
*Tools:* Figma, Figma mock-ups, Adobe Photoshop  

**Preferred Work Environment**  
- Team-oriented setting with experienced designers for mentorship.  
- Proficient in Figma and Adobe Suite (open to Miro and similar tools).  

**Interests**  
- Exploring animations, mock-ups, and 3D design (currently no professional experience).  

**Non-Preferences**  
- No frontend development (JavaScript) or deployment tasks."
98384,"[Your Name]  
[Your Contact Information]  

**EXPERIENCE**  

**Web Service for Finding Lost Pets (Team Project)**  
Developed a platform enabling pet owners to report missing pets and the public to assist in locating them. Responsibilities included creating personas, Jobs-to-be-Done, and designing pages such as ""Lost,"" ""Found,"" ""My Ads,"" and a form for creating ads for lost/found animals. Collaborated extensively with the team to ensure project success.  

**Redesign/India Cafe (Independent Work)**  
Redesigned an outdated website for an Indian cafe, focusing on minimalist design to improve accessibility, structure, and visual hierarchy. Delivered a modern and user-friendly interface with updated visuals and enhanced customer information.  

**Flower Shop Landing Page (Independent Work)**  
Created a one-page website to promote a new bouquet delivery service. Designed a modern and user-friendly interface featuring flower arrangements and a unique color scheme to stand out from competitors. Enabled visitors to easily view arrangements and place delivery orders.  

**SKILLS**  
- Web Design  
- User Experience (UX) Design  
- Team Collaboration  
- Minimalist Design  
- Visual Hierarchy  

**OBJECTIVE**  
Seeking a full-time position in a company dedicated to simplifying everyday life and business, fostering professional growth, and maintaining a respectful and friendly work environment."
98385,"EXPERIENCE:  

UI/UX Designer  
2022 – Present  

Courses:  
Junior Front-end Developer – EPAM University  
UI/UX Designer – Taras Shipka  

Key Achievements:  
- Designed web pages, blog site layouts, and blog content.  
- Developed branded materials, including company logos, social media posts, and illustrations.  
- Created designs for mobile and web applications, including JetIQ for Vinnitsa National Technical University.  
- Delivered attractive and user-friendly designs for small businesses and other clients.  
- Collaborated with clients and development teams to ensure successful project implementation.  
- Built corporate identities and illustrations using Figma, Adobe Illustrator, Photoshop, and Procreate.  
- Designed and developed responsive websites, from concept and wireframes to HTML5/CSS3 (including SASS and SCSS) implementation.  
- Applied UI/UX principles to create functional and visually appealing products, adhering to brand guidelines.  

Commercial Experience:  
JetIQ (2022–2023) – Designed wireframes, components, and layouts.  

Notable Projects:  
- Anitime – Mobile application for watching anime.  
- Innovexa – Landing page for a data security services company.  

SKILLS:  
- UI/UX Design (Figma)  
- Illustrations (Adobe Illustrator, Adobe Photoshop)  
- HTML, CSS (SASS, SCSS)"
98386,"Flover Lover – Landing Page  
Designed and developed a one-page landing site to promote bouquet delivery services. Conducted competitor analysis and created a mood board to establish a visually appealing, user-friendly interface with a soft color palette.  

Custom Concept Tattoo & Design – Website Redesign  
Revitalized an outdated tattoo studio website by modernizing its design and improving usability. Ensured full responsiveness across all devices, addressing previous layout inconsistencies and enhancing customer engagement.  

VDOMA – Web Service  
Built a streamlined web service to assist pet owners in locating lost animals. Led the project through stages including competitor research, user persona development, prototyping, UI design, and responsive adaptation for optimal user experience.  

Seeking a full-time role in a company dedicated to simplifying and enhancing daily life and business operations through intuitive design. Adept at rapid learning, highly responsible, and eager to tackle complex challenges."
98387,"**Professional Summary**  
Passionate UX/UI designer with experience in creating user-centered digital experiences. Skilled in redesigning interfaces, optimizing mobile applications, and developing web services. Excels in collaborative, cross-functional teams and thrives in roles that emphasize creativity, innovation, and thorough design processes.  

**Experience**  
**UX/UI Designer**  
*Redesigned User Interface of Indian Cafe*  
- Collaborated on redesigning the user interface to enhance usability and visual appeal.  

*Mobile App Optimization*  
- Improved mobile app performance and user experience through iterative design and testing.  

*Web-Service Development*  
- Contributed to the development of web services, ensuring seamless functionality and user satisfaction.  

*Landing Page Design*  
- Designed and implemented landing pages to drive user engagement and conversions.  

**Mobile App Developer**  
*f.Lover Mobile App for Delivering Flowers*  
- Developed a mobile application for ordering and delivering bouquets and gifts online.  
- Created features for gift and flower recommendations based on user preferences.  
- Enabled users to schedule orders for specific dates, times, or special occasions.  

**Skills**  
- UX/UI Design  
- Mobile App Optimization  
- Web-Service Development  
- Landing Page Design  
- User-Centered Design  
- Cross-Functional Collaboration  

**Career Goals**  
Seeking UX/UI design roles that prioritize creativity, innovation, and user satisfaction. Interested in positions that allow for thorough user research, thoughtful ideation, and testing. Aim to contribute to projects that emphasize quality over speed and foster collaborative, cross-functional teamwork."
98388,"Here's your refined resume:  

---  

### Projects  

**Flowers Delivery Mobile App**  
- Developed a user-friendly interface for an online flower ordering service  
- Conducted persona research to understand customer needs  
- Designed an intuitive app enabling global bouquet orders  

**Pet Scout – Animal Search Web Service**  
- Performed UX research, competitor analysis, and user flow improvements  
- Collaborated on architecture and design for a missing-pet web service  
- Created wireframes, mockups, prototypes, and Behance materials  

**Barbershop Landing Page**  
- Designed a responsive landing page for service exploration and bookings  
- Conducted competitor analysis and persona research  
- Developed desktop, tablet, and mobile versions  

**Tattoo Studio Website Redesign**  
- Redesigned a tattoo salon website for artist selection, portfolio viewing, and booking  
- Analyzed competitor data and demographics for informed design decisions  
- Created a visually appealing, user-friendly website  

### Skills & Approach  
- Strong UX/UI design skills with a focus on research-driven solutions  
- Experienced in both independent and teamwork environments  
- Proficient in wireframing, prototyping, and responsive design  
- Passionate about continuous learning and mentorship opportunities  

### Career Interests  
Seeking remote roles (freelance or company-based) with opportunities for growth, mentorship, and contributing to customer-centric product design.  

---"
