,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
193,"Мета: Отримати першу роботу в сфері UI/UX дизайну для набуття комерційного досвіду та подальшого розвитку.

Навички:
- Знання основних концепцій UX, UI, Product design, Web-design
- Досвід роботи з інструментами Figma, Photoshop, Adobe XD, Illustrator
- Проведення основних етапів UX досліджень: User Research, Persona, Journey Map, Empathy Map, Information Architecture
- Візуалізація та створення клікабельних прототипів, Sketching, Prototyping, Wireframing, UX Testing
- Розуміння принципів дизайну: композиція, ритм, акценти, зв'язки, контраст, управління сприйняттям, шрифти, кольорознавство, відступи, форми
- Досвід у дизайні мобільних додатків, CRM систем, Landing pages, Material design
- Знання методик керування проектами та комунікації з командою
- Навички роботи з Adobe Illustrator, Adobe Photoshop, Figma
- Досвід роботи з Photoshop: верстка тексту, робота з кольором, малювання, шари, векторні форми, фільтри, ефекти, світлини, ретуш

Освіта:
- Курси WEB Дизайну (UI/UX) в CASES.Media Creative platform"
194,"OO Dental
- Збільшення на 30% записів

Bizzy
- Отримання 3 офферів до офіційного релізу сервісу від будівельних компаній з урізаним функціоналом

Oblivion
- Проведення 5 івентів протягом 3 сезонів
- Залучення 800+ відвідувачів
- Збір додатково 2к$ для потреб військових

Illustrator у OO Dental (Стоматологія)
- Розробка дизайну візитівок
- Підготовка до друку

Figma у Christina cosmetics (Онлайн магазин косметики)
- Створення макету майбутнього сайту
- Створення UI відповідно до брендбуку компанії
- Адаптація для різних web розширень екранів

Figma та Illustrator у Eco Time (Онлайн продаж квитків)
- Лого проєкту
- Аналіз конкурентів
- Створення макету майбутнього сайту
- Створення UX карти для макету
- UI desktop/mobile версій сайту
- Адаптація відповідно до актуальних розширень екранів
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Створення презентацій для продажу послуг студії у Digiway media

Figma та Illustrator у Coinswap.io (Онлайн крипто обмінник)
- Векторизація ескізу лого
- Побудова UX сайту
- Створення UI сайту проєкту
- Створення 3D моделей елементів сайту
- Дизайн та верстка презентації проєкту
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки

Figma та Illustrator у Bizzy (Saas)
- Аналіз ринку
- Сувмісна розробка майндмапи для деталізації розуміння потреб користувачів
- Сувмісна розробка web/mobile прототипу з ідеологом проєкту
- Розробка та створення лого/айдентики проєкту
- Створення UI web/mobile версії проєкту
- Використання гайдлайнів iOS для UI mobile app
- Створення клікабельних та анімованих прототипів web/mobile app
- Створення презентації проєкту для партнерів

Figma, Illustrator та Photoshop у Oblivion (EBM/Disco івенти)
- Розробка лого та айдентики проєкту
- Створення структури та графічних матеріалів для маркетингу (афіши, пости інстаграм)
- Створення дизайну друкованої продукції (постери, стікери)
- Підготовка до друку графічних матеріалів

Figma та Illustrator у Foodistic (Мобільний додаток)
- Редизайн наявного додатку проєкту
- Покращення UX додатку
- Інтеграція та спрощення функцій додатку."
195,"Роман Поліщук

Контактна інформація:
Вебсайт: www.polishchuk.me

Досвід роботи:
- Понад 12 років у сфері створення вебсайтів, зокрема 7 років у UI/UX дизайні.
- Створення сотень лендінгів, вебсайтів, прототипів мобільних додатків і веб-інтерфейсів.
- Розробка тисяч рекламних банерів для соціальної та таргетованої реклами.
- Отримання сотень позитивних відгуків на фріланс біржах.

Професійні навички:
UI/UX дизайн та графічний дизайн:
- Інструменти: Figma, Photoshop, Illustrator, Axure, Sketch, Final Cut Pro.
- Елементи дизайну: Grids, Icons, Wireframes & Prototyping.
- Проектування мобільних додатків та веб-додатків.

Додаткові навички:
- Front-end / Back-end розробка: HTML5, CSS, Bootstrap, jQuery, PHP, MySQL, JS, React.js, Next.js.
- Операційні системи: Mac OS, Linux (Debian, Ubuntu, Cent OS), Microsoft Windows.
- Інструменти управління проектами: Jira, Trello.
- Системи контролю версій: GIT/GitLab/GitHub.
- Робота з командним рядком (CLI).

Про себе:
Я завжди прагну розуміти потреби клієнтів та повністю занурююся в кожен проект. Маю значний досвід у дизайні та розробці, постійно вдосконалюю свої навички та вивчаю нові технології. Дизайн є моєю основною спеціалізацією, на яку я приділяю найбільше уваги."
196,"UX/UI дизайнер з досвідом у створенні та розвитку медіа від 10 до 400 000 підписників. Організатор та ведучий Behance Portfolio Review. Володію навичками роботи з Sketch, Proto.io, MockingBot, Principle, Invision. Маю досвід у мобільному дизайні, UI/UX, прототипуванні та веб-дизайні. Знання Responsive Design, Apple HIG, Material Design. Пройшов курси з UX Design, Strategy And Prototyping в Netology."
197,"Я шукаю можливість, яка дозволить мені розвиватися та покращувати свої навички в UI/UX та Web-дизайні. Маю досвід реалізації як індивідуальних, так і командних проєктів. Розгляну всі пропозиції роботи, в тому числі волонтерські.

**Досвід роботи**

**Restoplace**  
Mobile application for iOS, full cycle design  
Restoplace — це мобільний додаток, що поєднує зручний пошук ресторанів, можливість швидкого резервування столиків та попереднього замовлення страв, які можна оплатити безпосередньо в додатку.

**MedOnline**  
Web application, full cycle design  
MedOnline — це веб-додаток для проведення онлайн-дзвінків між лікарем та пацієнтом, що дозволяє не лише проводити онлайн-консультації, але й автоматично документувати результати зустрічі. Також створено адаптивні версії для планшетів та мобільних пристроїв."
198,"Senior UX/UI Designer  
з 04.2022 по теп. час  
Grivallure, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Наставництво молодших дизайнерів  
- Участь у критиці дизайну та формуванні стратегії дизайну  

UX/UI Designer  
з 10.2021 по 04.2022  
Betasprint, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Дизайн веб-сайтів  
- Створення логотипів  

UX/UI, Graphic Designer  
з 02.2020 по 10.2021  
Brain Tank, Київ  
- Дизайн інтерфейсів  
- Розробка дизайну веб-сайтів  
- Розробка мобільних додатків  
- Створення візуальних концепцій рекламних матеріалів  
- Створення логотипів та фірмового стилю  "
199,Designer at Diia since 2020 and lecturer at Skvot since 2023. Specializing in crafting high-quality presentations and websites with a focus on style and speed. Skilled in mentoring and guiding others in these areas. Not interested in logo design or branding.
200,"Навички:
- Розробка та дослідження
- Створення логотипів та корпоративного стилю
- UX-карта та скетчі
- Moodboard
- Дизайн інтерфейсу та UI Kit
- Адаптивний дизайн (планшет: 1000px, 768px; мобільний: 480px, 360px; або інші)
- Анімація
- Знання HTML5/CSS3

Програмне забезпечення:
- Figma (вільно, використовую в даний час)
- Adobe Photoshop (просунутий, використовую в даний час)
- Adobe Illustrator (просунутий, використовую в даний час)
- Adobe InDesign (просунутий, використовую в даний час)
- Adobe After Effects (середній, використовую в даний час)"
201,"Досвідчений дизайнер з фокусом на розробці Landing pages та редагуванні дизайну мобільних додатків у сфері E-commerce. Працювала в Startup з жовтня 2021 по січень 2022, де вдосконалювала навички у створенні ефективних цільових сторінок. Під час стажування в Softengi з липня 2022 по січень 2023 займалася дизайном функціональностей для різноманітних проектів, що дозволило розширити професійний досвід. У компанії PGM з лютого по квітень 2023 працювала над розробкою Landing pages та рекламою сервісу, що сприяло покращенню навичок у сфері маркетингу. Моя кар'єрна мета - здобути корпоративний досвід для подальшого професійного розвитку."
202,"Пройшов міні-курс від WayUp та GoIT, а також курс від Hillel IT School. Наразі активно працюю над створенням портфоліо. Маю намір розвиватися в компанії на позиції Trainee/Junior."
203,"Trainee UI/UX Designer  
Квітень 2022 - дотепер

- Розробка дизайну веб-сайтів, додатків та ігор, включаючи створення нових проєктів та вдосконалення існуючих.
- Створення email-банерів для рекламних кампаній.
- Використання Figma для роботи з компонентами, стилями та варіантами.
- Прототипування інтерфейсів.
- Розробка адаптивного дизайну.
- Робота з растровою та векторною графікою."
204,"UI/UX дизайнер з Києва, Україна з досвідом у дослідженні, розробці, створенні та підтримці дизайн проєктів для різних галузей. Маю досвід у створенні маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI для Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

Досвід роботи:
- UI/UX Designer в ""UAZMI"" - агрегатор новин
- UI/UX Designer в ""Barbaricum"" - науково-дослідна лабораторія
- Freelance UI/UX Designer - розробка дизайну для різних проєктів

Займався аналізом конкурентів та цільової аудиторії, розробкою архітектурної структури сайту та навігації, створенням ескізів та прототипів, розробкою чистого мінімалістичного дизайну та логотипів. Співпрацював з розробниками для створення адаптивного дизайну."
205,"UI/UX Designer, Web Designer  
Arifmetica, Marketing agency  
Aug 2017 - Jan 2022 - 5 years, Ukraine  

- Conducted marketing research and competitor analysis for clients based on collected data.  
- Analyzed client input data and user behavior, creating user flows.  
- Conducted client interviews to understand user goals.  
- Worked with Google Analytics and user touch maps.  
- Designed interfaces based on data and functionality.  
- Created mood boards and optimized existing interfaces through product audits.  
- Conducted user and client interviews to evaluate and improve product usefulness.  
- Optimized websites, increasing conversion rates and user retention time.  
- Simplified information retrieval for wholesale clients.  
- Collaborated with clients on project defense and presentation.  
- Worked with developers, testing final products and creating technical documentation.  
- Led a team of designers, setting tasks and acting as a project manager.  
- Collaborated with developers and SEO specialists.  
- Developed concepts for future projects and selected references for clients.  
- Identified ""problem space"" to improve task completion and processes.  
- Gathered requirements, developed alternatives, prototyped, and evaluated solutions.  
- Developed brand books, identity, and web banners.  
- Designed product packaging from sketching to printing/assembly for a medical product.  
- Worked with the SMM department on design concept creation.  

Digital Marketing  
GAF, Kyiv (Telecommunications)  
Aug 2015 - Aug 2017 (2 years)  

- Conducted company data and marketing communication analytics.  
- Performed competitor analysis and online representation.  
- Created reports and lead improvement plans.  
- Established the first line sales department and wrote scripts for it.  
- Developed and presented company promotion strategies on social media and forums.  
- Developed and tested advertising strategies, preparing advertising materials.  
- Created sales reports and planning.  
- Collaborated with the design department.  
- Updated websites, collecting data on user behavior and identifying blind spots.  
- Developed visual concepts for social media.  

Web Designer, Freelance  
Aug 2015 - Aug 2017 (2 years)  

- Created design solutions for various projects.  "
206,"Mobios School - жовт 2021 - бер 2021  
UI/UX Design & Mob

IT Labs - вер 2020 - лист 2020  
Web Design

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання

UI/UX Designer - серп 2021 - по теперішній час  
Мережа Ланет  
Обов’язки:  
- UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.

Freelancer - січ 2021 - серп 2021  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.

UI/UX Дизайнер (Проектна робота) - трав 2021 - лип 2021  
Aventus Group  
Робота над новим проектом у сфері онлайн кредитування  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, створення прототипу  
- UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайну фізичної карти

UI/UX Дизайнер - квіт 2015 - квіт 2016  
Qwert-Media  
Обов’язки:  
- UX: аналіз конкурентів, створення wireframe, часткове проектування вже існуючих сайтів  
- UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів  
Аналіз та проектування, створення сучасного дизайну як для Web, так і для мобільних додатків, підтримка вже існуючих проектів. Співпраця із командою дизайнерів та розробників. Підготовка макету до верстки."
207,"UI/UX дизайнер

- Розробка творчих ідей, концепцій та задумів для веб-сайтів, лендінгів та мобільних додатків.
- Досвід роботи з Tilda для створення веб-сайтів.
- Побудова інформаційної архітектури, user flows, wireframes та сценаріїв взаємодії з користувачем.
- Проектування екранів інтерфейсу та прототипів.

Графічний дизайнер (freelance)

- Створення логотипів, банерів та ілюстрацій для різних компаній та студій.
- Володіння програмами Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Miro та InVision.

Мета

- Потрапити у команду, де зможу застосовувати свої навички та постійно розвиватись."
208,"UI/UX Designer | Фрілансові проекти:
- Розробка лендінгів, інтернет-магазинів, редизайн, адаптивний дизайн, кастомні сторінки, екрани та графічні елементи.

UI/UX Designer | ITSC.CO:
- Аналіз поведінки користувачів і товару клієнта.
- Створення макетів і прототипів.
- Розробка сайтів, графічних елементів, стилів, робота зі шрифтами, кольорами та розмірами."
209,"- Висококваліфікований спеціаліст з UI/UX дизайну, веб-дизайну та адаптивного дизайну.
- Успішний досвід співпраці з міжнародними компаніями.
- Ефективна робота в різних напрямках, не обмежуючись лише дизайном."
210,"- Розробка інтерфейсу каси самообслуговування
- Створення системи сервісу для найму приватних тренерів на дому в Америці
- Розробка вебсайтів та айдентики
- Дизайн користувацького інтерфейсу (UI)
- Досвід користувача (UX)
- Інформаційна архітектура (IA)
- Вебдизайн"
211,"Участь у розробці e-commerce сервісу для Близького Сходу в Дубаї, ОАЕ. Досвід управління командою дизайнерів як засновник регіональної дизайн-студії. Співпраця з замовниками з Швеції, Англії, Швейцарії, Дубаї, Франції. Навички у UI, UX, мобільному дизайні для Android та iOS додатків. Графічний та руховий дизайн, ілюстрація, фотографія. Бажання розвиватися, цікаві проекти, комфортні умови."
212,"UI/UX-дизайнер

Досвід роботи:
09.2020 - 12.2022
Fiverr, Дистанційно (Дизайн)

- Розробка інтерфейсів користувачів, макетів веб-сайтів та додатків для телефонів, прев'ю відео на YouTube, логотипів, посадочних сторінок.

Навички:
- Дизайн UI/UX
- Веб-дизайн
- Дослідження та збір даних
- Типографіка
- Розуміння принципів дизайну
- Робота над кількома проектами одночасно
- Базове розуміння HTML та фреймворків
- Знання Adobe Photoshop, Figma, Illustrator
- Знання технологій друку
- Досвід роботи з фотографією та студійним обладнанням
- Досвід у дизайні веб-сайтів та мобільних додатків
- Розуміння застосування анімації
- Досвід у дизайні внутрішніх документів, матеріалів для Інтернет-ресурсів
- Досвід у розробці інтерфейсів користувачів та досвіду користувачів

Особисті якості:
- Увага до деталей
- Відповідальність
- Уважність
- Стресостійкість та здатність правильно сприймати критику
- Пунктуальність
- Добросовісність
- Бажання вчитися та самовдосконалюватися
- Комунікативні навички та здатність працювати в команді
- Прагнення до вдосконалення у роботі
- Розвинене уявлення та просторове мислення
- Почуття смаку та креативність

Хобі та інтереси:
- Рок-музика
- Волейбол
- Настільний теніс
- Відпочинок"
213,"UI/UX дизайнер з досвідом у проектуванні та розробці мобільних і веб-інтерфейсів. Володію навичками використання Figma, Adobe Photoshop, Illustrator та CorelDRAW. Досвід у проведенні досліджень та інтерв'ю на внутрішніх проектах, а також у роботі в продуктовій команді. Маю досвід управління продуктовою командою з розробки мобільного додатку, використанні Scrum та роботі з вимогами до задач. Досвід у розробці web-інтерфейсів, включаючи інтернет-магазини та корпоративні сайти, а також у створенні POS-матеріалів."
214,"UI дизайнер  
Листопад 2018 - Лютий 2022 (3 роки 2 місяці)  
Група компаній ""РемонтЕкспресс"", дистанційно  
- Розробка адаптивних макетів веб-сторінок відповідно до дизайн-системи компанії  
- Підтримка існуючих сторінок  
- Створення банерів  
- Оформлення Instagram  
- Розробка логотипів, бренд-буків, каталогів продукції, фірмової документації, буклетів  

UI дизайнер  
Вересень 2015 - Листопад 2018 (3 роки 2 місяці)  
ФОП ""Скай"", дистанційно (салони краси, аптеки)  
- Створення сторінок для салонів краси, гриль-бару, бюро нерухомості тощо  
- Розробка міні-порталу Prokurs  
- Розробка веб-додатку для салонів краси ""SalonProf""  

Помічник веб-дизайнера  
Квітень 2015 - Вересень 2015 (5 місяців)  
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)  
- Робота над внутрішніми сторінками сайту на основі домашньої сторінки  

Дизайнер  
Листопад 2006 - Листопад 2011 (5 років)  
Aries (поліграфія)  
- Розробка макетів різної складності (від візиток до каталогів) та підготовка до друку  

Вища освіта, спеціалізація ""Графічний дизайн""  "
215,"Unilime (з січня 2023)
Веб-дизайнер, UI/UX дизайнер, бренд-дизайнер

POZITIFF (жовтень 2019 – січень 2022)
Графічний дизайнер, веб-дизайнер
- Оформлення рекламних матеріалів
- Створення графіки для сайтів
- Розробка концепцій візуальної айдентики
- Створення ілюстрацій

IDEST agency (квітень 2019 – жовтень 2019)
Графічний дизайнер
- Розробка концепцій візуальної айдентики
- Оформлення соцмереж
- Робота з поліграфією та створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019)
Графічний дизайнер
- Розробка дизайну шпалер
- Верстка каталогів
- Створення рекламних матеріалів

Додаткові досягнення:
- Проведення курсу ""Основи Photoshop"" для менеджерів
- Створення методичного посібника для оптимізації роботи у графічних редакторах"
216,"UX/UI Designer та веб-дизайнер з досвідом роботи на платформах Tilda та Wordpress. Володію навичками роботи з Adobe Photoshop, Adobe Illustrator, Adobe Premier, Figma, а також з текстовими редакторами Word/Pages/Documents та Excel. Маю значний досвід у використанні конструкторів Wordpress та Tilda. Розробив освітній додаток для школярів ""Нова Школа"" та створив власний онлайн журнал Cultural Magazine. Маю досвід роботи як СЕО-спеціаліст з навичками в Google Search Console, Adwords, Analytics, Serpstat. Готовий займатися дизайном сайтів та мобільних додатків."
217,"UX/UI дизайнер з досвідом роботи в компаніях Selzy (Unisender.UA) by Ecomz та OneDome, а також як фрілансер. Спеціалізуюся на розробці дизайну та архітектури нових сторінок сайтів, редизайні існуючих сторінок, дизайні промо-сторінок на Tilda.

Викладав курс Web & UI/UX дизайн в Prog.kiev.ua, де готував навчальний матеріал та проводив лекції з роботи у програмах Figma, Sketch, Photoshop, Illustrator. Забезпечував менторську підтримку студентам у виконанні домашніх завдань.

Працював у державному секторі в КП «Центр публічної комунікації та інформації», де займався дизайном друкованої продукції, створенням інфографіки для соцмереж, підготовкою презентацій та редагуванням звітів.

Маю досвід у проведенні UX досліджень, дизайні іконок, банерів, а також у ребрендінгу сайтів та додатків компаній. Займався створенням айдентики для нових бізнесів, розробкою логотипів та фірмового стилю, а також створенням сайтів за допомогою Tilda."
218,"UX/UI дизайнер з дворічним досвідом. Ефективно співпрацюю з розробниками, продуктовими менеджерами та тестувальниками для аналізу даних та створення інтуїтивно зрозумілих інтерфейсів для мобільних додатків та веб-сайтів, орієнтуючись на потреби користувачів."
219,"Web Designer

Компанія iPromo

• Досвід проектування веб- та мобільних інтерфейсів
• Проведення UX-досліджень
• Побудова користувацьких потоків
• Створення wireframes та прототипів
• Володіння програмами: Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure
• Знання основ HTML та CSS

Обов'язки:

• Створення банерів та розсилок
• Розробка презентацій
• Створення landing page на платформі Tilda
• Розробка рекламних оголошень для Facebook та Instagram
• Розробка айдентики та фірмового стилю"
220,"Досвідчена у веб-дизайні, здобула знання через проєкт IT Generation. Постійно вдосконалюю навички, працюючи над створенням CRM системи та сайтів для фотографа і сервісного центру. Вивчаю UX Design на платформі Coursera. Мій професійний досвід включає розробку творчих сайтів для арт галерей та музеїв, а також редизайн сайту для сервісного центру. Відкрита до нових можливостей, прагну спробувати себе у розробці мобільних додатків."
221,"Адміністратор онлайн занять - IMT-Academy (2017-2020)
- Адміністрування онлайн занять
- Підтримка онлайн та офлайн студентів
- Створення відео контенту для внутрішньої системи академії (LMS)

Motion designer - Фріланс (2020-2023)
- Анімування елементів інтерфейсу сайтів та мобільних додатків
- Створення відеоматеріалів для рекламних кампаній контекстної реклами та для таргетованої реклами в соціальних мережах
- Створення відеоматеріалів для офлайн реклами

UI/UX designer - Фріланс (2022-2023)
- Аналіз цільової аудиторії та ніші, дослідження референсів
- Розробка портретів користувачів, сценаріїв використання і логіки роботи проектів
- Розробка прототипів дизайну сайтів
- Розробка UI дизайнів сайтів
- Проведення UX аудиту та оптимізація існуючих інтерфейсів
- Розробка UX дизайнів сайтів
- Розробка адаптивних для мобільних пристроїв
- Співпраця та комунікація з замовниками, front-end розробниками та SEO спеціалістами
- Створення іконок, ілюстрацій, логотипів, банерів та інших графічних елементів

Додатково: Створення 3D моделей елементів дизайну сайту та високополігональних моделей."
222,"Адміністратор у ресторані  
- Відповідальність за фінансову звітність  
- Керування персоналом  
- Ефективна комунікація з клієнтами та співробітниками  
- Вирішення конфліктних ситуацій  

Рекрутер  
- Досвід у підборі кваліфікованих кандидатів для вакансій  
- Вміння знаходити найкращі рішення для обох сторін - роботодавця та працівника  

Помічник PMa  
- Організація ефективного товарообігу  
- Забезпечення безперебійної роботи процесів  

Мета  
Створення комфортних умов праці та досягнення високих результатів у будь-якій сфері діяльності."
223,"Адміністрування серверів на ОС Windows Server  
Адміністрування мережевого обладнання  
Ремонт і налаштування комп'ютерного парку (близько 40 ПК) і периферії  
Проведення профілактичних робіт та участь у закупівлі нового обладнання  
Створення резервних копій даних та відновлення даних  
Навчання користувачів  
Адміністрування доменних служб Active Directory  
Адміністрування сайту закладу  
Вивчення UI/UX дизайну з метою розвитку в цій професії, з багатьма ідеями та енергією  "
224,"Андрій, 22 роки

Досвід роботи:
- Створення різноманітних типів веб-сайтів
- Співпраця зі студіями та фріланс

Навички:
- Графічний дизайн та поліграфія
- Вміння працювати в команді
- Відповідальність та працьовитість
- Спілкування та написання англійською мовою

Технічні навички:
- Володіння програмами: Figma, Illustrator, Photoshop, Blender

Додаткова інформація:
- Готовий до віддаленої роботи (мак і монітор)"
225,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Професійні навички:
- Базові навички роботи з Figma
- Базові навички налаштування таргетованої реклами у Facebook
- Активні навички використання системи чату GPT для навчання, аналітики та пошуку інформації
- Досвід у редагуванні та створенні відеороликів

Досвід роботи:
[Якщо у вас є досвід роботи, додайте його тут, вказавши компанію, посаду та період роботи]

Освіта:
[Вкажіть вашу освіту, якщо це доречно]

Додаткова інформація:
[Додайте будь-яку іншу інформацію, яка може бути корисною для роботодавця, наприклад, сертифікати або курси, які ви пройшли]"
226,"Резюме:

- Успішний досвід роботи на фрилансі з позитивними відгуками від клієнтів.
- Внесення правок у готові проекти та розробка макетів лендінгів.
- Створення візиток та банерів для приватних осіб.
- Сильне бажання працювати в команді та освоювати нові навички.
- Прагнення отримувати досвід з проектів різного типу та масштабу."
227,"Досвідний дизайнер з понад 10-річним стажем у сфері дизайну. Спеціалізуюся на UI/UX, Web, графічному дизайні, motion дизайні та 3D (Blender), з основним акцентом на UI/UX. Двічі підвищений до арт-директора в різних компаніях. Постійно вдосконалюю навички та шукаю нові ідеї для реалізації в проєктах. Портфоліо доступне на веб-сайті, вказаному в контактах."
228,"Досвід роботи в E-commerce на західних платформах у ролі CEO понад 7 років. Проведення глибокого аналізу ринку та конкурентів, дослідження користувачів продуктів. Пошук нових продуктів та взаємодія з замовниками і користувачами. Вільне володіння англійською мовою. Постійне навчання та розвиток нових навичок. Вміння працювати в команді та знаходити рішення для будь-яких завдань."
229,"Освіта:
- Закінчив курси з дизайну від Genius, Creative Practice, Udemy і Dotli.

Досвід роботи:
- Понад півтора року досвіду роботи в компанії, де створив дизайн для понад 20 додатків на різні теми.
- Досвід у створенні Lottie анімацій для мобільних додатків.
- Більше року досвіду на посаді UI/UX Дизайнера в аутсорс компанії, де працював над дизайнами для мобільних застосунків для компанії та зовнішніх замовників.
- Досвід роботи як куратор в онлайн школі на курсі UI/UX Дизайну, де працював зі студентами та проводив їх через хащі інформації у світ дизайну.

Навички:
- Відкритий до навчання та розвитку.
- Завжди готовий вчитися новому та працювати над цікавими проектами з цікавими людьми."
230,"Веб-дизайнер, UI/UX

- Досвід роботи з програмами Figma, Adobe Photoshop, Adobe Illustrator
- Постійний розвиток дизайнерських навичок
- Креативний підхід до завдань
- Ефективність у роботі з великими обсягами інформації
- Високий рівень почуття стилю
- Відмінні організаційні здібності та відповідальність
- Вміння налагоджувати комунікацію"
231,"Навчався UI/UX дизайну в Beetroot Academy з лютого по липень 2023 року. Виконав повний редизайн сайту з консалтингових послуг як курсову роботу, оскільки вважав UI/UX частину застарілою. Провів дослідження цільової аудиторії, аналіз конкурентів та трендів. Розробив дизайн лендінгу для Dating-ресурсу та low-fidelity wireframes для магазину солодощів. Працював над User persona, Empathy map, User flow, Customer journey map та Information architecture. Наразі співпрацюю з ментором для покращення навичок та отримання досвіду в реальному бізнесі. Шукаю дружній колектив, конкурентну заробітну плату та можливість кар'єрного росту, а також бажаю мати ментора для швидшого та ефективнішого розвитку у цій професії."
