,Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-3.5-turbo
98336,"- Collaborated directly with the client, NOVI Luxe, to create their e-commerce website.
- Conducted user research, including surveys and user interviews.
- Created wireframes, user flows, and interactive prototypes using Figma.
- Implemented A/B tests to validate design decisions.
- Received positive client feedback for delivering the project on time and within budget."
98337,"Experience:
- Collaborated with partners such as Looqme, HoReCa show, S-Prof, Lviv Organ Hall, and others for over 1 year.
- Completed UI/UX design courses at LITS

Skills:
- Proficient in Adobe Photoshop, Illustrator, Figma, and Invision
- Strong understanding of UI/UX principles

Projects:
- Contributed to various projects to enhance skills and foster teamwork."
98338,"Commercial experience: 
Comon Agency — 28.01.22-24.02.22 (Reduction of labor headquarters in connection with the war in Ukraine) and individual private projects up to this time.

Non-commercial experience: 
- Alexey, ""On the Way"" product delivery project, landing page development, website corporate identity creation 
- Phillip, ""Sammy Icon"" e-commerce, redesign and development of a multi-page online store website with all key stages: UX Research, Wireframe, Style-Guide&Design."
98339,"- Completed a 3-month course in UI / UX design
- Skills in UX Design, GUI Design, Typography, basic graphics tools (Figma, Adobe Photoshop)
- Familiar with methodologies such as Design Thinking & Human Centered Design
- Portfolio showcasing landing page, e-commerce, and adaptive design examples."
98340,"Certificate of UX/UI designer (Beetroot Academy); Certificate CELI4 C1 (knowledge of Italian)

Completed courses in design at Beetroot Academy.

Experience in UX research: creating mind maps, information architecture, working with briefs, competition analysis, creating empathy maps and personas, CJM and user flow, wireframing.

Experience in UI: proficient in Figma, Adobe Photoshop, and Illustrator. Skilled in creating interactive prototypes, designing adaptive UI. Knowledge of composition, typography, color theory, grid systems, and design patterns.

Designed a mobile application for a family medicine clinic, a landing page for a design studio, and a website for a beauty salon during the course at Beetroot Academy. Also created icons and logos for apps.

Seeking a position in a dynamic team with exciting projects and opportunities for growth and development. Passionate about utilizing skills to contribute to the success of the company."
98341,"Master's degree in Architecture and Urban Planning, May 2023, with a focus on ""Modern Approaches to Implementing Information Technologies in Architectural Design."" Skilled in self-organization, critical thinking, research, and analysis.

Completed two educational courses in creating mobile applications and websites, with a focus on designing effective and visually appealing digital products from initial concept to final implementation.

Experience in developing 3 projects:
1) Website Redesign for FeelFull, a food delivery enterprise.
2) Catalogue Website for TviyBrend, an accessories retail company.
3) Mobile App Colory, designed to transform black and white photos into color.

Participated in online client meetings, conducted UX Research (interviews, online surveys, competitor analysis), formulated User Personas and Stories, designed User Flows, Wireframes, and Animated Prototypes.

Foundational skills in web development, including HTML markup, CSS styling, and responsive design principles.

Seeking to expand knowledge and skills through practical experience, dedicated to creating impactful and user-centered designs while continuing to grow expertise in UX/UI principles."
98342,"- Team Leader in the ""Search for Lost and Found Animals Project""
- Participated in the development of an animal search site
- Conducted research
- Demonstrated responsibility and met deadlines
- Possess excellent knowledge of computer graphics programs such as Figma, Illustrator, and Photoshop
- Experienced in teamwork
- Developed layouts for websites, web and mobile applications
- Strong desire to learn and improve skills
- Analyzed competitors and developed site maps and functions for the animal search project
- Created a user-friendly landing page for a furniture store by analyzing competitors, selecting references, and designing prototypes and UI pages
- Constantly improving skills and acquiring new ones to enhance competence
- Aspiring to work and grow as a UI/UX designer in a team of professionals."
98343,"Education:
- Projector Institute (UX/UI Design)
- Coursera (Foundations of User Experience (UX) Design - Google)

Skills:
- Typography
- Auto Layout
- Wireframe
- Prototype
- User Experience
- UXD"
98344,"Experience:

- Proficient in translating abstract ideas into concepts and wireframes
- Skilled in creating MVP
- Participated in team projects
- Designed interfaces for websites and mobile applications
- Created projects such as Landing page, Web-service, Mobile App
- Utilized Design System to speed up project work and present wireframes quickly to customers

Education:

UI/UX Designer Course, GoIT School
Feb. 2023 - Aug. 2023

Skills:

- UI/UX design
- Team collaboration
- Project management
- Design System utilization"
98345,"- Experienced in creating engaging e-commerce platforms, landing pages, and mobile app interfaces
- Skilled in collaborating with clients to understand their requirements and translating them into visually appealing design solutions
- Proficient in applying design principles and responsive techniques to ensure user-friendly and visually appealing interfaces
- Knowledgeable in utilizing Figma for efficient prototyping and iterative design processes
- Strong attention to detail, ensuring precise implementation of designs
- Effective communication skills and consistently meeting project deadlines"
98346,"- UI/UX design concept for online perfume store
- Development of prototypes
- Creation of user flow
- UI visualization of 18 web pages
- Presentation of design concept
- Redesign of landing page
- Preparation of analysis-documentation
- Prototyping
- UI page concept creation
- Creation of light/dark and adaptive versions."
98347,"- Completed two courses in Projector school focusing on e-commerce design, landing page creation, and non-profit organization projects
- Developed concepts and prototypes for various projects, with experience in presentation
- Conducted user interviews to gather feedback and insights
- Proficient in UI Kit creation using Figma
- Seeking a position to apply practical experience in photography, new skills in web design, and enhance theoretical knowledge in sociology."
98348,"- Experienced in creating turnkey websites, including design development and assembly using a constructor
- Received 100% positive feedback from customers
- Skilled in development, animation, and design for games
- Proficient in Figma
- Possess basic knowledge of Photoshop and Illustrator, with a primary focus on design work using a MACBOOK"
98349,"Creative and friendly UI/UX designer with experience in graphic design, marketing, and project management. Skilled in developing website and mobile application designs, creating commercial offers and presentations, and designing various print materials. Proficient in product photography, photo processing, and retouching. Strong background in outdoor advertising design and social media content creation. Seeking a role in a collaborative and innovative environment to further develop skills and contribute to impactful projects."
98350,"I have been studying for 4 months and during this time I have completed 1 successful team project and 2 individual projects. I excel in core technical skills, organizational ethics, and discipline. I find great satisfaction in creating websites that work perfectly, and I am highly motivated by learning new things. I thrive in challenging environments that push me beyond my limits and stimulate my critical thinking skills.

In my portfolio, I have three projects that demonstrate my expertise in UX/UI design:

1. Landing page project: Conducted competitor research, created a mood board, and focused on creating a user-friendly experience through UX/UI design.

2. India Cafe website redesign: Performed website analysis, worked on UX/UI design, and addressed aspects such as color schemes, responsiveness, typography, and prototyping. Created a UI kit and prepared the project for Behance.

3. Lost pet web service: Analyzed competitor services, created user personas, defined user flow, and incorporated features like pop-ups and a donation feature for animals in need. Worked on design systems and user experience (UX).

Currently, I am enrolled in UI/UX design courses at GOIT, where I have developed valuable skills in mobile and desktop application development. I am proficient in designing user interfaces for various platforms using tools like Figma, Adobe Photoshop, and Adobe Illustrator. My experience includes working with color schemes, typography, UI-kit, grid systems, website design prototyping, and mobile app development.

Key Skills:
- UX/UI design
- Competitor research
- User personas
- User flow
- Design systems
- Mobile and desktop application development
- Figma, Adobe Photoshop, Adobe Illustrator

Education:
- UI/UX design courses at GOIT

Professional Development:
- Participation in projects
- Involvement in the UX/UI process
- Collaboration with the team
- Gradual growth
- Mentorship and support in the field of UX/UI design."
98351,"I have been self-studying UX/UI Design for the past 3 years. During that time, I have completed small freelance projects, some of which are included in my portfolio. Additionally, I have worked on personal projects, the main one is 4ROLL — Dungeons & Dragons Digital Game Companion App, which is featured on my Behance and Dribbble profiles. Currently, I don't have any work experience at companies yet, but I'm highly motivated to enhance my skills and knowledge. I'm eager to gain hands-on experience within a professional environment in order to fill this gap in my CV."
98352,"I completed the following courses: ""Fundamentals of Graphic Design"" from Coursera, ""Fundamentals of Design"", ""Graphic Design. Composition"", ""UI/UX. Projecting and design of interfaces"" from Creative Practice, and also watched videos from the courses: ""Profession Graphic designer"", ""Profession Web designer"", ""Profession UX/UI designer"" from Genius space, I am currently taking the course ""Web design + layout"" from Alpaca school. Currently, I have no work experience, but I actively developed in the field of design during the year, and participated in free and paid courses in various areas, such as: Graphic design, Web design, UI/UX design."
98353,"Work Experience:
- Architectural and Construction Engineer
- Freelance Designer

Skills:
- UI/UX Design
- Figma
- Adobe Photoshop
- Adobe Illustrator

Education:
- Completed UI/UX design course at IMT Academy

Portfolio:
- Available on Behance"
98354,"Data Entry
Health App Ornament
Aug 2020 - Feb 2023

-Entering user data from recipes, recommendations, extracts, etc.
- Fulfillment of instructions of the director.

Technical Support Consultant
IT Con
Gaming
Jan 2017 - Jun 2020

- Consulting users on technical issues (mail processing, receiving calls, conducting correspondence in an online consultant)
- Managing payments and making reports."
98355,"- 4 pet projects including Pet Search Project
- Dating app based on artificial intelligence for suggesting compatible pairings
- Pet search web service team project for helping lost animals find owners
- Landing page design for Citroen C4 showcasing advantages and characteristics
- Redesigned website for CrossFit CENTRAL with focus on visual design and user experience
- Experience in results-driven design projects with open team collaboration
- Strong focus on design and creating user-friendly experiences
- Ability to work in a friendly and respectful atmosphere
- Experience with partially remote work and corporate training
- Demonstrated career growth within previous company."
98356,"Dec. 2021/ Present
Marketing designer (Inoxoft)
- Development and work on updating the site
- Mentoring work
- Design of marketing materials
- Creation of corporate presentations
- Creation of the company's branded products
- Design case studies for Behance and other platforms

Oct. 2022/Present
Teacher of digital design for children (part-time)
(GoITeens — IT Academy for teens and kids)
- Teach digital design to children

May 2019/ Dec. 2021
Graphic designer and illustrator (Awkward styles)
- Design of the site
- Development of illustrations and prints for the company's products

2017/ 2022
Graphic designer and illustrator (Freelance)
- Development of banners and printing products
- Creation of illustrations
- Instagram design"
98357,"Experience:

Delivery / Call Center Operator
May 2021 - Present Time

Web Studio / SMM Specialist
2019 - 2021

Sociology / Call Center Operator
June 2020 - August 2020

Skills:
- Crisis management
- Operations restoration
- Team collaboration
- Project participation
- Customer service
- Social media management
- Communication skills
- Problem-solving
- Attention to detail"
98358,"Passionate designer with experience in UI/UX design. Skilled in user research, creating user stories, job stories, user flows, low-fidelity and hi-fidelity prototypes. Proficient in Photoshop, Figma, Axure, and InVision. Previous work experience as SMM and Content Specialist. Seeking opportunities to further develop skills and gain experience in the design field."
98359,"Skills:
- Proficient in Figma for prototyping, wireframes, CJM's, mind maps, animations, UX research, UI creation, landings, adaptive design, documentation, and mockups
- Experienced in After Effects for custom motion animations
- Knowledgeable in Premiere Pro for video editing for websites
- Skilled in Photoshop for image editing
- Familiar with Illustrator for graphic design."
98360,"Design of the Alaska Peters site
- Remaking of barbecue restaurant website located in New York, USA
- Updated design and menu to improve attractiveness and user experience

Developed web service Clin Fix
- Helps users quickly find service providers for cleaning, gardening, etc.
- Connects workers with customers for various services."
98361,"- Successfully helped a start-up organization establish a recognizable identity from scratch, leading to increased website traffic and customer engagement
- Completed UI/UX & Web Design courses in 2018
- Proficient in designing/redesigning websites, landing pages, dashboards, and mobile apps
- Skilled in responsive design and corporate style/identity development
- Experienced in prototyping, UI kits creation, and designing POS materials for printing
- Knowledgeable in developing souvenir products and designing web banners/graphic materials for social media
- Capable of creating infographics, presentations, and processing digital images/photos
- Seeking a position in an international (preferably product) IT company with challenging projects and a team of professionals."
98362,"I participated in a hackathon focused on gender inequality and stereotypes, where my team developed a chat-bot to help individuals choose a specialty in engineering and biological fields. We won the competition and began developing the bot in online girlfriend mode, incorporating a test feature with questions curated by a prophorientologist.

I developed databases for an automated workstation in a hospital setting using SQL Management Studio and Visual Studio in the C# programming language as part of a course project.

Currently studying UX design and enrolled in a course from Google to enhance skills. Actively creating portfolio and seeking internship opportunities."
98363,"- Assisted in creating a website design for a dog shelter for a volunteer organization
- Created impactful landing pages and websites for multiple clients
- Worked closely with cross-functional teams to develop user-centered design solutions
- Translated client needs into visually appealing and user-friendly interfaces
- Conducted usability testing to improve design effectiveness
- Played a key role in project success by delivering high-quality designs within deadlines."
98364,"- Designed an application for people who suffer from panic attacks, aimed at self-education and reducing panic attacks as a pet-project
- Developed a pet-project with a team as part of the course ""Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka"" (4 months), serving as a UX researcher and UI designer
- Project duration: 5 weeks"
98365,"Currently taking UX skill improvement courses from Google and Coursera, with completion of the second course and intention to complete all 7 available courses. Responsible for the development of a subscription-based charity website design, including analyzing competitors, highlighting unique aspects of the charity, presenting project information clearly, and designing the website from scratch within a short timeframe. Ongoing work to improve the website based on previous results. Project: Save Ukraine Now(IF) 1 Day Donate."
98366,"- Designed a website for Devin
- Participated in the development of projects for the company
- Contributed to the design of a mobile application for an insurance company
- Worked as a freelance developer from April 2021 to July 2021, focusing on creating effective products that address user needs and tasks."
98367,"Objective: Seeking opportunities to advance and grow in the field of IT.

Skills:
- Self-studying UX/UI design and proficient in Figma
- Quick learner with a passion for discovering new technologies
- Experience as a sales manager
- Experience in a printing company producing plastic cards and project documentation"
98368,"UI/UX School - Genesis Academy, Complex Internet Marketing course at Para school, Web Design Junior, Web Design Beginning courses at Projector.
Internship at Star company working on 2 projects (app for document verification and a group of apps in sport and health, racing theme). 
Used tools: Figma, AdobePhotoshop. 
Responsibilities: screens design development, adaptation to iOs/Android, screenshots of the app in App Store, Google Play."
98369,"Education:
- Completed Google's UX/UI design course on Coursera, gaining knowledge and skills in design principles, tools, and programs

Experience:
- Currently working on pet projects to apply knowledge and develop further
- Completed three projects as part of the Coursera course
- Continuously working on pet projects to enhance skills and experience
- Strive for continuous improvement in providing high-quality, user-friendly solutions while maintaining creativity."
98370,"- Dedicated and conscientious worker with strong social skills
- Ability to work effectively in a team and accept constructive criticism
- Proficient in web design fundamentals such as moodboard, grids, typography, UI-kit, and adaptation
- Experience creating websites for selling apartments and web services with fellow students
- Skilled in principles of person, user-flow, and smart-animate
- Developed a mobile application
- Specialization in UI/UX design for web and mobile applications
- Proficient in full cycle design with a focus on results and open team collaboration
- Values mutual respect, friendly atmosphere, remote work opportunities, corporate training, development, and career growth
- Passionate about creating successful and profitable projects through collaboration."
98371,"During my studies, I successfully created intuitive and aesthetic interfaces for websites and mobile applications. The projects ranged from landing pages to complex web services. I conducted user research and analyzed competitors to create the most simple and understandable interface. My pet project is creating a landing page for registering for educational courses.

During my UI/UX Design courses, I created 5 projects which included landing pages, a website, a webservice, website and a mobile app.

Flower Lover: Created a flower delivery landing page to attract users and facilitate flower orders. The platform allows users to explore flower options, place orders, and find delivery information.

House Hopper: Developed a web service for finding and booking accommodation worldwide. The service caters to property owners and guests, offering functions to search for properties, make reservations, communicate with owners, and access travel information.

Exciting projects: Seeking to join a team working on impactful projects. Ready to contribute to innovative UX/UI solutions.

Skill development: Eager for opportunities to grow and learn in UX/UI design. Looking to collaborate with experienced professionals for professional development.

Teamwork: Value being part of a collaborative team where ideas and experiences are shared. Desire to communicate and learn from colleagues."
98372,"- Team Leader in the project ""Techgen IT"", responsible for managing designers, organizing work, distributing tasks, and communicating with developers. Also explained the design of the solution and demonstrated design animation.

General Accomplishments:
- Designed user interfaces (UI) and user experiences (UX).
- Prototyped interfaces and tested them with user research for usability and efficiency.
- Utilized design tools such as Figma, Adobe Photoshop, and Adobe Illustrator.

Freelance Experience:
- Team Lead UI UX Designer for a multi-page website for an IT Community, coordinating the work of designers and managing the project.
- UI UX Designer for a landing page for a company providing house design services, showcasing completed projects and services.
- UI UX Designer for a mobile application for searching and buying air tickets, focusing on creating a user-friendly interface. 

Seeking a position where I can apply my knowledge and skills, I am a responsible and proactive individual with work experience, open to constructive criticism, and always focused on achieving results."
98373,"Team Leader in ""Neaty Kitty"" and ""Tap the Table"" team projects. Developed own Pet-projects including redesign of sports bar ""Yours Sports Bar"" and design of Tattoo Studio landing page. Created 4 projects during study at GoIT, including landing page for Tattoo Salon, redesign of website for sports bar ""Yours Sports Bar"", and team projects ""Neaty Kitty"" and ""Tap the Table"". Proficient in Figma with cases on Behance."
98374,"I have experience working on two joint team projects: the web service ""Lost Pets"" for finding missing animals and the development of a Mobile application. Additionally, I have worked on redesigning a hotel and restaurant complex and creating a Landing page for Citroen C4. 

In my role, I have analyzed competitors, created personas, developed low and high accuracy prototypes, and filled the projects with high-quality content. I have completed the full design cycle for each project. 

I am a novice UI/UX designer who is eager to learn and develop new skills. I am able to work effectively both independently and as part of a team."
98375,"During training courses, I performed various tasks related to design for landing pages, websites, web services, mobile applications, and adaptive design. One notable project I worked on was the web service Openmind, which was created in a team setting. The main objective of this project was to develop a web service for couchsurfing, allowing users from around the world to find free housing in their desired country or offer their services in exchange for accommodation.

Responsibilities included conducting competitor analysis, creating personas and user stories, designing user flows, developing detailed wireframes, and improving the UI. Specifically, involved in creating a profile for a host girl, designing the UI and UX for the host profile (including registration, adding housing, and profile management), and adapting the design for mobile phones and tablets. Additionally, contributed to creating a UI-kit for the project."
98376,"Julia

Passionate UX/UI designer with experience in Figma and team collaboration. Completed course at GoIT. Skilled in competitor analysis, defining target audience personas, user journey mapping, wireframing, prototyping, and mobile/web design. Projects include:
- Supermarket app: Designed intuitive interface for Buyland app to streamline checkout process
- Library app: Created onboarding and main pages with delightful animations
- Flower app: Designed onboarding, registration, main page, and card with animations
- Clean Up website: Developed user-friendly web service for cleaning company promotion
- IT school dashboard: Designed interactive dashboard
- Real estate website redesign: Targeted married couples in Florida for Mainsail Realty Company

Seeking challenging role with growth opportunities for personal and professional development."
98377,"- Developed landing page for jewelry store to increase audience engagement
- Created advertising banners and creatives
- Actively engaged in self-training in various design styles
- Continuously improving design skills and staying up-to-date with modern trends
- Freelance work includes creating online stores, landing pages, banners, and mobile interfaces
- Adheres to correct project design sequence, sketching, and prototyping principles
- Proficient in understanding user interface perception and compositional interface construction
- Interested in working on diverse projects such as e-commerce, landing pages, and mobile application interfaces."
98378,"- Skilled in using Figma, Photoshop, Illustrator, Corel Draw, and Canva for graphic design and website development
- Proficient in usability and UX methodology
- Experienced in creating responsive/adaptive design for websites and mobile applications
- Strong understanding of graphic design principles, typography, and color theory
- Ability to conduct research, analyze competitors, and define target audience for website projects
- Expertise in creating wireframes and optimizing designs for different devices and screen resolutions
- Capable of developing compelling calls to action and aesthetically pleasing designs to enhance user experience
- Effective team player with analytical and creative thinking skills
- Successfully completed projects including real estate website redesign and pet search web-service
- Proven track record of delivering high-quality work that demonstrates creative thinking skills."
98379,"Hard skills:

- Sitemap and Userflow
- Analysis of CA and competitors
- Typography and colors
- Creation of mood boards
- Knowledge of UX/UI principles
- Lo-fi Hi-fi layouts
- Prototyping
- User testing
- UI and UI-kit
- Adaptive design

Soft skills:

- Argumentation of decisions
- Communication skills
- Adaptability to project requirements
- Team work
- Attention to details
- Self-motivation
- Workflow organization
- Project management skills
- Determination of priorities
- Creativity
- Time management

Experience:

E-commerce:

- Automated ordering goods for new manufacturers combining trends, textiles, and materials
- Developed a user-friendly website with a functional shopping cart and order placement features
- Achieved top results in CSAT, Completion rate, and Task time metrics during prototype testing

Landing:

- Designed a stylish landing page to promote pet adoption from shelters
- Created an attractive interface with interactive elements to engage users
- Utilized 10 blocks to present project details and combat myths about animals in shelters

Summary:

Enthusiastic and eager to learn professional with experience in developing web applications, adaptive design, and designing prototypes. Deep understanding of UX and UI principles with proficiency in Figma. Skilled in planning, structuring, and adapting to changes while maintaining attention to detail. Strong team player with excellent communication and time management skills."
98380,"Experience

Junior UX/UI designer with a background in furniture and interior design. Skilled in landing page design, web services, and mobile applications. Passionate about creating intuitive and visually appealing user interfaces that provide maximum value to users. Strong understanding of user needs and ability to craft user-friendly solutions. Open to new challenges and eager to grow within a team of creative professionals.

Project Experience

- Designed landing page for ""BusinessUp by Podvigina,"" incorporating UI kit and animation elements within a tight deadline.
- Led UX research and designed FinEasy, a collaborative web service for accountants and entrepreneurs. Developed user flows and adaptive UI components with engaging animations for seamless adaptation across devices.
- Redesigned Mexican restaurant website, conducting competitor analysis, creating wireframes, implementing UI design, and incorporating adaptation and animation using Figma.
- Completed design cycle for Urban Festival landing page, including competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices."
98381,"Mobios School, 2020
- Completed UX/UI design and mobile design courses

Projector, 2021
- Completed junior web designer courses by Alex Kim and Den Potapov
- Completed font logo courses by Kate Jacushek

Experience:
- Banner design for social media and print outdoor advertising
- Customer briefing
- Basic UX research, competitor analysis, business area analysis, creation of personas, CJM, User Flow
- Creating interactive prototypes
- Utilizing typography, grids, colors, mood, and atmosphere in design
- Designing adaptive landing pages, e-commerce sites, corporate sites, and mobile applications
- Developing project presentations and presenting them to clients
- Logo design"
98382,"Experience:
- One month freelance project as a UI/UX designer
- Responsibilities included finding references, creating sketches, making wireframes and prototypes, redesigning old applications, creating YouTube and Instagram banners and intros, and designing or redesigning logos

Skills:
- Proficient in Adobe Photoshop, Figma, InDesign
- Basic knowledge of InVision, Illustrator, HTML/CSS
- Advanced English language skills
- Strong communication skills
- Organized working process
- Effective time management

Aims:
- Develop skills in UX design
- Solve problems in website UX and create great experiences
- Grow and develop in a team of professionals in the field of UX design."
98383,"Education:
- Completed basic UI/UX course at Hillel IT School
- Completed UI/UX webinar from GoIt school
- Created a portfolio with several pet-projects

Experience:
Research Manager, Entertainment/Crypto Company
- Conducted research, collected and analyzed information on target audience, competitors, and legal policies of target countries
- Participated in project UI/UX and regression testing with QA department
- Worked in this role for 1 year and 3 months

Projects:
Destin/Tattoo
- Conducted competitors analysis and comparison for a tattoo salon website
- Redesigned website with improved UX, colors, typography, and user flow using Figma

HelpPets
- Participated in competitor analysis and creation of Typography and UIKit for a web-service
- Provided ideas for useful features, such as AI assistance in pets movement prediction
- Designed user flow and UI for users who lost pets using Figma and Adobe Photoshop

Skills:
- Proficient in Figma and Adobe Kit
- Familiar with Miro and other similar tools
- Interested in animations, mock-ups, and 3D design"
98384,"EXPERIENCE

Web service for finding lost pets (team project)
- Created persona and Jobs-to-be-done
- Developed pages for ""lost"" and ""found"" animals, ""my ads"", and a form for creating ads
- Implemented drop-down lists
- Collaborated effectively in a team environment

Redesign/India cafe (independent work)
- Redesigned website to create a minimalist design
- Improved accessibility, structure, and visual hierarchy
- Achieved modern and user-friendly design

Flower shop (landing page)
- Designed one-page website for advertising bouquet delivery
- Created modern and user-friendly design with unique color scheme
- Showcased flower arrangements and streamlined ordering process

OBJECTIVE
Seeking a full-time position in a company focused on simplifying everyday life and business processes. Looking for a role that offers opportunities for growth, learning, mutual respect, and a positive work environment."
98385,"EXPERIENCE:

UI/UX designer
2022 - present

Courses:
Junior Front-end Developer - EPAM University
UI/UX designer - Taras Shipka

Over the past year I have created:
- Web pages, blog site design and blogs.
- branded materials, including company logo, social media posts, illustrations.
- design of mobile and web applications, one of them for Vinnitsa National Technical University (JetIQ).

- Created attractive and user-friendly designs for a wide range of clients, including small businesses.

- Interaction with clients and development teams to ensure the successful implementation of the project.

- Developed corporate identities, illustrations using various design tools including Figma, Illustrator, Photoshop and Procreate.

- I develop websites that meet the needs of clients - from the stage of providing concepts and design ideas, building wireframes and creating designs to turning them into responsive HTML5\CSS3 pages (including SASS and SCSS), written in a clear and understandable code.

- Understanding the principles of UI / UX and the needs of site users, working within the existing brand guidelines. I focus on creating both a functional and attractive product.

SKILLS:

- UI/UX design (Figma)
- Illustrations (Adobe Illustrator, Adobe Photoshop)
- HTML, CSS (SASS, SCSS)

Commercial experience:
- JetIQ (2022-2023) - Design creation, wireframe, component creation, layout.

My favorite projects:

-Anitime - Mobile application for watching anime

-Innovexa - Landing page for a company providing data security services."
98386,"Flover Lover - landing
- Created a landing page to advertise bouquet ordering with delivery
- Developed a simple one-page site with easy use and gentle colors
- Conducted mood board creation and competitor analysis for UI design

Custom concepttattoo & design - redesign
- Redesigned website for a tattoo studio to create a modern and convenient design
- Addressed outdated design and lack of adaptation for different media

VDOMA - web service
- Developed an animal search web service to help owners find lost animals faster
- Conducted competitor analysis, user persona research, prototyping, system design, UI design, and adaptation

Seeking a full-time position in a company focused on improving everyday life and business productivity through user-friendly solutions. Fast learner, responsible, and ready for challenging tasks."
98387,"Redesigned User Interface of Indian Cafe; Mobile App Optimization; Web-Service; Landing Page
f.Lover Mobile App for Delivering Flowers"
98388,"During my training, I completed three projects, two independently and one in a team. I excel at both collaborative and independent work, with a strong ability to lead and generate innovative ideas. I gained technical knowledge and theoretical understanding throughout my training.

Flowers delivery mobile app
- Developed a user-friendly interface for an online flowers ordering service
- Conducted persona research to understand customer demand
- Created an easy-to-use app for global bouquet ordering

Pet Scout. Animal pet search web service
- Conducted UX research, competitor analysis, and user flow
- Collaborated on web service architecture and design principles
- Created wireframes, mockups, prototypes, and Behance in a team setting

Barbershop Landingpage
- Developed a landing page for a barbershop with service information and appointment booking
- Conducted competitor analysis, developed personas, and utilized research methods
- Designed desktop, tablet, and mobile versions of the site

Tattoo Studio Website Redesign
- Created a tattoo salon website for artist selection and consultation booking
- Analyzed competitor data by age, sex, and other factors
- Designed a visually appealing and user-friendly website

Seeking remote or freelance design opportunities to continue growing and developing as a designer. Interested in companies with mentoring opportunities to create customer-centric products."
98389,"Skills: Figma, Illustrator, Protopie, Photoshop, Low and high fidelity prototypes, Vector illustration, Components, Adaptive design, Logo creation, Landing page design, User interface and user experience improvement.

Experience:
- Redesigned ""Destin Tattoo Company"" website independently. Conducted competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation for tablet and mobile.
- Collaborated in a team to create ""The Lost Pets"" platform for finding/returning animals. Developed flow for users who found animals and created a unique logo for the service.
- Designed ""Suit Store"" mobile app for easy and convenient shopping experience. Created user flow for male persona across different categories. Worked independently on prototyping stage until final completion.

Objective: Seeking a full-time position in a creative and collaborative team to tackle challenging problems and enhance user interfaces. Passionate about creative design tasks and seeking opportunities for growth and development."
98390,"Team Leader in ""BudgetStay project"", ""Tantric massage salon Sensual"" landing page project, and ""FoodieFinder"" mobile application project. Developed mobile app design for FoodieFinder and landing page for Sensual Temple. Led a team of 2 designers in the development of BudgetStay web service interface. Independently worked on concept and redesign for ""India Cafe"" website and Citroen 4 landing page. Seeking a position as a UX/UI designer to work on innovative and modern projects that enhance client services and user experience. Passionate about learning and improving skills in a collaborative team environment."
98391,"Experience:
- 15 years of experience as a computer science teacher at a school, teaching topics on raster and vector graphics, 3D modeling, and programming languages
- Worked on website redesign, adaptive design, and mobile application projects
- Developed moodboards, landing pages, conducted research, described personas, and worked on user flows
- Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, and Canva programs
- Experience in full design cycle for website and mobile application projects

Projects:
- Website redesign for veterinary clinic ""Aibolit"": Analyzed problem, created interface prototype, developed visual style, and created user-friendly design to attract potential customers
- ""Coffee Time"" mobile application: Analyzed problem, created interface prototype, developed visual style, and created mobile application to allow scanning and payment for goods to attract potential customers

Skills:
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPie
- Strong ability to learn and apply new technologies

Objective:
- Seeking a position in a friendly and motivated team where I can contribute my skills and expertise to achieve goals and further develop professionally."
98392,"- Developed the design of a web service for traveling around Ukraine
- 2 own Pet-projects
- Studied UI/UX Design at an online IT school for 8 months
- Worked on landing pages, websites, web services, and individual site elements
- Redesigned the Poltava Dumplings cafe website for a web design course
- Added sections, filled them with necessary information, attached photos, and contacts
- Designed the Visit web service for organizing trips around Ukraine
- Conducted UX research, analyzed competitors, and created convenient functionality."
98393,"• Mobios School (Sep 2021 — Dec 2021)
  UX/UI web-design + mobile design

• CURSOR Education (Feb 2021 — Jul 2021)
  UI/UX Designer 

• Source IT (courses). (Feb 2015 — Apr 2015)
  HTML layout

• H.S. Skovoroda Kharkiv National Pedagogical University
  Faculty of Art and Graphics 
  Ad designer

Over 10 years of experience working as a layout designer in various publishing houses. Responsibilities included developing layouts for books, magazines, and posters, page design, search and processing of vector illustrations, search for bitmap images, compilation of collages, layout of books and magazines, and preparation of products for printing.

Graduated from UI/UX Design courses with a focus on communication, UX research, wireframing, UI design, mobile app design, and web design. Developed a final project including interviews with clients, competitor analysis, SWOT analysis, UX Persona, CJM, information architecture development, wireframes, and design.

Seeking to join a dynamic and collaborative team where I can continue to learn, receive guidance, and contribute my skills and experience."
