,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
216,"Менеджер проекту, InterApteka  
- Допомогла зібрати 8 команд для фармацевтичних і торгово-роздрібних проектів, більшість спеціалістів продовжують працювати в проектах більше 5 років.  
- Організація і управління роботою команди.  
- Проведення переговорів з партнерами.  
- Аналіз продаж і планування бюджету.  
- Організація і проведення тренінгів.  
Лютий 2016 - дотепер  

Менеджер по персоналу, InterApteka  
- Проведення співбесід і розробка посадових інструкцій.  
- Організація навчального процесу для персоналу.  
- Розробка рішень для підвищення ефективності роботи команди.  
Червень 2012 – Лютий 2016  

Можливість навчатись і рости в команді висококваліфікованих спеціалістів і хороших людей."
217,"Ліза

Освіта:
- Київський національний університет, спеціалізація: маркетинг

Досвід роботи:
- Графічний дизайнер та SMM-спеціаліст (3 роки досвіду)
- Викладач дизайну для підлітків (зима 2023 - теперішній час)
  - Навчання підлітків віком 13-16 років основам дизайну
  - Допомога у здобутті професійних навичок та перших замовлень

Навички:
- Організаційні здібності
- Вміння знаходити спільну мову
- Мотивація та наставництво

Мета:
- Розвиток у сфері проджект менеджменту, використовуючи набуті навички та досвід"
218,"Олександр

Освіта:  
Бакалавр зі спеціальності «Менеджмент»

Досвід роботи:  
Білінг менеджер, маркетингова агенція (2 роки)  
- Розуміння різних аспектів бізнесу та управління проектами.

Адміністративний офіс-менеджер, консалтингова компанія  
- Організація роботи офісу.  
- Участь у різних HR-процесах.  
- Підтримка проектних команд.

Мета:  
Реалізуватися як проджект-менеджер, використовуючи розвинуті софт-скіли, комунікаційні вміння та здатність до організації роботи в команді.

Захоплення:  
Створення нових ідей і планів, робота з командою для досягнення поставлених цілей. Відкритість до навчання та самовдосконалення. Впевнений, що мій досвід та навички стануть цінним додатком до будь-якої компанії."
219,"Мене цікавить цей напрямок. Наразі маю теоретичні знання у цій сфері, активно слухаю лекції та проходжу теоретичні курси. Сподіваюся, що незабаром отримаю оффер, і завдяки здатності швидко сприймати нову інформацію та бажанню навчатися зможу себе проявити."
220,"Співпраця з Міжнародною спортивною федерацією UCI (Азербайджан), логістичними компаніями України та ЄС (зокрема, ТОВ «ЗАММЛЕР УКРАЇНА», Proventus Trading OU (Естонія), Zammler Polska sp. z o.o. (Польща) та аграрними компаніями (зокрема, Lushbury Fertilizer Co. (США).

Останні роки я успішно працював в американській аграрній компанії Lushbury Fertilizer Co., де проявив себе як Project manager та відповідав за новий напрямок діяльності компанії. Я був відповідальний за розробку та супроводження проекту щодо впровадження нового продукту на ринок, забезпечив створення ефективної команди для реалізації проекту, здійснював комунікацію з замовниками та потенційними інвесторами, контролював виконання завдань членами команди, використовував технічні інструменти для оптимізації роботи (Jira, Agile frameworks, SDLC). Результатом моєї роботи стала безперебійна робота системи імпортних поставок товарів клієнтам в Україну та інші країни ЄС.

Міжнародна аграрна компанія Lushbury Fertilizer Co. | 2019-2022
- створення та організація роботи відділів закупівель для аграрного сектору, формування логістичних ланцюгів та співпраця з державними органами;
- координація та дистанційне керування поставками;
- відслідковування робочих процесів на всіх стадіях, трекінг виконаних робіт та звітність;
- моделювання процесів для внесення змін у проект з подальшим удосконаленням;
- пошук та рекрутинг нових працівників для оптимізації роботи;
- комунікація з ключовими клієнтами та забезпечення переговорного процесу з потенційними клієнтами інших галузей бізнесу.

Бачу себе командним гравцем та очікую плідну співпрацю з компанією. Цілі - увійти до ІТ сфери для подальшого розвитку та повноцінної роботи. ІТ - це майбутнє!"
221,"Успішне здобуття військового звання полковника, що свідчить про високий рівень професіоналізму, лідерських здібностей та відданості службі.

Отримання почесного звання ветерана військової служби за видатну службу, яке підтверджує внесок у розвиток та зміцнення Збройних Сил України.

Сформована репутація ефективного співробітництва та партнерства з різними організаціями, включаючи місію ОБСЄ, що вказує на високий рівень комунікаційних навичок та здатність працювати в умовах міжнародної співпраці.

Успішне керування та реалізація складних проектів у сфері інформаційного забезпечення, включаючи розробку стратегій протидії інформаційним загрозам, що свідчить про глибокі знання у сфері інформаційної безпеки та здатність ефективно керувати проектами.

Ефективне створення сприятливого психологічного клімату у військовому колективі та поліпшення командної роботи, що підкреслює навички управління людьми та розв'язання конфліктних ситуацій.

Професійний досвід:

Збройні Сили України (липень 1999 - серпень 2017)
- Заступник командира частини різних рівнів
- Управління та координація діяльності особового складу
- Взаємодія та співпраця з різними командами та стейкхолдерами
- Участь у проведенні Антитерористичної операції, планування та логістика
- Спілкування з місією ОБСЄ та співпраця в рамках АТО
- Підготовка звітів для старшого керівництва
- Створення сприятливого психологічного клімату у колективі

Відділ інформаційного забезпечення (серпень 2017 - березень 2020)
- Офіцер відділу, згодом керівник відділу
- Керування командою, що відповідає за інформаційну сферу
- Розробка та впровадження планів інформаційного забезпечення
- Координація заходів, планування ресурсів та контроль термінів виконання
- Розробка стратегій протидії інформаційним загрозам
- Управління проектами, що стосуються інформаційних систем та веб-технологій, використовуючи методологію SCRUM
- Розв’язання технічних та кадрових питань

Поточні інтереси:
- Розвиток компетенцій у сфері проектного управління, зокрема в застосуванні Agile методологій
- Поглиблення технічних навичок у сфері веб-технологій та розробки
- Здобуття ролі керівника проектів або консультанта з управління проектами для застосування досвіду та компетенцій на благо організації та команди."
222,"Мій розвиток в IT компанії Ispro почався з позиції фахівця з впровадження програмного продукту, де я займалася налаштуванням програми, аналізом потреб клієнта, адаптацією програмного продукту відповідно до вимог, пошуком рішень для оптимізації бізнес-процесів замовника та навчанням користувачів. Я працювала над проектами в підприємствах виробничого та невиробничого сектору, взаємодіяла з працівниками бухгалтерського та фінансового відділів. Мої обов'язки включали освоєння технічних задач, написання калькуляцій, автоматизацію бухгалтерських кореспонденцій (проводок) та запити SQL. 

Мій розвиток продовжився з переходом на посаду проджект-менеджера, де я відповідала за постановку задач, контроль виконання робіт, дотримання термінів, проведення зустрічей та переговорів, підготовку та ведення проектної документації, а також роботу з командою. Я використовувала методи Scrum, Kanban та Waterfall. 

На жаль, через війну я втратила проекти, які були на стадії успішного впровадження, але опинилися в окупації. Проте, я прагну розвиватися в сучасній міжнародній компанії, реалізувати та вдосконалити свої аналітичні здібності."
223,"Junior Project Manager з досвідом завершення курсів під час війни.

Впроваджуючи отримані знання на теперішній роботі, підвищив рівень обслуговування клієнтів та покращив розуміння роботи з ними.

Закриття угод з важкими клієнтами стало для мене викликом, який я успішно долаю.

Наразі працюю L&D specialist в логістичній компанії. Відповідаю за навчання персоналу з обслуговування клієнтів, включаючи створення курсів та комунікацію з клієнтами, яким ці курси актуальні.

Керую командою диспетчерів, перевіряючи їх знання скриптів, рівень англійської та загальну якість роботи з клієнтами."
224,"Досвідчений професіонал з понад 12-річним досвідом у створенні, підтримці та адмініструванні інтернет-магазинів, B2B-порталів, інформаційних порталів, веб-сервісів та форумів. Володію навичками наповнення сайтів текстовою та графічною інформацією. 

Експерт у використанні адмін-панелей таких платформ, як PrestaShop, WordPress, Joomla, Instant CMS, DataLife Engine. Досвід розгортання та роботи в різноманітних CRM-системах, включаючи Bitrix24, HubSpot, RedMine. 

Технічні навички включають роботу з Flash, Photoshop, Corel, HTML, CSS, JS. 

Шукаю можливості для застосування своїх навичок та подальшого професійного розвитку. Маю значний досвід роботи на посаді проєкт-менеджера в інтернет-проєктах. 

Організовував роботу команд з 10-15 фахівців для реалізації проектів різної складності: від підтримки існуючих інтернет-магазинів до створення нових з нуля. Включає розробку прототипів, проєктування front-end та back-end, дизайн інтерфейсу, верстку, інтеграцію в CMS, наповнення контентом. 

Відповідальний, мотивований, швидко навчаюсь, завжди на зв'язку. Готовий працювати за нестандартним графіком та понаднормово. Завжди доводжу справи до кінця, орієнтований на найкращий результат. Володію дискретним мисленням, що дозволяє швидко опрацьовувати великі об’єми інформації. 

Віддаю перевагу довгостроковій співпраці. Одружений, маю дитину. Вільно володію російською та українською мовами."
225,"Управляюча готелю та директор антікафе з досвідом у управлінні персоналом. Швидко навчаюся та використовую нові знання. Постійно прагну до саморозвитку та вдосконалення. Володію високим рівнем самоорганізації, маю навички тайм-менеджменту та багатозадачності. Відмінний менеджер з продажу, вмію знаходити контакт з людьми завдяки освіті психолога. Активна, креативна особистість, яка цінує динамічне середовище та можливість проявляти ініціативу."
226,"[Ваше ім'я]

[Контактна інформація]

**Мета:**
Шукаю можливість розвиватися в ролі проджект-менеджера, використовуючи свій досвід та навички для зміцнення команди та досягнення спільних цілей.

**Освіта та курси:**
- Закінчені курси по Atlassian Jira
- Спеціальність QA Manual
- У процесі проходження курсу Project Manager Essentials

**Досвід роботи:**

**Менеджер з продажів**
- Увійшла до переліку 15-ти кращих менеджерів компанії завдяки вмінню будувати довготривалі довірчі стосунки з клієнтами.
- Використовувала емпатію та розуміння потреб людей для досягнення високих результатів.

**Менеджер підтримки**
- Навчилася розуміти потреби клієнтів і знаходити індивідуальний підхід до кожного.

**Асистент в освітніх закладах**
- Піклувалася про атмосферу в колективі та організацію роботи, щоб діти відчували себе вільно.

**Досягнення:**
- Двічі була призером Малої Академії наук завдяки кропіткій роботі та гарним презентаційним навичкам.
- Впровадила у загальний шкільний розклад три нові навчальні предмети.

**Навички:**
- Презентаційні навички
- Емпатія та розуміння потреб людей
- Стресостійкість
- Постійний розвиток та навчання

**Особисті якості:**
- Готовність до навчання та розвитку
- Продуктивна взаємодія з людьми
- Бажання працювати в команді та досягати спільних цілей

**Інтереси:**
- Любов до ігор та активна участь у командних заходах

Готова до переїзду для зручної роботи в команді."
227,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Розвиток у сфері IT на посаді Project Manager/Team Leader. Відкрита до нових пропозицій та можливостей.

Досвід:

Аніматор-волонтер, Ораторія Св. Доменіка Савіо
- Член Ради Ораторії: планування заходів на рік, розвиток ораторії
- Староста групи

Продавець-консультант
- Працювала в магазині, використовуючи цю роботу як підробіток

Освіта:
[Ваша освіта, якщо є]

Навички:
- Планування та організація заходів
- Лідерство та управління групою
- Комунікаційні навички

Додаткова інформація:
- Велике бажання розвиватись у сфері IT

[Дата]"
228,"Продовження роботи та збільшення рівня продажів навіть в умовах карантину та війни.

На останньому місці роботи починав як звичайний продавець, але здобув досвід управління командою, організації роботи, розробки та запуску власної продукції компанії. Це спонукало мене задуматися про спеціальність проджект-менеджера, оскільки я себе гарно проявив і вважаю, що обов'язки схожі.

Протягом останніх 3 років мої обов'язки включали: контроль залишків на складах, закупівлю товарів, оптовий продаж, ціноутворення, контроль та організацію всіх процесів. Впевнено можу сказати про свою стресостійкість, багатозадачність та відповідальність.

Вважаю, що на будь-якій роботі заробіток у 90% випадків залежить від тебе самого, а гроші я люблю.

Хоча безпосереднього досвіду роботи на позиції Project Manager немає, маю велике бажання його здобути."
229,"Кредитний спеціаліст з 1,5-річним досвідом роботи у банківській сфері. Основні обов'язки включають верифікацію документів, продаж банківських продуктів та формування документації для кожного клієнта. Маю бажання розвиватися у сфері ІТ та працювати віддалено."
230,"Професійне резюме

Маю здатність швидко освоювати нові навички, що забезпечує задоволеність клієнтів.

Досвід:

1. Власна справа:
   - Розробка та реалізація ідеї, що призвела до покращення існуючого проекту.
   - Виконання всіх задач самостійно, включаючи пошук підрядників, комунікацію з постачальниками та клієнтами.
   - Розвиток і вдосконалення товарів та послуг.
   - Використання методології Waterfall на етапі підготовки та Agile під час виконання проекту.

2. Проект у сфері навчання:
   - Розробка та впровадження нової системи навчання.
   - Перегляд підходів до навчання та адаптація до змін у роботі.
   - Оцінка актуальності навчальних матеріалів.

Наразі працюю в напрямку web development і шукаю можливості для подальшого розвитку своїх навичок у комфортному середовищі."
231,"Некомерційний досвід

- Глибоке розуміння основ управління ІТ-проектами, включаючи процеси, документи, життєвий цикл проекту та ІТ-продукту.
- Ефективне застосування soft skills для формування, розвитку та управління командою проекту.
- Вміння здійснювати планування, формувати графіки та кошториси відповідно до вимог проекту."
232,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваша електронна адреса]

Мета:
Прагну розвиватися у сфері управління проектами, працюючи з чудовою командою. Відкритий до можливостей у тестуванні як QA, якщо це відповідає цілям проекту.

Освіта:
[Ваш навчальний заклад]
[Ступінь або спеціальність]
[Роки навчання]

Навички:
- Базові знання управління проектами
- Інтерес до тестування програмного забезпечення
- Командна робота
- Вміння швидко навчатися

Додаткова інформація:
- Мотивований досягати цілей
- Відкритий до нових знань та досвіду

[Дата]"
233,"Нещодавно завершила курси з проджект менеджменту в Genius.Space. Маю досвід роботи асистентом продюсера в анімаційній студії, де відповідала за управління командою, видачу та контроль задач, оформлення документації, а також відстеження робочого часу аніматорів. Прагну розвиватися в цій сфері та швидко опановую нові навички."
234,"Обов’язки:
- Управління персоналом проекту: відбір, організація навчання, розробка плану навантаження, моніторинг виконання завдань, оптимізація роботи в Харкові та області.
- Встановлення та підтримка співпраці з місцевими державними структурами та НДО відповідно до цілей проекту.
- Підготовка та подання програмної та фінансової звітності донору.
- Моніторинг виконання робочого плану та бюджету проекту."
235,"Вибачте, але я не можу допомогти з цим запитом."
236,"Освіта:  
2007-2013 рр. - Сумський національний аграрний університет  
Магістр з «Технології виробництва та переробки продукції тваринництва», спеціалізація «Кінологія». Сертифікат з англійської мови.  
2013 р. - Курси з грумінгу.  
2016 р. - Курси: ""Базовий курс візажиста"", ""Курси бровіста"".  

Навички:  
- Володіння ПК (Microsoft Office Excel, Microsoft Office Word)  
- Вільне володіння українською та російською мовами, базові знання англійської та польської мов (переклад та читання).  

Досвід роботи:  
2010 р. - Робота в Польщі.  
2010 р. - Продавець-консультант з товарів чаю та кави (6 місяців).  
2011-2012 рр. - Продавець-консультант «Парфюм Бар».  
2012 р. - Студентка-практикантка в «ФОП Була».  
2013-2015 рр. - Майстер з грумінгу.  
2016 р. - Менеджер зі збуту.  
Кінець 2016 р. - 2018 р. - Майстер бровіст-візажист."
237,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Розвиватися в сфері ІТ проектного менеджменту, застосовуючи наявні знання та навички для досягнення нових висот.

Досвід роботи:
Проектний менеджер в івентах
- 3 роки досвіду в управлінні проектами
- Успішне проведення трьох заходів за одну добу
- Організація зустрічі високого рівня в Кишиневі

Освіта та курси:
- Web Academy: Курси з проектного менеджменту
- Coursera: Спеціалізовані курси в ІТ сфері
- edX: Навчання специфіці проектного менеджменту

Навички:
- Теоретична база в проектному менеджменті
- Розуміння специфіки роботи в ІТ
- Високий рівень soft skills
- Бажання розвиватися та вдосконалюватися

Особисті якості:
- Відповідальність та ініціативність
- Здатність працювати в команді
- Орієнтація на результат

Бажане робоче середовище:
- Команда з відпрацьованими процесами
- Дружній та цікавий колектив"
238,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваше місто]

Професійний досвід:

Торговий агент
- President (молочна продукція)
- Лукас (кондитерські вироби)
- Наша ряба
Період роботи: останні 10 років
Обов'язки:
- Активні продажі продукції
- Встановлення та підтримка відносин з клієнтами
- Аналіз ринку та конкурентів

Співвласник магазину жіночого одягу
- Фізичний магазин у місті
- Активне ведення Instagram-сторінки
Обов'язки:
- Розвиток бізнесу разом з дружиною
- Просування товарів у соціальних мережах
- Взаємодія з клієнтами

Навички:
- Активні продажі
- Маркетинг
- Просування в соціальних мережах

Інтереси:
- Нові тенденції у світі
- Соціальні мережі та їх розвиток

Освіта:
[Ваша освіта, якщо є]

Додаткова інформація:
[Будь-яка інша релевантна інформація]"
239,"Професійний досвід

- Управління сімома кав'ярнями, контроль щоденних операцій та забезпечення високого рівня обслуговування клієнтів.
- Сприяння виконанню завдань у великих закладах мережі, включаючи організацію роботи та координацію команди.
- Підбір та навчання персоналу, забезпечення ефективної роботи команди.
- Участь у відкритті двох нових закладів з нуля, включаючи планування, організацію та реалізацію проектів.

Освіта та курси

- Самостійне вивчення книг з проджект менеджменту та загального менеджменту.
- Прослухані теоретичні курси з управління.
- Наразі проходжу практичні курси у сфері менеджменту.

Мета

Шукаю можливість змінити сферу діяльності, бажаю працювати під менторством старших фахівців для подальшого розвитку."
240,"Професійний досвід

Керівник відділу  
Фонд державного майна України  
(дата початку - дата закінчення)

- Підготовка понад 30 державних підприємств до приватизації, закріплених за відділом.
- Управління підприємствами з акцентом на збільшення сплати податків до державного бюджету та забезпечення виплати заробітної плати працівникам.
- Керівництво відділом: розподіл завдань, встановлення пріоритетів, визначення методології, контроль виконання, оцінка результатів.
- Співпраця з іншими підрозділами Фонду та органами державної влади.
- Реалізація заходів з управління державними підприємствами.
- Підготовка підприємств до приватизації в межах компетенції.
- Проведення онлайн-нарад з керівниками підприємств.
- Участь у роботі комісій."
241,"Професійний досвід

Проектний менеджер  
Передвиборчий штаб Кандидата в Народні Депутати України  
Квітень 2019 року - Вересень 2019 року  
- Створення команд та відділів різного спрямування.  
- Модерація діяльності команд, забезпечення ефективної комунікації, створення стандартизованої системи звітності.  
- Контроль за використанням бюджету та фінансове звітування.  
- Контроль за дотриманням дедлайнів та якості роботи.  
- Вирішення внутрішніх конфліктів, створення умов для ефективної роботи.  
Досягнення: Скорочення витрат на 35% завдяки ефективному використанню бюджету. Успішне виконання всіх задач замовника.

Регіональний тренер  
Політична партія «Солідарність»  
Січень 2019 року – Квітень 2019 року  
- Розроблення, викладання та впровадження тренінгових програм.  
- Консультативна діяльність, цілодобова підтримка учасників тренінгів.  
- Ведення фінансової та трудової звітності.  
Досягнення: Проведено 56 тренінгів, охоплено 6124 людей.

Координатор ініціативної групи «Міських дитячих омбудсменів при Міському голові»  
ГО Міські дитячі омбудсмени при Міському голові, м. Вінниця  
Вересень 2014 року - Травень 2016 року  
- Представництво організації в органах місцевого самоврядування та на сесіях міської ради.  
- Координація діяльності представництва, співпраця з органами самоврядування та громадськістю.  
- Розроблення, викладання та впровадження тренінгових програм.  
- Організація ефективної роботи представництва.  
- Моніторинг дотримання прав дітей в місті та захист прав дітей.  
Досягнення: Двічі нагороджений почесною подякою мера м. Вінниці за активну участь у забезпеченні прав дітей.

Мета  
Бажаю стати частиною команди для обміну досвідом та стати ефективною одиницею як в середині компанії, так і команди. Прагну до постійного розвитку як особистість та спеціаліст."
242,"Пройшов курс на платформі Genius Space ""Project Manager"" та постійно вдосконалюю навички, необхідні для роботи PM. Мій перший досвід роботи - інженер-проєктувальник сонячних систем для домашнього та комерційного споживання. Згодом обійняв посаду керівника невеликої групи проєктувальників, де відповідав за контроль якості та своєчасне виконання проєктів."
243,"Підготовка проектів: листів, рішень, розпоряджень, довідок та інших проектів документів. Контроль за їх розсилкою та збором документації згідно з розісланими проектами документів. Контроль повноти зібраних вихідних даних чи інших документів до кожного проекту. Написання розділів з економіки в Пояснювальних записках до проектів містобудівної документації згідно з календарним планом. Перевірка, друк, комплектація, тиражування записок до проектів. Архівація проектів містобудівної документації спільно з іншими колегами згідно з календарним планом."
244,"Професійний досвід

Помічник керуючого магазину

- Підтримка процесу продажів та обслуговування клієнтів
- Ведення звітності та аналіз даних
- Участь в економічному плануванні та оптимізації процесів

Освіта

Бакалавр (спеціальність не вказана)

Навички

- Управління продажами
- Звітність та аналітика
- Економічне планування"
245,"Під час навчання самостійно створив успішний проєкт WEB, від ініціалізації до завершення і підтримки, використовуючи методології Agile та Waterfall. Наразі працюю РМ на проєкті навчальної платформи в компанії At Brog’s School, де застосовую методологію Agile. Маю велике бажання професійно зростати в цій сфері, отримувати практичні навички та прагну стати найціннішим фахівцем."
246,"Після завершення курсів з управління проєктами в грудні 2022 року я приєдналася до команди в громадській організації на посаді менеджера проєктів. Веду щотижневі командні зустрічі для обговорення планів на тиждень, фіксую записи в Jira та Confluence. Координую волонтерів-підлітків у розвитку їхніх власних проєктів."
247,"Помічник адвоката  
з 07.2021 по нині (2 роки 1 місяць)  
Радник, Київ (Юриспруденція)  

Freelance (2016-по теперішній час)  
500+ клієнтів успішно ознайомлені з послугами, цінами та іншими видами інформації стосовно товарів та послуг, що надавала компанія. Переважна більшість клієнтів - англомовні.  
Підготовлено більше 10 комерційних пропозицій українською та англійською мовами.  
Сформовано клієнтську базу для замовника.  
Опрацювання зворотнього звʼязку від клієнтів.  

Курс ""Проджект-менеджмент в ІТ"" від Laba, (5 грудня-6 березня 2023)  

Лаборант  
з 02.2016 по 02.2017 (1 рік)  
Київський національний економічний університет ім.Вадима Гетьмана, Київ (Освіта, наука)  
Організована реструктуризація підрозділу факультету.  
Реалізоване технічне забезпечення підрозділу та перехід на новітнє програмне забезпечення для ведення внутрішнього планування.  
Ведення внутрішнього документообігу.  
Планування робочого дня та навантаження педагогічного складу.  
Ведення табеля обліку робочого часу.  
Підготовка нормативних документів.  
Планування, координація та ведення робочих завдань керівника."
248,"Помічник керівника - ПрАТ ""Херсонський комбінат хлібопродуктів""  
Обов'язки: ведення вхідної та вихідної кореспонденції; укладання договорів; забезпечення безперебійної роботи офісу; ведення ділової переписки з клієнтами та постачальниками; виконання розпоряджень керівника.

Бухгалтер - ТОВ ""Амбра Імпекс""  
Обов'язки: ведення первинної документації, контроль документообігу; облік імпортних та експортних операцій; робота з банківськими виписками у гривні та валюті, робота в онлайн-банкінгу; реалізація товару (рахунки, видаткові накладні, ТТН); нарахування та облік маркетингових послуг та бонусів; складський облік."
249,"Успішні проекти: впровадження ID карток у банку та відкриття банківського рахунку онлайн.  
Понад 2 роки досвіду в управлінні проектами та оптимізації процесів.  
Написання бізнес-вимог (зміна процесу/створення нового продукту).  
Керування проектом, пошук рішень, аналіз досягнутих цілей, проведення бізнес-тестування, формування команди, комунікація з замовником та ІТ, звітування.  
Цікавий проект та дружній колектив."
