,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini_Modelopenai/gpt-4o
192,"**New Tribe Agency**  
Працювала в команді дизайнерів над різноманітними проектами. Основні обов'язки включали редагування зображень у Photoshop та розробку користувацьких інтерфейсів для веб-сайтів і мобільних додатків. Також брала участь у створенні CRM системи для менеджерів.

**Freelance**  
Розробляла крос-платформний мобільний додаток для пошуку роботи, читання новин на конкретну тему та отримання інших послуг у співпраці з іншим дизайнером. Працювала над вебсайтом для ринку продуктів краси, створюючи десктопну, планшетну та мобільні адаптації самостійно.

**Projector**  
Під час навчання реалізувала два проекти: лендінг для компанії, що організовує авторські подорожі, та вебсайт для українського бренду сумок і гаманців."
193,"Nikos-LTV

**Курси WEB Дизайну (UI/UX)**  
- Ознайомлення із основними поняттями UX, UI, Product design, Web-design  
- Інструменти: Figma, Photoshop, Adobe XD, Illustrator  
- Етапи UX досліджень: User Research, Persona, Journey Map, Empathy Map, Information Architecture  
- Візуалізація прототипів: Створення клікабельного прототипу, Sketching, Prototyping, Wireframe, UX Testing  
- Програми: Adobe Illustrator, Adobe Photoshop, Figma  
- Дизайн концепт: Композиція, ритм, акценти, зв’язки, контраст, принципи управління сприйняттям, правило «Зовнішнє-внутрішнє», негативний простір, шрифти, основи кольорознавства, відступи  
- Форми в дизайні: Іконки, кнопки, форми реєстрації, навігація  
- Дизайн-система: Створення, розбір автослоїв, схема компоновки файлів  
- Дизайн мобільних додатків  
- CRM система, робота із системами  
- Landing page - маркетингові сайти  
- Material design  
- Методики керування проектами  
- Комунікація з командою, програмістами та менеджерами  
- Портфоліо: Резюме, Behance, Dribble  
- Ресурси для пошуку клієнтів та компаній  
- Комунікація: Спілкування з замовником, мінімізація правок  
- Помилки в маркетингу  

**CASES.Media Creative platform**  
- Робота з Photoshop: Інтерфейс, верстка тексту, робота з кольором, засоби малювання, шари, векторні форми, фільтри та ефекти, робота зі світлинами, ретуш, колажування, засоби пришвидшення роботи  

**Мета**  
В активному пошуку першої роботи в сфері UI/UX дизайну. Основна мета - набратись комерційного досвіду на реальних проектах і розвиватись в даному напрямку."
194,"OO Dental  
- Збільшення на 30% записів  

Bizzy  
- Отримання 3 офферів до офіційного релізу сервісу від будівельних компаній з урізаним функціоналом  

Oblivion  
- Провели 5 івентів протягом 3 сезонів  
- Залучили 800+ відвідувачів  
- Зібрали додатково 2к$ для потреб військових  

OO Dental (Стоматологія)  
Illustrator  
- Розробка дизайну візитівок  
- Підготовка до друку  

Christina cosmetics (Онлайн магазин косметики)  
Figma  
- Створення макету майбутнього сайту  
- Створення UI відповідно до брендбуку компанії  
- Адаптація для різних web розширень екранів  

Eco Time (Онлайн продаж квитків)  
Figma, Illustrator  
- Лого проєкту  
- Аналіз конкурентів  
- Створення макету майбутнього сайту  
- Створення UX карти для макету  
- UI desktop/mobile версій сайту  
- Адаптація відповідно до актуальних розширень екранів  
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки  

Digiway media  
- Створення презентацій для продажу послуг студії  

Coinswap.io (Онлайн крипто обмінник)  
Figma, Illustrator  
- Векторизація ескізу лого  
- Побудова UX сайту  
- Створення UI сайту проєкту  
- Створення 3D моделей елементів сайту  
- Дизайн та верстка презентації проєкту  
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки  

Bizzy (Saas)  
Figma, Illustrator  
- Аналіз ринку  
- Спільна розробка майндмапи для деталізації розуміння потреб користувачів  
- Спільна розробка web/mobile прототипу з ідеологом проєкту  
- Розробка та створення лого/айдентики проєкту  
- Створення UI web/mobile версії проєкту  
- Використання гайдлайнів iOS для UI mobile app  
- Створення клікабельних та анімованих прототипів web/mobile app  
- Створення презентації проєкту для партнерів  

Oblivion (EBM/Disco івенти)  
Figma, Illustrator, Photoshop  
- Розробка лого та айдентики проєкту  
- Створення структури та графічних матеріалів для маркетингу (афіші, пости інстаграм)  
- Створення дизайну друкованої продукції (постери, стікери)  
- Підготовка до друку графічних матеріалів  

Foodistic (Мобільний додаток)  
Figma, Illustrator  
- Редизайн наявного додатку проєкту  
- Покращення UX додатку  
- Інтеграція та спрощення функцій додатку  "
195,"Роман Полищук

Досвід роботи:
- 12 років у сфері створення вебсайтів, з яких останні 7 років паралельно в UI/UX дизайні.
- Розробка сотень лендінгів, вебсайтів, прототипів мобільних додатків і веб-інтерфейсів.
- Створення тисяч рекламних банерів для соціальної та таргетованої реклами.
- Отримання сотень позитивних відгуків на фріланс біржах.

Портфоліо: www.polishchuk.me

Про себе:
Я, Роман, працюю в UI/UX дизайні понад 7 років. Моя спеціалізація включає створення макетів для різних інтерфейсів, таких як CRM системи, мобільні додатки, веб-додатки та вебсайти. Також займаюся графічним дизайном, включаючи створення логотипів, рекламних банерів, презентацій та постів для соціальних мереж.

Додатково займаюся кодуванням та розробкою вебсайтів понад 12 років. Постійно розвиваюся в різних сферах ІТ та вивчаю нові технологічні стеки, проте дизайн залишається моїм основним фокусом.

Основні навички та технології:
UI/UX Дизайн та Графічний Дизайн:
- Figma, Photoshop, Illustrator, Axure, Sketch, Final Cut Pro
- Grids, Icons, Wireframes & Prototyping
- Дизайн мобільних додатків та веб-додатків

Додаткові навички:
Front-end / Back-end:
- HTML5, CSS, Bootstrap (високий рівень)
- jQuery, PHP, MySQL (середній рівень)
- JS, React.js, Next.js (базовий рівень)

Операційні системи:
- Mac OS, Linux (Debian, Ubuntu, Cent OS), Microsoft Windows

Інструменти:
- Jira, Trello, GIT/GitLab/GitHub, CLI"
196,"Проведення курсів UX/UI. Досвід створення і розвитку медіа від 10 підписників до 400 000. Організація і проведення Behance Portfolio Review.

Обов'язки: UX/UI Design

Програмне забезпечення: Sketch, Proto.io, MockingBot, Principle, Invision

Навички: Mobile Design, UI/UX, Prototyping, Web Design, Responsive Design, Apple HIG, Material Design

Курси: Netology - UX Design, Strategy And Prototyping

Досвід в адекватному менеджменті."
197,"Я шукаю можливість, яка дозволить мені розвиватися та покращувати свої навички в UI/UX та Web-дизайні. Маю досвід реалізації як індивідуальних, так і командних проєктів. Розгляну всі пропозиції роботи, в тому числі волонтерські.

**Restoplace**  
Дизайн мобільного додатку для IOS, повний цикл  
Restoplace — це мобільний додаток, що поєднує зручний пошук ресторанів, можливість швидкого резервування столиків та попереднього замовлення страв, які можна оплатити безпосередньо в додатку.

**MedOnline**  
Дизайн веб-додатку, повний цикл  
MedOnline — це веб-додаток для проведення онлайн-дзвінків між лікарем та пацієнтом, що дозволяє не лише проводити онлайн-консультації, але й автоматично документувати результати зустрічі. Також створено адаптивні версії для планшетів та мобільних пристроїв."
198,"Senior UX/UI Designer  
з 04.2022 по теп. час  
Grivallure, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Дизайн інтерфейсів та логотипів  
- Наставництво молодших дизайнерів, участь у критиці дизайну  
- Внесок у стратегію дизайну та бачення організації  

UX/UI Designer  
з 10.2021 по 04.2022  
Betasprint, Київ  
- Розробка дизайну для цифрових продуктів: веб-сайти, мобільні та веб-додатки  
- Проведення досліджень користувачів та юзабіліті-тестування  
- Дизайн інтерфейсів та логотипів  

UX/UI, Graphic Designer  
з 02.2020 по 10.2021  
Brain Tank, Київ  
- Дизайн інтерфейсів та розробка веб-сайтів  
- Розробка мобільних додатків  
- Створення візуальних концепцій рекламних матеріалів  
- Створення логотипів, фірмового стилю  
- Додрукарська підготовка матеріалів  

Досвід роботи з клієнтами: Pepsi Lays, Київстар, Агуша, Ocean Plaza, Чудо, Greenville  
Робота з клієнтами в регіонах: США, Близький Схід, Європа"
199,"З 2020 — дизайнер Дії.  
З 2023 — лектор в Skvot.  

Швидко створюю високоякісні презентації та сайти. Гарантую стиль та швидкість. Можу навчити, як це робити."
200,"Skill-set  
— Build and Research  
— Logo and Identity  
— UX Sitemap and Wireframing  
— Moodboard  
— UI Design and UI Kit  
— Full Adaptives (Tablet: 1000px, 768px; Mobile: 480px, 360px; or other)  
— Animation  
— Knowledge of HTML5/CSS3  

Software Proficiency:  
— Figma (Вільно, використовую в даний час)  
— Adobe Photoshop (Просунутий, використовую в даний час)  
— Adobe Illustrator (Просунутий, використовую в даний час)  
— Adobe InDesign (Просунутий, використовую в даний час)  
— Adobe After Effects (Середній, використовую в даний час)"
201,"Маю портфоліо, працювала на проектах.

**Startup**  
жовтень 2021 - січень 2022  
Розробка Landing pages та редагування дизайну мобільного додатку для E-commerce.

**Стажування в Softengi**  
липень 2022 - січень 2023  
Створення дизайнів для функціональностей згідно з проектними вимогами.

**PGM**  
лютий - квітень 2023  
Розробка Landing pages, частково для e-commerce. Рекламна підтримка сервісу.

Маю надії на отримання корпоративного досвіду для подальшої роботи. Відкрита до можливостей стажування."
202,"Досвідчений у сфері IT з 4-річним навчанням на спеціальності ""Комп'ютерні науки"". Маю добру надивленість для початківця. Створюю естетичний та зручний UI, розробляю та використовую UI-кіти. Пройшов міні-курси від WayUp і GoIT, а також курс від Hillel IT School. Працюю над створенням портфоліо. Планую розпочати кар'єру в компанії на позиції Trainee/Junior."
203,"Trainee UI/UX Designer з 04.2022 по нині

- Дизайн веб-сайтів, додатків, ігор (створення нових та робота з вже існуючими проєктами)
- Створення email-банерів для рекламних розсилок
- Робота у Figma (з компонентами, стилями, варіантами тощо)
- Прототипування
- Адаптивний дизайн
- Робота з растровою та векторною графікою"
204,"Я - UI/UX дизайнер з Києва, Україна. Займаюсь дослідженням, розробкою, створенням та підтримкою дизайн проєктів для різних галузей, а також створенням маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

Досвід роботи:

UI/UX Designer, ""UAZMI""
- Провела аналіз конкурентів та ЦА
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book

UI/UX Designer, ""Barbaricum""
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book

UI/UX Designer, Freelancer
- Розробляю дизайн логотипів, посадових сторінок, сайтів, брендбуки, логобуки, дизайн для соцмереж, рекламну продукцію, друковану продукцію та інше
- Проводжу аналіз конкурентів та ЦА
- Створюю концеп-дизайн та розробляю прототип
- Розробляю адаптивний дизайн
- Співпрацюю із розробниками"
205,"UI/UX Designer, Web Designer  
Arifmetica, Marketing agency  
Aug 2017 - Jan 2022 - 5 years, Ukraine  
- Проводила маркетингові дослідження та порівняння конкурентів клієнта на базі зібраних даних.  
- Аналізувала вхідні дані від клієнта.  
- Проводила інтерв'ю з клієнтами для розуміння користувача та його цілей.  
- Аналізувала юзера, створювала User flow.  
- Працювала з Google Analytics та мапою дотику юзера.  
- Проектувала дизайн на основі зібраних даних та функціоналу.  
- Створювала мудборд.  
- Проводила аудит продуктів та оптимізувала існуючі інтерфейси.  
- Проводила інтерв'ю з юзерами для оцінки продукту та вдосконалення.  
- Оптимізувала сайт, підвищила конверсію та час перебування юзерів на сайті.  
- Співпрацювала із замовником, захист проектів та презентація.  
- Співпрацювала з розробниками, тестувала готовий продукт.  
- Створювала технічну документацію.  
- Працювала в команді дизайнерів, мала досвід в постанові завдань для команди.  
- Співпрацювала з розробниками та SEO-фахівцями.  
- Розробляла концепти для майбутніх проектів та підбирала референси.  
- Виявляла «проблемного простору» для покращення завдань чи процесів.  
- Збір вимог, розробка альтернатив, прототипування та оцінка.  
- Розробка брендбуку.  
- Створювала айдентику та веб-банера.  
- Розробка пакування для продукту.  
- Робота з SMM відділом, створення концепцій дизайну.  

Digital Marketing  
GAF, Київ (Телекомунікації)  
08.2015 - 08.2017 (2 роки)  
- Аналітика даних компанії.  
- Аналітика маркетингових компаній та комунікацій.  
- Аналітика конкурентів та їх представлення в інтернет-просторі.  
- Створення звіту та плану по покращенню лідів.  
- Створення відділу першої лінії продажу.  
- Написання скриптів для відділу продажу.  
- Розробка стратегії просування у соціальних мережах, форумах.  
- Розробка, тестування рекламної стратегії.  
- Підготовка матеріалів для реклами.  
- Звіти про продаж, планування.  
- Робота з відділом дизайну.  
- Робота над апдейтом сайту, збір даних про поведінку користувачів.  
- Розробка візуальної концепції для соціальних мереж.  

Web designer, Freelance  
08.2015 - 08.2017 (2 роки)  
- Створювала дизайн для веб-сайтів, адаптуючи під потреби клієнтів.  
- Розробляла макети та прототипи сайтів.  
- Співпрацювала з клієнтами для уточнення вимог.  
- Використовувала сучасні інструменти для дизайну та верстки.  
- Проводила тестування та оптимізацію сайтів для покращення юзабіліті."
206,"**Mobios School** - жовт 2021 - бер 2021  
UI/UX Design & Mob  

**IT Labs** - вер 2020 - лист 2020  
Web Design  

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання  

**UI/UX Designer** - серп 2021 - по теперішній час  
**Мережа Ланет**  
Обов’язки:  
- UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

**Freelancer** - січ 2021 - серп 2021  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

**UI/UX Дизайнер (Проектна робота)** - трав 2021 - лип 2021  
**Aventus Group**  
Робота над новим проектом в сфері онлайн кредитування  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, створення прототипу  
- UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайну фізичної карти  

**UI/UX Дизайнер** - квіт 2015 - квіт 2016  
**Qwert-Media**  
Обов’язки:  
- UX: аналіз конкурентів, створення wireframe, часткове проектування вже існуючих сайтів  
- UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів  
- Аналіз та проектування, створення сучасного дизайну як для Web, так і для мобільних додатків, підтримка вже існуючих проектів.  
- Співпраця із командою як дизайнерів, так і розробників.  
- Підготовка макету до верстки."
207,"UI/UX Designer

- Розробка творчих ідей, концепцій та задумів для веб-сайтів, лендінгів, мобільних додатків.
- Створення веб-сайтів на платформі Tilda.
- Побудова інформаційної архітектури, user flows, wireframes, CJM.
- Проектування екранів інтерфейсу та прототипів.

Графічний дизайнер (freelance)

- Створення логотипів, банерів, ілюстрацій для різних компаній та студій.

Інструменти

- Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Miro, InVision.

Мета

- Прагну приєднатися до професійної команди для застосування своїх навичок та подальшого розвитку."
208,"UI/UX Designer

Досвід роботи:

Фрілансові проекти:
- Дизайн лендінгів, інтернет-магазинів
- Редизайн, адаптивний дизайн
- Кастомні сторінки, екрани та графічні елементи

ITSC.CO:
- Аналіз поведінки користувачів і товару клієнта
- Створення макетів і прототипів
- Розробка сайтів, графічних елементів, стилів
- Робота зі шрифтами, кольорами та розмірами"
209,"- Прагну професійного розвитку: важливо виконувати цікаві завдання у компанії з людьми, які поділяють мої цінності.
- Спеціалізуюсь на UI/UX дизайні, веб-дизайні, адаптивному дизайні.
- Досвід співпраці з міжнародними компаніями.
- Маю досвід у різних напрямках, не обмежуючись лише дизайном."
210,"- Розробка інтерфейсу каси самообслуговування
- Створення системи сервісу для найму приватних тренерів на дому в Америці
- Розробка вебсайтів та айдентики
- Дизайн користувацького інтерфейсу (UI)
- Досвід користувача (UX)
- Інформаційна архітектура (IA)
- Вебдизайн"
211,"Участь у розробці ecommerce сервісу для Близького Сходу в Дубаї, ОАЕ. Досвід управління командою дизайнерів як засновник регіональної дизайн-студії. Співпраця з замовниками з Швеції, Англії, Швейцарії, Дубаї, Франції. Спеціалізація в UI, UX, mobile design для Android та iOS додатків. Навички в графічному, моушн-дизайні, ілюстрації, фотографії. Шукаю можливості для професійного зростання, цікаві проекти, комфортні умови."
212,"Курси:

- Курси англійської мови Green Forest (1.5 роки)
- Марафон по UX/UI дизайну від GoIT (1 тиждень)
- Курс UI/UX Design (by Taras Shypka) (6 місяців)
- Курс ""Веб-дизайнер: взрывной старт"" по UI/UX дизайну від WayUP (1 тиждень)
- Демокурс по UX/UI дизайну від GoIT (1 тиждень)

Досвід роботи:

UI/UX-дизайнер
09.2020 - 12.2022 (2 роки 3 місяці)
Fiverr, Дистанційно (Дизайн)

Обов'язки:
- Розробка користувацьких інтерфейсів, макетів веб-сайтів та додатків для телефонів
- Створення прев'ю відео для YouTube, логотипів, лендінгів
- Проектування внутрішніх документів (форми, презентації)
- Розробка матеріалів для розміщення в Інтернеті (банери, креативи в соціальних мережах, відеоінфографіка, email-розсилки)

Навички:

- UI/UX дизайн
- Веб-дизайн
- Дослідження та збір даних
- Типографіка
- Розуміння принципів дизайну
- Робота над кількома проектами одночасно
- Базове розуміння HTML та фреймворків

Особисті якості:

- Увага до деталей
- Відповідальність
- Уважність
- Стресостійкість та вміння правильно сприймати критику
- Пунктуальність
- Сумлінність
- Готовність до навчання та самовдосконалення
- Комунікабельність та вміння працювати в команді
- Прагнення до досконалості в роботі
- Розвинена уява та просторове мислення
- Почуття смаку та креативність

Хобі та інтереси:

- Рок-музика
- Волейбол
- Настільний теніс
- Відпочинок"
213,"UI/UX дизайнер

Досвід роботи
• Переробка дизайну мобільного додатку
• Приріст користувачів на Українському ринку
• Проектування та розробка мобільних інтерфейсів
• Проектування та розробка Web інтерфейсів
• Дослідження та інтерв’ю на внутрішніх проектах
• Робота в продуктовій команді

Навички
• Управління продуктовою командою з розробки мобільного додатку (PO)
• People management
• Робота по Scrum
• Збір вимог до задач, дослідження аналізу ринку
• Розробка web-інтерфейсів (інтернет-магазини, корпоративні сайти)
• Створення та розробка POS-матеріалів

Інструменти
• Figma
• Adobe Photoshop
• Illustrator
• CorelDRAW"
214,"UI дизайнер  
Листопад 2018 – Лютий 2022 (3 роки 2 місяці)  
Група компаній ""РемонтЕкспресс"", дистанційно  
- Розробка адаптивних макетів веб-сторінок відповідно до існуючої дизайн-системи  
- Підтримка існуючих сторінок компанії  
- Створення банерів  
- Оформлення Instagram  
- Розробка логотипу та бренд-буку компанії, каталогів продукції, фірмової документації, буклетів  

UI дизайнер  
Вересень 2015 – Листопад 2018 (3 роки 2 місяці)  
ФОП ""Скай"", дистанційно (салони краси, аптеки)  
- Створення сторінок для салону краси, гриль-бару, бюро нерухомості та ін.  
- Розробка міні-порталу Prokurs (про актуальні курси валюти, вартість палива, форум)  
- Розробка з нуля веб-додатку для салонів краси ""SalonProf""  

Помічник веб-дизайнера  
Квітень 2015 – Вересень 2015 (5 місяців)  
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)  
- Дистанційна робота над створенням внутрішніх сторінок сайту на основі домашньої сторінки  

Дизайнер  
Листопад 2006 – Листопад 2011 (5 років)  
Aries (поліграфія)  
- Успішна робота в типографії протягом 5 років  
- Розробка макетів різної складності (від візиток до каталогів) та їх подальша підготовка до друку  

Вища освіта, спеціалізація ""Графічний дизайн"""
215,"Unilime (з січня 2023)  
Веб-дизайнер, UI/UX дизайнер, бренд-дизайнер

POZITIFF (жовтень 2019 – січень 2022)  
Графічний дизайнер, веб-дизайнер  
- Оформлення рекламних матеріалів  
- Створення графіки для сайтів  
- Розробка концепцій візуальної айдентики  
- Створення ілюстрацій

IDEST agency (квітень 2019 – жовтень 2019)  
Графічний дизайнер  
- Розробка концепцій візуальної айдентики  
- Оформлення соцмереж  
- Робота з поліграфією  
- Створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019)  
Графічний дизайнер  
- Розробка дизайну шпалер  
- Верстка каталогів  
- Створення рекламних матеріалів  
- Проведення курсу ""Основи Photoshop"" для менеджерів  
- Створення методичного посібника для оптимізації роботи у графічних редакторах"
216,"Досвід роботи:

- Розробка освітнього додатку для школярів ""Нова Школа"".
- Створення власного онлайн журналу Cultural Magazine.
- Успішне управління проектами з розробки сайтів, схваленими роботодавцями.

Професійні навички:

- UX/UI Design
- Web/Mobile Design
- Створення сайтів під ключ на конструкторах Tilda та Wordpress
- SEO-спеціаліст: Google Search Console, Adwords, Analytics, Serpstat
- Створення, розгрупування та кластеризація семантичного ядра
- Закупівля посилань на релевантних сайтах

Інструменти:

- Adobe Photoshop
- Adobe Illustrator
- Adobe Premier
- Figma
- Word/Pages/Documents
- Excel

Додаткова інформація:

- Великий досвід роботи з конструкторами Wordpress та Tilda.
- Творча особистість, захоплення дизайном сайтів та мобільних додатків."
217,"Пройшла «бойове хрещення» пікселем та коментарями від кота директора під час виконання держзамовлення (візуалізація з метою пояснення ковідних обмежень та креативи для популяризації Громадського бюджету в Києві)

UX/UI дизайнер в Selzy (Unisender.UA) by Ecomz  
(з 27.09.2021 по теперiшнiй час)

• Розробка дизайну та архiтектури нових сторiнок сайту  
• Редизайн iснуючих сторiнок та доповнення їх новими блоками  
• Дизайн промо-сторінок, що вирішують маркетинговi задачi, на Tilda

Викладач курсу Web & UI/UX дизайн в Prog.kiev.ua  
(31.05.2021 по теперiшнiй час)

• Пiдготовка навчального матерiалу в рамках програми курсу та проведення онлайн/офлайн лекцiй для студентiв  
• Проведення практичних занять з роботи у програмах Figma, Sketch, Photoshop, Illustrator  
• Менторська допомога студентам у виконаннi домашнiх завдань протягом двох мiсяцiв курсу

Фахiвець з дизайну відділу промоцiї та iнформування в КП «Центр публiчної комунiкації та iнформацiї» (Державний сектор)  
(2019 — 2021)

• Розробка дизайну для друкованої продукцiї (банери, брошури, флаєри) та пiдготовка макетiв для друку  
• Створення iнфографiк для публiкацiй на офiцiйних сторiнках у соцмережах  
• Пiдготовка презентацiй, вiдповiдно до рекомендацiй брендбуку  
• Редагування звiтiв вiдповiдно до основних принципiв сучасної типогафiки

Iнтерн-дизайнер в OneDome (IT)  
(2019 — 2020)

• Дизайн iконок, банерiв  
• Проведення UX дослiджень (аналiз конкурентiв, створення персон, CJM, User Flow)  
• Пiдготовка макетiв для брендованої продукцiї  
• Ребрендiнг сайту та додаткiв компанiї

UI/UX Designer (Фріланс)  
(2018 — 2022)

• Створення дизайнiв сайтiв та їхнiх адаптивних версiй, вiдповiдно до результатiв проведених дослiджень (створення портрету користувача, аналiз конкурентiв та iн.)  
• Редизайн сайтiв, з урахуванням вже iснуючого брендового стилю та покращення user-experience  
• Розробка айдентики для нових бiзнесiв (логотипи, фiрмовий стиль)  
• Створення сайтiв за допомогою Tilda"
218,"Ux/Ui дизайнер з 2-річним досвідом. Досвід співпраці з розробниками, продуктовими менеджерами та тестувальниками. Аналіз даних для покращення користувацького досвіду. Створення інтерфейсів для мобільних додатків та веб-сайтів з урахуванням користувацьких потреб."
219,"**[Ваше ім'я]**

**Контактна інформація**  
[Телефон] | [Електронна пошта] | [LinkedIn профіль]

---

**Професійний досвід**

**Web Designer**  
iPromo

- Проектування веб- і мобільних інтерфейсів
- Проведення UX-досліджень та побудова User Flow
- Створення wireframes та прототипів
- Розробка банерів, розсилок та презентацій
- Створення сайтів (landing page) на платформі Tilda
- Розробка рекламних оголошень для Facebook та Instagram
- Створення айдентики та фірмового стилю

---

**Навички**

- Інструменти: Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure
- Основи HTML, CSS

---

**Освіта**

[Назва навчального закладу]  
[Ступінь/Кваліфікація]  
[Роки навчання]

---

**Додаткова інформація**

- [Будь-яка інша релевантна інформація, наприклад, сертифікати або курси]"
220,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Прагну розвиватися у сфері веб-дизайну та UX Design, зокрема у створенні мобільних застосунків, використовуючи набуті знання та навички.

Освіта:
- Учасниця проєкту IT Generation, де вивчала веб-дизайн та вдосконалювала свої навички.

Досвід роботи:
- Розробка сайту для фотографки: Проєкт майже завершено, знаходиться на етапі тестування та покращення.
- Створення CRM-системи: Участь у проєкті для Case Study, що дало змогу отримати цінний досвід у розробці CRM-систем.
- Редизайн сайту для СТО: Наразі на етапі досліджень.

Навички:
- Веб-дизайн
- UX Design (вивчаю на платформі Coursera)
- Розробка та тестування веб-сайтів
- Дослідження та аналіз для редизайну

Додаткова інформація:
- Активно вдосконалюю свої знання у сфері UX Design на платформі Coursera.
- Відкрита до нових можливостей, зокрема у сфері мобільних застосунків."
221,"Адміністратор онлайн занять - IMT-Academy (2017-2020)  
- Адміністрування онлайн занять  
- Підтримка онлайн та офлайн студентів  
- Створення відео контенту для внутрішньої системи академії (LMS)  

Motion designer - Фріланс (2020-2023)  
- Анімування елементів інтерфейсу сайтів та мобільних додатків  
- Створення відеоматеріалів для рекламних кампаній контекстної реклами та таргетованої реклами в соціальних мережах  
- Створення відеоматеріалів для офлайн реклами  

UI/UX designer - Фріланс (2022-2023)  
- Аналіз цільової аудиторії та ніші, дослідження референсів  
- Розробка портретів користувачів, сценаріїв використання і логіки роботи проектів  
- Розробка прототипів дизайну сайтів  
- Розробка UI дизайнів сайтів  
- Проведення UX аудиту та оптимізація існуючих інтерфейсів  
- Розробка UX дизайнів сайтів  
- Розробка адаптивних дизайнів для мобільних пристроїв  
- Співпраця та комунікація з замовниками, front-end розробниками та SEO спеціалістами  
- Створення іконок, ілюстрацій, логотипів, банерів та інших графічних елементів  

Додатково:  
- Створення 3D моделей елементів дизайну сайту та високополігональних моделей  "
