,Modified_gpt-5.2_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelgpt-5.2
12450,"# Professional Summary

Analyst with 7+ years of progressive experience supporting enterprise technology initiatives across CRM, ERP, HR core systems, recruitment process automation, and core banking system integrations. Experienced in implementation consulting, business analysis, stakeholder engagement, and project management across full project lifecycles with a focus on on-time delivery.

# Core Competencies

- Implementation Consulting  
- Business Analysis  
- Project Management  
- Full Project Lifecycle Management  
- Stakeholder Engagement & Negotiation  
- Time Management  
- CRM & ERP Systems  
- HR Core Systems Implementation  
- Recruitment Process Automation  
- Core Banking System Integration  

# Professional Experience

**IT Industry Professional**  
*7+ Years of Experience*

- Led implementations of CRM, ERP, and HR core systems from conception through deployment  
- Managed business analysis activities for complex enterprise technology initiatives  
- Directed project management activities to support on-time delivery across full project lifecycles  
- Conducted stakeholder negotiations across organizational levels  
- Automated recruitment processes to enhance operational efficiency  
- Integrated core banking systems to support business objectives  
- Applied time management practices to balance multiple concurrent initiatives"
12451,"BUSINESS ANALYST / PROJECT MANAGER | 12/2021 – Present  
ASSOCIATE BUSINESS ANALYST / PROJECT MANAGER | 06/2021 – 12/2021  

PROFESSIONAL EXPERIENCE  
Business Analyst / Project Manager | 12/2021 – Present  
Associate Business Analyst / Project Manager | 06/2021 – 12/2021  
- Managed projects including migration initiatives, application upgrades, and disaster recovery testing across all project phases  
- Developed project plans at both high-level and detailed levels  
- Tracked task performance and monitored project deliverables  
- Facilitated communication with stakeholders at all organizational levels, including top management, via update emails, meeting notes, and notifications  
- Coordinated and scheduled meetings across project teams  
- Collected and analyzed project requirements, dependencies, and risks  
- Created reports and charts, including vulnerability updates, infrastructure project status, and test results  

Junior Software Engineer | 11/2020 – 06/2021  
- Facilitated communication with international clients  
- Collected and analyzed project requirements  
- Resolved tickets related to relational databases and CRM systems  
- Verified tickets and assigned them to appropriate resolver groups  
- Tested CRM system updates"
12452,"PROFESSIONAL EXPERIENCE

Project Management & Coordination
- Gathered and analyzed project requirements through direct customer consultation
- Developed project plans and timelines to support delivery
- Prepared project documentation, including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Assigned and distributed tasks across project teams and coordinated cross-functional activities
- Monitored project timelines and tracked progress to ensure adherence to deadlines
- Facilitated Scrum meetings and supported agile workflows
- Maintained regular customer communication throughout the project lifecycle
- Managed multiple concurrent projects
- Delivered projects on schedule
- Contributed to project development initiatives

WORK ENVIRONMENT PREFERENCES
- Complex, challenging tasks
- Informal work atmosphere
- Competent management
- Opportunities for professional growth"
12453,"PROFESSIONAL SUMMARY  
Business Analyst with 7+ years of experience as a PM and BA in fintech, traffic arbitrage, and website development across health and beauty, gambling, tourism, manufacturing, and consulting. Experienced in gathering and documenting requirements, aligning stakeholders, and supporting UX/UI and Agile delivery. Track record of delivering projects on time, within budget, and aligned with customer expectations.

PROFESSIONAL EXPERIENCE  
Business Analyst | Fintech Company (Cryptocurrency) | 9 months  
- Conduct analysis and requirements gathering for cryptocurrency products  
- Liaise between IT, designers, and stakeholders to ensure clarity and alignment  
- Write and maintain technical specifications and project documentation  
- Ensure technical solutions align with business objectives

KEY ACHIEVEMENTS  
Arbitration Team  
- Built scalable processes generating $90K–$160K+ monthly profit  

Sales Doubler  
- Delivered a landing page and promotional materials for the Financial Storm 3.0 contest (3,000,000 UAH budget) within a 2-week deadline  

Zhansaya Sanatorium Website (Kazakhstan)  
- Generated 412 applications and calls in 22 business days  
- Achieved $0.3 cost per potential client (2017)  
- Delivered a 4% visitor-to-conversion rate  
- Implemented a CRM system  

Vintage  
- Ensured timely releases and customer support for clients including Oshadbank and Totis

CORE COMPETENCIES  
Analysis & Design  
- Requirements gathering  
- Stakeholder communication  
- Pre-design studies  
- UX prototyping  
- Technical specifications  
- Project documentation  
- UX/UI understanding  

Project Management  
- Multi-project management  
- End-to-end project delivery  
- Ongoing project support  
- Process organization  
- Team coordination  
- Deadline and budget compliance  

Methodologies  
- Agile philosophy  
- Scrum  
- Kanban implementation  

Leadership  
- Decision-making  
- Accountability  
- Self-organization  
- Client-oriented approach  
- Flexible communication

TOOLS  
JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Balsamiq, Moqups, Draw.io, Figma

PROFESSIONAL OBJECTIVE  
Seeking a Business Analyst role or PM/BA hybrid position focused on developing useful, user-centric products while advancing analytical and product management expertise."
12454,"PROFESSIONAL SUMMARY  
Results-driven professional with a BA and experience in project management, commercial intelligence, and business analysis. Skilled in leading teams, synthesizing complex information into actionable insights, and improving performance through structured planning, risk management, and stakeholder communication. Strengths include analytical research, reporting, partner management, and strategic planning.

CORE COMPETENCIES  
- Project Management & Scrum Methodology  
- Planning & Scheduling (Gantt)  
- Risk Management & Resource Planning  
- Cost Estimation & Budget Development  
- Commercial Intelligence & Open-Source Research  
- Business Analysis, Reporting & Information Synthesis  
- Stakeholder Communication & Partnership Management  
- Team Leadership & Performance Management  

PROFESSIONAL EXPERIENCE  

Project Manager | ArtHome | Dnipro, Ukraine  
June 2019 – January 2020  
- Managed a scrum team and coordinated project activities to ensure timely delivery  
- Developed and maintained project plans, including detailed stage plans and Gantt diagrams for planning and tracking  
- Monitored overall progress and resource utilization; initiated corrective actions when required  
- Managed project risks and prepared contingency plans  
- Controlled time management, conducted cost estimating, and developed budgets  
- Built and sustained effective communication with stakeholders and partners; represented company interests to interior designers  
- Identified and obtained support and advice required for project management, planning, and control  
- Conducted project evaluation reviews and prepared follow-on action recommendations  
- Concluded cooperation agreements with Ukrainian artists  
- Created a website using Tilda and populated the site with content  
- Managed social networking activities and maintained partner relationships  
- Prepared company and individual reviews and conducted vertical analysis  

Researcher (Commercial Intelligence) | Noosphere | Dnipro, Ukraine  
April 2019 – July 2019  
- Conducted vertical research and full niche reviews for future customer product releases  
- Analyzed country-specific features and identified vertical trends via venture capital deals analysis  
- Uncovered links and relationships between people and businesses  
- Researched IT companies, entrepreneurs, and events using open-source intelligence  
- Prepared comprehensive reviews of companies, individuals, and vertical analyses  
- Identified company weaknesses (e.g., court cases, staff changes, public statement inconsistencies, business model changes, relationships with sanction countries, financing structures, plagiarism)  
- Built individual profiles covering hobbies, preferences, views, social circles, business connections, income sources, assets, public statements, social media activity, health status, and biography  

Auditor | Bartolomeo Resort  
- Performed audit of the complex  
- Increased staff training results from 52% to 93%  

Analyst | Global Fertilizer Market  
- Communicated with market players and exchanged information  
- Prepared analytical reports on global fertilizer market trends  

EDUCATION  
Bachelor of Arts (BA)  

PROFESSIONAL SKILLS  
- Advanced analytical skills; ability to work with and analyze large volumes of information  
- Strong communication skills; ability to defend viewpoints effectively  
- Ability to find approaches to people and control task implementation  
- Commitment to continuous learning and language skills development"
12455,"PROFESSIONAL EXPERIENCE

Lead Account Project Manager  
FinTech Company  
Apr 2021 – Oct 2022

- Led client onboarding and platform integration, including launch planning, product demos, and API documentation consulting  
- Consulted on customer needs during the sales stage  
- Managed client task backlog end-to-end: analysis, task definition, estimation/timing, implementation control, testing, and delivery  
- Reviewed API documentation to ensure alignment with client requirements; tested requests in Postman  
- Captured feature requests and translated them into development tasks with defined business and technical requirements  
- Tracked and managed work in Jira  
- Documented workflows and processes using BPMN and Confluence  

Account Project Manager  
FinTech Company  
Oct 2019 – Apr 2021

- Managed client onboarding and platform integration, including launch planning, demos, and API documentation consulting  
- Analyzed customer needs and provided consultation during the sales stage  
- Owned client task backlog: analysis, description, timing, implementation control, testing, and delivery  
- Analyzed API documentation and validated requests using Postman  
- Identified customer feature requests and created development tasks with business and technical requirements  
- Managed tasks and progress tracking in Jira  
- Documented processes using BPMN and Confluence  

Project Manager  
UVK Ukraine (Transport & Logistics)  
Jun 2017 – Oct 2019

Key Accomplishments  
- Increased profitability from container turnover from 0% to 40% on average  
- Implemented automation of accounting processes  
- Reduced operational losses  

Responsibilities  
- Introduced clients to services and conducted container reconciliations with approximately 40 clients  
- Coordinated reconciliations with regional offices across 23 regions  
- Wrote technical specifications for developers; monitored implementation timelines and conducted testing  
- Prepared regulatory documents, including work instructions  
- Met KPI targets  

DOMAIN EXPERTISE

- FinTech: 3+ years  
- Transport & Logistics: 2+ years"
12456,"PROFESSIONAL EXPERIENCE

PROJECT & PRODUCT MANAGEMENT
• Supported multiple existing projects while leading a team initiative to develop and implement an integrated CRM and ERP system for a logistics company  
• Improved sales performance through strategic planning and execution  
• Identified and addressed internal operational challenges through the implementation of IT solutions  


CORE COMPETENCIES
• Data analysis, evaluation, and strategic planning  
• Budget planning, forecasting, and financial analysis  
• User story development and backlog prioritization  
• Stakeholder engagement and requirements gathering  
• Product roadmap development and feature prioritization  
• Executive reporting and presentations to department heads and senior management  
• Project team leadership and coordination  
• Risk identification, assessment, and mitigation  
• Project scope and timeline management  


PROFESSIONAL VALUES & INTERESTS
• Committed to transparent project management practices, including clear budget communication and proactive issue identification  
• Advocate for team clarity, ethical conduct, and value-driven delivery  
• Interested in opportunities within the non-governmental organization (NGO) sector"
12457,"PROFESSIONAL SUMMARY  
Results-driven Business Analyst with 10 years of experience delivering solutions across diverse industries and varying complexity. Expertise in requirements analysis, stakeholder management, and solution design aligned with architecture drivers and market needs. Background in QA with strong SDLC knowledge and a track record of supporting quality throughout the delivery lifecycle.

CORE COMPETENCIES  
• Business Analysis & Requirements Elicitation  
• Stakeholder Management & Client Engagement  
• SDLC Knowledge & Quality Assurance  
• Solution Design & Architecture Drivers  
• Project Management & Delivery Support  
• Pre-Sales: Proposal Development & Scope Analysis  
• Process Development & Documentation  
• User Training & System Deployment  

PROFESSIONAL EXPERIENCE  

Engagement Manager – Pre-Sales  
• Prepared initial proposals and performed scope analysis to support engagement planning  
• Served as client-facing lead for engagement planning and solution development  

Business Analyst & Project Manager (Duration: 1 year)  
• Managed combined BA and PM responsibilities to support product delivery  
• Developed product concepts and collaborated with technical experts on architecture planning  
• Led user training initiatives and supported system deployment activities  

Business Analyst  
• Identified client and market needs to recommend optimal solutions  
• Collaborated with stakeholders to define architecture drivers and solution requirements  
• Applied QA background to support quality across the solution lifecycle  

QA Engineer (Duration: 4 years)  
• Built comprehensive understanding of the Software Development Life Cycle (SDLC)  
• Supported quality standards across testing and delivery phases  

Business Owner  
• Established and managed an independent business venture  
• Developed operational processes from the ground up  
• Gained hands-on experience in sales processes and business development  

PROFESSIONAL OBJECTIVE  
Seeking challenging opportunities to leverage business analysis expertise to help clients achieve strategic success."
12458,"PRODUCT MANAGER

KEY RESPONSIBILITIES & ACHIEVEMENTS

- Gathered and analyzed stakeholder requirements to define product strategy and specifications
- Authored user stories and use cases to guide development priorities
- Built a comprehensive product roadmap and user flows for a SaaS platform from inception
- Designed and documented platform permission structure and access controls
- Partnered with the design team to optimize user experience
- Managed Product Backlog and Sprint Backlogs to support efficient delivery
- Facilitated daily standups, backlog grooming sessions, and retrospective meetings
- Decomposed user stories into actionable tasks and applied prioritization frameworks
- Created technical specifications for data integration between data science and backend teams
- Maintained and supported product documentation throughout the development lifecycle"
12459,"ALEX  
Project Manager

PROFESSIONAL SUMMARY  
Project Manager at Marrix Power with experience in business analysis and full-cycle project development. Skilled in translating initial concepts into feasible, design-ready solutions through requirements gathering and documentation, project planning, and consistent stakeholder communication.

PROFESSIONAL EXPERIENCE  
Project Manager | Marrix Power  
- Managed 16 projects, leading teams of 3–5 members per project  
- Maintained consistent communication with clients throughout the project lifecycle  
- Elicited, documented, and analyzed requirements across projects  
- Oversaw the full project development cycle from initial concept through delivery  
- Transformed ideas into feasible solutions ready for design and development  
- Executed project planning and coordinated development activities  

CORE COMPETENCIES  
- Project Management  
- Business Analysis  
- Requirements Gathering & Documentation  
- Client Communication & Stakeholder Management  
- Project Planning & Development Coordination  
- Team Leadership"
12460,"PROFESSIONAL EXPERIENCE

Sales Manager | Project Manager | Business Analyst  
4 years of experience

CORE RESPONSIBILITIES

- Nurture, engage, and manage client relationships
- Manage development teams and cross-functional stakeholders
- Create interactive prototypes and wireframes (MockingBot, Figma)
- Model business processes using BPMN (draw.io, Camunda)
- Elicit, define, and validate business and functional requirements
- Prepare user stories and use cases
- Identify and execute up-selling opportunities
- Develop and validate technical documentation"
12461,"PROJECT IMPLEMENTATION / BUSINESS ANALYSIS / AGILE DELIVERY

SUMMARY  
Responsible for end-to-end project implementation, ensuring customer requirements are delivered within agreed timelines and budget. Experienced in requirements analysis and documentation, cross-functional collaboration, Agile sprint planning, progress reporting, solution prototyping and presentation, testing coordination, and UAT facilitation.

CORE RESPONSIBILITIES & EXPERIENCE  
• Analyze client needs by eliciting, elaborating, and documenting business and functional requirements, including user stories, main and alternative flow diagrams, block diagrams (Visio), and wireframes  
• Collaborate with Developers, Engineers, and QA to align on solution architecture, estimations, and acceptance criteria; prototype solutions and present them to clients and internal stakeholders  
• Manage new and change requests in Confluence; obtain client approvals for scope and estimations  
• Plan sprint scope in Jira by prioritizing tasks; participate in sprint planning and retrospectives to ensure work follows agreed priorities and timelines  
• Monitor and report on project progress  
• Create use cases and test scenarios; review test results with QA; test custom solutions prior to deployment  
• Present solutions to clients and facilitate UAT to confirm customer satisfaction and acceptance

TOOLS  
Jira • Confluence • Visio"
12462,"PROFESSIONAL EXPERIENCE

System Analyst

- Developed technical solutions that reduced implementation time by up to 90% versus initial estimates.
- Partnered with senior management on solution architecture; proposed alternative approaches and advocated for optimal technical decisions.
- Streamlined documentation processes to reduce manual effort required for technical documentation.
- Contributed to an application used as a template for app creation, server management, and front-end libraries, enabling integration with other applications via API with full feature accessibility.

Core Responsibilities
- Authored Business Requirements Documents (BRD), Software Requirements Specifications (SRS), API Specifications, and User Guides.
- Designed database structures.
- Estimated and prioritized backlog requests.
- Led demonstration meetings for completed work.
- Facilitated retrospective meetings.
- Performed API testing, manual testing, and automated testing.
- Defined smoke test scope and created regression tests, test cases, and test scenarios.
- Prepared release notes and delivery protocols.
- Assumed team lead responsibilities during team lead absences."
12463,"EDUCATION

Lviv Polytechnic National University (LPNU)  
Business Analysis Coursework

• Completed three business analysis course projects, including problem definition based on provided analysis  
• Developed solutions using prototyping, personas, and use case diagrams  
• Analyzed current-state company operations and produced “TO BE” state recommendations  
• Applied requirements elicitation techniques  
• Completed machine learning coursework  


EXPERIENCE

Java Developer Intern  
novomind, Germany | 3 months

• Developed solutions for assigned cases  
• Collaborated within an Agile team environment  
• Communicated in English with team members"
12464,"PROFESSIONAL EXPERIENCE

PM/BA (1 year experience)
- Managed end-to-end project lifecycle activities across multiple initiatives
- Elicited and analyzed requirements through documentation review, stakeholder interviews, workflow analysis, business modeling, and requirements review sessions
- Coordinated the development process using Agile/Scrum practices; performed Scrum Master responsibilities
- Tracked progress, monitored risks, and managed change using backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Translated stakeholder needs into user stories, use cases, visual models, FRS, and SRS
- Facilitated communication and alignment among multiple stakeholders
- Developed technical standards to support consistent development processes
- Contributed to the creation of software, a business model, and operational procedures for a new delivery service built from scratch

Business Owner (5 years experience)
- Sold products in the U.S. market with production in China
- Managed day-to-day operations of an online shop, including customer support, procurement, promotions, and logistics
- Negotiated with suppliers and contractors
- Adapted continuously to changes in market conditions

Efficiency Manager (1.5 years experience)
- Re-engineered business processes based on scope, business rules, existing practices, and alternative approaches
- Designed new functionality for an internal ERP system
- Designed and implemented a routing system for Sales Departments
- Wrote Technical Tasks for the development team
- Trained employees during change integration and adoption processes"
12465,"BUSINESS ANALYST | PROJECT MANAGER

Results-driven Business Analyst and Project Manager with 6+ years of commercial experience delivering strategic solutions across diverse industries. Combines strong technical acumen with exceptional communication and organizational capabilities to drive business objectives and support organizational goals.

CORE COMPETENCIES
- Business Analysis & Requirements Management
- Project Management & Delivery
- ERP/CRM Systems Implementation
- Cross-functional Team Leadership
- Stakeholder Communication & Engagement
- Process Optimization & Strategic Planning

PROFESSIONAL EXPERIENCE OVERVIEW
IT Outsourcing (2+ years)
- Delivered technology solutions and managed client relationships in outsourcing environments

Project Management (2 years)
- Led cross-functional projects from initiation through delivery, ensuring on-time and on-budget completion

ERP/CRM Systems (5 years)
- Implemented and optimized enterprise resource planning and customer relationship management platforms

Retail (6 years)
- Developed business solutions and managed initiatives within retail operations

Healthcare (2 years)
- Analyzed and improved business processes in healthcare settings

Sales & Marketing (2 years)
- Supported revenue-generating activities through analytical insights and project coordination

KEY STRENGTHS
- Proactive problem-solver with a disciplined approach to project execution
- Strong technical proficiency paired with business acumen
- Clear communicator skilled in translating complex requirements
- Goal-oriented and focused on measurable results"
12466,"# PROFESSIONAL SUMMARY

Results-driven analyst specializing in data analysis, business process optimization, and project management. Experienced in public procurement analysis, business intelligence implementation (QlikView/QlikSense), and stakeholder communication across government and private-sector contexts. Strong presenter and communicator with multilingual capabilities and advanced Microsoft Office proficiency.

# CORE COMPETENCIES

## Analytical & Technical
- Complex problem analysis, solution development, and data interpretation
- Statistical analysis, trend identification, and pattern analysis
- Business process optimization, business modeling, and process documentation
- Business Intelligence: QlikView, QlikSense
- Advanced Microsoft Office: Excel, PowerPoint, Microsoft Office Suite
- Data collection, verification, compilation, and processing systems implementation

## Project & Professional
- Project management and multi-engagement coordination
- Technical documentation: ToRs, specifications, technical requirements, technical tasks
- Research methodology and analytical report development
- Stakeholder management and cross-functional communication (BI users, procurers, suppliers, controllers, clients)
- Negotiation and conflict resolution
- Presentation, public speaking, and event participation
- Independent work and team collaboration

## Languages
- Ukrainian (Native)
- English (Fluent)
- Russian (Fluent)
- German (Basic)

# PROFESSIONAL EXPERIENCE

## Public Procurement & Business Intelligence Analysis
- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense
- Monitored the ProZorro e-procurement system for an IT product company, ensuring compliance and conducting investigations
- Produced reporting and trend analysis of public procurement procedures for government institutions
- Supported the development of an e-procurement risk indicators system
- Contributed to development of terms of reference and technical tasks for an e-procurement system aligned with the Open Contracting Data Standard
- Served as a BI expert and speaker at public events, conferences, and lectures
- Managed communication with BI users, procurers, suppliers, controllers, and clients
- Conducted catalogue searches, information gathering, and data processing

## Strategic Analysis & Consulting
- Conducted research and analytics and produced analytical reports
- Performed functional and effectiveness analysis across business operations
- Analyzed best practices and international experience of central purchasing bodies
- Developed strategic proposals for the Central Purchasing Body (CPB) in Ukraine
- Identified, analyzed, and interpreted data trends and patterns
- Documented and optimized business processes

## Technical Documentation & Data Management
- Developed terms of reference and technical requirements for projects
- Created specifications for construction and equipment procurement
- Designed and implemented data processing systems
- Executed data verification and compilation procedures"
12467,"PROFESSIONAL SUMMARY  
Business Analyst with cross-functional experience across pre-sales and delivery. Background in FMCG as a Marketing Analyst and Marketing Coordinator, bringing a client-oriented approach and business acumen to IT projects. Perform Business Analyst responsibilities with partial Project Manager coverage.

CORE COMPETENCIES  
• Requirements Documentation: SRS, Use Cases, UML  
• Backlog Management: User Stories, Acceptance Criteria  
• UX  
• Agile & Scrum  
• Pre-sales & Delivery Support  
• Client-Oriented Approach  
• Partial Project Management Coverage

TECHNICAL SKILLS  
• MySQL (basic)  
• HTML (basic)  
• CSS (basic)

PROFESSIONAL EXPERIENCE  

Business Analyst  
• Develop Software Requirements Specifications (SRS), including use cases and UML  
• Create and manage product backlog items, including user stories and acceptance criteria  
• Participate in pre-sales activities and support delivery phases  
• Perform Business Analyst functions with partial Project Manager coverage  
• Apply UX principles and Agile methodologies  

Marketing Analyst / Marketing Coordinator (FMCG)  
• Developed a client-oriented approach and business understanding  
• Built analytical and coordination skills

CERTIFICATIONS  
• Agile Certified Professional (IC Agile)

CAREER OBJECTIVE  
Seeking opportunities with interesting projects in a fast-changing environment."
12468,"BUSINESS ANALYST & PROJECT MANAGER

Results-driven Business Analyst and Project Manager with three years of experience delivering projects in the healthcare domain. Known for quickly immersing in technical details, applying professional expertise to meet project objectives, and supporting execution across all project stages.

CORE COMPETENCIES
• Business Analysis & Project Management  
• Healthcare Domain Expertise  
• Business Intelligence (BI) Tools  
• Technical Analysis & Problem Solving  
• Stakeholder Management  
• Team Leadership & Collaboration  
• Conflict Resolution  
• Soft Skills Training & Facilitation  
• Team Motivation & Development  

PROFESSIONAL SUMMARY
Business Analyst and Project Manager with a blend of technical acumen and strong interpersonal skills. Experienced in analyzing complex requirements, managing stakeholder expectations, and driving project outcomes. Background as a soft skills trainer with strengths in fostering productive, energized team environments and supporting effective conflict management."
12469,"PROFESSIONAL EXPERIENCE

Translator & Proofreader | Healthcare & Pharmaceutical Industry
- Translated and proofread reports, presentations, and websites to and from English for healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS.

English Language Instructor | Online Education
- Delivered online English instruction via Zoom using a range of online resources and Google tools.
- Developed individual educational plans.
- Conducted student assessment and evaluation."
12470,"PRODUCT STRATEGY & USER RESEARCH PROFESSIONAL

Collaborated with startup founders and established product teams to drive product success through strategic validation, user research, and design leadership. Experienced in product idea validation, user research execution, product strategy development, and design team management across multiple ventures.

SEEKING OPPORTUNITY

Multi-platform product environment where I can apply and advance my business analysis expertise on challenging projects."
12471,"PROFESSIONAL SUMMARY

IT Project Manager / Business Analyst with 7+ years of experience delivering digital solutions across multiple industries and organization types (startups to enterprise environments). Led cross-functional teams of up to 15 people and managed portfolios of 3–10 concurrent projects. Delivered 9 new internet projects end-to-end and improved 22+ existing platforms. Strong in stakeholder management, strategic planning, and building efficient workflows that reduce overtime while maintaining quality standards. Experienced working with international markets and distributed teams.

CORE COMPETENCIES

Project & Program Management: Agile, Scrum, Kanban, strategic planning, timeline management, budget negotiations, stakeholder relations

Business Analysis & Delivery: requirements gathering, user stories, process design, QA, usability testing, task acceptance

Tools & Platforms: Jira, Confluence, Asana, CRM, ERP, Power BI, BPMN, CMS (WordPress, Drupal), HTML/CSS basics

Digital & Analytics: SEO, email marketing, Google Analytics, Hotjar, VCC

Design Tools: Adobe Photoshop, Adobe Illustrator, Adobe InDesign

Communication & Client Management: client negotiations, business correspondence, commercial proposals, event management, public speaking

PROFESSIONAL EXPERIENCE

IT Project Manager / Business Analyst

- Managed cross-functional in-house and remote teams of up to 15 members
- Delivered 9 new internet projects from conception through launch; improved 22+ existing platforms
- Managed 3–10 projects simultaneously in a digital agency environment, balancing scope, timelines, and priorities
- Built and optimized processes aligned with client pipelines and business objectives
- Established team workflows and work organization that eliminated overtime while maintaining quality standards
- Led budget and deadline negotiations with clients and maintained strong working relationships
- Owned core project activities including negotiations, business correspondence, commercial offers, task acceptance, and testing
- Coordinated delivery across developers, designers, copywriters, and advertising specialists
- Conducted usability testing and quality assurance to support a strong end-user experience
- Created designs for individual blocks and pages when required

INDUSTRY EXPERIENCE

Education | Educational Tourism | Medical Tourism | Sailing & Tourism | Entertainment/Showbiz | E-commerce | Fintech

MARKET EXPERIENCE

Business Models: B2B, B2C  
Geographies: Ukraine, Arab Countries, China, United Kingdom, United States

WORK PREFERENCES

Open to full-time or part-time roles | Office-based or remote | Results-focused approach"
12472,"PROFESSIONAL SUMMARY  
Business Analyst and Project Manager with 9 years of experience as Founder and Manager of a web studio. Led cross-functional teams of 5–20 employees and managed end-to-end delivery across project management, business analysis, sales, and development. Delivered online stores, B2B web applications, billing systems, and cryptocurrency exchanges using Agile/Scrum practices.

PROFESSIONAL EXPERIENCE  
Founder & Manager | Web Studio | 9 years  
- Founded and managed web studio operations, overseeing business development and project delivery  
- Led cross-functional teams of 5–20 employees across multiple disciplines  
- Performed multiple roles: Project Manager, Business Analyst, Sales Manager, and Developer  
- Managed end-to-end delivery of complex projects, including online stores, B2B web applications, billing systems, and cryptocurrency exchanges  
- Defined product roadmaps and managed product lifecycle activities  
- Created mockups and wrote user stories for development teams  
- Conducted manual testing and quality assurance  
- Applied Agile and Scrum methodologies to optimize project delivery  

SKILLS  
Project & Product Management: Project Management, Product Management, Product Roadmap, Agile, Scrum  
Business Analysis: Business Analysis, User Stories, Analytics, B2B  
Tools & Platforms: Jira, Trello, Mockups  
Technical: HTML, PHP, MySQL, Manual Testing  
Additional: Marketing, UX/UI, Sales  

CAREER OBJECTIVE  
Seeking a Business Analyst or Project Manager position with a large IT company."
12473,"PROFESSIONAL SUMMARY  
Results-driven Business Analyst and Project Manager with 6+ years of non-IT experience delivering 50+ projects. Experienced in leading cross-functional teams of 2–7 members and managing budgets up to $250,000. Skilled in Agile (Scrum, Kanban) and Waterfall methodologies, with additional experience serving as a Product Owner in an IT startup environment.

CORE COMPETENCIES  

Project & Process Management  
• Agile delivery: Scrum, Kanban  
• Waterfall project delivery  
• Lean management principles  
• BPMN process modeling  
• Cross-functional team leadership (2–7 members)  
• Budget management (up to $250,000)  

Tools & Technical Skills  
• Project management tools: Jira, Asana, Trello  
• Business analysis & process mapping: MS Visio, BPMN  
• Collaboration platforms: Zoom, MS Teams, Google Meet  
• Data & documentation: Google Docs, Excel  
• SQL (basic)  
• Java (basic)  

Professional Strengths  
• Strategic leadership and team management  
• Analytical thinking and problem-solving  
• Business process systematization  
• Goal-oriented, proactive approach  
• Creative and innovative mindset  

LANGUAGES  
English — B1 (Upper-Intermediate)

CAREER OBJECTIVE  
To leverage project management expertise and analytical capabilities in a values-aligned organization, driving meaningful business outcomes while continuing professional growth."
12474,"PROFESSIONAL EXPERIENCE

Teacher | Quality Assurance Group | Nov 2019 – Feb 2020
- Taught “Software Testing” courses covering:
  - Quality Assurance basics
  - Business Analysis basics

Business Analyst | QArtrock | Sep 2019 – Feb 2020
Project: Corporate Website (official website of a Turkish international trading company)
- Project definition
- Requirements elicitation
- Concept creation and system modeling
- Requirements analysis
- Requirements documentation

Project: Store Website (electronics store website with online trading capability)
- Project definition
- Requirements elicitation
- Concept creation and system modeling
- Requirements analysis
- Requirements documentation

QA Trainee | Quality Assurance Group | May 2019 – Aug 2019
Project: Pharmacy Management System (web application for apothecaries to manage pharmacy online)
- Requirements analysis
- Test design
- Wrote and executed test cases
- Wrote bug reports

Project: Online Education Platform (program for selecting educational courses based on a survey)
- Performance testing in JMeter
- Database testing in MySQL
- API testing in Postman

Project: Construction Online Store
- Requirements analysis
- Wrote the test plan
- Test design
- Wrote and executed test cases
- Wrote bug reports
- Wrote a test summary report

Scientific Consultant | Oct 2011 – Apr 2019
- Provided diagnostic, improvement, and analytical support for the development and implementation of scientific projects, including:
  - Implementation of innovative technologies in educational systems
  - Psychological maintenance of innovative activity"
