,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
204,"Маю досвід управління проектами в різних відділах та на різних рівнях ВМГО ""AIESEC в Україні"". Практикувалася в залученні нових спонсорів і грантів в організацію, серед яких PwC, KPMG, Galicia, London School of English та інші. Координувала успішні маркетингові кампанії, займалася коучингом для команд, організацією молодіжних заходів та конференцій з відвідуваністю 350+ осіб. Мені подобається структурувати інформацію, упорядковувати її та працювати з різними інструментами. Шукаю роботу з управління проектами, де мої навички принесуть найкращі результати."
205,"Я пишаюся тим, що, працюючи на сервісі, за короткий час зрозуміла продукт і влилася в робочий процес. Пройшла стажування та розвиваю свої навички. Маю досвід роботи у продажах, працювала 1,5 роки в сервісному центрі Мерседес-Бенз, проходила стажування у Neatpeek, наразі працюю там. Маю велике бажання вчитися та розвиватися в цій галузі. Я хочу працювати у великій компанії, створювати та вдосконалювати продукт."
206,"Важко оцінювати себе, але як то кажуть: сам себе не похвалиш - ніхто не похвалить.  
Вмію рівно малювати іконки.  
Люблю розбиратись зі Smart Animate.  
Пройшла курс по вебу в Projector.  
Витратила півтора роки життя, щоб спікати інгліш.  
Маю кілька курсових робіт з e-commerce та landing pages.  
Працювала з платформами Tilda і Readymag.  
Працюю в Figma.  "
207,"Маю навички ведення каналів та чатів у Telegram, а також аккаунтів у Facebook, Instagram, Вконтакті.

Володію такими якостями, як товариськість, здатність долати труднощі, оптимізм, цілеспрямованість, уважність до деталей, прагнення до постійного вдосконалення знань, відповідальність.

Знання офісних програм на досконалому рівні (Word, PowerPoint, Excel, Access)."
208,"Диплом бакалавра зі спеціальності «Інформаційні системи і технології», спеціалізація «Інформаційні технології в бізнесі»

Навички роботи оператора кол-центру (CRM) (жовтень 2018 – січень 2019)

Помічник бухгалтера (1C) (травень 2020 – жовтень 2020)

Менеджер інтернет-магазину “Jolly Cups” (робота з Wordpress, Photoshop) (жовтень 2020 – серпень 2021)"
209,"Своїм найбільшим досягненням вважаю організацію благодійної дитячої вистави та ярмарку в театрі, зібрані кошти з якої ми передали діткам з особливими потребами. Це було зроблено на посаді project-, event- manager в мережі приватних навчальних англомовних закладів дошкільної та початкової освіти.

Маю на меті опанувати професію Project manager, проходила курс та ще вчусь. Вважаю, що найкраще навчання – досвід. Тому шукаю можливості для цього.

Я маю досвід роботи офіс-менеджером та на подібних адміністративних посадах, тому це може стати якісним фундаментом для роботи і це те, що я можу дати компанії. Натомість отримавши класний досвід та знання. 

Обожнюю поринати в нову сферу за те, що це завжди виклики.

Очікую від роботи поглиблення в новий світ, нові виклики, опанування нових знань та досвіду, зустрічі з цікавими людьми."
210,"Маю успішний досвід роботи у компанії Carlsberg Ukraine у напрямку Supply Chain. Робота полягала у оперативному плануванні виробництва продукції для забезпечення попиту клієнтів, що включає комунікації з контрагентами, організацію ланцюгів постачання, роботу з рекламаціями. Сучасні часи надихають до розвитку, тому прагну освоїти нову сферу діяльності в напрямку ІТ."
211,"Маю досвід роботи над проектами та лідингом групи, адже допомагала з організацією різноманітних фестивалів та масових заходів. Проходила тренінги, що надали як практичну, так і теоретичну базу для реалізації проектів та тімбілдингу. Завдяки освіті журналіста володію навичками комунікації, грамотною письмовою та усною мовою (українська, російська, англійська). Хочу займатися справою, яка відповідає моїм навичкам. Маю активність і бажання вивчати нове."
212,"Менеджер з навчання і розвитку

- Створення та успішний запуск 2 курсів.
- Підвищення ефективності власної команди на 20%.
- Організація та ведення навчального процесу для команди з 65 людей.
- Організація та створення курсів з командою з 10 людей.
- Проведення one-to-one зустрічей (коуч сесій).
- Робота з LMS платформою та її наповнення.

Робота в прогресивному та дружньому колективі з орієнтацією на результат."
213,"[Ваше ім'я]  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  

**Мета**  
Шукаю можливість приєднатися до команди, де зможу всебічно розвиватися та успішно вести проєктну команду, використовуючи свій потенціал.

**Досвід роботи**  

**Менеджер відділу з операційних поліпшень**  
11.2019 — по поточний час  
- Провідний спеціаліст бюро продажів з 10.20.2020р.  
- Реалізація відходів виробництва та всіх видів НВВ.  
- Пошук клієнтів для продажу всіх видів відходів комбінату.  
- Перехід у відділ операційних покращень (старший менеджер).  
- Комунікації з можливими партнерами щодо аудитів підприємства та встановлення/випробування обладнання.  
- Обговорення можливості отримання винагороди за економічний ефект від новацій.  
- Пошук можливих партнерів.  

**Провідний фахівець відділу з продажів**  
08.2017 — 12.2018  
- Розвиток продажів і послуг заводу з нуля через тендерну роботу на спеціалізованих майданчиках (МЕТІНВЕСТ ЄКЗ, Феррекспо, Інтерпайп, МХП тощо).  
- Супровід угод на стадії виробництва та контроль відвантажень у строк.  
- Робота з 1С.  
- Участь у переробці сайту та розміщення новин заводу.  
- Найбільша угода понад 8 млн.грн.  

**Менеджер з продажу**  
10.2015 — 05.2017  
- Розвиток продажів алюмінієвого листа і прутка для промисловості всієї країни з нуля.  
- Активні продажі.  
- Робота в 1С.  
- Зростання обсягу складу з 7000 $ до 60000 $ за рік.  

**Освіта**  
- Сертифікат грантового проєктного менеджера, 2020  
- Навчання на курсі ПМ ІТ від європейського фонду GIZ  

**Волонтерська діяльність**  
- Якісний донор, спонукаю людей до донорства (до 15 чоловік).  
- Проєктний менеджер на волонтерських засадах, мета — покращити життя міста.  

**Очікування**  
Шукаю місце роботи щонайменше на 2-3 роки. Дуже тепло ставлюсь до стартапів та готовий розглянути усі пропозиції, не тільки на позицію джуніора, а й трейні."
214,"**Резюме**

**Контактна інформація**  
[Ваше ім'я]  
[Ваш телефон]  
[Ваш email]  
[Ваше місто]  

**Досвід роботи**

**Проєкт-менеджер**  
Компанія Softinform LLC  
(грудень 2021 - по сьогодні)  
- Знаходила проєкти на впровадження ПО.  
- Організовувала зустрічі та проводила презентації з потенційними партнерами.  
- Готувала презентації для демонстрації клієнтам прикладів впровадження телефонії для СТО, впровадження програмного комплексу для ферми-сироварні, супровід програмної продукції для консалтингової агенції.  
- Підготовка передпроєктної документації (первинний бюджет, протокол взаємодії партнерів, дорожня карта проєкту).  
- Контроль підписання документації.  
- Організація групи проєкту.  
- Контроль дедлайнів команди.  
- Звітність у вигляді проміжних презентацій замовнику.  
- Ведення післяпроєктної роботи на подовження співпраці.  

**Керівник відділу продажу**  
Компанія Softinform LLC  
(вересень 2020 - грудень 2021)  
- Формування команди менеджерів з продажу.  
- Проводила співбесіди та навчання співробітників (привітання, виявлення ліда, робота з запереченнями, доведення до оплати).  
- Пошук та формування баз для роботи менеджерів.  
- Формування розмовних модулів для менеджерів з продажу для різних груп клієнтів.  
- Розробка та презентація комерційних пропозицій.  
- Розрахунок та введення системи мотивації.  
- Аналіз KPI.  
- Ведення звітності в внутрішній CRM.  
- Написання ТЗ з оптимізації та доробки CRM.  

**Менеджер зі збуту**  
Техноцентр Маяк  
(липень 2017 - вересень 2020)  
- Створила та підтримую відділ продажу з розробкою системи мотивації з нуля до 9 осіб.  
- Вела проєкт по впровадженню програмного продукту BAS ERP для девелоперської компанії в розрізі управлінського обліку, де кінцевою ціллю було побачити управлінський баланс.  
- Адаптувала та вдосконалила внутрішню CRM систему для відділу продажу.  

**Освіта**  
[Ваша освіта]  
[Назва навчального закладу]  
[Рік закінчення]  

**Навички**  
- Управління проєктами  
- Продажі та ведення переговорів  
- CRM-системи  
- Аналіз даних  
- Презентаційні навички  
- Командна робота  

**Мови**  
[Ваша мова]  
[Інші мови, якщо є]  "
215,"Консультування клієнтів. Продажі в магазині, по телефону та онлайн. Наповнення сайтів.

Створення та наповнення сайту, дизайн, SEO. Організація роботи інтернет-магазину. Продажі, переговори про партнерство. Ведення документації, соціальні мережі компанії. Реклама магазину.  
Досягнення: створення з партнером ""з нуля"" інтернет-магазину з продажу запчастин до побутової техніки.

Соціальний педагог в школі: профілактична, діагностична, консультативна, просвітницька робота з дітьми, батьками та педагогами. Соціально-психологічна допомога сім’ям, вирішення соціально-педагогічних проблем, організація культурно-дозвіллєвої діяльності та захист прав дітей.  
Менеджер з продажу, комплектувальник товарів, продавець-консультант, контент-менеджер, адміністратор інтернет-магазину, соціальний педагог та інше."
216,"Менеджер проекту, InterApteka  
Допомогла зібрати 8 команд для фармацевтичних і торгово-роздрібних проектів, більшість спеціалістів продовжують працювати в проектах більше 5 років.  
Організація і управління роботою команди.  
Проведення переговорів з партнерами.  
Аналіз продаж і планування бюджету.  
Організація і проведення тренінгів.  
Лютий 2016 - дотепер (4 роки 6 місяців)  

Менеджер по персоналу, InterApteka  
Проведення співбесід і розробка посадових інструкцій.  
Організація навчального процесу для персоналу.  
Розробка рішень для підвищення ефективності роботи команди.  
Червень 2012 – Лютий 2016 (3 роки 9 місяців)  

Можливість навчатись і рости в команді висококваліфікованих спеціалістів і хороших людей."
217,"Мене звати Ліза, я PM-початківець.

Нещодавно я закінчила КНУ, здобула спеціалізацію з маркетингу. Останні 3 роки я займалась графічним дизайном і SMM.

Зимою 2023 року я почала викладати дизайн підліткам 13-16 років. Це неймовірний досвід, який допомагає підліткам здобувати професію мрії, хизуватися перед друзями своїми роботами та брати перші замовлення.

Викладання стало поштовхом до розуміння моїх організаційних здібностей, вміння знаходити спільну мову та мотивувати. Це додало мені впевненості спробувати себе у проджект менеджменті."
218,"Олександр

Освіта:  
Бакалавр зі спеціальності «Менеджмент»

Досвід роботи:  
Білінг менеджер, маркетингова агенція (2 роки)  
- Розуміння різних аспектів бізнесу та управління проектами.

Адміністративний офіс-менеджер, консалтингова компанія  
- Організація роботи офісу.  
- Участь у різних HR-процесах.  
- Підтримка проектних команд.

Мета:  
Реалізуватися як проджект-менеджер, використовуючи розвинуті софт-скіли, комунікаційні вміння та здатність до організації роботи в команді.  
Захоплення:  
Створення нових ідей і планів, робота з командою для досягнення поставлених цілей. Відкритість до навчання та самовдосконалення.  
Впевнений, що мій досвід та навички стануть цінним додатком до будь-якої компанії."
219,"Мене цікавить цей напрямок. Наразі маю теоретичні знання у цій сфері, прослуховую лекції та проходжу теоретичні курси. Сподіваюся, що незабаром отримаю оффер, і завдяки здатності швидко сприймати нову інформацію та бажанню навчатися зможу себе проявити."
220,"Співпраця з Міжнародною спортивною федерацією UCI (Азербайджан), логістичними компаніями України та ЄС (зокрема, ТОВ «ЗАММЛЕР УКРАЇНА», Proventus Trading OU (Естонія), Zammler Polska sp. z o.o. (Польща) та аграрними компаніями (зокрема, Lushbury Fertilizer Co. (США).

Останні роки я успішно працював в американській аграрній компанії Lushbury Fertilizer Co., де в повній мірі проявив себе як Project manager та відповідав за окремий новий напрямок діяльності компанії. Зокрема, я був відповідальний за розробку та супроводження проекту щодо впровадження нового продукту на ринок (час-обсяг-бюджет-ризики), забезпечив створення ефективної команди з метою реалізації проекту (під керівництвом перебувало від 10 до 25 членів команди), здійснював комунікацію з замовниками та потенційними інвесторами, контролював виконання поставлених завдань членам команди, використовував відповідні технічні інструменти для оптимізації моєї роботи (Jira, Agile frameworks, SDLC тощо). Результатом моєї роботи стала безперебійна робота системи імпортних поставок товарів клієнтам в Україну та інші країни Європейського Союзу.

Міжнародна аграрна компанія Lushbury Fertilizer Co. | 2019-2022
- створення та організація роботи відділів закупівель для аграрного сектору, формування логістичних ланцюгів та співпраця з державними органами;
- координація та дистанційне керування поставками;
- відслідковування робочих процесів на всіх стадіях, трекінг виконаних робіт та звітність;
- моделювання процесів для внесення змін у проект з подальшим удосконаленням;
- пошук та рекрутинг нових працівників для оптимізації роботи;
- комунікація з ключовими клієнтами та забезпечення переговорного процесу з потенційними клієнтами інших галузей бізнесу.

Бачу себе командним гравцем та очікую плідну співпрацю з компанією. Цілі - увійти до ІТ сфери для подальшого розвитку та повноцінної роботи. ІТ - це майбутнє!"
221,"Успішне здобуття військового звання полковника, що свідчить про високий рівень професіоналізму, лідерських здібностей та відданості службі.

Отримання почесного звання ветерана військової служби за видатну службу, яке підтверджує внесок у розвиток та зміцнення Збройних Сил України.

Сформована репутація ефективного співробітництва та партнерства з різними організаціями, включаючи місію ОБСЄ. Це вказує на високий рівень комунікаційних навичок та здатність працювати в умовах міжнародної співпраці.

Успішне керування та реалізація складних проектів у сфері інформаційного забезпечення, включаючи розробку стратегій протидії інформаційним загрозам. Це свідчить про глибокі знання у сфері інформаційної безпеки та здатність ефективно керувати проектами.

Ефективне створення сприятливого психологічного клімату у військовому колективі та поліпшення командної роботи, що підкреслює навички управління людьми та розв'язання конфліктних ситуацій.

Мій професійний досвід складається з двох основних етапів. Перший етап – це робота у Збройних Силах України, де я пропрацював з липня 1999 до серпня 2017 року (18 років 8 місяців) на посаді заступника командира частини різних рівнів.

В цій ролі моїми ключовими завданнями було:

- Управління та координація діяльності особового складу для підтримки високої продуктивності та дисципліни.
- Взаємодія та співпраця з різними командами та стейкхолдерами.
- Участь у проведенні Антитерористичної операції, планування та логістика.
- Спілкування з місією ОБСЄ та співпраця в рамках АТО.
- Підготовка звітів для старшого керівництва.
- Створення сприятливого психологічного клімату у колективі, розвиток командної роботи та розв'язання проблем, пов'язаних із взаємодією персоналу.

Другий етап – це робота у відділі інформаційного забезпечення, де я працював з серпня 2017 по березень 2020 (2 роки 7 місяців) спочатку як офіцер відділу, а потім як керівник відділу.

На цих посадах я займався:

- Керуванням командою, що відповідає за інформаційну сферу.
- Розробкою та впровадженням планів інформаційного забезпечення.
- Координацією заходів, плануванням ресурсів та контролем термінів виконання.
- Розробкою стратегій протидії інформаційним загрозам.
- Управлінням проектами, що стосуються інформаційних систем та веб-технологій, використовуючи методологію SCRUM.
- Розв’язанням технічних та кадрових питань.

На даний момент я зацікавлений у розвитку своїх компетенцій у сфері проектного управління, зокрема в застосуванні Agile методологій. Також, хочу поглибити свої технічні навички у сфері веб-технологій та розробки. Моїм бажанням є здобуття ролі керівника проектів або консультанта з управління проектами, де я зможу застосувати свій досвід та компетенції на благо організації та команди."
222,"Мій розвиток в IT компанії Ispro почався з фахівця з впровадження програмного продукту, налаштування програми, аналізу потреб клієнта, адаптації програмного продукту відповідно до вимог, пошуку рішення щодо оптимізації бізнес-процесів замовника, навчання користувачів. Проекти в основному були в підприємствах виробничого та невиробничого сектору, робота з працівниками бухгалтерського та фінансового відділу. Освоєння технічних задач, написання калькуляцій, автоматизація бухгалтерських кореспонденцій (проводок), запити SQL. Розвиток продовжився з переходом на посаду проджект-менеджера. Основні задачі: постановка задач, контроль виконання робіт, дотримання термінів виконання, зустрічі, переговори, підготовка та ведення проектної документації, робота з командою. Використання методів Scrum, Kanban, Waterfall. Перерва в даній роботі через війну, я першою втратила проекти, які були на стадії успішного впровадження, але опинилися в окупації. Моє бажання розвиватися в сучасній міжнародній компанії, реалізація та здобуття розвитку аналітичних здібностей."
223,"Закінчення курсів під час війни Junior Project Manager. 

Деяку інформацію імплементую на теперішній роботі, завдяки чому рівень customer service та розуміння роботи з клієнтами підвищився. 

Закриття угод з важкими клієнтами стало для мене викликом, а не перешкодою. 

На даний момент я L&D specialist в логістичній компанії. Моя робота включає навчання персоналу customer service (створення курсів, комунікація з клієнтами, яким актуальні курси). 

Веду команду диспетчерів (прослуховую дзвінки на перевірку знань скриптів, рівня англійської та загалом як працюють з клієнтами)."
224,"12-річний досвід створення, підтримки та адміністрування інтернет-магазинів, B2B-порталів, інформаційних порталів, веб-сервісів, форумів, наповнення сайтів текстовою та графічною інформацією.  
Знання адмін-панелей PrestaShop, WordPress, Joomla, Instant CMS, DataLife Engine тощо.  
Розгортання та робота в різноманітних CRM – від Bitrix24 до HubSpot, RedMine тощо.  
Flash, Photoshop, Corel, HTML, CSS, JS.  

На даний час я шукаю роботу, в якій зможу використовувати свої наявні навички та розвиватися далі як професіонал. Я маю більш ніж дванадцятирічний досвід роботи на посаді проєкт-менеджера в різних інтернет-проєктах.  
Раніше до моїх обов'язків входила організація роботи команди фахівців (10-15 осіб) для реалізації проектів різної складності – від підтримки існуючого інтернет-магазину (написання текстів, пошук фото- та відеоконтенту, комунікація з користувачами, пошук нових технологій та їх впровадження в проєкт, пошук та усунення багів, робота з хостингом, контроль за дотриманням термінів виконавцями) до створення нового інтернет-магазину з нуля (розробка прототипів, проєктування front-end та back-end структури, дизайн інтерфейсу, верстка, інтеграція в CMS), наповнення контентом та іншою корисною інформацією.  

Крім того, я відповідальний, дуже мотивований, швидко навчаюсь, завжди на зв'язку, можу працювати за нестандартним графіком та у понаднормовий час. Я завжди доводжу розпочату справу до кінця і завжди налаштований на найкращий результат. Маю дискретне мислення, отож вмію швидко опрацьовувати великі об’єми інформації.  
Я віддаю перевагу довгостроковій постійній співпраці. Я одружений, маю дитину. Мій рівень знання російської та української мов бездоганний і значно кращий, ніж у 90% її носіїв."
225,"Управляюча готелю та директор антікафе з досвідом у управлінні персоналом. Швидко навчаюся та використовую нові знання. Постійно прагну до саморозвитку та вдосконалення. Володію високим рівнем самоорганізації. Маю навички тайм-менеджменту та багатозадачності. Відмінний менеджер з продажу, вмію знаходити контакт з людьми завдяки освіті психолога. Я активна, креативна особистість, яка цінує динамічне середовище та можливість проявляти ініціативу."
226,"У мене є низка досягнень, які я описала в резюме. Наприклад, за шкільних часів я двічі була призером Малої Академії наук. Це стало можливим завдяки кропіткій роботі та гарним презентаційним навичкам, тому, коли потрібно буде презентувати новий продукт або готову частину роботи – я зможу це зробити.

Впровадити у загальний шкільний розклад три нові навчальні предмети мені дозволили емпатія і вміння розуміти потреби людей; і ці ж навички допомогли на посаді менеджера з продажів – я змогла увійти до переліку 15-ти кращих менеджерів компанії.

На кожному попередньому місці роботи я змогла принести користь своїми якостями й навичками, тому вірю, що так буде і цього разу. Найцінніше, що є в житті – це досвід. Та й він приходить не до всіх, а лише до тих, хто прагне його здобути. І хоча я тільки вчитимусь бути проджект-менеджером, проте вірю, що можу стати у нагоді зі своїм досвідом.

Працюючи менеджером підтримки, я навчилась розуміти потреби клієнтів і знаходити окремий підхід до кожного. Коли працювала менеджером з продажів, моїм основним обов’язком було будувати довготривалі довірчі стосунки з клієнтами, тому я розумію, як це робити, і чому потрібно. А будучи асистентом в освітніх закладах, я піклувалась і про атмосферу в колективі, і про організацію роботи, щоб діти відчували себе вільно, виконуючи свої навчальні обов’язки.

Я розумію, що бути проджект-менеджером нелегко, бо ця спеціальність охоплює безліч різних галузей і процесів, а також потребує стресостійкості і постійного розвитку, тому часто проходжу курси заради отримання нових компетенцій. Маю за плечима закінчені курси по Atlassian Jira та за спеціальністю QA Manual. Зараз у процесі проходження курсу Project Manager Essentials.

Я готова вчитись і далі, щоб принести якогомога більше користі своїй майбутній команді. Продуктивна взаємодія з людьми – це важлива частина життя проджект-менеджера, тому я готова активно використовувати свої софт- і хард-скіли, щоб зміцнити команду і забезпечити розуміння як цінності продукту, так і частин виконаної роботи.

Я прагну знайти не просто місце, де проводитиму майже всі будні дні, а робоче середовище, в якому можна постійно розвиватись і втамовувати жагу до знань.

Я буду рада поділитись своїм досвідом і переймати його від більш досвідчених колег, а також розумію, що зручніше працювати разом, тому розглядаю можливість переїзду.

Робочий колектив – це про спільну мету й згуртованість, і дуже добре, коли є спільні інтереси та захоплення, тому, якщо колеги збираються після роботи, щоб у щось пограти, я залюбки приєднаюсь, бо розділяю любов до ігор."
227,"Належу до аніматорів-волонтерів ораторії Св. Доменіка Савіо, є членом Ради Ораторії, де плануємо заходи на рік та займаємось розвитком ораторії. Є старостою групи. Працювала в магазині продавцем-консультантом (використовувала, як підробіток). На даний момент в пошуку роботи. Маю велике бажання розвиватись в напрямку IT, на посаді Project Manager/Team Leader. Відкрита до нових пропозицій та можливостей."
228,"Продовження роботи та збільшення рівня продажів навіть в умовах карантину та війни. 

На останнє місце роботи влаштовувався звичайним продавцем, але окрім продажів здобув досвід управління командою, організацією роботи, розробки та запуску власної продукції компанії. Після чого задумався про спеціальність проджекта, оскільки я себе гарно проявив і вважаю, що обовʼязки схожі.

Протягом останніх 3 років в мої обовʼязки входило: контроль залишків на складах, закупка товарів, оптовий продаж, ціноутворення, контроль та організація всіх процесів. Можу впевнено сказати про свою стресостійкість, багатозадачність та відповідальність.

На мою думку, на будь-якій роботі твій заробіток залежить, в 90% випадків, від тебе самого, а гроші я люблю. 

Звісно, безпосереднього досвіду роботи саме на позиції Project Manager немає, але є велике бажання його здобути!"
229,"Працюю у банківській сфері 1,5 роки на посаді кредитного спеціаліста. Основні обов'язки: верифікація документів, продаж банківських продуктів, формування документації по кожному клієнту. Має бажання спробувати себе в сфері ІТ та працювати віддалено."
230,"Професійний резюме

Маю здатність швидко освоювати нові навички, що забезпечує задоволеність клієнтів.

Досвід:

1. Власна справа:
   - Розробка та реалізація ідеї, що призвела до покращення існуючого проекту.
   - Виконання всіх задач самостійно, включаючи пошук підрядників, комунікацію з постачальниками та клієнтами.
   - Розвиток і вдосконалення товарів та послуг.
   - Використання методології Waterfall на етапі підготовки та Agile під час виконання проекту.

2. Проект у сфері навчання:
   - Розробка та впровадження нової системи навчання.
   - Перегляд підходів до навчання та адаптація до змін у роботі.
   - Оцінка актуальності навчальних матеріалів.

Наразі працюю в напрямку web development і шукаю можливості для подальшого розвитку своїх навичок у комфортному середовищі."
231,"Некомерційний досвід  
Розуміння основ управління ІТ-проектами (процеси, документи, життєвий цикл проекту та ІТ-продукту)  
Застосування soft skills для формування, розвитку та управління командою проекту  
Здійснення планування: формування графіків та кошторису відповідно до вимог проекту  "
232,"Нема досвіду роботи  
Хочу керувати проектом з чудовою командою  
Залюбки можу займатися тестуванням як QA, якщо є така ціль."
233,"Нещодавно закінчила курси Genius.Space з проджект менеджменту. Маю досвід роботи асистентом продюсера на анімаційній студії, де виконувала обов'язки з управління командою, видачі та контролю задач, оформлення документації, а також відстеження робочого часу аніматорів. Хочу розвиватися в цьому напрямку і швидко навчаюсь новому."
