,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free
98342,"Team Leader, Search for Lost and Found Animals Project

Key Skills:
- Conducting research
- Meeting deadlines
- Proficient in computer graphics programs: Figma, Illustrator, Photoshop
- Teamwork experience
- Developing layouts for websites, web, and mobile applications

Projects:
- Search for Lost and Found Animals: Analyzed competitors, developed site map, site functions, and adapted the site to achieve the project's main objective of quickly finding lost animals and reuniting them with their owners.
- Furniture Store Landing Page: Analyzed competitors, selected references, created a prototype, and designed a user-friendly UI page.

Experience:
- Participated in the development of an animal search site as part of a social project.
- Led a team in the Search for Lost and Found Animals project, focusing on responsibility and teamwork.

Career Goal:
To work and develop as a UI/UX designer in a team of professionals, continuously improving skills and acquiring new ones to enhance competence."
98343,"Here is the rewritten resume:


Education and Training:

Projector Institute
UX/UI Design Course
Skills: Typography, Auto Layout, Wireframe, Prototype

Coursera
Foundations of User Experience (UX) Design (Google)
Skills: User Experience, Wireframe, Prototype, UXD

Current Studies:
Projector Institute
UX Design
Currently Enrolled"
98344,"UI/UX Designer

Summary:
Results-driven UI/UX designer with experience in creating MVPs, wireframes, and designing interfaces for websites and mobile applications. Skilled in using Design Systems to speed up project development and deliver high-quality results.

Education:
Courses UI/UX Designer at GoIT school (Feb. 2023 - Aug. 2023)

Projects:
- Landing page ""Rainbow"": Redesigned an existing kindergarten website to improve user experience, allowing easy appointment booking and curriculum selection.
- Web-service ""CleanHouse"": Collaborated in a team of three to develop a service connecting users with cleaning service providers, including registration for cleaner positions.
- Mobile App ""MY BRAND"": Worked in a team of two to create an e-commerce application with online shopping and home delivery capabilities.

Skills:
- Translating abstract ideas into concepts and wireframes
- Creating Minimum Viable Products (MVPs)
- Team collaboration and project participation
- Designing interfaces for websites and mobile applications
- Utilizing Design Systems for efficient project development

Career Goals:
Seeking a company that values its employees, where I can contribute my skills, gain experience, and grow into a valuable team member."
98345,"Summary:
Highly detail-oriented designer with experience in creating engaging e-commerce platforms, landing pages, and mobile app interfaces.

Experience:
- Designed visually appealing and user-friendly interfaces for e-commerce platforms, landing pages, and mobile apps
- Collaborated with clients to understand project requirements and deliver tailored design solutions
- Applied design principles and responsive techniques to ensure seamless user experiences
- Utilized Figma for efficient prototyping and iterative design processes
- Ensured precise implementation of designs, paying close attention to detail
- Demonstrated effective communication skills, consistently meeting project deadlines and delivering high-quality results."
98346,"UI/UX Designer

Key Projects:
- Created UI/UX design concept for an online perfume store, including prototype development, user flow creation, and UI visualization of 18 web pages, culminating in a comprehensive presentation.
- Redesigned the landing page, which involved preparing analysis documentation, prototyping, and developing a UI page concept with both light and dark versions, as well as an adaptive version to ensure cross-platform compatibility."
98347,"Recent Graduate in Projector School
Completed coursework in two courses, with a focus on practical application
Created multiple real-world projects, including:
  E-commerce design
  Landing page design
  Non-profit organization design
Utilized skills in:
  Concept and prototype creation
  Presentation and communication
  User research through interviews
  UI Kit creation in Figma
Seeking a role that combines practical experience in photography, web design skills, and theoretical knowledge in sociology to drive professional growth and development."
98348,"Web Developer and Designer
- Created turnkey sites with 100% positive customer feedback
- Developed and assembled sites using a constructor
- Designed and developed games, including animation and visual elements
- Proficient in Figma
- Familiar with Photoshop and Illustrator, with access to a MacBook for design work"
98349,"Creative and friendly UI/UX designer with a passion for creating user-centered designs that meet business goals. Proven experience in graphic design, marketing, and analysis, with a strong ability to empathize with users and understand their needs.

Experience:
2021-2023
Graphic Designer - Electro House company
- Developed website and mobile application design, supported and filled content for the main website and online store.
- Created commercial offers, presentations, and mailings.
- Worked on packaging, creating stickers, decals, and instructions.
- Designed printing products, including catalogs, booklets, and business cards.
- Designed and filled social networks with graphic content.
- Created banners for the company's website and partners' websites, and filled the website with graphic content.
- Conducted product photography, photo processing, and retouching.

2020-2022
Graphic Designer - ""Fact"" publishing house (project-based work)
- Created layouts for book covers, souvenir products, and printing products.

2020-2021
Marketer and Designer - Regional medical center
- Developed outdoor advertising design, including banners, posters, and signs, using CorelDRAW.
- Created polygraphy for internal needs, including gift certificates, diagrams, and presentations.

2016-2022
Kharkiv Specialized Music and Theater Library named after K.S. Stanislavsky
- Collected data, prepared reports, and analyzed work, including planning and conducting methodical hours.
- Conducted advertising activities, including social media management, poster design, and layout creation.

Education and Skills:
Completed classes in UI/UX design, with skills in:
- Developing interface design for web and mobile applications
- Creating user journey maps
- Analyzing competitors
- Creating personas and empathy maps
- Empathizing with users and understanding their needs
- Generating ideas and proposing new ways to implement business ideas."
98350,"I have been studying for 4 months, during which I completed 1 successful team project and 2 individual projects, showcasing my core technical skills, organizational ethics, and discipline.

As a detail-oriented individual, I take pride in creating functional websites, with a strong focus on UX/UI design. My portfolio comprises three projects that demonstrate my expertise in this area.

The first project, a Landing page, highlights my ability to create user-friendly experiences through competitor research, mood board creation, and UX/UI design.

The second project involved redesigning the India Cafe website, where I conducted a website analysis, worked on UX/UI design, and addressed aspects such as color schemes, responsiveness, typography, and prototyping. I also created a UI kit and prepared the project for Behance.

The third project, a web service for finding lost or misplaced pets, showcases my skills in analyzing competitor web services, creating user personas, defining user flow, and designing systems. I incorporated features like pop-ups and a donation feature for animals in need.

Currently, I am enrolled in UI/UX design courses at GOIT, where I have acquired valuable skills in developing mobile and desktop applications.

My technical skills include designing user interfaces for various platforms using tools like Figma, Adobe Photoshop, and Adobe Illustrator. I have experience with color schemes, typography, UI kits, grid systems, website design prototyping, and mobile app development.

Key areas of expertise include:
Education and mentorship
Project participation
UX/UI process involvement
Team collaboration
Gradual growth
Professional development"
98351,"Dedicated and self-motivated UX/UI Design enthusiast with 3 years of self-study experience. Proven ability to work independently on freelance projects and personal initiatives, with a portfolio showcasing completed works. 

Key projects include the development of 4ROLL — Dungeons & Dragons Digital Game Companion App, featured on Behance and Dribbble. Although currently lacking direct company experience, a strong desire to acquire hands-on experience in a professional setting drives continued skill development and knowledge enhancement."
98352,"Recent Education and Training

* Completed courses:
	+ ""Fundamentals of Graphic Design"" (Coursera)
	+ ""Fundamentals of Design"" (Creative Practice)
	+ ""Graphic Design. Composition"" (Creative Practice)
	+ ""UI/UX. Projecting and design of interfaces"" (Creative Practice)
* Watched video courses:
	+ ""Profession Graphic designer"" (Genius space)
	+ ""Profession Web designer"" (Genius space)
	+ ""Profession UX/UI designer"" (Genius space)
* Currently enrolled in:
	+ ""Web design + layout"" (Alpaca school)

Skills and Areas of Interest
* Graphic design
* Web design
* UI/UX design

Personal Statement
As a beginner in the design field, I have been actively developing my skills over the past year through various courses and training programs. I am eager to learn and gain practical experience, and I am looking for guidance and support as I start my career."
98353,"Architectural and Construction Engineer
Seeking to transition into UI/UX Design

Completed UI/UX Design Course, IMT Academy
Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
Freelance Designer Experience
Portfolio available on Behance, featuring training projects"
98354,"Data Entry
Health App Ornament
Aug 2020 - Feb 2023

Data Entry Specialist
- Entered user data from various sources including recipes, recommendations, and extracts
- Executed instructions and directives from the director to ensure efficient operations

Technical Support Consultant
IT Con Gaming
Jan 2017 - Jun 2020

Technical Support Consultant
- Provided technical assistance to users via multiple channels, including email, phone, and online correspondence
- Managed payment processing and generated reports to track performance and progress"
98355,"**Summary**
Highly motivated and detail-oriented individual with experience in designing and developing various projects, including a dating app, pet search web service, landing page, and website redesign. Proficient in analyzing user behavior, creating user-friendly interfaces, and working collaboratively in a team.

**Projects**

* **Pet Search Project (Team Work)**
	+ Conducted competitor analysis and created JTBD and dog walker persona
	+ Developed ad creation and services sections
* **Dating App**
	+ Designed and developed a dating application based on artificial intelligence
	+ Analyzed user behavior through smartphones and apps to suggest compatible pairings
* **Pet Search Web Service**
	+ Contributed to the development of a website to help lost animals find their owners
	+ Implemented geolocation search and filter functionality
	+ Added sections for finding dog sitters and dog walkers
* **Landing Page Citroen S4**
	+ Created a landing page design to present the Citroen C4
	+ Utilized brand-specific color schemes and highlighted model advantages
* **Redesign Website CrossFit CENTRAL**
	+ Redesigned the website with a fresh visual design and harmonious colors
	+ Implemented UX solutions to improve user navigation

**Values and Work Environment**
* Focus on results and design
* Open team with mutual respect and friendly atmosphere
* Possibility of partially remote work
* Corporate training and development opportunities
* Career growth potential"
98356,"Dec. 2021 - Present
Marketing Designer, Inoxoft
- Development and updating of the company website
- Mentoring
- Design of marketing materials
- Creation of corporate presentations
- Design of branded products
- Development of case studies for Behance and other platforms

Oct. 2022 - Present
Part-time Teacher of Digital Design for Children, GoITeens - IT Academy for Teens and Kids
- Teaching digital design to children

May 2019 - Dec. 2021
Graphic Designer and Illustrator, Awkward Styles
- Website design
- Development of illustrations and prints for company products

2017 - 2022
Freelance Graphic Designer and Illustrator
- Development of banners and print products
- Creation of illustrations
- Instagram design"
98357,"Results-driven professional with experience in crisis management and customer service. 

CALL CENTER OPERATOR
Delivery, May 2021 - Present
- Effectively resolved crisis situations and restored normal operations, ensuring minimal damage to the company.

SMM SPECIALIST
Web Studio, 2019 - 2021

CALL CENTER OPERATOR
Sociology, June 2020 - August 2020

Highly motivated team player seeking a role that offers collaboration, feedback, and opportunities to contribute to large projects, drive customer satisfaction, and deliver high-quality products."
98358,"Results-driven design enthusiast with a passion for staying up-to-date on the latest tools and trends. Strong understanding of the design process and fundamental principles of effective design.

Key Project:
Designed a platform for pet owners as part of a UI/UX training course, where I conducted user research, created user stories, job stories, and user flows, developed low-fidelity prototypes, and designed high-fidelity prototypes.

Proficient in:
Photoshop, Figma, Axure, InVision

Previous experience as a Social Media Manager (SMM) and Content Specialist. Seeking opportunities to apply acquired skills and knowledge, and gain further experience in the design field."
98359,"Design is the way of thinking, and you need tools to implement your thinking into vision.

I utilize various tools to bring my ideas to life, including:
- Figma (Prototyping, Wireframes, Customer Journey Maps, Mind Maps, Animations, UX Research, UI Creation, Landings, Adaptive Design, Documentation, Mockups)
- After Effects (Custom Motion Animations)
- Premiere Pro (Video Editing for Website Content)
- Photoshop (Image Editing)
- Illustrator (Graphic Design)"
98360,"Here is the rewritten resume in a more traditional and polished format:


Web Development Experience

* Redesigned the Alaska Peters website, a barbecue restaurant located in New York, USA. Improved the site's visual appeal by updating the design and menu, replacing low-quality photos, and providing more comprehensive information for clients.
* Developed Clin Fix, a web service that connects users with service providers for tasks such as cleaning and gardening, and facilitates connections between workers and customers."
98361,"Results-driven designer with experience in creating identities from scratch and driving website traffic growth. Successfully contributed to a start-up organization's recognition by developing its online presence.

Key Skills:
• Design and redesign of websites, landing pages, dashboards, and mobile apps
• Responsive design expertise
• Corporate style and identity development
• Prototyping and UI kits creation
• Design of POS materials, preparation for printing, and souvenir products
• Web banners and graphic materials design for social media
• Infographics and presentations design
• Photography and digital image processing

Achievements:
- Created a website from scratch, increasing new customer visits to the organization
- Developed web banners and graphic materials, resulting in increased traffic to the website and official Facebook page

Education:
- Completed UI/UX & Web Design courses in 2018

Career Aspirations:
Seeking a role in an international IT company, preferably in product development, where I can work on complex projects alongside a team of professionals."
98362,"Recent Achievements and Experiences

Hackathon Participant and Winner
- Attended lectures on gender inequality, stereotypes, and engineering specialties
- Collaborated in a team to develop an innovative idea for a chat-bot designed to interest girls in engineering specialties
- Contributed to the creation of a chat-bot in an online girlfriend mode, featuring a test to guide users in choosing a specialty, with the assistance of a prophorientologist in composing relevant questions

Technical Skills and Projects
- Developed databases for an automated hospital employee workstation using SQL Management Studio and Visual Studio in C# for a course project

Current Studies and Professional Development
- Currently studying UX design through a Google course
- Building a professional portfolio
- Seeking an internship to apply skills and knowledge in a practical setting"
98363,"Volunteer Website Designer
Developed impactful landing pages and websites for various clients, including a dog shelter website design for a volunteer organization
Collaborated closely with cross-functional teams to ensure user-centered design solutions
Translated client requirements into visually appealing and intuitive user interfaces
Implemented effective usability testing methodologies to identify areas of improvement
Contributed to the overall success of projects by delivering high-quality designs on time"
98364,"UX Designer & Researcher

Pet Project: Panic Attack Application
Designed an application for individuals experiencing panic attacks, focusing on self-education and panic attack reduction.

Project Experience:
Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka
- Collaborated on a team project (4 months, 5 weeks of project duration)
- Held roles of UX Researcher and UI Designer, contributing to the development of a pet-project as part of the course curriculum."
98365,"UX Designer and Developer

Currently enrolled in UX skill improvement courses through Google and Coursera, with 2 out of 7 courses completed, aiming to enhance skills in user experience design.

Project Experience:
- Developed a subscription-based charity website design, analyzing competitors and highlighting the charity's unique aspects to present project information concisely and clearly.
- Designed the website from scratch within a tight deadline, with ongoing improvements based on previous results.

Projects:
- Save Ukraine Now (IF) 1 Day Donate"
98366,"Designed a website for Devin
Participated in the development of various company projects
Contributed to the design of a mobile application for an insurance company

Devin
April 2021 - July 2021
Freelance
July 2021 - November 2021

Key Responsibilities:
- Created and developed products to maximize effectiveness and solve user problems
- Utilized skills to improve product usability and user experience"
98367,"Results-driven and motivated IT enthusiast seeking to leverage self-study experience in UX/UI design and Figma to secure a role in the industry. Proven ability to quickly learn and adapt to new concepts and technologies. 

Key skills: 
- UX/UI design
- Figma
- Quick learner
- Strong work ethic

Professional experience:
Sales Manager
- Managed sales operations
- Developed strong communication skills

Printing Company
- Contributed to the production of plastic cards
- Assisted in printing project documentation

Education and Projects:
- Self-study project in UX/UI design using Figma
- Currently expanding knowledge and skills in IT and design fields"
98368,"UI/UX School - Genesis Academy
Complex Internet Marketing course at Para school
Web Design Junior, Web Design Beginning courses at Projector

Internship at Star Company
- Contributed to the development of 2 projects: 
  - App for document verification
  - Group of apps in sport and health with a racing theme
- Utilized design tools: Figma, Adobe Photoshop
- Responsibilities included:
  - Screens design development
  - Adaptation to iOS/Android platforms
  - Creating screenshots of the app for App Store and Google Play listings"
98369,"UX/UI Design Enthusiast

Summary:
Highly motivated individual with a strong foundation in UX/UI design principles, gained through the completion of Google's UX/UI design course on Coursera. Proficient in creating intuitive and attractive interfaces, with a passion for continuous improvement and providing high-quality, user-friendly solutions.

Education:
- Completed Google's UX/UI design course on Coursera, mastering basic design principles and learning to effectively utilize tools and programs for interface design.

Experience:
- Successfully completed three UX/UI design projects as part of the Coursera course, applying theoretical knowledge to practical design challenges.
- Developed and refined skills through personal projects, exploring various design styles and approaches to enhance creativity and proficiency in website and app design.

Skills:
- UX/UI design principles
- Interface design
- Proficiency in design tools and programs
- Continuous learning and self-improvement
- High-quality and user-friendly solution design
- Creativity and adaptability in design approaches"
98370,"Dedicated and conscientious professional with strong social skills and ability to work effectively in a team, receptive to constructive criticism.

Education and Skills:
- Acquired foundational knowledge of web design, including moodboards, grids, typography, UI-kits, and adaptation.
- Proficient in UI/UX design for web and mobile applications, with expertise in full-cycle design: task analysis, interface prototyping, visual style creation, and implementation of usable and simple end products.

Projects and Experience:
- Designed a website for apartment sales, applying learned principles of web design.
- Collaborated with fellow students to develop a web service, mastering principles of persona, user-flow, and smart animation.
- Created a mobile application, further enhancing UI/UX skills.

Professional Approach:
- Emphasis on results-oriented design and open teamwork.
- Values mutual respect, friendly atmosphere, and the possibility of remote work arrangements.
- Believes in corporate training, development, and career growth opportunities.

Specialization:
UI/UX design for web and mobile applications, with a focus on creating effective, user-friendly products that drive results and profitability."
98371,"UI/UX Designer

Summary:
Results-driven UI/UX designer with experience in creating intuitive and aesthetic interfaces for websites and mobile applications. Proven ability to conduct user research and analyze competitors to design simple and understandable interfaces.

Education and Projects:
Completed UI/UX Design courses, creating 5 projects including:
- Flower Lover: a visually appealing landing page for flower delivery services, allowing users to explore options, place orders, and access delivery information.
- House Hopper: a web service for finding and booking accommodation, providing users with functions to search properties, make reservations, and access travel information.
- Additional projects: landing pages, websites, and a mobile app, demonstrating versatility in design capabilities.

Skills and Experience:
- User research and competitor analysis
- UI/UX design for websites and mobile applications
- Creation of intuitive and aesthetic interfaces
- Experience with landing pages, websites, web services, and mobile apps

Career Goals:
- Join a team working on impactful projects that enhance users' lives
- Contribute to innovative and high-quality UX/UI solutions
- Pursue continuous growth and learning in UX/UI design
- Collaborate with experienced professionals to support professional development
- Work in a team environment where ideas and knowledge are shared among colleagues."
98372,"Team Leader, ""Techgen IT"" Project
Managed designers, organized work, and distributed tasks
Communicated with developers, explained design solutions, and demonstrated design animations

Key Accomplishments:
- Designed user interfaces (UI) and user experiences (UX)
- Prototyped interfaces and tested them with user research for usability and efficiency
- Utilized design tools such as Figma, Adobe Photoshop, and Adobe Illustrator

Freelance Experience:
Team Lead UI/UX Designer, Multi-page Website
- Coordinated a team of young designers to design the user interface for an IT Community
- Planned and managed the project

UI/UX Designer, Landing Page
- Designed a user interface for a company providing house design services, including a business card landing page with completed projects and services

UI/UX Designer, Mobile Application
- Designed a mobile application for searching and buying air tickets, focusing on a user-friendly interface

Personal Statement:
I am a responsible and proactive individual with work experience, seeking a company where I can contribute my knowledge and skills. I am open to constructive criticism and driven by result-oriented actions."
98373,"Team Leader & UX Designer

Projects:

* Team Project: ""Neaty Kitty"" - webservice for a cleaning company
	+ Conducted thorough analysis of similar services and target audiences
	+ Created Customer Journey Map (CJM) and Userflow
	+ Designed a convenient and uncluttered website for cleaning services using Bootstrap 5 design system
* Team Project: ""Tap the Table"" - mobile application for booking restaurant tables
	+ Collaborated on analysis, userflow, CJM, wireframes, design, and prototyping
* Personal Project: Redesign of ""Yours Sports Bar"" website
	+ Analyzed existing website and competitors
	+ Created wireframes and design for laptop, tablet, and mobile
* Personal Project: Tattoo Studio landing page design
	+ Created self-made project from references and analysis of similar landing pages
	+ Designed wireframes and final design

Tools: Figma
Portfolio: Available on Behance

Education: GoIT

Experience: Team Leader in two team projects, with a strong background in UX design and collaboration."
98374,"UI/UX Designer

Summary:
Novice UI/UX designer with experience in team projects and personal designs, skilled in design cycle completion and collaboration.

Experience:
Team Projects:
- ""Lost Pets"" web-service for missing animal search: analyzed competitors, created personas, developed low and high-fidelity prototypes, and filled with high-quality content.
- Mobile application development: contributed to the design process as part of a team.

Personal Projects:
- Redesign of a hotel and restaurant complex
- Landing page design for Citroen C4 test drive: met brief requirements, analyzed competitors, and modernized the site.

Skills:
- UI/UX design
- Team collaboration
- Individual work
- Design cycle completion
- Competitor analysis
- Persona creation
- Prototyping
- Content creation

About:
Ready to actively learn and develop new skills, with the ability to work effectively both individually and in a team."
98375,"Here is the rewritten resume:


Training Course Experience

During training courses, I gained hands-on experience in designing various digital products, including landing pages, websites, web services, mobile applications, and adaptive designs.

Key Project: Openmind Web Service

As part of a team, I contributed to the development of Openmind, a web service for couchsurfing that connects users worldwide for free housing in exchange for work. The project involved:

* Conducting competitor analysis to identify strengths and weaknesses
* Creating personas, user stories, and understanding user problems and needs
* Developing user flow, detailed wireframes, and improving UI

My responsibilities included:

* Designing a profile card for a host user
* Developing UI and UX design for the host profile, including registration, housing addition, profile management, and dialogue features
* Ensuring adaptive design for mobile phones and tablets
* Creating a UI kit for the project"
98376,"Julia
UX/UI Designer

Summary:
Passionate and detail-oriented UX/UI designer with experience working independently and as part of a team. Proficient in Figma and ProtoPie, with a strong foundation in design principles and a drive to continue learning and growing.

Experience:
UX/UI Designer (Course Projects)
- Designed and developed multiple projects, including mobile apps (Buyland, library app, flower app) and websites (Clean Up, IT school dashboard, Mainsail Realty Company)
- Utilized Figma for interface design, wireframing, and prototyping
- Applied ProtoPie for adding animations to enhance user experience
- Conducted competitor analysis, defined target audience personas, and mapped user journeys
- Collaborated with team members on group projects, ensuring effective communication and a cohesive design approach

Education:
- Completed UX/UI design course at GoIT

Skills:
- UX/UI design
- Figma
- ProtoPie
- Wireframing
- Prototyping
- User research
- Team collaboration
- Attention to detail

Career Goals:
Seeking a challenging role that offers opportunities for personal and professional growth, allowing me to apply my skills and knowledge to meaningful and impactful projects."
98377,"Results-driven freelancer with a passion for creating stylish, high-quality, and user-friendly designs. Proven experience in developing effective online platforms, including landing pages and online stores, with a focus on modern trends and best practices.

Key Skills and Experience:
- Designed a landing page for a jewelry store to attract a wider audience, as well as developed advertising banners and creatives.
- Currently engaged in self-training through various educational projects to enhance design skills in multiple styles.
- Daily improvement of design skills, with a keen eye on following the latest design trends.
- Proficient in creating online stores, landing pages, creative banners, and mobile interfaces.
- Adheres to the principles of correct project design sequence, including sketching and prototyping.
- Understands the fundamentals of user interface perception and compositional interface construction.

Open to collaborating on diverse projects, including e-commerce platforms, landing pages, and mobile application interfaces, with a commitment to delivering high-quality, easy-to-use designs."
98378,"Participated in a social project: development of a website for volunteers.

Experienced user of:
- Figma
- Photoshop
- Illustrator
- Corel Draw
- Canva

Understanding of:
- Principles of usability and UX methodology
- Principles of graphic design, typography, and color

Experience in:
- Developing websites and mobile applications
- Creating responsive/adaptive design
- Analytical and creative thinking
- Teamwork

Recent projects include:
- Real estate website redesign
- Pet search web-service

Key project stages:
1. Research and planning:
   - Defined main goals and target audience of the site
   - Conducted competitor research and market analysis
   - Compiled user flow and identified interested parties

2. Creation of structure and content:
   - Defined main blocks and elements of the service and site
   - Selected color schemes, fonts, and graphics for a coherent visual experience
   - Analyzed composition and arrangement for ease of perception and usability

3. Development and optimization:
   - Created wireframes using Figma or Adobe Photoshop
   - Developed selling offers and calls to action
   - Designed for ease of perception and use
   - Ensured responsiveness for different devices and screen resolutions
   - Optimized images and media for faster page loading

Able to work effectively individually and in a team, utilizing creative thinking skills."
98379,"**Summary**
Enthusiastic and detail-oriented UX/UI designer with experience in developing web applications, adaptive design, and prototyping. Skilled in Figma, with a deep understanding of UX and UI principles.

**Hard Skills**

* Sitemap and Userflow creation
* Competitor analysis and CA determination
* Typography and color scheme development
* Mood board creation
* UX/UI principles and best practices
* Lo-fi and Hi-fi layout design
* Prototyping and user testing
* UI and UI-kit design
* Adaptive design and responsive layouts

**Soft Skills**

* Effective argumentation and decision-making
* Strong communication and teamwork skills
* Adaptability to project requirements and priorities
* Attention to detail and self-motivation
* Workflow organization and project management
* Time management and prioritization
* Creativity and problem-solving

**Experience**

**E-commerce Project**
Designed and developed an e-commerce website for a new manufacturer, automating the ordering process and creating a user-friendly catalog with filters, sorting, and product cards. Conducted project research, competitor analysis, and user testing, resulting in a successful prototype with high CSAT, completion rate, and task time metrics.

**Landing Page Project**
Developed a landing page to raise awareness about animal adoption, designing an attractive and interactive interface with 10 blocks of content and an interactive form for selecting pets. Conducted project research, secondary research, and brainstorming, resulting in a stylish and effective landing page.

**About Me**
I am a motivated and enthusiastic UX/UI designer with a passion for creating intuitive and attractive interfaces. I thrive in environments with like-minded individuals and am committed to continuous learning and development. With experience in web applications, adaptive design, and prototyping, I am confident in my ability to deliver high-quality designs that meet user needs."
98380,"Junior UX/UI Designer

Summary:
Self-motivated junior UX/UI designer with a passion for detail and experience in furniture and interior design, landing page design, redesign, web services, and mobile applications. Proven ability to create intuitive, aesthetically appealing, and user-friendly interfaces.

Experience:
- Designed landing page for BusinessUp course, meeting extremely tight deadlines.
- Successfully completed projects in landing page design, redesign, web services, and mobile applications.

Project Experience:
- Landing Page BusinessUp by Podvigina: Designed a landing page for the practical course, incorporating a UI kit and animation elements within a tight deadline.
- FinEasy Web Service: Led UX research, created personas, developed user flows, and designed adaptive UI components with engaging animations for a collaborative web service.
- Redesign of Mexican Restaurant Website: Conducted competitor analysis, created wireframes, implemented UI design, and incorporated adaptation and animation to enhance user experience.
- Urban Festival Landing Page Design: Completed the design cycle, including landing page design, competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.

Personal Projects:
- 2 personal pet-projects.

Skills and Approach:
- User-centered design approach with a deep understanding of user needs.
- Ability to craft intuitive, aesthetically appealing, and user-friendly interfaces.
- Open to new challenges and ready to grow within a team of creative professionals."
98381,"2020
Mobios School
UX/UI Design and Mobile Design Courses

2021
Projector
Junior Web Designer Courses by Alex Kim, Den Potapov
Font Logo Courses by Kate Jacushek

Experience:
- Banner design for social media and print outdoor advertising
- Customer briefing
- Basic UX research, including analysis of competitors, business areas, creation of personas, Customer Journey Map (CJM), and User Flow
- Creating interactive prototypes
- Working with typography, grids, colors, mood, and atmosphere
- Designing adaptive landing pages, e-commerce sites, corporate websites, and mobile applications
- Developing project presentations and presenting to clients
- Logo creation"
98382,"UI/UX Designer

Experience:
- Freelance UI/UX Designer (project-based, 1 month)
  - Researched references and created sketches
  - Developed wireframes and prototypes
  - Redesigned an existing application
  - Designed YouTube and Instagram banners and intros
  - Created and redesigned logos

Skills:
- Adobe Photoshop
- Figma
- InDesign
- InVision (basic)
- Illustrator (basic)
- HTML/CSS (basic knowledge, understanding of process)
- English (Advanced)
- Communication skills
- Organizational skills
- Time management

Career Goals:
- Develop expertise in UX design
- Solve UX problems and create exceptional user experiences
- Collaborate with a team of professionals to grow and develop as a designer

Additional Background:
- Active participant in design meetups
- Completed web design marathons
- Maintained a strong portfolio showcasing design capabilities"
98383,"**Summary**
Highly motivated and detail-oriented UI/UX designer with experience in research and analysis, seeking a role in a team of designers where I can continue to learn and grow.

**Education**
* Completion of basic UI/UX course, Hillel IT School
* Completion of UI/UX webinar, GoIt school

**Experience**
Research Manager, Entertainment/Crypto company (1 year 3 months)
* Researched, collected, and analyzed information from target audience to competitors and law policies of target countries
* Participated in UI/UX project and regression testing with QA department (part-time, last month)

**Projects**
* Destin/Tattoo: Competitor analysis, user analysis, and design creation for a tattoo salon website using Figma
* HelpPets: Competitor analysis, typography and UIKit creation, user flow design, and feature ideation for a web-service platform using Figma, Figma mock-ups, and Adobe Photoshop

**Skills**
* UI/UX design
* Research and analysis
* Figma
* Adobe Photoshop
* Team collaboration

**Interests**
* Animations
* Mock-ups
* 3D Design

**Preferences**
* Working in a team of designers
* Using Figma and standard Adobe Kit
* Open to using Miro and similar tools

**Note on Technical Skills**
Not interested in implementing frontend via JS or performing deployment."
98384,"EXPERIENCE

Web Service for Finding Lost Pets (Team Project)
UkrainianPets web service team member, responsible for creating a persona, Jobs-to-be-done, and designing key pages, including ""lost"" and ""found"" animals, ""my ads"", and a form for creating ads. Collaborated with the team to deliver the project.

Redesign of Indian Cuisine Website (Independent Project)
Conducted a redesign of an existing Indian cuisine website, focusing on creating a minimalist design that combined accessibility, structure, and visual hierarchy, resulting in a modern and user-friendly interface.

Flower Shop Landing Page (Independent Project)
Designed a one-page website for a flower shop, aiming to create a modern and user-friendly design that showcased flower arrangements and allowed for easy ordering and delivery.

SKILLS

* User experience (UX) design
* User interface (UI) design
* Web design
* Team collaboration
* Independent project management

CAREER OBJECTIVE
Seeking a full-time position in a company that aims to simplify everyday life and business, offering opportunities for growth, mutual respect, and a friendly work environment."
98385,"UI/UX Designer
2022 - Present

Education and Courses:
Junior Front-end Developer, EPAM University
UI/UX Designer, Taras Shevchenko

Experience:
Created web pages, blog site designs, and blogs
Designed branded materials, including company logos, social media posts, and illustrations
Developed designs for mobile and web applications, including one for Vinnitsa National Technical University (JetIQ)

Delivered attractive and user-friendly designs for various clients, including small businesses
Collaborated with clients and development teams to ensure successful project implementation
Developed corporate identities and illustrations using Figma, Illustrator, Photoshop, and Procreate
Designed and developed websites meeting client needs, from concept to responsive HTML5/CSS3 pages (including SASS and SCSS), with clear and understandable code

Applied UI/UX principles and understanding of user needs, working within existing brand guidelines to create functional and attractive products

Skills:
UI/UX Design (Figma)
Illustrations (Adobe Illustrator, Adobe Photoshop)
HTML, CSS (SASS, SCSS)

Commercial Experience:
JetIQ (2022-2023)
- Design creation
- Wireframe development
- Component creation
- Layout design

Notable Projects:
Anitime - Mobile application for watching anime
Innovexa - Landing page for a company providing data security services"
