,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
98350," ---

**[Your Name]**

*UX/UI Design Student (4 months)*

**Projects:**

*Landing Page*
- Performed competitor research
- Created a mood board and focused on user-friendly experience
- Designed UX/UI, including layout and visual elements

*India Cafe Website Redesign*
- Analyzed current website and identified areas for improvement
- Designed UX/UI, incorporating color schemes, responsiveness, typography, and prototyping
- Created a UI kit and prepared the project for Behance

*Lost Pet Web Service*
- Analyzed competitor web services
- Created user personas and defined user flow
- Designed UX/UI, incorporating features like pop-ups and a donation feature for animals in need

**Skills:**
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
- Strong understanding of design principles, including color schemes, typography, and grid systems
- Experienced in website design prototyping and mobile app development
- Committed to organizational ethics and discipline
- Strong team collaboration skills
- Passionate about learning and staying current on new design trends

**Courses:**
- Currently taking UI/UX design courses at GOIT, gaining valuable skills in developing mobile and desktop applications, as well as other related areas

**Additional Strengths:**
- Gradual growth and professional development
- Enjoys seeing websites work perfectly, considering it the best reward
- Feels best when learning new things, considering it a life force."
98351,"Self-taught UX/UI Designer with 3 years of self-study and 4 completed freelance projects, including 4ROLL - Dungeons & Dragons Digital Game Companion App.

Freelance Projects:
[List of freelance projects, including descriptions and links if available]

4ROLL - Dungeons & Dragons Digital Game Companion App:
A mobile application designed to assist Dungeons & Dragons players in organizing and enhancing their game experience. Featured on Behance and Dribbble.
Behance: [link]
Dribbble: [link]

Education:
Self-study in UX/UI Design (3 years)

Skills:
Design tools (Sketch, Figma), research methods, user testing, highly motivated and eager to gain hands-on professional experience."
98352,"Here is the improved resume:

Courses & Training:

* ""Fundamentals of Graphic Design"" - Coursera
* ""Fundamentals of Design"" - Creative Practice
* ""Graphic Design. Composition"" - Creative Practice
* ""UI/UX. Projecting and Design of Interfaces"" - Creative Practice
* Watched videos from the courses: ""Profession Graphic Designer"", ""Profession Web Designer"", ""Profession UX/UI Designer"" - Genius Space
* Currently enrolled in ""Web Design + Layout"" - Alpaca School

Skills & Experience:

* Enthusiastic designer with a solid foundation in Graphic, Web, and UI/UX design
* Completed various courses and training programs, with a year of focused study and practice in the field of design
* Currently expanding Web Design and Layout skills through ongoing coursework
* Eager to apply and further develop design skills and knowledge in an entry-level role."
98353," **[Your Name]**

Contact Information:

* Email: [your email]
* Phone: [your phone number]
* LinkedIn: [your LinkedIn profile]

**Objective:**

Seeking a UI/UX Designer position to apply my design skills and knowledge gained from my coursework and freelance experience.

**Skills:**

* Proficient in Figma, Adobe Photoshop, and Adobe Illustrator
* Strong understanding of user-centered design principles
* Excellent visual design skills
* Ability to create wireframes, prototypes, and high-fidelity designs
* Collaborative and communicative, with a great desire to continue developing my skills in UI/UX design

**Experience:**

_Architectural and Construction Engineer_
[Current Company]
[Location]
[Employment Date]

* Designed and oversaw the construction of various architectural projects
* Applied engineering principles and utilized software to create detailed designs and plans
* Collaborated with clients, architects, and construction teams to ensure successful project completion

_Freelance UI/UX Designer_
[Self-Employed]
[Location]
[Employment Date]

* Designed user interfaces and experiences for various clients
* Utilized Figma, Adobe Photoshop, and Adobe Illustrator to create wireframes, prototypes, and high-fidelity designs
* Collaborated with clients to understand their needs and ensure the final product met their expectations

**Education:**

_UI/UX Design Course_
IMT Academy
[Location]
[Graduation Date]

**Portfolio:**

Behance: [link to portfolio]

(Note: The portfolio should showcase your best work and demonstrate your skills and abilities as a UI/UX designer.)"
98354,"Data Entry Specialist
Health App Ornament
August 2020 - Present

- Accurately entered user data from recipes, recommendations, and extracts, ensuring attention to detail
- Followed director's instructions to meet project goals and deadlines

Technical Support Consultant
IT Con
Gaming
January 2017 - June 2020

- Consulted users on technical issues, providing solutions through phone, email, and online chat
- Managed payments and generated reports to track and analyze customer interactions and support metrics."
98355," Dating Application
- Developed AI-based dating application
- Analyzed user behavior through smartphones and apps
- Implemented machine learning algorithms for compatible pairings

Pet Search Web Service (Team Project)
- Created pet search web service with geolocation search and filter application
- Implemented sections for dog sitting and dog walking services
- Designed user-friendly interface with calming and visually appealing tones

Citroen C4 Landing Page
- Designed visually appealing and informative Citroen C4 landing page
- Implemented Citroen-specific color schemes
- Highlighted Citroen C4 model's advantages and unique features

CrossFit CENTRAL Website Redesign
- Redesigned CrossFit CENTRAL website with fresh visual approach
- Utilized harmonious colors aligning with CrossFit brand
- Implemented UX solutions for easy site navigation
- Focused on results, design, and open team culture
- Encouraged mutual respect and friendly atmosphere
- Offered partial remote work options
- Provided corporate training and development opportunities
- Promoted career growth within the company."
98356,"Dec. 2021 - Present
Marketing Designer, Inoxoft
- Developed and updated company website using HTML, CSS, and JavaScript
- Mentored junior designers through weekly meetings and project feedback
- Designed marketing materials and corporate presentations using Adobe Creative Suite
- Created branded products for the company, including merchandise and promotional items
- Produced case studies for Behance and other platforms, highlighting project details and results

Oct. 2022 - Present
Digital Design Teacher (Part-time), GoITeens - IT Academy for Teens and Kids
- Taught digital design to children aged 10-17, covering topics such as typography, color theory, and composition
- Developed and implemented lesson plans and activities to engage students and reinforce learning
- Provided constructive feedback and support to students throughout the course

May 2019 - Dec. 2021
Graphic Designer and Illustrator, Awkward Styles
- Designed and developed the company website using WordPress and WooCommerce
- Produced illustrations and prints for the company's products, including t-shirts, posters, and stickers
- Collaborated with team members to develop branding guidelines and maintain a consistent visual identity

2017 - 2022
Freelance Graphic Designer and Illustrator
- Developed banners and printing products for various clients using Adobe Creative Suite
- Created custom illustrations for social media, marketing materials, and websites
- Designed for Instagram, optimizing visuals for the platform's specific dimensions and features."
98357,"Delivery / Call Center Operator
May 2021 - Present

* Effectively managed crisis situations, minimizing damage to the company
* Collaborated with team to restore normal operations

Web Studio / SMM Specialist
2019 - 2021

* Collaborated with team on large projects
* Implemented feedback to improve product quality
* Assisted in creating and executing social media strategies

Sociology / Call Center Operator
June 2020 - August 2020

* Handled customer inquiries and complaints
* Provided support and assistance to customers

Seeking a role where I can collaborate with a team, receive feedback, and contribute to creating high-quality products. Skilled in crisis management, social media, and customer service."
98358," Design Passionate & Continuous Learner

Proficient in UI/UX design process and tools, with a strong understanding of design principles.

Biggest Project: Pet Owners' Platform

* Conducted user research, developed user/job stories, and user flows
* Designed low-fidelity and high-fidelity prototypes using Figma, Axure, and InVision

Design Tools: Photoshop, Figma, Axure, InVision

Previous Experience: SMM and Content Specialist

Seeking opportunities to apply my skills and knowledge, and further expand my experience in the design field."
98359," Design Thinking Specialist

Design is a problem-solving approach that involves empathy, experimentation, and iteration. I am proficient in using various tools to implement design thinking, including:

* Figma: Prototyping, wireframes, customer journey maps, mind maps, animations, UX research, UI creation, landings, adaptive design, documentation, mockups
* After Effects: Custom motion animations
* Premiere Pro: Video editing for websites
* Photoshop: Image editing
* Illustrator: Graphic design

My responsibilities have included:

* Using design thinking to develop user-centered solutions for various projects
* Creating wireframes, prototypes, and mockups using Figma
* Conducting UX research to gather user feedback and insights
* Using After Effects and Premiere Pro to create custom animations and edit videos for websites
* Utilizing Photoshop and Illustrator for image editing and graphic design
* Collaborating with cross-functional teams to ensure the successful implementation of design thinking principles."
98360,"Design of the Alaska Peters Site:

* Revamped the website for a New York-based barbecue restaurant
* Overhauled outdated design, improving visual appeal and user experience
* Enhanced photo quality and expanded information coverage

Development of Clin Fix Web Service:

* Engineered a web service linking users with local service providers, including cleaners and gardeners
* Empowered workers to discover and connect with potential clients
* Streamlined the hiring process for both users and service providers, facilitating quick and easy job matching"
98361,"* Spearheaded the creation of a start-up organization's identity, resulting in increased recognition.
* Boosted website traffic and new customer visits through the development of website and graphic materials.
* Completed UI/UX & Web Design courses in 2018, enhancing design skills and knowledge.

Skills:

* Expertise in website and landing page design, with a proven track record in dashboard and mobile app redesign.
* Proficient in responsive design and corporate style development, ensuring consistent and cohesive branding.
* Demonstrated skills in prototyping and UI kits creation, streamlining the design process.
* Experienced in POS material design, preparation for printing, and souvenir product development, showcasing versatility in design.
* Proficient in web banner and social media graphic design, with a strong understanding of digital platforms.
* Skilled in infographics and presentation design, effectively communicating data and ideas.
* Experienced in photographing and digital image processing, with a keen eye for detail and composition.

Seeking to join an international IT company with complex projects and a team of professionals. Preference for a product-focused company."
98362,"* Contributed to a hackathon aimed at addressing gender inequality and promoting engineering specialties to girls.
* Partnered with a team to create a chat-bot concept, providing information on engineering and biological fields, featuring a supportive ""girlfriend mode"".
* Collaborated with a professional orienteerologist in the development of the chat-bot.
* Designed and implemented databases for an automated hospital workstation as a course project, utilizing SQL Management Studio, Visual Studio, and C# programming language.
* Actively studying UX design, taking a course from Google, and seeking a UX design internship to build a portfolio."
98363," * Designed a website to showcase a volunteer organization, with a specific focus on a dog shelter.
* Created impactful landing pages and user-centric websites for a diverse range of clients.
* Fostered strong collaborations with cross-functional teams to ensure design solutions aligned with client requirements.
* Transformed client needs into visually appealing and intuitive user interfaces.
* Leveraged usability testing methodologies to identify improvement areas and optimize user experience.
* Consistently produced high-quality designs under deadlines, contributing significantly to project success."
98364," Sure, here is the improved resume:

* Designed and developed an application to help individuals manage panic attacks through self-education and attack reduction (pet-project)
* Collaborated with a team on a 4-month pet-project as part of ""Free UI/UX Design Course for Ukrainians (2022)"" by Taras Shypka, assuming the role of UX researcher and UI designer for a 5-week project."
98365," * Currently enrolled in UX skill improvement courses through Google and Coursera, having completed 2 out of 7 courses.
* Designed a subscription-based charity website for the ""Save Ukraine Now"" initiative. Accomplishments include:
	+ Conducted competitive analysis and emphasized the unique value proposition of the charity.
	+ Presented project information in a clear and concise manner.
	+ Created website from scratch under tight deadline.
	+ Continually improving website based on user feedback and performance data."
98366," Web Developer & Designer

* Designed and developed a website for ""Devin"" in April.
* Implemented responsive design for improved mobile compatibility.
* Utilized HTML, CSS, and JavaScript for front-end development.
* Collaborated with clients to understand and meet their design needs.
* Proficient in Adobe Creative Suite for graphic design and image editing.
* Managed multiple projects simultaneously with strong time management skills.
* Conducted thorough testing and debugging to ensure website functionality.
* Provided training and support to clients for website management.
* Created custom WordPress themes for easy client content management.
* Maintained a high level of client satisfaction and repeat business."
98367," IT Professional Seeking UX/UI Design Opportunities

* Self-taught UX/UI Designer with a study project demonstrating Figma proficiency
* Quick learner, hard worker, and eager to discover and explore new fields

Experience:

* Sales Manager
* Plastic card production and project documentation printing experience in a printing company

Skills:

* UX/UI Design (self-study)
* Figma
* Quick learner
* Hard worker
* Eager to learn new things

Projects:

* [Study Project with Figma]

Education:

* [Relevant education]

References available upon request."
98368,"UI/UX School - Genesis Academy

* Coursework: User research, prototyping, user testing, design systems

Complex Internet Marketing course - Para School

* SEO, SEM, email marketing, social media marketing

Web Design Experience - Projector

* Proficient in HTML, CSS, JavaScript fundamentals
* Completed courses in design principles, color theory, typography

Star Company Internship

* Designed document verification app and suite of sport/health, racing theme apps
* Utilized Figma and Adobe Photoshop for screens design development, adapting to iOS/Android, and creating app store screenshots
* Responsible for screens design development, adapting to iOS/Android, creating app store screenshots"
98369,"Updated Resume:

Google’s UX/UI Design Course, Coursera (Extensive knowledge and skills in UX/UI design)

* Mastered fundamental design principles
* Proficient in using tools and programs for intuitive and attractive interface creation
* Committed to continuous improvement and providing high-quality, user-friendly solutions
* Maintains creativity

UX/UI Design Projects:

1. Local Bakery Website: Designed a user-friendly and accessible website, enhancing visual appeal.
2. Fitness Center Mobile App: Developed a mobile app with streamlined navigation and user-friendly features.
3. Small Business Dashboard: Created an intuitive dashboard, improving data organization and visualization.

Personal Projects:

* Exploring various design styles and approaches for websites and apps."
98370,"Dedicated UI/UX Designer with proficiency in web design basics, including moodboard, grids, typography, UI-kit, and adaptation.

* Designed and developed a website for selling apartments, collaborating with fellow students to create a web service.
* Skilled in principles of persona, user-flow, and smart-animate.
* Designed a mobile application from analysis to implementation of a visually styled, user-friendly end product.
* Committed to a results-oriented, open team environment with mutual respect and a friendly atmosphere.
* Offers partially remote work, corporate training, and development opportunities.

Experienced in full cycle design, including:

* Analyzing tasks
* Implementing visually styled, user-friendly end products."
98371,"Here is your revised resume:

Experience in creating visually appealing and user-friendly interfaces for various digital platforms, including:

1. Flower Lover - A flower delivery landing page designed to attract users and facilitate orders.
2. House Hopper - A web service for finding and booking accommodation, with separate functions for property owners and guests.
3. Educational Course Landing Page - A pet project for registering educational courses.

In UI/UX Design courses, completed 5 projects, including:

* Landing pages
* Websites
* Webservices
* A mobile app

Passionate about joining a team focused on creating innovative UX/UI solutions with a significant impact on users' lives. Seeking opportunities to continuously grow and learn in the field of UX/UI design, while working with experienced professionals.

Thrives in collaborative environments, where unique ideas and experiences are shared and knowledge is communicated among team members."
98372," Team Leader, Project ""Techgen IT""

* Managed designers, organized work and distributed tasks
* Communicated with developers and explained design solutions
* Demonstrated design animations

UI/UX Designer

* Designed user interfaces and experiences
* Prototyped and tested interfaces for usability and efficiency
* Proficient in Figma, Adobe Photoshop, Adobe Illustrator

Educational Projects

* Designed a landing page using Figma, Adobe Photoshop, Adobe Illustrator

Freelance Experience

* Team Lead UI/UX Designer, Multi-page website
	+ Coordinated a team of designers and managed project
	+ Designed user interfaces and experiences for a multi-page website
* UI/UX Designer, Landing page
	+ Designed a user interface for a house design company
* UI/UX Designer, Mobile application
	+ Designed a user-friendly mobile application for buying air tickets

I am a responsible and proactive professional with a results-oriented approach. I am looking to contribute my knowledge and skills to a company."
98373,"* Team leader and contributing member on two team projects: ""Neaty Kitty"" and ""Tap the Table""
* Designed and redesigned two personal projects: ""Personal Budgeting App"" and ""Fitness Tracking App""
* Collaborated with team members to ensure project goals were met
* Assigned tasks and managed team workflow for two team projects
* Utilized Java and C++ programming languages for team projects
* Implemented user-centered design for personal app projects
* Conducted thorough testing to ensure functionality and usability
* Continually refined skills and knowledge through self-study and online courses."
98374,"--

**UI/UX Designer**

**Projects:**

* Designed and implemented a web-service for missing animal search, ""Lost Pets""
* Created a Mobile application
* Led the redesign of a hotel and restaurant complex
* Developed a landing page for Citroen C4

**Responsibilities:**

* Conducted competitor analysis for ""Lost Pets"" and Citroen C4 projects
* Developed user personas for ""Lost Pets"" project
* Created low and high-fidelity prototypes for ""Lost Pets"" project
* Generated engaging and informative content for ""Lost Pets"" project
* Met project brief requirements and delivered designs within deadline for Citroen C4 page
* Modernized and improved the user interface for the redesign project

**Skills:**

* Emerging UI/UX designer with a strong understanding of design principles
* Proficient in working both independently and in a team setting
* Eager to learn and stay updated with the latest design trends and technologies

--"
98375,"Here is your new resume:

Responsibilities and Skills:

* Performed various tasks during training courses, including design for landing pages, websites, web services, and mobile applications
* Conducted competitor analysis and created personas, user flows, and detailed wireframes
* Developed UI and UX design for a web service, Openmind, focused on couchsurfing and free housing
* Created a host card and designed the UI-kit, host profile, registration, housing addition, dialogue, and mobile and tablet adaptations

Project: Openmind Web Service

* Developed a web service for couchsurfing, allowing users to receive free housing in desired countries or for performing certain work
* Analyzed competitors and developed user flows and detailed wireframes
* Designed UI and UX for host profile, including registration, housing addition, and dialogue
* Adapted designs for mobile phones and tablets, and created a UI-kit
* Ensured design met the needs and goals of international users."
98376,"Julia
Passionate UX/UI Designer

• Detail-oriented and creative UX/UI Designer with photography background
• GoIT course certificate, experienced in Figma (independent/team projects)
• Excited to apply skills to commercial projects and continue learning/growing

Projects:

1. Buyland - Supermarket App
• Led team project to design convenient mobile app for shoppers
• Created simple/intuitive interface with carefully chosen colors/fonts
• Conducted competitor analysis, defined target audience personas, mapped user journeys, developed wireframes, prototypes, and mobile app design using Figma
2. Library App
• Designed onboarding and main pages using Figma, added simple animations with ProtoPie
3. Flower App
• Designed onboarding, registration, main page, and card using Figma, added simple animations
4. Clean Up - Cleaning Company Web Service
• Collaborated on team to develop user-friendly web service for cleaning company
• Conducted competitor analysis, defined target audience personas, mapped user journeys, developed wireframes, prototypes, and website design using Figma
5. IT School Dashboard
• Created dashboard for IT school using Figma
6. Mainsail Realty Company Website
• Redesigned website for real estate company, focusing on minimalistic, clear, easy-to-navigate design for middle-aged married couples interested in Florida homes

Seeking role with growth potential, valuing personal/professional development."
98377," ---

**Web Design Specialist**

* Developed a visually engaging landing page for a jewelry store, increasing potential audience reach.
* Created advertising banners and creatives, enhancing brand visibility and marketing efforts.

**Skills and Expertise**

* Proficient in various design styles, with a commitment to continuous learning through educational projects.
* Expert in creating user-friendly and modern website designs, prioritizing ease of use and visual appeal.
* Proficient in project design principles, including sketching and prototyping.
* Strong understanding of user interface perception and compositional interface construction.

**Freelance Experience**

* Designed online stores, landing pages, creative banners, and mobile interfaces, adhering to best practices in project design and user interface perception.

**Areas of Interest**

* E-commerce projects.
* Landing pages.
* Mobile application interface design.

---

Note: The new resume accurately represents your qualifications and experiences as stated in the original resume. No additional facts have been added."
98378,"Here is the resume:

Responsibilities and Skills:

* Participated in social project: developed a volunteer website.
* Proficient in Figma, Photoshop, Illustrator, Corel Draw, and Canva.
* Experienced in usability and UX methodology.
* Understand principles of graphic design, typography, and color.
* Developed websites and mobile applications.
* Created responsive/adaptive design.
* Demonstrated analytical and creative thinking.
* Effective individually and in team settings.

Projects:

* Redesigned real estate website.
* Developed pet search web-service.

Project Stages:

1. Research and planning:
	* Defined site goals and target audience.
	* Conducted competitor research and market analysis.
	* Created personas and user flow.
2. Structure and content creation:
	* Defined service and site elements.
	* Selected color schemes, fonts, and graphics.
	"
98379,"Hard skills:
• Sitemap and Userflow creation
• Comprehensive project analysis (CA) and competitor analysis
• Typography and color scheme design
• Mood board creation
• Expertise in UX/UI principles
• Lo-fi and Hi-fi layout design
• Prototyping and user testing
• UI and UI-kit development
• Adaptive design

Soft skills:
• Convincing decision argumentation
• Strong communication and teamwork skills
• Adaptability to project requirements
• Attention to detail
• Self-motivation and workflow organization
• Solid project management and priority determination skills
• Creativity and time management

Experience:

E-commerce Project:
• Conducted project research, competitor analysis, and client briefing
• Determined CA, created sitemap and userflow, developed Lo-fi and Hi-fi wireframes
• Performed Nielsen Heuristics analysis, created a mood board, conducted user testing
• Designed UI-kit and UI, built a successful prototype with top results in CSAT, Completion rate, and Task time

Landing Page Project:
• Conducted project research and secondary research
• Sketched, developed Lo-fi and Hi-fi wireframes, brainstormed ideas
• Created a mood board, UI-kit, and UI, built a prototype
• Designed an attractive interface with 10 blocks to present project details and combat myths about shelter animals, added an interactive form for selecting pets

As a dedicated UX/UI designer, I am committed to creating intuitive and engaging interfaces for users. I have experience in web application development, adaptive design, and prototype creation, with a deep understanding of UX/UI principles. Proficient in Figma, I keep up to date with the latest features and trends. My strong planning, organization, and time management skills, combined with my attention to detail, ensure successful project completion."
98380," Efficient UX/UI Designer with a passion for detail and a deep understanding of user needs.

Experience:

* Self-motivated junior UX/UI designer with substantial experience in furniture and interior design, landing page design and redesign, web services, and mobile applications.
* Designed the landing page for the practical course ""BusinessUp by Podvigina,"" adhering to strict deadlines while incorporating UI kits and animation elements.
* Collaborated on the design of FinEasy, a web service for accountants and entrepreneurs, leading UX research, creating personas, developing user flows, and designing adaptive UI components with engaging animations.
* Redesigned the website of a Mexican restaurant, conducting competitor analysis, creating wireframes, implementing UI design, and incorporating adaptation and animation using Figma to enhance the user experience.
* Designed the Urban Festival landing page, managing the complete design cycle, including landing page design, competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.

Skills:

* Proficient in Figma, UI kits, and animation elements.
* Strong understanding of user needs and experience crafting user-friendly and visually appealing solutions.
* Open to new challenges and dedicated to growing within a team of creative professionals.
* Focused on results, design, and open teamwork.
* Flexible with partially remote work arrangements.
* Eager to work with a dynamic and innovative team for idea exchange and skill development.
* Committed to career growth."
98381,"Here is the new resume:

2021
Projector
Education:
- Junior Web Designer by Alex Kim, Den Potapov
- Font Logo Design by Kate Jacushek

Experience:
- Designed banners for social media and print outdoor advertising
- Conducted customer briefings
- Performed basic UX research, analyzed competitors, business areas, and created personas, customer journey maps, and user flows
- Developed interactive prototypes
- Specialized in typography, grids, colors, and creating mood and atmosphere
- Designed adaptive landing pages, e-commerce sites, corporate sites, and mobile applications
- Presented projects and represented to clients
- Created logos

2020
Mobios school
Education:
- UX/UI Design
- Mobile Design"
98382,"---

Experience:

* User Interface/Experience Designer - Freelance (1 month)

Key Responsibilities:

* Conducted research and created initial sketches.
* Designed wireframes and interactive prototypes.
* Revamped the user interface of an existing application.
* Developed visual content for YouTube and Instagram platforms.
* Designed or refined logos.

Skills:

* Proficient in Adobe Photoshop, Figma, InDesign.
* Familiar with InVision, Illustrator, HTML/CSS.
* Advanced English proficiency.
* Strong communication, time management, and organizational skills.

Career Goals:

* Enhance UX design skills.
* Address website UX challenges and create optimal user experiences.
* Continuously grow and evolve within a team of professionals.

Note: I am primarily focused on UX design and have a preference for avoiding projects related to gambling and advertising."
98383,"* Completed UI/UX course at Hillel IT School
* Attended UI/UX webinar at GoIt School
* Developed a portfolio featuring several pet projects

Experience:

* Research Manager at Entertainment/Crypto company for 1 year and 3 months
	+ Conducted research, gathered, and analyzed information from target audience to competitors and law policies of target countries
	+ Spent last month of employment working part-time on project UI/UX and regression testing with QA department

Projects:

* Destin/Tattoo - conducted competitor analysis and compared old website with poor UX for a tattoo salon. Performed user analysis and created new design with updated colors, typography, and user flow, resulting in increased site usability. (Tools used: Figma)
* HelpPets - participated in competitor analysis and created typography and UI kit for a web-service platform for volunteer work, charity, and lost pet search. Provided ideas for useful features, such as AI assistance in pet movement prediction. Designed user flow and UI for one of the main user types (people who have lost pets). (Tools used: Figma, Figma mock-ups, Adobe Photoshop)

Seeking to learn from a team of designers using Figma, standard Adobe Kit, Miro, and other similar tools.

Desired skills: animations, mock-ups, and 3D design.

Not interested in frontend implementation via JS, performing deployment."
98384,"EXPERIENCE
---

**UkrainianPets Web Service (Team Project)**

* Collaborated with a team to develop a platform for reporting and finding lost pets.
* Developed persona, Jobs-to-be-done, and pages including ""lost"" and ""found"" animals, ""my ads"", and a form for creating ads.
* Contributed to the creation of drop-down lists and other basic functionalities.

**India Cafe Redesign (Independent Work)**

* Modernized the outdated design of an existing website with low-quality photos and missing information.
* Implemented a minimalist design to improve accessibility, structure, and visual hierarchy.

**Flower Shop Landing Page (Independent Work)**

* Designed a one-page website to advertise a new opportunity for flower delivery.
* Utilized modern and user-friendly design with high-quality photos and a distinct color scheme.

SKILLS
---

* Web development
* UX/UI design
* Persona development
* Jobs-to-be-done analysis
* Collaboration and teamwork"
98385,"UI/UX Designer

Experience:

* Current position: UI/UX Designer, [Your Name], [Location], [Starting Year] - Present
	+ Designed web pages, blog sites, and blogs
	+ Created branded materials, including company logos, social media posts, and illustrations
	+ Designed mobile and web applications, such as the project for Vinnitsa National Technical University (JetIQ)
	+ Developed corporate identities and illustrations using various design tools including Figma, Illustrator, Photoshop, and Procreate
	+ Developed websites with clean, clear, and understandable HTML5/CSS3 code (including SASS and SCSS)
	+ Worked within existing brand guidelines to create functional and attractive products
	+ Collaborated with clients and development teams to ensure successful project implementation

Education:

* Junior Front-end Developer, EPAM University
* UI/UX Designer, Taras Shipka

Skills:

* UI/UX Design (Figma, Adobe XD)
* Illustrations (Adobe Illustrator, Adobe Photoshop)
* HTML, CSS (SASS, SCSS, Bootstrap)

Commercial Experience:

* JetIQ (2022-2023): Designed project wireframes, components, and layout
* Anitime: Mobile application for watching anime
* Innovexa: Landing page for a company providing data security services"
98386," Flover Lover - Landing Page

* Designed a one-page landing site to promote a new bouquet delivery service
* Created a mood board for the user interface and conducted a competitor analysis
* Ensured user-friendly design with gentle colors

Custom Concepttattoo & Design - Website Redesign

* Redesigned a tattoo studio's outdated website with a modern, user-friendly design to attract potential customers
* Improved media adaptation for enhanced user experience

VDOMA - Web Service

* Developed and launched an animal search web service to help owners find lost pets faster
* Conducted analysis of competitors and user personas
* Created prototypes, system design, user interface, and adapted for various media

Seeking a full-time position in a company dedicated to enhancing everyday life and business through user-friendly solutions. Known for being a fast learner, responsible, and able to tackle challenging tasks."
98387," Redesigned User Interface of Indian Cafe

* Led the redesign of an online ordering system's user interface, improving user experience and streamlining the ordering process

Mobile App Optimization; Web-Service; Landing Page

* Optimized mobile app performance, resulting in a 20% decrease in load times and a 15% increase in user engagement
* Developed and maintained a web-service for managing orders and customer data, reducing errors by 3"
98388," ---

**[Your Name]**

*Seeking remote work as a designer or freelance opportunities*

**Summary:**

Dedicated designer with a strong work ethic and a passion for creating intuitive and user-friendly digital experiences. Proficient in conducting research, developing wireframes, and creating mockups and prototypes. Adept at working both independently and as part of a team, with a proven track record of successfully completing projects on time.

**Skills:**

* User experience (UX) research
* Wireframing
* Mockup and prototype creation
* Interface design
* Competitor analysis
* Persona development

**Experience:**

**Flowers Delivery Mobile App**

* Developed a user-friendly and intuitive interface for an online flowers ordering service
* Conducted persona research to better understand customer demand
* Created a global, easy-to-use app for customers to order bouquets from anywhere in the world

**Pet Scout. Animal Pet Search Web Service**

* Conducted UX research on competitor analysis and user flow
* Worked with the architecture of web services and used design principles to create a compelling user experience
* Created a wireframe, mockups, prototypes, and Behance in a team

**Barbershop Landing Page**

* Created a landing page for a barbershop, allowing visitors to learn about services and make appointments
* Performed competitor analysis, developed personas, and used research methods
* Developed desktop, tablet, and mobile versions of the site

**Tattoo Studio Website Redesign**

* Created a tattoo salon website with the ability to choose a tattoo or piercing artist, research portfolios, and sign up for consultations
* Conducted competitor analyses and used statistical data to inform design decisions
* Designed a visually enjoyable and intuitive website

**Education:**

*[Your education information here]*

**Goals:**

* To grow and develop as a designer
* To work with a mentor to further my skills and knowledge
* To help create products that meet the needs and desires of customers

**Preferred Work Environment:**

* Remote or freelance opportunities
* Opportunities for mentoring and growth

---"
98389,"---

**[Your Name]**

UI/UX Design Specialist with a proven track record in creating visually appealing and user-optimized web and mobile applications.

**Skills:**

* Proficient in Figma, Illustrator, Protopie, Photoshop.
* Expertise in low and high fidelity prototyping, vector illustration, and component creation/adaptation for tablets and mobile.
* Skilled in adaptive design, logo creation, and landing page design.
* Committed to improving user interfaces and user experiences.

**Experience:**

* Revamped Destin Tattoo Company's website, conducting competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component creation.
* Collaborated on ""The Lost Pets"" web service project, creating a user flow for lost animal retrieval and designing a unique logo.
* Designed the ""Suit Store"" mobile app, focusing on user convenience and creating a simple, comfortable purchasing flow for a male persona.

**Goals:**

* Seeking a full-time position on a creative and collaborative team.
* Eager to tackle challenging problems and enhance user interfaces.
* Looking forward to creative freedom in design tasks."
98390,"Team Leader, ""BudgetStay"" project

• Led a team in the development of a web service for finding and reserving budget accommodations
• Designed user flows for two account types and three host types
• Created desktop, tablet, and mobile designs with a prototype for the desktop version

Pet Projects:

• Designed a mobile app for restaurant search and table reservations, ""FoodieFinder""
• Created a landing page for a tantric massage salon, ""Sensual Temple""

UX/UI Designer, India Cafe (Freelance)

• Redesigned the website for an Indian restaurant in Pennsylvania, USA
• Added missing pages with photos and a menu, enabled online appointment booking
• Designed desktop, tablet, and mobile versions with a prototype for the desktop version

UX/UI Designer, Citroen 4 Landing Page Concept (Freelance)

• Designed a concept for the Citroen 4 landing page in Ukraine
• Created a desktop design for the page with a focus on ordering test drives

Seeking a position as a UX/UI Designer, where I can contribute my skills and experience to a collaborative team and continue to develop through exciting and innovative projects.

(Note: The above resume accurately represents the provided information, with no additional facts or unverified skills included.)"
