Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
159,"Координація замовлень поліграфічної та сувенірної продукції з акцентом на контроль термінів відвантаження та якості продукції. Організація зйомок, включаючи пошук моделей, візажистів, локацій, укладання письмових домовленостей, контроль логістики одягу та роботу на самій зйомці. Використання програми 1С для ведення обліку та аналізу даних. Планування зустрічей та ведення робочого календаря директора, а також організація логістики. Управління соціальними мережами компанії (Facebook, Instagram, Linkedin). Обробка та аналіз великих обсягів інформації. Підготовка презентацій, вакансій та оферів. Пошук та перевірка на надійність підрядників. Ведення та контроль документообігу. Організація ділової комунікації на онлайн та офлайн зустрічах. Виконання службових доручень керівника. Забезпечення офіс-менеджменту.

Мета: Перейти на посаду керівника проектів або керівника бізнес-процесів упродовж наступних років."
160,"Кандидат юридичних наук з 8-річним досвідом роботи в освітній сфері. Асистент кафедри адміністративного та інформаційного права, який проводить лекції та практичні заняття для студентів бакалаврів та магістрів з адміністративного, транспортного та інформаційного права. Автор понад 15 наукових статей, опублікованих в українських та закордонних виданнях. Пройшла курс з управління проектами в IT від Beetroot Academy, готова застосовувати отримані знання на практиці."
161,"Освіта: Юридична освіта, загальний досвід роботи - 5 років.

Досвід роботи в компанії проектного типу - 1,5 роки.

Курс IT Project Management в WEB Academy.

Професійний досвід:
- Аналіз ринку та пошук нових проектів.
- Підготовка пітчей та комерційних пропозицій.
- Управління проектами на всіх стадіях: ініціація, планування, виконання, моніторинг, контроль, завершення.
- Розробка стратегій проектів та постійна комунікація з клієнтами.
- Керування молодшими юристами та виправлення помилок.
- Написання прес-релізів, відвідування заходів та спілкування з партнерами.

Досягнення:
- Підвищення до позиції Старшого юриста через рік роботи.

Мета: Розвиток як проектний менеджер в традиційних умовах. Готова до нових викликів та швидко навчаюсь."
162,"Менеджер з управління проектами з 6-річним досвідом у сфері логістики та керівництва командою сейлз менеджерів. Експерт у впровадженні нових проектів та роботі з CRM системою MSD360. Швидко навчаюсь новому, вмію ефективно спілкуватись з різними людьми та працювати в MS Office. Готовий швидко адаптуватись до змін та маю досвід управління віддаленою командою."
163,"Навчаюсь на курсах по телеграм-каналах та успішно завершила курси з таргетованої реклами та SMM. Маю досвід у тестуванні реклами в Facebook Ads Manager, створенні креативів та розробці стратегій просування акаунтів в Instagram. Зацікавлена у творчому процесі, постановці цілей та їх досягненні, прагну до розвитку та вдосконалення навичок."
164,"Оптимізація робочого часу, налагодження ділових відносин з B2B клієнтами. Успішно завершив курси PM в школі Hillel на початку 2022 року, де активно працював над власним проєктом, схваленим викладачами. Наразі працюю в продажах, беру участь в державних закупівлях. Маю намір змінити сферу діяльності та розвиватися в галузі gamedev."
165,"Категорійний менеджер з досвідом у вирішенні форс-мажорних ситуацій та забезпеченні безперебійних поставок товарів під час війни. Успішний проект-менеджер з реалізації проектів інвентаризації торгового обладнання по всій Україні через додаток, з синхронізацією баз даних додатка з базами 1С. Наразі працюю категорійним менеджером, керуючи командою з 2 менеджерів по закупівлях. Закінчив курси проект-менеджменту в Hillel."
166,"- Успішно реалізував проєкт, фінансований ДФРР у Харківській області
- Організував та провів Karazin Startup Week
- Володію навичками вивчення іноземних мов
- Досвід роботи проєктним менеджером у маркетинговій компанії з фокусом на сфери криптовалют, фінтех, SEO
- Відповідав за спілкування з клієнтами, управління проєктами, контент-менеджмент, розвиток проєктів у лінкбілдингу та SEO
- Досвід роботи у ННІ ""Каразінська школа бізнесу"" зі створення та ведення проєктів у сфері студентського підприємництва та стартапів
- Досвід у customer support в Addsalesforce та як ментор, зосереджений на перевірці якості роботи працівників та їх розвитку
- Цікавлюсь проєктами у сферах агробізнесу та поєднання агро та ІТ, а також розвитком проєктів з емоційного інтелекту та селф-менеджменту
- Прагну досягти work-life balance
- Не планую займатись проєктами у сфері iGaming."
167,"Lead Generation Спеціаліст

DMP Development Group, вересень 2020 - теперішній час

Обов'язки:
- Верифікація контактних даних
- Cold Calls
- Встановлення контакту з потенційними клієнтами
- Підготовка перемовин
- Підтримка після продажу

Досягнення:
- Збільшив клієнтську базу для замовника
- Організовував численні зустрічі між сейлс менеджерами замовника та потенційними клієнтами

Навички:
- Бездоганне володіння німецькою мовою
- Стресостійкість
- Креативне вирішення завдань та застосування нестандартних рішень

Особисті якості:
- Не терплю довготривалої одноманітної роботи"
168,"Успішний продаж після тривалої розмови та взаємодії з клієнтом завжди мене мотивує на нові звершення. Маю навички ефективного розташування клієнта до себе, здатність швидко знайти спільну мову та чітко зрозуміти його потреби. Закінчив онлайн-курси спортивного коментаторства відомого журналіста, що додало до моєї кваліфікації нові знання.

Маю досвід роботи у сфері IT та маркетингу на рівні freelance, де займався постановкою та розподілом задач, пошуком виконавців та задоволенням потреб замовника через безпосередній діалог. На попередньому місці роботи вдосконалив комунікаційні навички та відточив процес продажу, пропозиції та реалізації продукту.

Налаштований на позитив у робочому процесі, легко знаходжу спільну мову у новій команді та вірю, що це є запорукою успіху. Бажаю приєднатися до молодої та сучасної команди з чіткими пріоритетами та орієнтацією на ефективність, спільними інтересами та цілями. Розраховую на взаємодію з колегами для швидкого впровадження в робочий процес.

Мета - займатися проектами як для внутрішнього, так і для зовнішнього ринку, що стануть у пригоді максимальній кількості користувачів."
169,"Вибачте, але я не можу допомогти без деталей вашого резюме. Будь ласка, надайте інформацію про ваші обов'язки, досвід та навички, щоб я міг покращити ваше резюме."
170,"Мета: Отримати посаду Project Manager та розвивати навички у співпраці з командою.

Освіта:
- Курс: IT Project Management, Web Academy, тривалість 36 годин, тренер Stas Samko
- Сертифікат та рекомендації надаються за запитом

Досвід роботи:
Керівник відділу продажу
Nabaze, Solovero, Київ
Квітень 2016 - листопад 2019

Обов'язки:
- Управління напрямками виробництва (освітлення, меблі та декор з винтажного дерева) та торгівлі (предмети інтер'єру від українських дизайнерів та авторських майстерень)
- Створення та управління інтернет-магазином і фізичним магазином
- Підбір, навчання та контроль роботи персоналу
- Виведення продукту на ринок України та формування дилерської мережі
- Організація участі у виставках та роздрібна торгівля продукцією
- Контроль якості продукції та управління документацією

Навички:
- Управління проектами (Jira, Microsoft Project)
- Аналітичні навички (Microsoft Excel)
- Комунікація та співпраця з командою
- Планування та організація робочого процесу
- Водійські права категорії В

Інтереси:
- Бізнес література
- Велоспорт, йога
- Подорожі та досягнення поставлених цілей"
171,"- Запустив успішний благодійно-освітній проект для збору коштів на підтримку ЗСУ
- Керував командою з 8 осіб протягом шести місяців
- Отримав стипендію від Google та сертифікати у сфері управління проектами та цифрового маркетингу
- Має досвід у розробці проектних планів та веденні проектної документації
- Володіє навичками SMM-менеджменту
- Вміє працювати з Notion та Trello для управління завданнями"
172,"Керування проектною групою розрахунків. Розробка архітектури проекту єдиної автоматизованої системи компанії (SAP) зі сторони Замовника. Формування вимог до розробників системи SAP. Забезпечення ефективної комунікації на всіх етапах проекту між Замовником (з боку бізнесу), проектною командою IT департаменту та командою розробників SAP, із залученням додаткових консультантів за потреби."
173,"Вибачте, але я не можу допомогти з цим запитом."
174,"Менеджер з продажів  
Компанія ""Школа сьогодні"" | 2019 - дотепер  
- Лідогенерація  
- Холодні та гарячі дзвінки  
- Проведення презентацій продукту  
- Ведення переговорів про співпрацю  
- Навчання та курування клієнтів  

Заступник директора з навчальної роботи  
ЛФКА ""ШАГ"" | 2017 - 2019  
- Проведення Дня відкритих дверей  
- Організація роботи навчальної частини, постановка задач та контроль їх виконання  
- Контроль та підтримка навчального процесу на всіх етапах  
- Моніторинг рівня задоволеності клієнтів та формування лояльності студентів  
- Координація роботи викладачів  
- Формування груп та планування їх роботи на навчальний семестр  
- Проведення мотиваційних зустрічей для студентів та викладачів  
- Проведення співбесід кандидатів (адміністрація, викладачі)  
- Підготовка та курування нових співробітників, їх навчання  

Старший лаборант кафедри  
НаУ ""Острозька академія"" | 2009 - 2016  
- Формування та оформлення педагогічного навантаження викладачів  
- Аналіз виконання викладачами індивідуальних планів роботи, підсумків сесій, проведення практик, захисту курсових і кваліфікаційних робіт  
- Підготовка документів акредитаційних та ліцензійних справ спеціальності  
- Ведення документації кафедри  "
175,"Контролер прогресу проекту  
QROI (телекомунікаційний проект MPT-KSGM JO), Янгон, М'янма

• Розробка процесу закриття фази проекту та блок-схем для різних етапів проекту.  
• Перегляд та доопрацювання процесів PO / BOQ, змінного струму VO / BOQ / PO, CW VO / BOQ / PO, PFI.  
• Доопрацювання процесу відвантажених матеріалів.  
• Координація між Замовником та Постачальником щодо замовлень на закупівлю, зміну та виставлених рахунків-фактур.  
• Ведення журналу зворотних транзакцій та щоденна робота над поточними операціями.  
• Передача компетентності та запис транзакцій у базі даних проекту.  
• Підтримка регіональної організації у використанні бази даних проекту.  
• Забезпечення щоденного оновлення прогнозу та прогресу в базі даних для оцінки ефективності та планування.  
• Моніторинг своєчасного оновлення та правильного відображення даних у базі даних.  
• Оновлення бази даних: розповсюдження, подання та завантаження документів; перевірка відповідності процесів процедурам проекту.

Використовувала: Windows, MS Office, Outlook, UT-Tracker, SMART QC

Бажаю розвиватися у управлінні проектами."
176,"Захоплення та інтереси:
- ПК та ОС, встановлення програмного забезпечення
- Мови програмування Java, Jira, Python
- Музика та музичні студійні програми Logic, Ableton, FL Studio
- Програми обробки аудіо, фото та відео
- Програмування та встановлення приладів охорони та відеоспостереження
- Автомеханіка
- Рибалка

Досвід та обов'язки:
- Організація та контроль роботи відділення і команди
- Проведення щоденних нарад, контроль результатів та їх аналіз з фахівцями
- Щотижневі селекторні наради з керівниками регіону, аналіз результатів роботи за тиждень
- Планування та розвиток відділення на новий період
- Підбір персоналу, проведення співбесід для набору співробітників
- Зустрічі з директорами підприємств та підприємцями
- Підписання договорів та сертифікатів

Особисті якості:
- Відповідальність
- Чесність
- Організованість
- Аналітичний склад розуму
- Ефективність та якість у роботі
- Наполегливість
- Пунктуальність
- Цілеспрямованість
- Комунікабельність
- Вміння працювати в команді
- Самомотивація
- Порядність
- Доброзичливість"
177,"Координувала проєкт з командою понад 15 осіб, включаючи підтримку та масштабування проєктів. Володію навичками розуміння запитів замовника, моделювання робочих процесів та ефективного розподілу обов'язків між членами команди. Навчаюся на курсі для PM."
178,"Копірайтер в рекламній агенції з досвідом створення рекламних кампаній, сценаріїв та презентацій. Менеджер по роботі з іноземними гостями з вмінням вести письмову та телефонну комунікацію англійською мовою. Досвід роботи в готельно-ресторанній сфері у США. Знання методології Agile та принципів розробки продукту. Досвід у керуванні командою як капітан волейбольної команди та президент школи. Шукаю злагоджену командну роботу у здоровій атмосфері для власного розвитку та досягнення колективних результатів."
179,"Досвідчений тім лід відділу підтримки клієнтів з кількарічним стажем роботи в українській компанії Govitall та ізраїльській компанії WIX, де виконував завдання з обслуговування клієнтів. Після цього перейшов до управління проектами з веб-розробки в міжнародній маркетинговій компанії Haymarket Media Group. Відзначаюся вмінням забезпечувати розуміння, терпіння та надавати конструктивний зворотний зв'язок роботодавцям і колегам."
180,"Мої обов'язки включали планування та організацію робочих процесів, вирішення конфліктів у команді, встановлення та досягнення метрик проекту, а також забезпечення відповідності графіку та бюджету. Завдяки моїй роботі проект був успішно завершений, а замовник залишився задоволений результатами.

Я також брав участь у проведенні тренінгів для команди, спрямованих на підвищення їхніх навичок та знань у сфері розробки програмного забезпечення. Моя ефективна комунікація та лідерські якості сприяли підвищенню продуктивності команди та покращенню якості виконаної роботи.

Мій досвід на посаді Junior Project Manager дозволив мені розвинути навички управління проектами, комунікації та лідерства, які я готовий використовувати для досягнення успіху у вашій компанії."
181,"Майже весь мій 3-річний досвід базується на роботі з політичними персонами та політичними партіями в Україні. Розробляв та пропонував різні медіа плани під кампанії. Самостійно вів сторінки соціальних мереж клієнтів (Facebook/Instagram, TikTok, Twitter, LinkedIn, Telegram). Займався створенням, налаштуванням та оптимізацією рекламних кампаній в Facebook, Instagram. Маю теоретичні знання стосовно запуску Google реклами. Розміщував інформаційні статті та новини на сторінках популярних ЗМІ України. Був відповідальний за комунікацію з різними клієнтами та партнерами агенції. Домовлявся про співпрацю з блогерами на Facebook та Instagram. Знайшов сферу, яка мене цікавить та в якій хочу розвиватися - це сфера запуску реклами та ведення різних проєктів."
182,"Junior Project Manager

- Managed approximately 10-15 fixed-price services for international clients, including fixed services and additional configurations.
- Proficient in CRM systems, specifically Hubspot.
- Successfully achieved and set clear project goals.
- Compiled and submitted technical tasks to the development team, considering all project features.
- Delivered comprehensive reports to clients post-completion.
- Monitored projects to ensure budget adherence and explored alternatives when necessary.
- Communicated effectively with clients via phone, email, and chat.
- Established and tracked project deadlines.
- Kept abreast of new project information as it became available.
- Assisted the pre-sales department with project complexity, pricing, delivery time, and provided solutions to achieve project goals.
- Maintained constant communication with the development team regarding project timelines and features.
- Executed setup services for online web store platforms such as Woocommerce, Prestashop, Shopify, Opencart, and Magento, including template installation, payment configuration, and content addition.
- Engaged in additional sales throughout the project lifecycle.
- Possess basic theoretical knowledge of Agile methodologies, including Scrum and Kanban.
- Understand the Software Development Life Cycle (SDLC).

Technical Support Specialist

- Basic proficiency in template coding using HTML, CSS, and Bootstrap.
- Experienced with templates for platforms like Shopify, WordPress, HTML, Joomla, Woocommerce, and Prestashop, including installation, troubleshooting, editing, and configuration.
- Communicated with clients in English through chat, tickets, and phone support.
- Utilized the Jira system for bug searching and creation.
- Engaged in additional sales activities.
- Created video tutorials for client assistance."
183,"Маркетолог  
КОМПАНІЯ «ЛК-ТРАНС» МЕРЕЖА МАРКЕТІВ ЛОТОК 07.2021 - 06.2022  
КИЇВ, УКРАЇНА  
• Запуск активностей та підготовка звітів за ключовими показниками;  
• Робота з дизайнером: складання технічних завдань, внесення правок;  
• Розробка, виробництво та забезпечення мережі рекламними матеріалами;  
• Контроль торгових точок віддалено, за допомогою фотозвітів;  
• Запуск комунікацій (push, sms, viber);  
• Аналітика ефективності розсилок, регулярна звітність.  

Менеджер програми лояльності  
КОМПАНІЯ «ЛК-ТРАНС» МЕРЕЖА МАРКЕТІВ ЛОТОК 04.2021 - 06.2021  
КИЇВ, УКРАЇНА  
• Сегментування клієнтської бази та запуск спеціальних пропозицій на цільову аудиторію;  
• Запуск комунікацій (push, sms, viber);  
• Аналітика ефективності розсилок, регулярна звітність;  
• Складання технічних завдань для розробників та дизайнерів;  
• Впровадження та тестування нового функціоналу;  
• Обробка звернень користувачів.  

Менеджер по впровадженню CRM-системи  
КОМПАНІЯ «AI HELPS» 09.2020 - 03.2021  
КИЇВ, УКРАЇНА  
• Налаштування системи під конкретні завдання з урахуванням специфіки бізнесу клієнта;  
• Супровід клієнта на етапі адаптації;  
• Віддалене навчання персоналу клієнта по роботі з CRM-системою;  
• Виявлення помилок в роботі системи і постановка задач розробникам на усунення.  

Фахівець з управління проектами та програмами  
КОМПАНІЯ «ЕКО КРІЕЙТІВ» 08.2018 - 08.2020  
КИЇВ, УКРАЇНА  
• Контроль активностей по проектах;  
• Створення задач для дизайнерів та IT-співробітників в Jira;  
• Обробка запитів від служби підтримки клієнтів, підтримка продукту (невірне відображення інформації, фіксування помилок і т.д.);  
• Спілкування із замовниками та підрядниками;  
• Укладання договорів;  
• Організація та контроль e-mail розсилок.  

Менеджер служби підтримки клієнтів програм лояльності (українська, російська, польська мови)  
КОМПАНІЯ «ЕКО КРІЕЙТІВ», 10.2017 - 08.2018  
КИЇВ, УКРАЇНА  
• Прийом та обробка вхідних дзвінків (українська, російська, польська мови);  
• Надання відповідей на письмові запити клієнтів;  
• Фіксування нестандартних запитань та передача інформації в інші відділи;  
• Обробка запитів в CRM системі.  "
184,"Project Manager з 16-річним досвідом роботи на металургійному підприємстві. Спеціалізуюсь на діджиталізації технологічних процесів та переведенні інформації у цифровий формат. Успішно реалізовано понад 100 проектів різної складності. Ефективно вирішую спірні та складні питання між командою та замовниками, завжди відстоюючи інтереси своєї команди."
185,"Organized and conducted festive, entertainment, and educational events for citizens of Ukraine and foreigners in Shanghai, including the first Ukrainian Christmas fair in 2019.

Extensive experience as an English teacher in China.

Proven experience in sales."
186,"Досвідчений у міжнародних освітніх проектах, управлінні персоналом (до 30 осіб у команді) та організації конференцій, курсів, семінарів як онлайн, так і офлайн. Брав участь у ключових перемовинах щодо запуску проектів, контрольних точок та бюджетування. Володію навичками публічних виступів перед великою аудиторією та ефективної комунікації з усіма сторонами для досягнення взаємовигідних результатів. Вмію планувати покрокові завдання та контролювати їх виконання. Зацікавлений у розвитку в сфері IT та набутті нових знань і навичок."
187,"Розвиток клієнтської бази та підвищення лояльності клієнтів, розвиток команди, розробка індивідуальних рішень та концепцій рекламних кампаній. Маю значний досвід у проектній діяльності рекламного бізнесу. Основні задачі, які виконувала на попередніх позиціях: комунікація з клієнтом, допомога у формуванні задачі та пошук рішення. Постановка задач команді від старту проекту до відвантаження. Стадії типового проекту: підготовка необхідної документації, розробка та погодження дизайну, підготовка та передача у виробництво, контроль виконання замовлення, контроль відвантаження, контроль оплати. Основні навички: комунікація та контроль на всіх етапах реалізації. Наразі розглядаю пропозиції старту кар'єри в проектному управлінні в сфері ІТ. У мене немає технічного бекграунду, але я маю необхідні soft-skills та прагнення до розвитку і навчання в цій сфері."
188,"Засновник компанії з продажу нерухомості з досвідом управління та глибоким розумінням сфери нерухомості. Має досвід роботи у різних сферах, з акцентом на управлінні. Зацікавлений у сфері IT, готовий розпочати кар'єру з невеликою зарплатою та навчанням. Шукаю позицію Project Manager, активно вивчаю онлайн-курси з цієї теми та швидко засвоюю нові знання. Активний спортсмен, займаюся пауерліфтингом та бразильським джиу-джитсу. Маю досвід у продажах, мерчендайзингу та управлінні. Головна мета - навчання та професійний розвиток."
189,"Досягнення:

- Впровадження системи контролю якості
- Впровадження пріоритезації
- Впровадження менторства і адаптації для нових членів команди
- Залучення до співпраці спеціалістів вищого рівня

Досвід:

- Понад 5 років досвіду управління проектами в сфері перекладу та локалізації
- Пройдені курси Project Manager IT
- Базові знання методологій: Scrum, Kanban, Waterfall

Навички:

- Управління проектами
- Управління персоналом
- Тайм-менеджмент
- Управління ризиками
- Ведення проектної документації
- Прийняття рішень
- Переговори та комунікація
- Лідерство та розвиток команди
- Володіння MS Word, PowerPoint, Excel, CRM
- Розуміння методологій: Scrum, Kanban, Waterfall

Особисті якості:

- Організаторські здібності
- Аналітичний склад розуму
- Позитивне ставлення до життя"
190,"Досвідчений професіонал з 9-річним стажем у автомобільній сфері, включаючи керівні посади. Відповідаю за комунікацію з клієнтами, розподіл роботи серед співробітників, підбір та організацію роботи команди. Наразі обіймаю посаду керівника офіційного автосервісу.

Пройшов навчання з Java-розробки та управління проектами.

Мета - перейти в сферу IT, працювати у динамічній команді та постійно вдосконалюватися."
191,"Автоматизація процесів управління проєктами, вирішення складних конфліктних ситуацій з клієнтами, ефективна взаємодія між членами команди. Досвід у веденні мультимедійних проєктів: перемовини з партнерами, підготовка та презентація проєктів, планування (таймінг), координація роботи текстової та відео-команд, управління кошторисом, планування публікацій, затвердження матеріалів з партнерами, підготовка звітності. Прагнення отримати новий досвід у сфері ІТ або дизайну, співпраця з іноземними клієнтами."
192,"Досвідчений Product Manager з досвідом керування командою розробки в SendPulse.com. На цій позиції поєднувала ролі продакта, проджекта та маркетолога з грудня 2017 по лютий 2021. Прагну розвиватися в напрямку проджект менеджменту, шукаю можливості для професійного зростання в цій сфері. Відкрита до нових викликів, готова почати з позиції Junior PM."
193,"Кар'єрний шлях: від простого працівника до начальника відділу. Нагороджена грамотами за досягнення. Самостійно сформувала відділ та проводила навчання персоналу. Амбітна та цілеспрямована, орієнтована на результат. Досвід керування командою, співпраця з IT-командою при створенні сайту компанії та чат-бота у Viber. Досвід ведення переговорів, управління часом. Закінчила курси IT Project Management, практикувала Jira, Kanban, діаграму Ганта, Scrum. Шукаю стажування в IT-компанії для здобуття досвіду Project Manager."
194,"Досвідчена в керуванні проектами, здобула навички під час навчання в університеті. Успішно розробила стратегію виконання великого проекту, оптимізуючи час та ресурси. Мотивована до професійного розвитку в сфері управління проектами."
195,"Information Technology Recruiter

Досвід:
• Рекрутинг у сфері Blockchain та IT
• Обробка вакансій
• Пошук кандидатів
• Первинний відбір
• Створення та перевірка резюме
• Підготовка кейсів для групових співбесід

Цілі:
Шукаю позиції РМ в сфері IT або можливості для подальшого розвитку в рекрутингу."
196,"Англійська мова на рівні B2 з прогресом у поглибленні знань. Експертиза у впровадженні Scrum у команді. Володіння HTML, CSS та Python. Досвід роботи джуніор Проджект менеджером (3 місяці). Основні інструменти: Jira, MS Office, Confluence. Досвід роботи в компанії, що орієнтується на agile методології, зокрема Scrum та Kanban, з акцентом на гнучке управління проектами."
197,Досвідчена у продажах через соціальні мережі. Активно брала участь в організації студентських конференцій. Волонтерський досвід у проведенні виставок у Мистецькому Арсеналі. Учасниця освітнього проекту «Кращі з Укртелекомом». Працювала менеджером з розвитку та просування бренду.
198,"Досвід роботи:

- Керівництво відділом у банківській сфері: контроль за роботою працівників, планування роботи підрозділу, проведення економічного аналізу для клієнтів банку.
- Досвід у сфері торгівлі: комунікація з клієнтами, постачальниками та працівниками компанії, проведення презентацій, навчання та оцінка персоналу."
199,"Coordinator of the Training Center, Public Union ""Osvitoria""

Expertise in Organizing and Coordinating Educational Events:
- Proficient in Google Workspace and Microsoft Office applications (Docs, Sheets, Zoom, etc.)
- Skilled in project management tools such as Asana and Slack
- Experience in visual development and website content management
- Effective communication with experts and participants

Technical Skills:
- Understanding of Software Development Life Cycle (SDLC)
- Basic proficiency in programming languages: C, C++, Python, HTML, JavaScript
- Experience in database creation using MySQL
- Proficient in project management tools like Jira and Trello
- Practical knowledge in creating Work Breakdown Structures (WBS)"
200,"- Володію англійською та французькою мовами на рівні B2
- Пройшла мовні курси в Канаді
- Постійно вдосконалюю свої навички, що позитивно впливає на мою професійну діяльність
- Маю амбітні цілі, які мене мотивують
- Високі комунікативні навички допомагають вирішувати складні завдання
- Досвід роботи з французьким ринком на посаді фахівця відділу підтримки транзакцій (вирішення питань) для французьких заводів Нестле в NBS у Львові
- Працювала в системі SAP, спілкувалася з ринком французькою та англійською мовами
- Хоча ця сфера діяльності для мене нова, маю досвід роботи в аутсорсингу
- Шукаю роботу в команді
- Подобається взаємодія з клієнтами та замовниками"
