Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free
12456,"Results-driven professional with experience in project management, data analysis, and team leadership. Proven track record of successfully supporting existing projects and initiating new ones, including the development of CRM and ERP systems for a logistics company.

Key Experience:
- Supported existing projects and initiated a new project with the team, delivering CRM and ERP solutions for a logistics company
- Contributed to increasing the company's sales plan
- Utilized IT solutions to resolve internal problems

Skills and Expertise:
- Data analysis, evaluation, and planning
- Budget planning and analysis
- Creation of user stories and communication of backlog priorities to the team
- Collaboration with business stakeholders to identify and solve technical problems
- Key decision-making on product features
- Reporting to department heads and management
- Project team oversight
- Risk control and management
- Time and scope management

Professional Values:
- Transparency in project management, budgeting, and issue resolution
- Clear communication of project progress, challenges, and changes to the team
- Commitment to ethical behavior and delivering value
- Interest in working on projects for non-governmental organizations (NGOs)"
12457,"Results-driven business analysis professional with 10 years of experience in delivering solutions of varying sizes, complexity, and purpose.

Proven background in software development life cycle (SDLC) with 4 years as a QA engineer, enabling swift identification of client needs and market requirements to provide tailored solutions that meet architectural drivers.

Skilled in combining business analysis with project management, having spent 1 year in a dual role, with responsibilities including:
- Development of product concepts
- Planning of architecture in collaboration with technical experts
- Training of users
- System deployment

Experience as an Engagement Manager in pre-sales, preparing initial proposals and conducting full scope analyses, demonstrating versatility in handling diverse tasks.

Entrepreneurial experience, having founded and managed own business, providing valuable insight into process construction, sales processes, and the importance of adaptability.

Currently seeking new challenges to leverage expertise in helping clients achieve success."
12458,"Product Manager

Key Responsibilities:
- Gathered requirements from stakeholders to inform product development
- Authored and defined forward user stories and use cases
- Created roadmaps and user flows for SaaS platforms from inception, including defining permission structures
- Collaborated closely with designers to evolve UX
- Managed Product and Sprint Backlogs to ensure timely project progression
- Facilitated daily, grooming, and retrospective meetings to maintain team alignment
- Decomposed user stories into actionable tasks, prioritizing them based on project needs
- Specified data delivery requirements from the data science department to the backend team
- Maintained and supported product documentation to ensure clarity and accessibility."
12459,"Project Manager at Marrix Power
Managed 16 distinct projects with 3-5 team members
Maintained constant communication with all clients
Elicited and documented numerous requirements for all projects
Responsible for project development from idea conception to planning and development
Gather requirements, shape ideas into feasible projects, and plan for further development
Seeking Business Analysis opportunities, leveraging experience in project management and development."
12460,"Sales Manager, Project Manager, and Business Analyst

Highly motivated professional with 4 years of experience in managing teams, clients, and projects. Proven track record of delivering results through effective client nurturing, engagement, and management.

Core Responsibilities:
- Client management: nurturing, engagement, and relationship building
- Team management: leading development teams and stakeholders
- Interactive prototyping and wireframing: utilizing MockingBot and Figma
- Business Process Model and Notation (BPMN): creating models with draw.io and Camunda
- Requirements elicitation and definition: gathering and documenting business needs
- User story and use case development: creating detailed user stories and use cases
- Upselling: identifying and pursuing new sales opportunities
- Technical documentation: developing and validating technical documents

Results-driven and enthusiastic about encountering new challenges and processes. Seeking new opportunities to leverage skills and experience."
12461,"Results-Driven Project Implementation Specialist

Accountable for delivering projects that meet customer requirements, timelines, and budgets. Key responsibilities include:

• Analyzing client requirements through elicitation, elaboration, and documentation of business and functional requirements in user stories, main and alternative flow diagrams, block diagrams in Visio, and wireframes
• Collaborating with cross-functional teams, including Developers, Engineers, and QA, to discuss solution architecture, estimation, and acceptance criteria, ensuring team understanding of client expectations
• Managing client requirements, including new requests and change requests, in Confluence, obtaining client approvals for scope and estimations
• Planning and prioritizing sprint tasks in Jira, participating in sprint planning and retrospectives to ensure adherence to agreed-upon priorities and timelines
• Tracking and reporting progress, creating use cases and test scenarios, reviewing test results with QA, and testing custom solutions prior to deployment
• Presenting solutions to clients, facilitating UAT, and ensuring customer satisfaction and acceptance"
12462,"Results-Driven System Analyst

Utilized technical expertise to develop innovative solutions, reducing estimated project time by up to 90%. Proven ability to constructively challenge and defend alternative solutions to top management, ensuring optimal outcomes.

Simplified bureaucratic processes related to technical documentation, minimizing manual workload and enhancing operational efficiency.

Key Responsibilities:

* Authored comprehensive technical documents, including Business Requirements Documents (BRD), System Requirements Specifications (SRS), API Specifications, and User Guides
* Designed and implemented database structures to support application development
* Estimated and prioritized Backlog Requests to inform project planning and resource allocation
* Conducted demo meetings to showcase completed work and gather feedback
* Facilitated Retro meetings to review project progress, identify areas for improvement, and implement process enhancements
* Performed thorough testing, including API testing, manual testing, and automated testing
* Developed and maintained test cases, test scenarios, and smoke scope to ensure application quality and reliability
* Created Release Notes and Delivery Protocols to facilitate seamless application deployment
* Assumed Team Lead responsibilities in the absence of the permanent Team Lead, demonstrating leadership and collaboration skills

Technical Expertise:

* System analysis and design
* API development and integration
* Front-end (FE) libraries and server management
* Database structure design and implementation
* Automated testing and quality assurance

Application Experience:

* Worked on a template application for app creation, utilizing FE libraries and API integration to facilitate easy application development and deployment."
12463,"LPNU: 
Bachelor's Degree, 3rd Course
Projects:
- Defined problems and provided analysis
- Suggested solutions through prototyping and persona development
- Developed solutions using use case diagrams
- Conducted analysis of the current state of a company
- Determined the ""TO BE"" state
- Utilized requirement elicitation techniques

Novomind (Germany)
Java Developer Intern (3 months)
- Developed solutions for small-scale cases
- Collaborated in an Agile team environment
- Communicated effectively in English"
12464,"Summary:
Results-driven professional with experience in project management, business analysis, and business ownership, skilled in managing multiple projects, analyzing requirements, and facilitating stakeholder communication.

Experience:
Project Manager/Business Analyst (1 year)
- Managed lifecycle processes of multiple projects
- Gathered and analyzed requirements using documents, interviews, workflow, business model, and requirements review sessions
- Maintained and coordinated development process according to methodologies, serving as Scrum master
- Tracked progress, monitored risks, and managed change using instruments such as backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Transformed stakeholder requirements into user stories, use cases, visual models, FRS, and SRS
- Facilitated communication between multiple stakeholders
- Composed technical standards for development processes

Business Owner (5 years)
- Sold products on the US market, producing them in China
- Executed day-to-day operations of an online shop, including customer support, procurement, promotions, and logistics
- Negotiated with suppliers and contractors
- Adapted to the ever-changing market environment

Efficiency Manager (1.5 years)
- Re-engineered business processes using scope, business rules, existing practices, and alternatives
- Designed new functionality for an internal ERP system
- Designed and implemented a routing system for Sales Departments
- Wrote technical tasks for the development team
- Taught employees during the change integration process

Skills:
- Project management
- Business analysis
- Scrum master
- Requirements gathering and analysis
- Stakeholder communication
- Technical writing
- Business process re-engineering
- ERP system design
- Routing system design
- Team management
- Change management
- Adaptability to changing market environments

Note: Removed to meet the requirements. 
Revised to: 
Summary:
Results-driven professional with experience in project management, business analysis, and business ownership, skilled in managing multiple projects, analyzing requirements, and facilitating stakeholder communication.

Experience:
Project Manager/Business Analyst (1 year)
- Managed lifecycle processes of multiple projects
- Gathered and analyzed requirements using documents, interviews, workflow, business model, and requirements review sessions
- Maintained and coordinated development process according to methodologies, serving as Scrum master
- Tracked progress, monitored risks, and managed change using instruments such as backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Transformed stakeholder requirements into user stories, use cases, visual models, FRS, and SRS
- Facilitated communication between multiple stakeholders
- Composed technical standards for development processes

Business Owner (5 years)
- Sold products on the US market, producing them in China
- Executed day-to-day operations of an online shop, including customer support, procurement, promotions, and logistics
- Negotiated with suppliers and contractors
- Adapted to the ever-changing market environment

Efficiency Manager (1.5 years)
- Re-engineered business processes using scope, business rules, existing practices, and alternatives
- Designed new functionality for an internal ERP system
- Designed and implemented a routing system for Sales Departments
- Wrote technical tasks for the development team
- Taught employees during the change integration process

Skills:
- Project management
- Business analysis
- Scrum master
- Requirements gathering and analysis
- Stakeholder communication
- Technical writing
- Business process re-engineering
- ERP system design
- Routing system design
- Team management
- Change management
- Adaptability to changing market environments"
12465,"Results-driven Business Analyst and Project Manager with 6+ years of commercial experience across diverse domains. Proven track record of leveraging technical, communication, and organizational skills to drive company goals and results.

Key Experience:
- 2+ years in IT outsourcing
- 2 years in project management
- 5 years in ERP/CRM systems implementation and management
- 6 years in the retail sector
- 2 years in the healthcare industry
- 2 years in sales and marketing strategies and operations

Highly motivated and disciplined, with a strong focus on achieving company objectives through effective analysis, planning, and management."
12466,"Skils:
- Strong analytical skills, with the ability to analyze complex problems
- Project management
- Statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Ability to work independently or in a team, managing multiple engagements, with strong negotiation and conflict resolution skills
- Learning and teaching abilities
- Proficient PC user, with advanced skills in Excel and PowerPoint
- Language proficiency: English and Russian (fluent), Ukrainian (native), German (basic)

Experience:
- Developed Terms of Reference and technical requirements
- Designed and implemented data processing systems
- Verified and compiled data
- Created specifications for construction and equipment projects

- Conducted research and analytics, producing analytical reports
- Performed functional and effectiveness analyses
- Identified, analyzed, and interpreted trends and patterns in data
- Described and optimized business processes
- Analyzed best practices and international experience of central purchasing bodies
- Developed strategic proposals for the Central Purchasing Body in Ukraine

- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitored the e-procurement system, ProZorro, ensuring compliance, reporting, and conducting research and investigations
- Contributed to the development of terms of reference and technical tasks for the e-procurement system, aligned with the Open Contracting Data Standard
- Searched, gathered, and processed catalogues and information
- Communicated with BI users, procurers, suppliers, controllers, and other clients
- Participated in public events, conferences, and lectures as a speaker, BI expert, and participant
- Supported the development of an e-procurement risk indicators system
- Provided reporting and trend analysis of public procurement procedures for government institutions"
12467,"Agile Certified Professional (IC Agile) with experience in Business Analysis and Project Management
Summary:
Results-driven professional with a client-oriented approach, combining marketing background in FMCG with IT expertise, seeking a dynamic environment with diverse projects.

Technical Skills:
- SRS (Use cases, UML)
- Backlog (User Stories, Acceptance Criteria)
- UX
- Scrum
- Basic level: MySQL, HTML, CSS

Professional Experience:
Marketing Analyst/Marketing Coordinator (FMCG)
- Utilized client-oriented approach to drive business growth
- Gained understanding of business operations and client needs

Current Role:
Business Analyst/Project Manager
- Involved in pre-sales process and delivery
- Performs Business Analyst functions with additional responsibilities in Project Management

Career Expectations:
Seeking a company with interesting projects and a fast-changing environment."
12468,"Results-driven Business Analyst and Project Manager with 3 years of experience
Proven expertise in the Healthcare domain, with a strong understanding of Business Intelligence (BI) tools and the ability to quickly grasp project technical details
Adept at applying professional skills to drive project success and provide support to teams at all stages of execution
Skilled soft skills trainer with a talent for creating a positive and energized team environment, effectively managing conflicts and promoting collaboration"
12469,"Translator and Proofreader
Translated and proofread reports, presentations, and websites for prominent healthcare and pharmacy companies, including Novo Nordisk, Bayer, Parexel, and EURORDIS, from and into English.

English Language Instructor
Taught English to students remotely via the Zoom platform, utilizing various online resources and Google tools to create personalized educational plans, assessments, and evaluations."
12470,"Product Strategist
Experienced in working with startups and existing products to validate product ideas and set product strategy. Skilled in conducting user research and managing design teams. Proficient in multi-platform projects, with a strong desire to continually improve business analysis skills and take on challenging projects."
12471,"Experienced Business Analyst / Project Manager
Skilled in Customer Service, Strategic Planning, User Experience, User Interface, SEO, Event Management, and Public Speaking. Strong program and project management professional.

Results-driven leader with 7+ years of experience in IT Project Management and Business Analysis, having worked with teams of 5-15 members in various companies, from start-ups to large corporations with 8000+ employees.

Proven track record of successfully managing teams, building processes, and organizing work to avoid overtime. Adept at resolving contentious issues with clients regarding budgets and deadlines, and establishing a comfortable working climate. Under my leadership, 9 new internet projects were created and over 22 projects were improved.

Industry experience includes education, educational tourism, medical tourism, sailing, tourism, showbiz, e-commerce, and fintech. Proficient in working with both B2C and B2B clients, introducing products to Ukrainian and foreign markets, including Arab countries, China, Great Britain, and the USA.

Key skills include project management, team leadership, negotiation, business correspondence, commercial offer composition, user story writing, customer and stakeholder management, design creation, task acceptance and testing, and usability testing. Experienced in managing both in-house and remote development teams.

Familiarity with Agile, SCRUM, Kanban, Jira, Confluence, Asana, CRM, ERP, BPMN, SEO, Email Marketing, VCC, Google Analytics, Hotjar, Power BI, Quality Assurance Guide, Adobe Creative Suite (Photoshop, Illustrator, InDesign), CMS (WordPress, Drupal), and basics of HTML and CSS.

Goal-oriented, efficient, and open-minded professional seeking a full-time or part-time opportunity, with experience working in both office and remote settings, prioritizing results over location."
12472,"Results-driven founder and manager with 9 years of experience in managing a web-studio, overseeing a team of 5-20 employees, and handling multiple roles including sales manager and developer. Proven expertise in project management and business analysis, with a strong background in delivering online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

Key skills:
- Project management
- Business analysis
- Product management
- Product roadmap development
- Scrum and Agile methodologies
- User stories and manual testing
- B2B operations
- Jira and Trello proficiency
- UX/UI design
- HTML, MySQL, and PHP programming
- Marketing and analytics

Seeking a challenging role as a business analyst or project manager in a large IT company, leveraging my technical and managerial expertise to drive success."
12473,"Business Analyst and Project Manager
Over 6 years of experience in non-IT projects, with participation in more than 50 projects and team management experience leading teams of 2-7 people, with budgets up to $250,000. Proven expertise in Scrum, Kanban, and Waterfall methodologies. Additionally, experienced as a Product Owner in an IT-startup.

Hard Skills
• Scrum | Kanban | Waterfall
• Lean | BPMN | MS Visio
• Jira | Asana | Trello
• Zoom | MS Teams | Google Meet
• Google Docs | Excel
• SQL and Java (basic level)

Soft Skills
• Leadership skills
• Goal-oriented | proactive
• Project management
• People management
• Analytical thinking
• Business systematization
• Ability to think “outside the box”

Language Skills
English - B1 (Upper-Intermediate)

Currently seeking a challenging opportunity to apply my skills and knowledge in a project or company that aligns with my values."
12474,"November 2019 - February 2020
Teacher, Software Testing Courses
Quality Assurance Group
- Taught topics including Quality Assurance basics and Business Analysis basics

September 2019 - February 2020
Business Analyst
QArtrock
- Project 1: Corporate Website - official website of a Turkish international trading company
  - Defined project scope
  - Conducted requirements elicitation
  - Created concepts and system models
  - Analyzed and documented requirements
- Project 2: Store Website - website for an electronics store with online trading capabilities
  - Defined project scope
  - Conducted requirements elicitation
  - Created concepts and system models
  - Analyzed and documented requirements

May 2019 - August 2019
QA Trainee
Quality Assurance Group
- Project 1: Pharmacy Management System - web application for apothecaries to manage pharmacies online
  - Analyzed requirements
  - Designed tests
  - Wrote and executed test cases
  - Wrote bug reports
- Project 2: Online Education Platform - program for selecting educational courses based on surveys
  - Conducted performance testing using JMeter
  - Performed database testing using MySQL
  - Conducted API testing using Postman
- Project 3: Construction Online Store
  - Analyzed requirements
  - Wrote test plans
  - Designed tests
  - Wrote and executed test cases
  - Wrote bug reports and test summary reports

October 2011 - April 2019
Scientific Consultant
- Provided diagnostic, improvement, and analytical services for scientific project development and implementation
- Topics included:
  - Implementing innovative technologies in educational systems
  - Psychological maintenance of innovative activity"
12475,"Results-driven professional with over 3 years of experience in managing turnkey projects, team building, and workflow organization. Proven track record of successful project implementation, technical task management, and client communication.

Experience
1. BA, IWIS LLC | October 2020 – January 2021
2. Project Manager, LLC «Politara» | March 2019 - December 2019
3. Lead analyst, ITek | 2016-2018
4. Implementation specialist of accounting systems, production, and trading processes; system administrator, LLC «Sky» | 2013-2015
5. Edms analyst, SC «Zovnishtorhvydav» | 2012-2013
6. System Administrator, PrJSC«UkrSRINDT» | 2011-2012
7. System Administrator, LLC«PIPING INTEGRATION COMPANY» | 2010-2011

Professional skills
- ERP implementation
- Adaptable project management approach to meet business needs
- Technical documentation drafting, requirements collection, user acceptance testing, and reporting
- Conflict management
- Technical writing, specification setting, user manual development, and system testing (1C 7.7, 8.2, 8.3 configurations)
- Administration of MS Server 2008, 2012, Unix systems, and MS SQL databases
- Virtual system administration (VM Ware, VirtualBox)

Education
Taras Shevchenko National University of Kyiv
Specialist, 2006-2011
Department of Theoretical and Applied Mechanics

Institute of Postgraduate Education
Master, 2014-2017
Common law

Certificates
MindsetPM
• Big IT Project Management Program, July 2019, certificate №PM-EDU-20190728-03
• Manipulations Practice and Defence, August 2019, certificate №PM-EDU-20190804-07

A motivated and results-driven professional seeking a challenging role where I can apply my skills and knowledge to achieve great results. I am a team player with the ability to work independently, and I approach each new goal as a personal challenge."
12476,"With eight years of experience in the ICT sector, I have worked in various roles, including business analyst, project manager, and business intelligence manager. My career began as a Business Analyst at Sumaks Technologies, a hardware development startup, where I analyzed business needs and identified opportunities for improvement.

I then transitioned to Project Manager at the Business Insights International Research Group, leading a team in evaluating individual and branch KPIs of workers in an insurance company. I collaborated with stakeholders to define needs and requirements, managed data collection, entry, and preprocessing groups, and extracted insights from the study, reporting back to the insurance company.

As a Business Intelligence Manager at Helind company, which focused on renewable energy solutions and electronic device manufacturing, I utilized my business intelligence expertise to enhance decision-making by analyzing and visualizing data.

My experience has equipped me with skills and knowledge for data-driven roles. I completed a ""Data Science with Python"" course, learning Python, machine learning models, and preprocessing methods. Additionally, I acquired SQL skills for data science and have been applying my knowledge by solving various data science tasks. I continue to self-study, learning R, deep learning algorithms, and NLP to broaden my expertise. This has enabled me to effectively manage data-driven projects.

I am interested in the healthcare, energy, manufacturing, marketing, fintech, and retail sectors. I am exclusively interested in remote job opportunities."
12477,"**Summary**
Highly motivated and detail-oriented professional with experience in product management, agile methodologies, and technical skills. Proficient in a range of tools and technologies, with a strong desire to work with Big Data, AI, AR/VR, and games.

**Technical Skills**
- Programming languages: Python (beginner)
- Development frameworks: Magento, Wordpress, OpenCart, BPMonline
- Databases: Relational DB, SQL (basic requests), Microsoft SQL Server Management Studio
- APIs: Rest API, Postman
- Data analysis: Excel (pivot tables, basic statistical calculations), Basics of QlikView, QlickSense, Google Analytics, Kibana
- Design tools: Axure, NinjaMock
- Payment systems: WayForPay, Bitcoin

**Agile Methodologies**
- Scrum
- Kanban
- Waterfall
- LEAN
- RAD

**Project Management Tools**
- Asana
- Redmine
- Bitrix24
- Trello
- Jira

**Soft Skills**
- Teamwork facilitating
- Conflict settlement
- Problem solving
- Public Speaking
- B2B negotiations
- Presentation skills
- Brainstorming
- Focus Groups
- User Interview

**Product Management**
- Specification
- Feature Breakdown Structure
- RoadMap
- User Stories
- Change Requests Log
- Risk Matrix
- Sprint Release
- SWOT
- MVP
- Product Management

**Mobile Development**
- Android guidelines
- IOS guidelines
- UI best practices

**Work Preferences**
- Interested in working with Big Data, AI, AR/VR, and games
- Prefers product management roles with interesting, complicated products and high workload, involving new technologies
- Seeks a people-oriented company with a progressive perspective, intending to grow, and which welcomes initiative, energy, and appreciates its team
- Minimum salary requirement: $2200/month, with a salary review every 12 months"
12478,"Results-driven professional with experience in delivering successful mobile firmware projects for Samsung, ensuring timely and efficient delivery to factories. Proven track record of implementing internal processes and workflows that span the entire company, from development to sales management.

Skilled in preliminary UX and prototyping, with expertise in Agile, Scrum, and Kanban methodologies. Proficient in project management tools such as Jira, Trello, Axure, and MS Project, with experience in project planning, budget planning, wireframing, requirements gathering, and use case development.

Seeking a challenging project that leverages my expertise to drive launch success and deliver impressive results. Interested in international projects, enterprise-level initiatives, or innovative startups. Open to exploring opportunities that align with my skills and experience, excluding e-commerce projects involving Drupal, Magento, or similar platforms."
12479,"Results-Driven Business Analyst and Team Leader

Key Skills:
- Business Process Description and Analysis
- Customer Needs and Requirements Elicitation
- Technical Documentation Creation: User Stories, Use Cases, Software Requirements Specification (SRS)
- Requirements Management throughout the Software Development Life Cycle (SDLC)
- Team Leadership: Guidance, Instruction, Mentoring, and Process Creation
- Project and Team Management
- Process Improvement
- Project Coordination

Professional Experience:
- Conducted business process description and analysis to enhance operational efficiency.
- Elicited customer needs and requirements to ensure alignment with project goals.
- Created technical documentation including User Stories, Use Cases, and Software Requirements Specifications (SRS) to facilitate clear communication among stakeholders.
- Managed requirements throughout the SDLC to ensure project deliverables met customer expectations.
- Led teams by providing guidance, instruction, and mentoring, and contributed to process creation for improved team performance.
- Coordinated and managed projects and teams, focusing on process improvement and effective project coordination to achieve objectives."
12480,"Customer Success Project Manager & Business Analyst
Revenue Grid
2023-Present

Presale Business Analyst
Soft-Industry Alliance
2022-2023
    Conducted elicitation and completed project documentation
    Worked with a solutions architect, writing proposals, solutions overviews, and value propositions
    Utilized BPMN to build, test, and structure processes and tools for Partner Success Management team
    Conducted audit of company's Business Processes
    Established OKR/KPI base, smart setting, and real-time management across the org using Excel with Team screens and Dashboards

Revenue Operations Analyst (PMBA)
OpenText Corporation, Waterloo, Canada
2021-2022
    Managed development of CRM and ERP features, supported changes with data, and formed scope
    Gathered functional requirements and NFRs, wrote User Stories, and applied Agile methodologies (Scrum, Waterfall, Kanban)
    Managed Salesforce releases on a CI/CD basis
    Partnered with internal customers to troubleshoot and solve user issues in Salesforce and SAP
    Conducted regression testing in ALM and built test cases
    Developed and maintained customer reports and dashboards for ELT

Billing Coordinator (Operations Management)
OpenText Corporation, Waterloo, Canada
2018-2021
    Supported sales team by reviewing deal submissions via Salesforce, ensuring flawless fulfillment in SAP ERP
    Set up, maintained, and audited Changepoint engagements and projects
    Provided data support to sales organization, including reports and data sets
    Contributed to continuous process improvement as part of the Streamline Process Committee
    Supported finance organization for SAP ERP challenges as part of SAP Tier 1 group
    Assisted with finance reconciliations projects and participated in pricing calls
    Conducted testing activities in ALM and documented corporate processes (SOPs)
    Provided on-boarding and training to junior team members

Customer Records & Entitlements Associate
Nuance Communications Inc. (Imaging), Waterloo, Canada
2017

Order Fulfillment Clerk
Canadian General Tower, Cambridge, Canada
2016"
12481,"Jane Gurovich

Summary:
Results-driven professional with experience in collecting and analyzing customer requirements, negotiating product delivery terms, and conducting functional testing. Proven ability to create and implement product support procedures, conduct presentations, and provide first and second level product support.

Experience:
- Coordinated small to medium-sized Dev/QA teams
- Utilized Agile Methodologies (Scrum) and tools (JIRA, Confluence) for efficient project management
- Conducted functional testing to ensure product quality
- Created and implemented product support procedures for enhanced customer satisfaction
- Delivered presentations and product awareness sessions to diverse audiences
- Provided first and second level product support to resolve customer issues

Skills:
- Agile Methodologies (Scrum)
- JIRA
- Confluence
- SQL (basic knowledge)
- HTML (basic knowledge)
- CSS (basic knowledge)
- XML (basic knowledge)
- UNIX-like operating systems (hands-on experience)

Career Goals:
- Professional growth
- Adequate management
- Competitive compensation package"
12482,"QC Engineer
6 years of experience in quality control, with additional responsibilities in business analysis and team management

Key Responsibilities:
- Conducted thorough analysis of functional requirements, clarifying expectations through Skype, phone meetings, and emails
- Prepared proposals for customers based on their expectations
- Identified potential product and project risks
- Created user guides
- Led a QA team of 3-4 members for 1.5 years

Project Experience:
- Customized an employee management and timekeeping system, consisting of multiple modules (scheduling, timekeeping, vacation and days off management, salary and other payments, personal data, analytics)
- Analyzed and developed 40-45 customizations, with an average duration of 2 weeks-4 months, working with a team of 1-4 members

Career Goals:
- Seeking to improve skills in business analysis or project management
- Interested in remote work with a flexible schedule (4-5 hours per day)

Availability:
- Available for remote work with a flexible schedule
- Open to discussing payment terms based on an 8-hour workday"
12483,"IT Specialist with over 10 years of experience in the IT industry, specializing in software maintenance and support, software analysis, and project management.

Core strengths include business awareness, project coordination, system migrations and integrations, incident and problem management, SQL, SDLC, Jira, Agile, Scrum, Waterfall, results-driven, self-motivation, team motivation, and positive thinking.

Currently working as a Business Analyst in IT for the past 4 years, with experience in Ecommerce, Logistics, and Finance (Banks) domains, including over 9 years in the Finance sector.

Skills:
- SQL
- Client and team communication
- Analytic thinking
- SDLC understanding
- Data Analysis
- Atlassian Jira, Confluence, Visio, Balsamiq, Firebase, MS Office, MS SQL Server, Sybase SQL Anywhere, XML, JSON
- Writing project requirement documentation (PRD, SRS, API specification, A/B testing specification)
- Creating diagrams (UML, BPMN)

Responsibilities as a Business Analyst:
- Communicate with stakeholders to understand, collect, and analyze requirements
- Analyze concurrent processes for product improvement
- Create diagrams (BPMN, UML) for business processes and logic
- Translate business requirements into technical specifications
- Write software specifications, instructions, user stories, use-cases, API specifications, product metrics specifications, A/B testing specifications, and how-to guidelines
- Implement specification templates
- Participate in daily scrum meetings, sprint meetings, and retrospective meetings
- Mediate between business and technical teams

Experience:
- Business Analyst:
  - Epicentr M (Oct 2020 - present)
  - Scallium (Dec 2019 - Oct 2020)
  - NullGravity (Sep 2018 - Dec 2019)
  - Coreteca (Aug 2017 - Sep 2018)
- Senior Software Analyst (PM):
  - OJS Company ""Universal Bank"" (Jun 2013 - Aug 2017)
- Senior Engineer:
  - Intesa Sanpaolo Group Ukraine (Pravex Bank) (Jul 2011 - May 2013)
- System Administrator:
  - BMS SERVICE (Feb 2011 - Jul 2011)
- Lead Software Engineer:
  - Prominvestbank (Sep 2007 - Dec 2010)
- Engineer-Programmer:
  - Nikolaev Petroleum (May 2007 - Aug 2007)
- Engineer:
  - Information Technology, Services & Solutions (Nov 2006 - May 2007)"
12484,"Results-driven professional with experience in project initiation, business process analysis, and improvement. Proven track record of gathering requirements for projects in areas such as public health and M&E. Skilled in analyzing business processes within companies, including Synergy International Systems and IDeA foundation, and providing recommendations for enhancement.

Key accomplishments include collaborating with IT Specialists to design and implement two internal portals using MS SharePoint, which are currently in widespread use. Proficient in project planning tools, including MS Project, with expertise in developing project plans, risk management plans, communication plans, and budgets for various projects.

Consistently served as a focal point for project status reporting, ensuring timely and accurate updates. Possess strong analytical and communication skills, with a strong ability to work collaboratively with cross-functional teams to drive project success."
12485,"SKILLS
- Project management experience
- Task setting according to SMART principles
- Development of technical project descriptions and concepts
- Determining business requirements and developing optimal solutions
- Over 7 years of experience as a business analyst
- Implementation experience with automated control systems
- Creation and execution of test plans, test cases, and bug reports
- Understanding of project documentation development (Use Cases, Business Rules, Functional & Non-Functional Specification)
- Business process analysis and optimization
- Experience in managing requirements changes
- Strong communication and negotiation skills

Technical Skills:
- Jira
- SQL (basic)
- HTML/CSS (basic)
- 1С
- Microsoft Office (Word, Excel, Outlook, PowerPoint)

SUMMARY
Results-driven professional with over 12 years of experience in Project Management, Business Analysis, Marketing Analysis, and Business Process Analysis. Proven track record of success in managing projects and analyzing business processes. Holding a higher education degree in Management and Project Management, graduated with honors, and certified in QA Manual. Seeking a challenging role as a Project Manager or Business Analyst in the IT field where I can utilize my skills and experience to drive success."
12486,"Results-driven professional with over 9 years of experience in delivering IT and transformation projects across multiple domains, including retail, mining engineering, energy, and government auctions. Proven expertise in process modeling and analysis, requirements gathering, and stakeholder engagement. Adept at conducting interviews, workshops, and documenting requirements using use cases and user stories. Skilled in leadership and influencing, with a strong ability to engage professionally with stakeholders.

Seeking a challenging role as a Business Analyst or Project Manager in an organization that offers innovative products or services providing tangible benefits to people, either through significant impact on a smaller scale or broad benefits to a large audience. Drawn to companies that leverage cutting-edge technologies to drive revolutionary solutions and meaningful change."
12487,"Results-driven Business Analyst and Project Manager with experience in product development and spacecraft design. Proven track record of managing online platform development for international markets and leading groups in spacecraft design.

Key Experience:
- Business Analyst and Project Manager in a product company, overseeing the development of an online platform for analyzing satellite imagery for international markets.
- 8 years of experience as an Engineer and Head of Group in spacecraft design, contributing to the development and promotion of promising projects.

Technical Skills:
- Requirements elicitation, analysis, and detailed design
- Creating use cases, user stories, and acceptance criteria
- Requirements management, including SRS, backlog tracking, and story task description definition
- Product analysis, identifying weaknesses and strengths
- Market research and competitor analysis
- Product documentation support

Career Objective:
To secure a Business Analyst position in a progressive and friendly team, offering opportunities for professional and personal growth."
12488,"Senior Business Analyst
7+ years of experience in B2C software development of websites and iOS/Android, with over 10 years in IT

Key Achievements:
- Launched a web application for IT Career planning from the ground up
- Validated dozens of ideas using interviews, resulting in millions of dollars saved for a FinTech startup
- Optimized internal processes of a B2C company, creating a new revenue stream

Skills:
- Proficient in requirements gathering methodologies

Location and Work Preferences:
Located in the USA (TX), seeking a remote position with clients in the USA or Canada, with the ability to travel as needed."
12489,"Senior Business Consultant
EY, Ukraine

Results-driven professional with 4 years of experience in optimizing business processes, financial analysis, and operational improvement. 

Key Expertise:
- Business Process Modeling (EPC and BPMN notations) utilizing MS Visio and ARIS
- IT Strategy Development
- Data Analysis and Modeling with advanced proficiency in MS Excel, MS PowerQuery, and MS Power BI
- Management Reporting Development
- Organizational Structure and KPI Framework Review and Design
- Methodology and Operational Regulation Drafting
- Presentation Design using MS PowerPoint
- Project Management
- Team Leadership"
