Unnamed: 0,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o
98270,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Creative and detail-oriented 3D Graphic Specialist with extensive experience in 3D modeling and web design. Proven ability to lead projects and collaborate effectively within teams. Skilled in HTML, CSS, and SketchUp, with a strong focus on creating user-friendly and aesthetically pleasing digital experiences.

---

**Professional Experience**  

**3D Graphic Specialist**  
HOVER Ukraine  
February 2021 - June 2023  

- Utilized SketchUp to model 3D exteriors and interiors, ensuring high-quality and accurate representations.
- Reviewed and verified the accuracy of 3D models created by other modelers, maintaining quality standards.
- Collaborated with team members to deliver projects on time and within scope.

---

**Project Experience**  

**UI/UX Design Projects**  

- **Redesign of Sophie Scholl Realschule Website**  
  - Conducted research and analysis of school websites and web design best practices in the education sector.
  - Redesigned the website to create an aesthetically pleasing, user-friendly, and informative platform.
  - Enhanced skills in competitive and audience analysis throughout the project.

- **YoHome Web Service for Hosting and Renting Housing**  
  - Led the development of the interface from scratch, focusing on user flow and service stylization.
  - Worked on adaptation with minimal changes to ensure a seamless user experience.
  - Managed a team environment characterized by mutual respect and a friendly atmosphere.

---

**Technical Skills**  

- HTML & CSS  
- SketchUp  
- UI/UX Design  
- 3D Modeling  

---

**Additional Information**  

- Successfully led a team in the development of a web service project.
- Committed to continuous learning and development within the company.
- Strong focus on achieving results and meeting project goals."
98271,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring to advance in the field of UI/UX design, leveraging my diverse design background and recent web design training to create intuitive and engaging user interfaces.

---

**Education**  
**Master's Degree in Environmental and Industrial Design**  
[University Name], [Location]  
[Year of Graduation]

---

**Professional Experience**  

**Interior Designer**  
[Company Name], [Location]  
[Year] - Present  
- Developed and executed interior design projects, collaborating with clients to create functional and aesthetically pleasing spaces.
- Engaged in graphic design, creating logos, business cards, and banners.
- Delivered high-quality design solutions both as a freelancer and within a company setting.

**Freelance Designer**  
[Year] - Present  
- Designed and developed a variety of projects, including interior design, graphic design, and painting.
- Created custom logos, business cards, and banners for diverse clients.

---

**Web Design Training**  
- Completed courses from GENIUS and Cases, including ""Fundamentals of Web Design,"" ""Working with Figma,"" and ""UX/UI: Projecting and Design of Interfaces"" (2022).

---

**Skills**  
- Interior Design  
- Graphic Design  
- Industrial Design  
- Web Design (Figma, UX/UI)  
- Logo and Branding Design  
- Painting  

---

**Language Proficiency**  
- English: B1  
- Polish: B2  
- Spanish: B1  

---

**Portfolio**  
[Link to your online portfolio or website]  

---

**References**  
Available upon request."
98272,"UI/UX Designer

Profile:
Aspiring UI/UX Designer with 6 months of hands-on experience in designing user interfaces and experiences for various digital platforms. Proficient in the full design process, including competitor analysis, user flows, wireframing, prototyping, and creating responsive designs. Strong teamwork skills with experience collaborating with front-end developers. Passionate about creating comprehensive and appealing designs that enhance user experience and drive conversions.

Experience:
UI/UX Design Experience (6 months)
- Designed user interfaces for landing pages, e-commerce sites, portfolio sites, and mobile applications (iOS, Android).
- Engaged in redesign projects, focusing on improving user experience and interface aesthetics.
- Conducted competitor analysis and developed user flows to inform design decisions.
- Created wireframes and prototypes to visualize design concepts.
- Developed unique UI designs for websites, ensuring adaptability for mobile and tablet devices.
- Implemented basic website animations to enhance user interaction.

Education:
UI/UX Design Coursework (5 months)
- Gained in-depth knowledge of UI/UX design principles and technologies.
- Studied Google Material Design Guidelines and Human Interface Guidelines, applying this knowledge in practical coursework.

Objective:
Eager to join a professional UI/UX design team to apply my skills and knowledge. Committed to contributing to innovative projects that challenge my design thinking and enhance my expertise. Seeking opportunities to create user-friendly and visually appealing designs that effectively communicate information and improve user engagement.

Skills:
- UI/UX Design
- Wireframing & Prototyping
- Responsive Design
- Competitor Analysis
- User Flows
- Basic Website Animation
- Collaboration with Developers

Personal Statement:
I believe that the key to successful UI/UX design is creating designs that are both comprehensive and visually appealing, ensuring users can easily access the information they need. I am open to engaging projects that challenge me to find optimal solutions and help me grow as a designer."
98273,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UX Designer with a strong foundation in user-centered design, design processes, accessibility, and equity-focused design. Eager to contribute skills in a collaborative environment to create impactful user experiences.

---

**Education**  
Hillel IT School  
- Completed a comprehensive course in UX Design

---

**Experience**  

Freelance Designer  
[Month, Year] – [Month, Year]  
- Designed banners for social media platforms including Instagram, Twitter, and Facebook.
- Contributed to planning applications and websites.
- Developed a blog using Webflow.
- Created landing pages and promotional banners.

---

**Skills**  
- User-Centered Design  
- Design Process Understanding  
- Accessibility and Equity-Focused Design  
- Design Sprints  
- Webflow  
- Social Media Content Creation  

---

**Projects**  
- Developed and designed a blog using Webflow, emphasizing user engagement and accessibility.
- Created visually appealing and effective landing pages and banners for diverse clients.

---

**Certifications**  
- UX Design Course, Hillel IT School

---

**Additional Information**  
- Strong understanding of design sprints in UX design.  
- Proven ability to collaborate with cross-functional teams to enhance user experience."
98274,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Junior UI/UX Designer with a passion for creating effective and visually appealing designs that enhance user experience. Specializing in landing pages, e-commerce, website redesign, and web services, I am eager to contribute my skills and enthusiasm to your team to create impactful designs that drive business success.

---

**Education**  
- Completed a 6-month UI-UX Design course.

---

**Project Experience**  

**""Wish"" - Gift Delivery Mobile App**  
- Led the design of a flower and gift delivery app, executing a full-cycle process including competitive analysis, UX personas, user flow, wireframes, and UI design.

**“Fitroom” - Corporate Website Redesign for a Fitness Studio**  
- Conducted competitor analysis, established stylistic direction, built prototypes, optimized interfaces for phone and tablet, and developed the UI kit to create a modern user interface that boosts sales.

**“VDOMA” - Ukrainian Couch-Surfing Web Service**  
- Developed a web service to facilitate affordable stays in Ukraine and promote tourism. Engaged in competitive analysis, UX personas, empathy mapping, sitemap creation, MVP definition, and user flow diagramming. Developed tablet/mobile adaptations and conducted A/B testing to refine the design.

---

**Additional Projects**  
- Designed UI for an accounting services table for a cleaning company.
- Created UI for a website sidebar.
- Developed a team page with paddings using AutoLayout.
- Designed a user page for an online learning resource.
- Created a dashboard for an ed-tech product aimed at school students.
- Developed UI for a desktop start screen with animation.
- Designed a modal window for confirming money transfers from card to card.
- Created a dashboard for an administrator to manage user rights.

---

**About Me**  
Eager to expand my knowledge and grow in design, I am excited to contribute to your next project and help create designs that elevate business."
98275,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Creative and detail-oriented Junior UX/UI Designer with a solid foundation in design principles and a strong aesthetic sense. Dedicated to enhancing user experiences through innovative digital solutions. Continuously learning and staying informed about industry trends and new technologies. Eager to contribute expertise and collaborate on challenging projects in the UX/UI design field.

---

**PROJECT EXPERIENCE**  

**Petsearch**  
Spearheaded the design and development of Petsearch, a web service designed to assist shelters and promote volunteerism by facilitating the search for lost and found animals. Developed a user-friendly interface to ensure seamless interactions, connecting pet owners with individuals who find lost pets.

**A Kids Place Childcare**  
Revamped a kindergarten website by integrating technical and research components. Conducted a thorough analysis of the existing design and competitors to identify strengths and weaknesses. Created visuals based on research insights and developed a comprehensive UI kit documenting all UI elements used.

**FlowerLover Flower Shop**  
Designed a landing page for FlowerLover, a flower shop, incorporating various UI elements such as buttons and inputs. Performed extensive research, including competitor analysis and moodboard creation, to determine page structure and select a color palette that reflects natural hues.

---

Motivated to work on engaging projects to gain experience and apply skills effectively. Dedicated to creating high-quality and impactful products."
98276,"Junior UI/UX Designer

**About Me**  
I am a Junior UI/UX Designer with a strong desire to grow and develop in the field. I have experience working on both team and individual design projects, with a solid foundation in design principles such as color theory, typography, and layout design. I am eager to expand my experience and am committed to learning and growing with a team to create exceptional user experiences.

**Education**  
- Self-educated in UI/UX design through online courses, literature, and exploration of cutting-edge design technologies.

**Professional Experience**

**Project Experience**

**Website Redesign | Tattoo Studio**  
December 2022 – January 2023  
- Redesigned the tattoo studio website to enhance modernity and user-friendliness.  
- Improved navigation elements and introduced new functions for ordering tattoos.  
- Enhanced image quality of tattoo artists' work and integrated customer reviews.  

**UI/UX Design | Service for Finding Lost Animals**  
February 2023 – March 2023  
- Developed a study project for a web service aimed at finding lost pets.  
- Designed functionality for creating and publishing ads for lost or found animals.  
- Focused on creating a tool for efficient information dissemination and communication between pet owners.  
- Collaborated with experienced designers, enhancing professional skills and learning new technologies and trends in UI/UX design.  

**Skills**  
- Strong foundation in design principles: color theory, typography, and layout design.  
- Experience in both team and individual design projects.  
- Proficient in developing user-friendly interfaces and improving user experience.  
- Eager to learn and adapt to new design technologies and trends.  

**Objective**  
Seeking an opportunity to expand my experience in UI/UX design, contribute to a team, and create outstanding user experiences."
98277,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and skilled UX/UI Designer with a strong passion for developing aesthetically pleasing digital products. Specializes in designing websites, web services, mobile apps, logos, advertisements, and posters. Seeking remote opportunities to collaborate with innovative teams. Quick learner eager to embrace new challenges and expand skill set.

---

**Professional Experience**

**Korg Sound Library Cover Design**  
- Designed two illustrations for sound library covers.  
- Engaged in client discussions to gather essential project details.  
- Analyzed reference photos to inform cover design.  
- Implemented corrections and delivered client-approved results.  

**Sinevibes Logo (3D Animation)**  
- Created an animated 3D logo for video intro purposes.  
- Executed modeling, shading, and rendering of the final animation.  
- Achieved client approval for the completed project.  

---

**Key Projects**

**UrbanFest Landing Page Design**  
- Developed a landing page from concept to completion, starting with moodboard and wireframe.  
- Delivered a minimalistic and effective landing page for UrbanFest.  

**CustomConcepts Tattoo Website Redesign**  
- Transformed an existing tattoo website into a modern, comprehensive platform.  
- Conducted competitive analysis and progressed to prototyping.  
- Delivered a functional and visually appealing final design.  

**Web Service UX and UI Design**  
- Designed a web service for locating affordable accommodation abroad.  
- Conducted UX analysis, developed user personas, and mapped customer journeys.  
- Created information architecture, user flows, and full-color wireframes.  

**Beatcraft Mobile App Design**  
- Designed a music-related mobile app, including wireframes and full interface design.  
- Integrated features such as two-factor authentication and in-app achievements.  
- Conducted target audience analysis to guide design decisions.  

---

**Core Skills**  
- UX Research  
- UI Design  
- Wireframing and Prototyping  
- Information Architecture  
- User Flow Design  
- 3D Animation  
- Graphic Design  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
98278,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**About Me**  
I am a dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient, and beautiful design projects. I believe that understanding user problems is the starting point for creating design solutions. My passion for design, attention to detail, and willingness to learn and grow make me a valuable asset to any team committed to creating outstanding products.

**Skills**  
- Proficient in Figma (auto layout, styles, components, design systems)  
- Creating user-centered designs by understanding business requirements  
- Identifying and troubleshooting UX problems  

**Project Experience**  

**Lunushka Shop Mobile App**  
- Developed a mobile application for an online store.  
- Conducted competitor analysis, target audience analysis, and created personas.  
- Designed user flows, detailed wireframes, and an intuitive design.  
- Created an animated prototype and onboarding experience using Protopie.  

**Globetrot Web Service**  
- Created a web service for organizing economic stays in different countries.  
- Conducted in-depth research to identify problems and propose design solutions.  
- Developed detailed wireframes, UI, adaptive design, and animated prototypes.  

**Redesign Website Tattoo Studio**  
- Updated and modernized the website design after detailed analysis.  
- Created an understandable interface and informative pages to attract new customers and tattoo artists.  

**Flower Shop with Delivery Landing Page**  
- Created a landing page for a flower shop with an innovative delivery service.  
- Conducted user research, competitor analysis, and created a persona.  
- Developed a moodboard and prototype, focusing on convenient navigation and a pleasant interface.  
- Adapted the landing page for tablets and mobile devices.  

**Education**  
- UI/UX Designer Courses  

**Professional Development**  
- Participated in corporate training and development within the company  
- Engaged in career growth opportunities  
- Contributed to a mutual respect and friendly atmosphere  

---  

**References available upon request**"
98279,"Junior UI/UX Designer

ABOUT ME
I am a Junior UI/UX Designer with experience in both team and individual design projects. I manage the entire design cycle, including analysis, idea development, prototyping, user interface design, and adaptation. I excel at creating user-friendly interfaces with intuitive navigation. I am open to working on interesting projects that align with your goals and solve problems.

PROJECT EXPERIENCE

Website Redesign | MIMINO Restaurant & Hotel Complex
October 2022 – November 2022
- Redesigned the existing website to enhance its attractiveness, modernity, and user-friendliness.
- Conducted an analysis of the old website to identify disadvantages and develop solutions.
- Created detailed prototypes, visual designs, and adaptations for the project.

UI/UX Design | NADIYA Pet Search Webservice
December 2022 – February 2023
- Developed a web service to help pet owners find lost animals more efficiently.
- Worked as part of a team, enhancing communication, organizational, delegation, and time-management skills.
- Conducted competitor analysis, developed user personas, created sitemaps, high-fidelity prototypes, user interfaces, and adaptations to ensure a simple, usable, and visually appealing web service.

Mobile App Design | Flower & Gift Delivery
- Currently working as part of a team to design a mobile app for flower and gift delivery services.

Landing Page Design | Yoga Studio
- Designed a landing page for a yoga studio, focusing on user engagement and conversion.

SKILLS
- User Interface Design
- Prototyping
- User Experience Analysis
- Communication and Teamwork
- Time Management
- Problem Solving

I am eager to contribute to projects that require innovative design solutions and am committed to delivering high-quality work."
98280,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Objective**  
Self-motivated and detail-oriented Junior UX/UI Designer with a passion for creating high-quality products for users and businesses. Seeking to join a team where I can contribute to innovative web design projects and embrace new challenges.

---

**Skills**  
- Proficient in Figma, Adobe Photoshop, Adobe Illustrator, Canva  
- Skilled in using web services like SimilarWeb  
- Experienced with Design Systems, User Flows, Customer Journey Mapping (CJM)  

---

**Project Experience**  

**Barbershop - Landing Page**  
- Developed a landing page for a new barbershop in Ukraine to present and promote its services.  
- Utilized Figma and Adobe Photoshop to create an engaging design that attracts potential customers.  

**India Cafe - Website Redesign**  
- Redesigned the website for India Cafe to enhance its appeal and attract more visitors.  
- Conducted competitor analysis and user interviews to inform design decisions.  
- Delivered a modern and attractive website that increased user engagement.  

**Look for - Web Service**  
- Analyzed target audience to develop a clear and user-friendly interface.  
- Created a safe and convenient platform for users to find accommodations based on their needs.  
- Designed and launched the project in three stages: user-end interface, payment interface, and admin-side interface using Figma, Canva, and Adobe Illustrator.  

---

**About Me**  
I am eager to join a team where I can apply my skills in UX/UI design to create impactful products. I am committed to continuous learning and ready to tackle new challenges in web design processes."
98281,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**

UI/UX Designer with a strong foundation in graphic design and a passion for creating intuitive and modern digital products. Dedicated to delivering user-friendly designs that enhance business success. A collaborative team player eager to leverage my experience to support company growth.

---

**PROFESSIONAL EXPERIENCE**

**Chief Designer (Head of Department)**  
[Company Name], [Location]  
[Month, Year] – Present  

- Led the organization and execution of creative projects, ensuring alignment with corporate style.
- Developed concepts and designs, managing the workflow for department employees.
- Successfully executed projects including:
  - Company website redesign
  - Interface design for a popcorn machine
  - Landing page design for KinoboardPRO
  - Design project for a city café, including interior design of a conference hall

**Graphic Designer**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Acquired 8 years of experience in graphic design, contributing to various successful projects.

---

**PROJECT EXPERIENCE**

- **Adaptive Redesign of a Website**  
  Enhanced user experience through adaptive design techniques.

- **Web Service Design for a Cleaning Company**  
  Developed an adaptive design for a web service aimed at hiring employees.

- **Mobile Application for Restaurant Table Booking**  
  Created a mobile app to streamline the process of booking tables in restaurants.

- **Redesign of MAINSAIL Realty Company Website**  
  Conducted competitor research and analysis, developed wireframes and UI-kit, and adapted the design for tablet and mobile platforms.

- **Interface Redesign for Popcorn Machine, Kinoprokat-Sumy**  
  Customized the interface design to align with company branding, including color scheme, fonts, and icon design, while maintaining button size and placement.

---

**EDUCATION**

[Your Degree] in UI/UX Design  
[University/College Name], [Location]  
[Year of Graduation]

---

**SKILLS**

- UI/UX Design
- Graphic Design
- Concept Development
- Team Leadership
- Project Management
- User Research and Analysis
- Wireframing and Prototyping

---

**ABOUT ME**

Eager to gain experience in IT and grow as a UI/UX designer. Passionate about creating digital products that are easy to use, with intuitive logic and modern interfaces. Result-oriented and committed to providing the best possible design for clients.

---

**CAREER OBJECTIVES**

- Seeking a reliable and qualified company offering career and financial growth.
- Prefer a flexible work schedule to maintain work-life balance.
- Open to remote work opportunities.

---

**CONTACT**

Looking forward to joining a team where I can contribute as a UI/UX Designer. Please feel free to reach out for further communication."
98282,"[Your Name]

**Contact Information:**
- [Your Phone Number]
- [Your Email Address]
- [LinkedIn Profile] (if applicable)

---

**Professional Summary**

Enthusiastic junior UI/UX designer with a background in HR, passionate about design and innovation. Skilled in crafting visually appealing and user-centric websites and apps. Dedicated to continuous learning and eager to contribute to a dynamic team environment.

---

**Project Experience**

**Eventize - Mobile Application (2023)**
- Developed a mobile app for users to find and book venues or events, and plan special occasions. The app supports event creation and management, allowing users to organize tasks and select items by category.

**Guesture - Web Application (2022)**
- Designed a web platform to help users explore new environments for work and leisure. Similar to couch-surfing, it allows guests to stay by paying or completing tasks set by the host, catering to students and young travelers seeking budget-friendly experiences.

---

**Career Objective**

Aspiring to secure a full-time or part-time role in an innovative and growing company. Quick learner, responsible, and prepared to take on challenging tasks."
98283,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Dedicated Junior UX/UI Designer with a strong focus on user experience and attention to detail. Committed to delivering high-quality work that enhances user interaction and satisfaction. Aspiring to become a professional UX/UI Designer and establish my own brand.

---

**Experience**  

**Team Leader, Shine Web Service**  
[Month, Year] - Present  
- Lead a team on the development of ""Shine,"" a web service for cleaning companies.  
- Oversee all organizational aspects of the project.  
- Actively participate in project development while inspiring and supporting team members.  

**Team Leader, Course Projects**  
[Month, Year] - Present  
- Guide a team through various course-related projects, ensuring effective collaboration and project completion.  

---

**Projects**  

**Landing Page: FlowerLover**  
- Developed a minimalistic one-page website for a flower delivery service.  
- Conducted competitor and target audience analysis, created moodboards, wireframes, and prototypes.  
- Designed a UI kit, added slight animations, and adapted the site for tablet and mobile.  
- Published a case study on Behance.  

**Website Redesign: A Kids Place Childcare**  
- Redesigned a modern kindergarten website to increase client engagement.  
- Analyzed the existing site, target audience, and competitors to identify issues.  
- Created moodboards, wireframes, prototypes, and a UI kit.  
- Implemented animations and adaptations, culminating in a successful project outcome.  
- Documented the process in a Behance case study.  

---

**Skills**  
- User Experience Design  
- User Interface Design  
- Wireframing and Prototyping  
- Competitor and Audience Analysis  
- Team Leadership and Collaboration  
- Attention to Detail  

---

**Education**  
[Your Degree, if applicable]  
[Your Institution]  
[Year of Graduation, if applicable]  

---

**Personal Statement**  
I am committed to working with clients who value my expertise and respect my time, ensuring a mutually beneficial professional relationship."
98284,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Motivated Junior UI/UX Designer with foundational expertise in developing site structures, interaction flows, and visual styles. Eager to contribute to a collaborative team and advance in the design field.

---

**Education**  
**UX Energy IT School**  
Web Design (UX/UI) Courses  
June 2018 – September 2018  

- Developed skills in creating site structures, interaction flows, page wireframes, and interface requirements.
- Enhanced abilities in visual styles for sites and applications, focusing on layout, color, typography, and iconography.

---

**Technical Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe Experience Design  
- Axure  
- InVision  

---

**Professional Interests**  
- UI/UX Design  
- Web Design  
- User Experience  
- Visual Design  

---

**References**  
Available upon request."
98285,"Dima [Last Name]  
[Your Address]  
Kyiv, Ukraine  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Junior UI/UX designer eager to contribute to the creation of user-friendly, modern, and engaging applications. Committed to enhancing skills and knowledge in design through practical experience and continuous learning.

---

**Skills**  
- Proficient in creating wireframes and prototypes using Figma, including components and autolayouts.  
- Experienced in designing landing pages and multi-page projects.  
- Strong attention to detail and commitment to meeting deadlines.  
- Dedicated to self-improvement and skill development.

---

**Education**  

**Projector — Creative & Tech Online Institute**  
- Web Design Beginning, 2022  
- Web Design Junior, 2022-2023  

---

**Additional Information**  
- Passionate about UI/UX design with a focus on creating intuitive and visually appealing interfaces.  
- Enthusiastic about learning and applying new design techniques and tools."
98286,"Highly motivated and creative designer with a passion for delivering excellent user experiences and beautiful UI. With a strong understanding of the design process and a background in marketing, I am eager to contribute my expertise as a UI/UX or graphic designer.

**Current Role: Marketing Manager/Designer**

**Key Responsibilities:**
- Design marketing materials, including brochures, leaflets, and stands, using Figma, Adobe Photoshop, and Adobe Illustrator
- Develop visual content for the website, social media posts, and campaigns
- Plan and create email newsletters
- Edit videos for social media platforms
- Write content for the website, marketing materials, campaigns, and email newsletters"
98287,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
UI/UX Designer with a strong background in interface design and a proven ability to create effective prototypes for a variety of products. Skilled in analyzing conditions, testing prototypes, and using data to improve design. Experienced in developing simple and clear web browser layouts and designing interactive UX applications. A collaborative team player with a solid understanding of teamwork principles.

---

**Professional Experience**  

**Alkima Web & Design**  
*UI/UX Designer*  
March 2023 - Present  

- Conduct user experience research to inform design decisions.
- Develop sitemaps, wireframes, and user interfaces.
- Utilize Webflow for web design projects.
- Design website banners and social media creatives.
- Create logos and conceptualize design systems.

**Vinnytsia Distribution Company**  
*Sales Manager*  
January 2019 - February 2022  

- Collaborated with team members to develop interfaces for websites, mobile apps, and software.
- Focused on enhancing technology usability for clients.

---

**Skills**  

- Interface Design Process  
- Prototyping  
- User Experience Research  
- Webflow  
- Web Browser Layout Design  
- Interactive UX Application Design  
- Team Collaboration  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
98288,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated and versatile freelance professional with extensive experience in gaming and cryptocurrency projects. Skilled in collaborating with project managers and web developers to deliver high-quality results. Seeking opportunities to leverage my expertise in dynamic and innovative environments.

---

**Professional Experience**  

**Freelance Project Specialist**  
*Self-Employed*  
[Year] - Present  

- Managed and executed a variety of freelance projects, including early-stage gaming projects and cryptocurrency exchanges.
- Collaborated with project managers to understand client requirements and ensure project alignment with goals.
- Worked closely with web developers to clarify and implement layout-related details, ensuring seamless integration and functionality.
- Demonstrated adaptability and problem-solving skills in diverse project environments.

---

**Skills**  

- Project Management  
- Client Communication  
- Web Development Collaboration  
- Cryptocurrency Knowledge  
- Gaming Industry Insight  
- Problem Solving  
- Adaptability  

---

**Education**  

[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**Certifications**  

[List any relevant certifications]  

---

**References**  

Available upon request."
98289,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Creative and detail-oriented designer with expertise in Figma, specializing in engaging and adaptive web designs. Seeking to leverage design skills and user experience knowledge to contribute to innovative projects.

---

**Experience**

**Freelance Designer**  
*Self-Employed*  
[Month, Year] - Present  

- **Law Firm Landing Page Design**  
  - Conducted client briefings and performed in-depth research and analysis of the legal industry.
  - Developed mood boards and selected appropriate fonts and colors to align with brand identity.
  - Created wireframes and multiple design concepts, leading to the final design.
  - Adapted the design for various devices, including phones and tablets, ensuring a responsive user experience.

- **Pastry Shop Website Design**  
  - Designed a website for a pastry shop with a focus on delivery services.
  - Emphasized learning and implementing auto layouts in Figma.
  - Applied foundational design principles to create an intuitive and visually appealing user interface.

---

**Skills**  
- Proficient in Figma  
- Strong understanding of design principles and user experience  
- Ability to create adaptive and responsive designs  
- Excellent communication and client briefing skills  
- Creative problem-solving and analytical skills  

---

**Education**  
[Your Degree]  
[Your University/College]  
[City, State]  
[Year of Graduation]  

---

**References**  
Available upon request."
98290,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Creative and adaptable graphic design professional eager to contribute skills and a strong desire to learn in a collaborative environment.

---

**Skills**  
- Proficient in Adobe Photoshop, Illustrator, and Figma  
- Quick learner with a proven ability to tackle new challenges  
- Eager to master new software and tools in graphic design  

---

**Education**  
[Your Degree or Certification, if applicable]  
[Your School or Institution, if applicable]  
[Year of Graduation, if applicable]  

---

**Projects**  
- [Project Name or Description, if applicable]  
  - [Brief description of the project and your role, if applicable]  

---

**Additional Information**  
- Committed to gaining practical experience in graphic design  
- Focused on continuous learning and professional development  "
98291,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Motivated UI/UX designer with a strong foundation in creating seamless and functional designs. Seeking a flexible or full-time position in a company focused on enhancing productivity and user experience. Fast learner, responsible, and ready for challenging tasks.

---

**Professional Experience**  

**Software Quality Assurance**  
- Created and executed test cases to ensure software quality and functionality.  
- Generated comprehensive bug reports to assist developers in identifying and resolving issues efficiently.  
- Utilized SQL to manage databases and verify data accuracy.  

**UI/UX Design**  
- Developed creative and functional UI/UX designs, ensuring a seamless user experience.  
- Conducted user research, competitive analysis, wireframing, and prototyping to enhance design processes.  

---

**Projects**  

**Redesign for ""A Kids Place Childcare"" (Study Project)**  
- Redesigned the website for A Kids Place Childcare in North Olmsted, Ohio, focusing on creating a structured, modern, and user-friendly design.  
- Tools Used: Figma, Adobe Illustrator  

**Web Service ""Medical Clinic"" (Study Project)**  
- Developed a web service for a private medical clinic to facilitate doctor-patient interactions, including online consultations and automated documentation through speech recognition.  
- Responsibilities included baseline study, brainstorming, jobs-to-be-done, user flow, customer journey mapping, prototyping, UI design, and adaptation.  
- Tools Used: Figma, Adobe Illustrator, Slack  

---

**Pet Projects**  
- Developed two personal projects, showcasing initiative and creativity in design and functionality.  

---

**Skills**  
- UI/UX Design  
- Software Quality Assurance  
- SQL Database Management  
- User Research and Analysis  
- Prototyping and Wireframing  
- Tools: Figma, Adobe Illustrator, Slack  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request."
98292,"UX/UI Designer

Profile:
Dedicated UX/UI Designer with a strong focus on user-centric design. Experienced in creating landing pages, sign-up/log-in forms, and mobile app interfaces. Committed to solving UX challenges and enhancing user experiences by balancing usability and aesthetics.

Experience:
Design Studio, Kyiv
- Key contributor to the ""DayDrive"" mobile app project, focusing on user interface design and user experience improvements.

Education:
- Completed a mentorship program in UX/UI Design, emphasizing the creation of effective and engaging digital interfaces.

Skills:
- Advanced spoken English
- Proficient in conducting comprehensive research, building wireframes, and developing interactive prototypes
- Strong ability to balance business solutions with user empathy

Objective:
Seeking to advance my career in UX/UI Design by leveraging my skills and knowledge to create impactful user experiences."
