,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
12528,"HCM Configuration Specialist  
Aug 2019 - May 2021
- Initialized customer data and customized systems to meet client requirements.
- Supported and troubleshot customer issues.
- Collaborated with the development team to ensure specifications matched requirements.
- Tested and worked with requirements at all development stages.

Configuration Manager  
Feb 2013 – July 2019
- Managed the configuration and build release process of software.
- Set up test and production environments for software products.
- Prepared technical design documentation.
- Supported projects and customer databases.

Software Implementation Specialist  
May 2010 – Feb 2013
- Drafted user instructions and described manufacturing processes.
- Imported data into Oracle and configured products to customer requirements.
- Developed additional reports and prepared products for revision.
- Administered systems and wrote automated QA tests.
- Trained users and provided customer support.

Software Implementation Specialist  
May 2008 – Apr 2010
- Maintained accounting software and prepared test environments.
- Configured products to customer requirements and developed additional reports.
- Trained users and provided customer support.
- Coded in HTML, CSS, PHP, and Visual Basic.

Areas of Interest: Finance, Big Data, AI, Blockchain."
12529,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and results-driven professional with extensive experience in both business analysis and project management. Proven track record of successfully leading projects from inception to completion, ensuring alignment with business objectives and delivering value to stakeholders. Adept at fostering strong relationships, improving processes, and driving efficiency and productivity.

**Experience**

**Business Analyst & Project Manager**  
[Your Company Name]  
[Location]  
[Month, Year] – Present  

- Spearheaded the development of a project MVP with an Agile team, achieving completion within 4 months.
- Introduced Scrum practices, enhancing project planning and work organization.
- Strengthened stakeholder relationships, fostering trust and collaboration.
- Mentored and developed team members, contributing to their professional growth.
- Led the analysis and documentation of requirements for a new system, collaborating with development teams to ensure alignment with business needs and successful implementation.

**Project Management Responsibilities:**
- Drive projects to success, ensuring timely completion within budget and meeting client objectives.
- Manage project teams, stakeholders, risks, and changes effectively.

**Business Analysis Responsibilities:**
- Identify opportunities for improvement and develop solutions.
- Facilitate communication between stakeholders and technical teams to ensure project alignment with business objectives.

**Core Competencies:**
- Project Planning & Prioritization
- Team Management
- Budgeting & Risk Management
- Quality & Change Management
- Reporting & Documentation
- Requirements Gathering & Analysis
- Solution Development

**Key Achievements:**
- Continuously evaluated and improved processes and systems to enhance efficiency, productivity, and profitability.
- Eliminated wasteful processes to maximize project and product value.
- Maintained effective communication with stakeholders to ensure alignment with project goals and progress.

**Career Objective**  
Seeking a position where I can leverage my skills in product development and strategy to contribute to the success of a product. Eager to engage in collaborative efforts to ensure products meet business goals and customer needs, while utilizing data-driven decision-making to deliver user value.

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Technical Skills**  
[List any relevant technical skills]  

**References**  
Available upon request."
12530,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Email Address]  
[Phone Number]  

---

**Professional Experience**

**Amdocs Israel**  
*Program Manager*  
2020 - Present  

**Pasha Bank Georgia**  
*IT Section Manager*  
June 2018 – December 2019  
- Managed three units: IT Operations, Software Development, Business Analysis, and Service Quality.

**Geocell – TeliaCompany – Telecommunications**  
*Technology Division, Services – Products and IT Section Manager*  
February 2015 – June 2018  
- Managed five units: Billing and Charging, Product and Services, Software Development, Enterprise IT, Business Support, and Reporting.

**Geocell – TeliaCompany – Telecommunications**  
*ICT Division, Service Network Department Manager*  
January 2006 – February 2015  
- Oversaw systems including Prepaid Charging System, Ericsson Billing Gateway, and VAS platforms (SMSC, CRBT, WAP GW, Voice Mail).
- Provided technical helpdesk support (1st and 2nd line), systems administration, and maintenance.
- Implemented and deployed new products.

**Geocell LLC - Telecommunications**  
*Service and Product Operations Team Coordinator (Technical Department)*  
March 2004 – January 2006  
- Managed systems such as Prepaid Charging System, Ericsson BGW(EMM) platform, and Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail).
- Provided 24x7 technical helpdesk support for internal customers.

**Geocell LLC - Telecommunications**  
*Prepaid Charging System Engineer (Technical Department)*  
March 2000 – March 2004  
- Administered and maintained Ericsson (PPL) prepaid charging system.
- Provided 24/7 technical helpdesk support (1st and 2nd line).
- Configured and implemented new products and tariff plans.

**New Net Georgia LLC**  
*Digital PSTN Switching Center Technical Manager*  
February 1997 – March 2000  
- Administered and maintained PSTN switching center.
- Managed shift staff planning.
- Provided 24/7 technical helpdesk support (1st and 2nd line).

---

**Key Projects**

**Retail Bank Launch (Cash-Loan and TopCard)**  
August 2018 – August 2019  
- Managed complex project with subprojects including Processing Center swap, Core Banking integration, CRM and Sales Force deployment, Internet and Mobile Banking, Contact Center PBX system swap, and integration with Terminal Payment system (TBC Pay).

**Prepaid Billing System Swap**  
August 2017 – December 2017  
- Swapped Amdocs/Comverse One Prepaid Billing System to Peter-Service BSS with online credit and balance control.

**Post-paid Billing and Interconnect Systems Swap**  
May 2016 – December 2016  
- Swapped Post-paid and Interconnect Billing System from CBOSS to Peter-Service BSS with online credit and balance control.

**Geocell Deep Packet Inspection, Policy and Charging Rules Function Platform Swap**  
January 2017 – December 2017  
- Conducted PCRF/PCEF swap tender.

**Prepaid Billing System Swap**  
January 2014 – September 2014  
- Swapped Prepaid Billing System from Orga OPSC Classic to Comverse ONE BSS.

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Skills**  
- Project Management  
- IT Operations  
- Software Development  
- Business Analysis  
- Systems Administration  
- Technical Support  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[List any languages you speak]  

**References**  
Available upon request."
12531,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Seeking a long-term position in the IT industry where I can leverage my project management and business analysis skills, contribute effectively, and continuously enhance my expertise by engaging in challenging projects.

---

**Education**  
**IT Education Academy (ITEA)**  
- Certificate in IT Project Management  

**BA Space School**  
- Completed IT Business Analysis courses  

---

**Professional Experience**  
- Over 10 years of experience in Project Management and B2B Sales within the agribusiness sector.  
- Proficient in understanding the software development lifecycle and possess basic knowledge of software development methodologies, risk management, and project planning.  

---

**Skills**  
- Strong analytical, planning, organizational, and communication skills.  
- Experienced in creating well-structured and easy-to-read documents and presentations.  

---

**Career Goals**  
- To secure a position in a company where my skills are valuable and where I can continuously improve by working on interesting projects.  

---

**References**  
Available upon request.  "
12532,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Seeking a role as a Business Analyst or Project Manager (considering junior positions as well) in a fast-paced organization where I can employ my knowledge and grow professionally.

---

**Professional Experience**

**Head of SAP Project Team**  
*Metinvest-SMC*  
- Promoted to lead the SAP Project team.
- Successfully rolled out system refinements and solutions, consistently meeting project deadlines.
- Enhanced communication between IT and business stakeholders, project team members, and developers, reducing misunderstandings by clearly delivering project scope.
- Mentored team members, contributing to their professional growth; one advanced to Senior BA in a major IT company in Ukraine, and another led an implementation project.
- Recommended multiple times to the Staff Roster based on staff assessments from 2015-2017.

**Project Manager / Project Lead**  
*SAP ERP Implementation Project (Metallurgical Company)*  
- Managed project duties including Project Manager, Business Analyst, QA, and Customer Support Manager roles.
- Organized team workflows and communicated with stakeholders, including top management and tech managers, to ensure business needs were met and solutions were implemented on time.
- Prioritized the Product Backlog and defined business needs for Sales, Marketing, Finance, and Procurement departments.
- Tested IT solutions, system improvements, and bug fixes.
- Led the migration process from 1C: Enterprise 8.2 to SAP ERP.
- Provided first-line support for users and prepared training materials.

**Business Analyst**  
*Beauty Industry*  
- Customized software (YClients, now Altegio) and organized working processes for over a year.

**International Experience**  
*OSCE SMM in Ukraine*  
- Extended contract based on high-performance evaluation.
- Gained 1.5 years of civil international experience in administrative duties, contract management, and Human Resources.

**Sales and Marketing Experience**  
- Over one year of experience in sales and marketing.

---

**Skills and Tools**  
- MS Office (Word, Excel, Project, Outlook, Skype for Business)
- User stories, use cases, scenarios
- Backlog management and project documentation
- SDLC, Agile, Scrum methodologies
- SAP ERP test systems
- JIRA, Confluence, Miro, Basilique, BPMN
- RACI matrix, Product Vision Boards, Story Mapping, diagrams, and prototypes

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**References**  
Available upon request."
12533,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**Professional Summary**  

Experienced and passionate project manager with a strong background in developing web platforms and solutions for Telecom companies. Skilled in Agile frameworks and project management software, with a proven track record of delivering high-quality projects on time and within budget. Adept at effective communication with diverse stakeholders and maintaining open lines of communication to ensure project success. Currently serving as a Scrum Master, with a strong business-oriented mindset and a keen interest in the latest technologies. Highly efficient team player dedicated to achieving optimal results for clients and teams.

---

**Professional Experience**  

**Project Manager**  
[Your NFT Project Name]  
[Location]  
[Month, Year] – Present  

- Lead and manage the development of an NFT project, ensuring adherence to deadlines and budget constraints.
- Utilize Agile frameworks to deliver high-quality projects consistently.
- Communicate effectively with stakeholders to maintain project alignment and satisfaction.

**Scrum Master**  
[Your Current Company Name]  
[Location]  
[Month, Year] – Present  

- Facilitate Scrum processes and ensure the team adheres to Agile practices.
- Foster a collaborative environment to enhance team performance and project outcomes.
- Engage with stakeholders to align project goals with business objectives.

---

**Skills**  

- Project Management  
- Agile Methodologies  
- Scrum Mastery  
- Stakeholder Communication  
- Problem Solving  
- Time Management  
- Business Acumen  
- Technology Enthusiasm  

---

**Education**  

[Your Degree]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

---

**Certifications**  

- [Certification Name, if applicable]  
- [Certification Name, if applicable]  

---

**References**  

Available upon request."
12565,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with 4 years of experience in business analytics and 5 years in sales. Proven track record in managing and coordinating teams, implementing successful strategies, and launching projects from inception. Adept at client communication and project management, with a strong focus on delivering high-quality results.

---

**Experience**

**Business Analyst/Scrum Master**  
- Managed two teams:  
  - Team 1: 15 members (2 iOS Developers, 2 Android Developers, 4 Front-End Developers, 5 Back-End Developers, 2 QA)  
  - Team 2: 9 members (2 Mobile Developers, 2 Front-End Developers, 3 Back-End Developers, 2 QA)  
- Successfully implemented 5 integrations and released MVP in the second project.  
- Facilitated Scrum events, including sprint planning, grooming, and retrospectives.  
- Developed detailed documentation, user stories, and wireframes.  
- Planned and scheduled project timelines, ensuring timely delivery of scope.  
- Monitored team performance and provided regular progress reports.  
- Managed change requests and proposed solutions to meet project outputs.  
- Budgeted and planned project expenses, estimations, and risk management.

**Sales Manager**  
- Managed and coordinated a sales department of 8 sales and pre-sales managers.  
- Established and implemented an Affiliate Program and Sales Strategy.  
- Experienced in launching projects from scratch and working with start-up and outsourcing projects.  
- Built strong client relationships and maintained effective communication.

---

**Education and Training**  
- Completed 'IT Project Management' course, April 2019.  
- Completed 'Quantitative and Qualitative Market Research' course, November 2019.  
- Attended private courses in MS SQL, MySQL, HTML, CSS, and PHP, March 2020 - July 2020.

---

**Skills**  
- Client Communication (USA/EU)  
- Business Analysis and Requirement Gathering  
- Development Process Management  
- Scrum Facilitation and Agile Methodologies  
- Documentation and User Story Creation  
- Project Planning and Scheduling  
- Team Performance Monitoring  
- Change Management and Solution Proposing  
- Budgeting and Risk Management  
- Technical Requirements Documentation (UML)

---

**Projects**  
- Worked on 3 projects last year: 2 healthcare projects and 1 related to cryptocurrencies and crowdfunding.  
- Previous experience includes projects ranging from fitness apps to finance systems.

---

**Personal Attributes**  
- Committed to work, team, and company success.  
- Eager to learn and improve technical skills.  
- Seeking a company that feels like a second family.  
- Strong problem-solving and relationship-building skills.  
- Looking to contribute to a team and make a meaningful impact.

---

**Note**: Prefer starting work at 11 am for optimal productivity."
12656,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Seeking a challenging and dynamic role that leverages my expertise in business analysis, web analytics, and project management to drive organizational success and foster professional growth.

---

**Professional Experience**

**Web Analyst / Business Analyst**  
*Big National Retail Company*  
[Month, Year] - Present  
- Analyze web data to optimize user experience and improve business strategies.
- Collaborate with cross-functional teams to enhance data-driven decision-making processes.

**Business Analyst / Web Analyst**  
[Company Name]  
2021 - 2022  
- Restructured company reporting into a dynamic format for approximately 10 projects.
- Automated daily reporting with a universal algorithm, enhancing efficiency.
- Established inter-departmental interactions, accelerating internal process exchanges.
- Increased the number of new projects for analysis by 2.5 times.

**Lecturer (Part-time)**  
*Ukrainian University*  
2020 - 2023  
- Authored over 10 scientific and expert publications indexed in Scopus, Web of Science, etc.
- Implemented the concept of an educational YouTube channel.

**Chief Executive Officer**  
*Own Online IT Project*  
2017 - 2021  
- Developed a comprehensive business model achieving an average monthly profitability of about 90%.
- Fully automated the project for technical, managerial, and business processes after 14 months.
- Transitioned the project to content manager support.

**Project Manager**  
[Company Name] (Remote)  
2016 - 2021  
- Increased site traffic nearly fivefold over four years, from 1.5 to 7 million users monthly.
- Tripled the total number of advertising partners.
- Transitioned the project to freelance support by one developer.

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Skills**  
- Business Analysis  
- Web Analytics  
- Project Management  
- Data-Driven Decision Making  
- Process Automation  

---

**Publications**  
- [List of notable publications, if applicable]

---

**Languages**  
- [Language 1]  
- [Language 2]  

---

**References**  
Available upon request."
12674,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Experienced IT professional with over 10 years in the industry, specializing in software process automation, project management, and agile methodologies. Proven track record as an Analyst, Proxy Product Owner, and Project Manager. Skilled in creating comprehensive project documentation and software requirements. Strong ability to multitask and work effectively under pressure. Seeking a role in a small, enthusiastic, product-oriented team.

---

**Professional Experience**  

**Scrum Master & Process Automation Specialist**  
[Company Name]  
[Location]  
[Year] – Present  

- Gathered, understood, described, and automated software selling and support processes for a large company with approximately 15 global offices.
- Built and implemented scrum team processes from scratch, serving as Scrum Master for the team.
- Acted as a Proxy Product Owner, facilitating communication between stakeholders and development teams.

**Project Manager**  
[Company Name]  
[Location]  
[Year] – [Year]  

- Managed multiple projects, ensuring timely delivery and adherence to budget constraints.
- Created all necessary project documentation, including use case diagrams, user stories, and cascaded requirements.
- Validated requirements and managed changes effectively.

**Analyst & Proxy Product Owner**  
[Company Name]  
[Location]  
[Year] – [Year]  

- Developed software requirements and facilitated requirement validation and change management.
- Participated in mobile and desktop application development projects.
- Conducted software testing and attended relevant training sessions.

---

**Skills**  

- Agile Methodologies: Scrum, Kanban
- Project Management
- Software Requirements Creation: Use Case Diagrams, User Stories
- Requirements Validation and Change Management
- Development Process Understanding: Waterfall, Agile
- Software Testing
- Training and Facilitation: Conducting Trainings, Brainstorms, Debates, Meetings
- Multitasking and Working Under Pressure

---

**Education**  
[Your Degree] in [Your Field]  
[Your University/College]  
[Location]  
[Year of Graduation]  

---

**Certifications**  

- Scrum Master Certification  
- [Other Relevant Certifications]  

---

**Preferences**  

- Prefer small, enthusiastic, product-oriented teams.
- Not interested in frequently switching projects or working in large departments.
- No experience in the banking sector.  

---

**References**  

Available upon request."
12687,"**Andrii [Last Name]**

**Contact Information:**
[Your Email]
[Your Phone Number]
[LinkedIn Profile]

---

**Professional Summary:**

Visionary Engineer with over a decade of experience in automation development and process optimization. A top-rated Upwork freelancer with a proven track record of delivering successful long-term projects across various industries. Adept at creating custom automation tools, enhancing business processes, and providing data-driven solutions. Fluent in English, with strong public speaking and negotiation skills.

---

**Education:**

- **MA with Honors in Financial Management**
  Erasmus+ MA Student, Krakow, Poland

- **BA in Corporate Finance**

- **BA in English Translation**

---

**Professional Experience:**

**IT Project Manager, ThinkWider App**
- Led the development of an application for factory workers to submit and process improvement ideas.
- Managed the full lifecycle from idea submission to implementation and rewarding.

**Manager and Developer, IShare Educational Platform**
- Developed a digital educational platform with comprehensive training materials and live online training sessions.

**Freelance Automation Developer**
- Delivered over 50 successful long-term projects to more than 2500 clients in the US, Canada, UK, and Australia.
- Specialized in automation, data processing, and digital integration across various industries including finance, marketing, and healthcare.

---

**Technical Skills:**

- **Primary Skills:**
  - Microsoft Excel & Google Sheets Development
  - Advanced VBA / Google Apps Script (JavaScript)
  - Workflow Optimization & Digital Integrations
  - Data Visualization & Dashboard Creation
  - Financial Modeling & Data Analytics

- **Additional Digital Skills:**
  - Airtable, Google Data Studio, Power BI
  - Microsoft Flow, Zapier, IFTTT, Integromat
  - WordPress, HTML, CSS, JavaScript, PHP, SQL
  - Trello, Jira, Confluence, ServiceNow
  - Canva, Photoshop, DaVinci Resolve

---

**Languages:**

- Fluent in English (IELTS C1)
- Native in Ukrainian and Russian

---

**Client Testimonials:**

- ""Andrii has exceptional knowledge in business and technology. Our solution now works flawlessly!""
- ""Exceptional work! Andrii's strategic thinking and problem-solving skills are outstanding.""
- ""Andrii's attention to detail and ability to see the big picture make him an invaluable asset.""
- ""Professional, skilled, a great communicator, and able to meet deadlines.""

---

**Certifications:**

- Top Rated Plus Upwork Freelancer

---

**Personal Attributes:**

- Enthusiastic about automation and process improvement.
- Strong analytical and problem-solving skills.
- Confident public speaker and professional negotiator."
12736,"Creating a new company and successfully entering the foreign market with a turnover of $20,000 in the first year.

**Experience:**

**Co-founder and Business Manager, Whales of Design**
- Led project teams of 4-12 people.
- Organized business management and attracted potential partners at specialized conferences.
- Built relationships with external contractors and designers as needed.
- Resolved customer conflicts and maintained orders from initial to final stages.

**Recruiter and Manager**
- Recruited staff and ensured quality control of work performance.
- Partially organized events, including concerts for ""Ocean Elzy,"" ""Atlas Weekend,"" and ""Imagine Dragons.""

**Objective:**
Seeking a position in a large company that offers opportunities for intellectual and professional growth."
13078,"Yelyzaveta [Last Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  

Accomplished IT professional with a diverse skill set in project management and financial expertise. Proven track record of success in resolving complex issues, managing client relations, and ensuring project profitability. Passionate about delivering excellence and driving success in IT project management.

---

**Professional Experience**  

**Project Manager**  
- Gained invaluable insights into technical project development.  
- Adept at resolving complex issues that elude the sales department.  

**Business Development Manager**  
- Tackled challenges head-on with a deep understanding of technical project development.  
- Managed financial interactions between the company and clients, offering special services and upselling solutions.  
- Collaborated with Delivery Managers to streamline client-side project management processes.  
- Calculated the cost of specialized resources to ensure project profitability.  
- Analyzed and calculated overall project margins to gauge company profitability.  

---

**Core Competencies**  
- Issue Resolution and Technical Expertise  
- Financial Management and Client Relations  
- Collaboration and Process Configuration  
- Project Resource Cost Calculation  
- Project Margins Analysis  

---

**Objective**  

Eager to join a dynamic team where I can contribute, learn, and grow into a highly qualified specialist. Committed to bringing results and adding value to teams and the company.  

---

**Contact**  

Feel free to connect with me to explore collaboration opportunities and discuss how I can contribute to your projects.  

---"
13080,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Results-driven IT professional with 7 years of experience, specializing in business development and analysis. Proven track record in managing full-cycle sales processes, client relations, and project documentation. Adept at collaborating with cross-functional teams to drive business growth and ensure project success.

---

**Professional Experience**  

**Business Development Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Led the full cycle sales process, including lead generation, prospect qualification, opportunity development, and deal closure.
- Prepared comprehensive contract documentation, including estimates, proposals, MSA, and SOW.
- Utilized various CRM systems (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach).
- Experienced with tracking systems such as Jira and Trello.
- Collaborated with multiple departments during the pre-sale stage, including recruiters, PMs, and company executives.
- Elicited client requirements during sales calls and coordinated with PMs and clients to ensure project success.
- Served as the primary contact for prospects during the pre-sale stage, managing tech interviews, client feedback, and objections.
- Managed full-cycle email campaigns and created marketing materials, including case studies, press releases, and website content.
- Participated in the screening and interviewing of new team members for the Sales & Marketing department.
- Mentored and educated junior team members, including remote teams in Ukraine and abroad.

**Business Analyst**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  

- Conducted client requirements elicitation and evaluation.
- Created Software Requirements Specifications and maintained project documentation.
- Facilitated communication between customer representatives and developers.
- Prepared user guides and created UI wireframes.

---

**Education**  
[Your Degree] in [Your Field of Study]  
[Your University], [Location]  
[Year of Graduation]  

---

**Skills**  
- Sales Process Management  
- CRM and Email Marketing Tools  
- Project Documentation  
- Client Relations  
- Cross-Functional Collaboration  
- Team Mentoring and Education  

---

**References**  
Available upon request."
13146,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Dynamic and results-driven professional with extensive international experience in managerial roles across various industries. Seeking to leverage expertise in business development, project management, and team leadership to contribute effectively to organizational success.

---

**Education**  
**American University in Dubai**  
- Dean's Honor List for Outstanding Academic Achievements

---

**Certifications**  
- ISO22000 Certified Internal Auditor

---

**Professional Experience**  

**Director of Business Development & Production**  
[Company Name], [Location]  
[Month, Year] – Present  
- Spearheaded business development initiatives and production strategies in Ukraine, Qatar, UAE, and Lebanon.
- Managed teams of up to 15 internal staff and 10 third-party service providers, including engineers, designers, and sales managers.
- Developed and executed strategic plans to enhance operational efficiency and drive growth.

**Project Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Led cross-functional teams in the successful delivery of complex projects.
- Utilized management principles of planning, organizing, leading, and controlling to achieve project objectives.
- Facilitated communication and collaboration using tools such as Trello and Google Documents.

**Assistant Manager**  
[Company Name], [Location]  
[Month, Year] – [Month, Year]  
- Supported senior management in daily operations and strategic planning.
- Coordinated with international partners and managed supply contracts and logistics.

---

**Skills**  
- Fluent in English; proficient in compiling reports and delivering presentations.
- Expertise in international documentation and compliance with NDAs.
- Strong leadership and team management abilities.
- Proficient in project management tools and software.

---

**Additional Experience**  
- Successfully managed personal projects in eCommerce and online news publications.
- Demonstrated loyalty and commitment by serving over five years with a previous employer.

---

**References**  
Available upon request."
13147,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Dynamic and versatile professional with over 3 years of experience in project management and 2 years in business development within the IT sector. Proven track record in developing a partnership network with over 150 IT companies across Ukraine, Poland, Bulgaria, and more. Strong communication skills and a passion for tackling new challenges. Seeking a team-oriented environment to further develop skills and contribute to organizational growth.

**Professional Experience**  

**Partnership Manager**  
[Outsourcing/Outstaffing Agency Name]  
[Location]  
[Month, Year] – Present  
- Developed and maintained a partnership network with 150+ IT companies across various countries.
- Successfully managed over 10 projects and numerous support tasks.
- Conducted meetings with clients and suppliers to facilitate understanding and mutual growth.
- Led communication and onboarding processes for new clients.
- Managed a team of developers and designers to ensure project success.

**Skills**  
- Project Management  
- Business Development  
- Client Communication and Onboarding  
- Team Management  
- Tools: Trello, Notion, Slack, Agile, Jira, CRM, ActiveCampaign  

**Education**  
[Your Degree]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

**Objective**  
Eager to join a dynamic team where I can continue to learn and grow as a professional, leveraging my skills in project management and business development to drive success."
13148,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Dynamic and results-driven Business Development Manager and Fundraiser with 5 years of experience in driving business growth and securing investments. Proven track record in establishing and maintaining stakeholder relationships, leading to successful fundraising efforts. Adept at identifying new business opportunities and developing strategic plans to achieve organizational goals.

---

**Professional Experience**  

**Business Development Manager and Fundraiser**  
[Startup Company Name]  
[Location]  
[Year] - Present  

- Established and maintained relationships with stakeholders, successfully raising $30,000 in a week.
- Communicated new product developments to prospective clients.
- Contacted potential clients to establish rapport and arrange meetings.
- Identified new business opportunities and attended conferences, meetings, and industry events.
- Developed goals for the development team and business growth, ensuring they are met.
- Researched organizations and individuals to find new opportunities.

**Business Development Manager**  
[Startup Project Name]  
[Location]  
[Year] - [Year]  

- Set goals for the business development team and developed strategies to meet those goals.
- Met with stakeholders to discuss project progress and strategies.
- Trained business development staff to enhance team performance.
- Researched prospective accounts in target markets to identify potential clients.

**Project Manager**  
[State Enterprise Name]  
[Location]  
[Year] - [Year]  

- Determined and defined project scope and objectives.
- Tracked project costs to ensure adherence to budget.
- Monitored project progress and made necessary adjustments.
- Measured project performance to identify areas for improvement.

---

**Skills**  

- Strong stakeholder relationship management
- Strategic planning and goal setting
- Excellent communication and negotiation skills
- Team leadership and training
- Market research and analysis
- Project management and budgeting

---

**Education**  

[Your Degree]  
[Your University/College Name]  
[Location]  
[Year of Graduation]  

---

**Professional Affiliations**  

- [Any relevant professional organizations or associations]

---

**References**  

Available upon request."
13149,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dynamic and results-driven professional with over two years of experience in managing international projects and partnerships across Europe, Asia, America, CIS, and Africa. Proven track record in telecommunications, specializing in interconnections processes and expanding partnership networks. Adept at negotiating, fraud detection, and managing comprehensive project components. Proficient in utilizing CRM and project management tools to enhance operational efficiency. Passionate about communication, customer service, and working in a multilingual environment.

---

**Professional Experience**  

**[Your Company Name]**  
[Your Job Title]  
[Month, Year] - Present  

- Initiated 48 new interconnections with companies from Europe, CIS, America, and Asia over the last six months.
- Identified and mitigated risks associated with five fraudulent companies.
- Managed projects with international partners, engaging with both B2C and B2B clients globally.
- Spearheaded telecommunications initiatives, focusing on interconnections and partnership expansion.
- Conducted partner searches, negotiations, business case calculations, fraud checks, and agreement finalizations.
- Facilitated communication with new partners on commercial, technical, and legal aspects of projects.
- Ensured seamless integration of new companies with all internal departments.
- Utilized Pipedrive CRM, Odoo, Confluence, Jira, and Mattermost to streamline operations.
- Engaged directly with customers via telephone, email, Skype, LinkedIn, and through cold and warm calls.

---

**Skills**  

- Excellent communication and collaboration abilities.
- Structured thinking and proactive customer engagement.
- Resilient under pressure with strong multi-tasking capabilities.
- Self-motivated with effective problem-solving skills.

---

**Career Objectives**  

Seeking a challenging and exciting role that leverages my passion for communication, international project management, and customer service. Eager to work in a customer-oriented culture with a focus on professional development, including training programs and English classes. Interested in a role with 70% communication and 30% technical tasks, within a team of dedicated professionals.

---

**Education**  

[Your Degree]  
[Your University/College Name]  
[Year of Graduation]  

---

**Additional Information**  

- Ready to learn new technologies, tools, and methods.
- Committed to working with a team that is passionate about their work."
