,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o_Modelopenai/gpt-4o
98364,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Leverage my expertise in UX research and UI design to create applications that enhance user experience and promote well-being.

---

**Experience**  

**UX Researcher & UI Designer**  
Pet Project: Panic Attack Education and Reduction Application  
- Designed an application focused on self-education and reducing panic attacks.  
- Collaborated with a team during the ""Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka.""  
- Conducted user experience research and interface design over a 5-week project.

---

**Education**  

**Free UI/UX Design Course for Ukrainians (2022)**  
Instructor: Taras Shypka  
- Completed a 4-month course on comprehensive UI/UX design principles and practices.

---

**Skills**  
- UX Research  
- UI Design  
- Application Design  
- Team Collaboration  

---

**Projects**  
- Panic Attack Education and Reduction Application  

---

**Languages**  
- [List any languages you speak]  

---

**References**  
Available upon request."
98365,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UX Designer dedicated to enhancing skills through comprehensive Google and Coursera courses, with a commitment to completing all 7 courses to deepen expertise in user experience design.

---

**Experience**  

**Project: Save Ukraine Now (IF) - 1 Day Donate**  
- Designed a subscription-based charity website from the ground up, prioritizing user experience and clarity.
- Conducted in-depth competitor analysis to emphasize the charity's unique aspects.
- Effectively communicated project information to ensure clarity and understanding.
- Implemented continuous improvements based on feedback and performance metrics.

---

**Education**  
- Actively pursuing UX skill enhancement through Google and Coursera courses. Completed the second course, with plans to finish all 7 courses.

---

**Skills**  
- UX Design  
- Competitor Analysis  
- Website Design  
- Project Presentation  
- Continuous Improvement  

---

**Certifications**  
- [List any relevant certifications if applicable]

---

**References**  
Available upon request."
98366,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Creative and detail-oriented professional specializing in web and mobile application design. Proven track record in enhancing user experience and contributing to project development through effective, problem-solving products.

---

**Experience**  

**Freelance Designer/Developer**  
April 2021 - November 2021  

- Designed a user-friendly and visually appealing website for Devin.
- Collaborated on diverse projects, contributing to the development and implementation of innovative solutions.
- Participated in designing a mobile application for an insurance company, ensuring alignment with user needs and industry standards.

---

**Skills**  

- Web Design
- Mobile Application Design
- User Experience (UX) Design
- Project Development
- Problem Solving

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request."
98367,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Motivated and enthusiastic individual seeking to advance in the field of IT, with a focus on UX/UI design. Eager to apply self-taught skills and explore new opportunities in a dynamic work environment.

---

**Skills**  
- Proficient in Figma for UX/UI design  
- Quick learner with strong adaptability  
- Excellent problem-solving skills  
- Effective communication and interpersonal abilities  

---

**Experience**  

**Sales Manager**  
- Managed client relationships and sales processes  
- Developed strategies to meet sales targets  
- Collaborated with team members to enhance customer satisfaction  

**Printing Company Experience**  
- Involved in the production of plastic cards  
- Assisted in printing project documentation  

---

**Projects**  

**UX/UI Design Study Project**  
- Developed a comprehensive study project using Figma  
- Focused on creating user-friendly and visually appealing designs  

---

**Education**  
- Self-studying UX/UI design  

---

**Additional Information**  
- Highly motivated to work hard and explore new fields  
- Open to opportunities that allow for professional growth and development  "
98368,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Education**  

**Genesis Academy**  
- UI/UX School  

**Para School**  
- Complex Internet Marketing Course  

**Projector**  
- Web Design Junior Course  
- Web Design Beginning Course  

---

**Professional Experience**  

**Star Company**  
*Intern*  
- Contributed to projects including an app for document verification and a suite of sports and health apps with a racing theme.  
- Utilized Figma and Adobe Photoshop for design tasks.  
- Designed screens, adapted designs for iOS and Android, and created app screenshots for the App Store and Google Play.  

---

**Skills**  
- UI/UX Design  
- Figma  
- Adobe Photoshop  
- Mobile App Design  
- Cross-Platform Adaptation  

---

**Projects**  
- Document Verification App  
- Sports and Health Apps (Racing Theme)  

---

**Certifications**  
[List any relevant certifications if applicable]  

---

**References**  
Available upon request."
98369,"**[Your Name]**  
**[Your Address]**  
**[City, State, ZIP Code]**  
**[Your Phone Number]**  
**[Your Email Address]**  
**[LinkedIn Profile]**

---

**Objective**  
Passionate UX/UI Designer with a strong grasp of design principles, dedicated to creating intuitive and visually engaging interfaces. Seeking to apply skills in a dynamic setting to develop user-focused solutions.

---

**Education**  
**Google UX/UI Design Certificate**  
Coursera  
- Developed expertise in design principles and tools for crafting intuitive user interfaces.

---

**Experience**  

**UX/UI Design Projects**  
- Completed three in-depth projects through the Google UX/UI Design course on Coursera, demonstrating proficiency in design principles and tools.
- Engaged in personal projects to apply knowledge practically, gaining experience and exploring diverse styles in website and app design.

---

**Skills**  
- Proficient in UX/UI design principles
- Experienced with design tools and software
- Strong problem-solving and creative thinking abilities
- Skilled in creating user-friendly and visually appealing interfaces

---

**Professional Development**  
- Continuously working on personal projects to enhance design skills and stay current with design trends and methodologies.

---

**References**  
Available upon request."
98370,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated and conscientious professional specializing in UI/UX design for web and mobile applications. Committed to creating effective and profitable design solutions through collaboration and innovation.

---

**Skills**  
- UI/UX Design  
- Web Design  
- Mobile Application Design  
- Team Collaboration  
- Constructive Feedback Acceptance  
- Full Cycle Design: Task Analysis, Prototyping, Visual Style Creation, Implementation  

---

**Experience**  

**Web Designer**  
- Developed a website for selling apartments, utilizing expertise in moodboards, grids, typography, UI-kit, and adaptation.  
- Collaborated with peers to create a web service, applying principles such as persona development, user-flow, and smart-animate.  

**Mobile Application Designer**  
- Designed a mobile application during academic studies, emphasizing user-friendly and efficient design solutions.  

---

**Education**  
- [Your Degree] in [Your Field]  
- [Your University], [Year of Graduation]  

---

**Core Principles**  
- Results-oriented design focus  
- Open and collaborative team environment  
- Mutual respect and friendly atmosphere  
- Opportunities for remote work  
- Commitment to corporate training and development  
- Career growth potential  

---

**Let's create something great together that will really work and make a profit.**"
98371,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UI/UX Designer eager to join a dynamic team working on impactful projects. Committed to contributing innovative and high-quality UX/UI solutions while continuously developing skills and collaborating with experienced professionals.

---

**Education**  
[Your Degree] in [Your Major]  
[Your University], [Location]  
[Month, Year] - [Month, Year]

---

**Projects**  

**Flower Lover**  
- Developed a visually appealing and informative landing page for a flower delivery service.  
- Designed an intuitive interface to attract users and facilitate flower orders.  
- Enabled users to explore flower varieties, place orders, and access delivery information.

**House Hopper**  
- Created a comprehensive web service for finding and booking accommodations worldwide.  
- Designed with two user personas: property owners and guests, each with distinct functionalities.  
- Integrated features for property search, reservations, owner communication, and travel information.

**Pet Project: Educational Courses Landing Page**  
- Designed a landing page for course registration, focusing on simplicity and user-friendliness.  
- Conducted user research and competitor analysis to enhance interface design.

---

**Skills**  
- UI/UX Design  
- User Research  
- Competitor Analysis  
- Web and Mobile Interface Design  
- Team Collaboration  

---

**Professional Development Goals**  
- Engage in exciting projects that positively impact users' lives.  
- Pursue continuous growth and learning in UX/UI design.  
- Collaborate with a team to share knowledge and ideas.  

---

**References**  
Available upon request."
98372,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Proactive and responsible UI/UX Designer with extensive experience in designing user interfaces and experiences. Skilled in managing design projects, coordinating teams, and utilizing design tools such as Figma, Adobe Photoshop, and Adobe Illustrator. Seeking to leverage my skills and experience in a dynamic company where I can contribute effectively and grow professionally.

---

**Professional Experience**

**Team Leader, Techgen IT**  
- Led a project team, managing designers and organizing work distribution.  
- Communicated effectively with developers to explain and demonstrate design solutions and animations.  

**Freelance Experience**

**Team Lead UI/UX Designer, Multi-page Website**  
- Coordinated a team of young designers to create a user interface for an IT Community.  
- Planned and managed project timelines and deliverables.  

**UI/UX Designer, Landing Page**  
- Designed a business card landing page for a company providing house design services.  
- Included completed projects and a comprehensive list of services in the design.  

**UI/UX Designer, Mobile Application**  
- Developed a user-friendly interface for a mobile application focused on searching and purchasing air tickets.  

---

**General Accomplishments**  
- Designed user interfaces (UI) and user experiences (UX) with a focus on usability and efficiency.  
- Prototyped interfaces and conducted user research to test usability.  
- Utilized design tools such as Figma, Adobe Photoshop, and Adobe Illustrator for various projects.  

---

**Education and Courses**  
- Designed pet projects during courses, including a landing page using Figma, Adobe Photoshop, and Adobe Illustrator.  

---

**Skills**  
- UI/UX Design  
- Team Leadership  
- Project Management  
- Prototyping and User Research  
- Figma, Adobe Photoshop, Adobe Illustrator  

---

**Personal Attributes**  
- Responsible and proactive  
- Open to constructive criticism  
- Result-oriented  

---

**Objective**  
To find a company where I can contribute my knowledge and skills effectively, while continuing to grow professionally."
98373,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and detail-oriented designer with a strong track record in leading team projects and crafting individual design solutions. Proficient in using Figma to create user-friendly and visually appealing designs. Possess strong analytical skills with a focus on enhancing user experience and conducting competitive analysis.

---

**Experience**  

**Team Leader**  
*Neaty Kitty*  
- Led a team of three in developing a web service for a cleaning company.  
- Conducted comprehensive analysis of similar services and target audiences.  
- Created Customer Journey Maps and Userflows.  
- Delivered a streamlined and user-friendly design using Bootstrap 5.  

*Tap the Table*  
- Co-led a team of two in designing a mobile application for restaurant table bookings.  
- Engaged in in-depth analysis, userflow creation, and prototyping.  
- Developed wireframes and complete design for the app.  

---

**Pet Projects**  

**Redesign of ""Yours Sports Bar"" Website**  
- Conducted a thorough analysis of the existing website and its competitors.  
- Identified strengths and weaknesses, and created wireframes and designs for multiple devices.  

**Tattoo Studio Landing Page**  
- Designed a landing page from scratch, including reference analysis and wireframe creation.  

---

**Education**  

**GoIT**  
- Completed four projects, including team and individual design initiatives.  

---

**Skills**  
- Figma  
- Wireframing  
- User Experience Design  
- Competitive Analysis  
- Prototyping  
- Bootstrap 5  

---

**Portfolio**  
- View design cases on Behance.  "
98374,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UI/UX Designer eager to learn and grow in a dynamic environment. Skilled in both individual and team settings, with a focus on delivering high-quality design solutions.

---

**Projects**

**Lost Pets Web Service**  
- Collaborated on a team project to develop a web service for locating missing animals.
- Conducted competitor analysis and created user personas.
- Developed low-fidelity and high-fidelity prototypes.
- Completed the full design cycle with engaging and high-quality content.

**Mobile Application Development**  
- Participated in a team project focused on mobile application development.
- Contributed to various stages of the design and development process.

**Hotel and Restaurant Complex Redesign**  
- Independently redesigned a hotel and restaurant complex website.
- Analyzed competitors and modernized the site to enhance user experience.

**Citroen C4 Landing Page**  
- Designed a landing page for Citroen C4 test drive registration.
- Adhered to the brief requirements and focused on user-friendly design.

---

**Skills**  
- UI/UX Design  
- Prototyping  
- Competitor Analysis  
- User Persona Creation  
- Team Collaboration  
- Individual Project Management  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Location]  
[Year of Graduation]  

---

**References**  
Available upon request."
98375,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Innovative web and mobile application designer with hands-on experience in crafting adaptive designs and user interfaces. Committed to leveraging skills in UI/UX design and web service development.

---

**Experience**

**Design and Development Projects**  
- **Openmind Web Service**  
  - Collaborated with a team to create a global couchsurfing web service providing free housing or service exchanges.
  - Conducted competitor analysis to evaluate strengths and weaknesses of existing platforms.
  - Developed user personas and scenarios to gain insights into user needs and preferences.
  - Designed user flows and detailed wireframes to map out the user journey.
  - Enhanced the UI and UX design for host profiles, including registration, housing addition, and profile management.
  - Adapted designs for mobile and tablet interfaces to ensure responsiveness.
  - Developed a comprehensive UI kit to maintain design consistency.

---

**Skills**  
- UI/UX Design  
- Wireframing and Prototyping  
- Responsive and Adaptive Design  
- Competitor Analysis  
- User Persona Development  
- Mobile and Web Interface Design  

---

**Education**  
[Your Degree or Certification]  
[Your Institution]  
[Year of Graduation or Completion]  

---

**References**  
Available upon request."
98376,"Julia [Your Last Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated UX/UI Designer with a strong foundation in photography, eager to leverage skills in commercial projects. Committed to ongoing learning and contributing to impactful and meaningful design solutions.

---

**Education**  
**GoIT Course**  
Completed UX/UI Design Course

---

**Skills**  
- UX/UI Design  
- Figma  
- ProtoPie  
- Competitor Analysis  
- User Personas  
- User Journey Mapping  
- Wireframing and Prototyping  
- Responsive Design  
- Attention to Detail  
- Team Collaboration  

---

**Projects**  

**Buyland Supermarket App**  
- Developed a mobile app to enhance the shopping experience by enabling users to scan and pay for purchases in-app.  
- Conducted competitor analysis, defined target audience personas, mapped user journeys, and created wireframes and prototypes.  
- Designed an intuitive interface using Figma.

**Library App**  
- Designed onboarding and main pages using Figma.  
- Enhanced user experience with animations created in ProtoPie.

**Flower App**  
- Created onboarding, registration, main page, and card designs using Figma.  
- Implemented animations to enhance the interface.

**Clean Up Web Service**  
- Developed a user-friendly web service for a cleaning company to promote their business and facilitate service bookings.  
- Conducted competitor analysis, defined target audience personas, mapped user journeys, and created wireframes and prototypes.  
- Designed a responsive website optimized for various devices.

**IT School Dashboard**  
- Designed a dashboard for an IT school, focusing on user-friendly navigation and data presentation.

**Mainsail Realty Company Website Redesign**  
- Redesigned a real estate company website to appeal to middle-aged married couples interested in Florida real estate.  
- Focused on creating a minimalistic, clear, and easy-to-navigate design.

---

**Professional Goals**  
Seeking a challenging role that offers opportunities for personal and professional development, with a focus on growth potential."
98377,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Innovative and dedicated freelance designer with a focus on creating stylish, high-quality, and user-friendly designs. Eager to contribute to diverse projects, including e-commerce, landing pages, and mobile application interfaces.

---

**Professional Experience**  

**Freelance Designer**  
[Location]  
[Year] - Present  

- Developed a landing page for a jewelry store, enhancing audience engagement.
- Designed advertising banners and creatives to elevate marketing strategies.
- Created online stores, landing pages, creative banners, and mobile interfaces.
- Employed project design principles, including sketching and prototyping.
- Leveraged expertise in user interface perception and compositional interface construction.

---

**Skills**  

- Proficient in creating visually appealing and functional designs.
- Strong understanding of modern design trends and user experience principles.
- Skilled in project design, sketching, and prototyping.
- Experienced in designing for various platforms, including e-commerce and mobile interfaces.

---

**Professional Development**  

- Pursued self-training across various design styles through educational projects.
- Dedicated to continuous improvement of design skills and staying updated with industry trends.

---

**Education**  

[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  

Available upon request."
98378,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and analytical designer with extensive experience in website and mobile application development. Proficient in design tools such as Figma, Photoshop, Illustrator, Corel Draw, and Canva. Strong understanding of usability, UX methodology, graphic design principles, typography, and color theory. Proven ability to work effectively both individually and as part of a team, focusing on creating responsive and adaptive designs that enhance user experience.

---

**Skills**  
- Proficient in Figma, Photoshop, Illustrator, Corel Draw, and Canva  
- Strong understanding of usability and UX methodology  
- Expertise in graphic design, typography, and color theory  
- Experience in developing websites and mobile applications  
- Skilled in creating responsive and adaptive designs  
- Strong analytical and creative thinking abilities  
- Effective team collaboration and individual work skills  

---

**Professional Experience**  

**Social Project: Website Development for Volunteers**  
- Contributed to the development of a website supporting volunteer activities.  

**Recent Projects**  

**Real Estate Website Redesign**  
- Conducted research and planning to define goals and target audience  
- Performed competitor research and market analysis  
- Compiled user personas and user flows  
- Developed site structure and content, selecting color schemes, fonts, and graphics  
- Created wireframes and optimized design for usability and perception  
- Ensured responsiveness across devices and optimized media for performance  

**Pet Search Web-Service**  
- Defined main goals and target audience  
- Conducted market analysis and competitor research  
- Developed user personas and user flows  
- Created a coherent visual experience through careful selection of design elements  
- Developed wireframes and optimized design for ease of use  
- Implemented responsive design settings and media optimization  

---

**Education**  
[List your education here, if applicable]

---

**Certifications**  
[List any relevant certifications here, if applicable]

---

**References**  
Available upon request."
98379,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic UX/UI designer with a strong passion for crafting intuitive and visually appealing interfaces. Proficient in developing web applications, adaptive design, and prototype creation, with a comprehensive understanding of UX and UI principles. Highly skilled in Figma, including auto layout, components, variants, and animation, and consistently updated with the latest features. Excels in planning and structuring large-scale projects while maintaining meticulous attention to detail. Adaptable and thrives in collaborative environments.

---

**Skills**

*Hard Skills*  
- Sitemap and Userflow  
- Competitor and CA Analysis  
- Typography and Color Theory  
- Mood Board Creation  
- UX/UI Principles  
- Lo-fi and Hi-fi Layouts  
- Prototyping  
- User Testing  
- UI and UI-kit Development  
- Adaptive Design  

*Soft Skills*  
- Decision Argumentation  
- Effective Communication  
- Project Adaptability  
- Team Collaboration  
- Detail Orientation  
- Self-Motivation  
- Workflow Organization  
- Project Management  
- Priority Setting  
- Creativity  
- Time Management  

---

**Experience**

*E-commerce Project*  
- Developed a site for new manufacturers, focusing on automating the ordering process.  
- Conducted project research, competitor analysis, client briefing, and CA determination.  
- Created sitemap, userflow, Lo-Fi and Hi-Fi wireframes, and conducted Nielsen Heuristics analysis.  
- Designed mood boards, conducted user testing, and developed UI-kit and UI.  
- Resulted in a convenient catalog with filters, sorting, and a comprehensive product card. Developed a functional shopping cart with order editing capabilities and options for delivery and payment methods.  
- Prototype testing achieved top results in CSAT, completion rate, and task time metrics.  

*Landing Page Project*  
- Developed a landing page to address the issue of animals in shelters and facilitate pet adoption.  
- Conducted project and secondary research, sketching, and brainstorming.  
- Created Lo-Fi and Hi-Fi wireframes, mood boards, and developed UI-kit and UI.  
- Designed an attractive interface using 10 blocks to present project details and dispel myths about shelter animals.  
- Added an interactive form for selecting pets.  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**Certifications**  
[List any relevant certifications]  

---

**References**  
Available upon request."
98380,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Self-motivated junior UX/UI designer with a passion for detail and a strong background in furniture and interior design. Seeking to leverage my skills in landing page design, web services, and mobile applications to create intuitive and aesthetically appealing user interfaces. Eager to grow within a team of creative professionals.

---

**Experience**  

**UX/UI Designer**  
- Designed a landing page for the ""BusinessUp by Podvigina"" course, meeting tight deadlines and incorporating a UI kit and animation elements.
- Developed FinEasy, a collaborative web service for accountants and entrepreneurs, leading UX research, creating personas, and designing adaptive UI components with engaging animations.
- Redesigned a Mexican restaurant's website, conducting competitor analysis, creating wireframes, and implementing UI design with adaptation and animation using Figma.
- Completed the full design cycle for the Urban Festival landing page, including competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices.

---

**Pet Projects**  
- Developed and managed two personal projects, showcasing creativity and initiative in UX/UI design.

---

**Skills**  
- UX Research  
- UI Design  
- Wireframing  
- Animation  
- Responsive Design  
- Figma  

---

**Professional Attributes**  
- Results-oriented with a focus on design  
- Collaborative team player  
- Adaptable to partially remote work  
- Committed to career growth and skill development  

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year of Graduation]  

---

**References**  
Available upon request."
98381,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Education**  

**Mobios School**  
- UX/UI Design and Mobile Design Courses  
- 2020  

**Projector**  
- Junior Web Designer Courses by Alex Kim, Den Potapov  
- Font Logo Courses by Kate Jacushek  
- 2021  

---

**Skills**  
- Social media and print outdoor advertising banner design  
- Customer briefing and requirement gathering  
- Basic UX research, including competitor and business area analysis  
- Creation of personas, Customer Journey Maps (CJM), and User Flows  
- Interactive prototype development  
- Expertise in typography, grids, color theory, mood, and atmosphere  
- Design of adaptive landing pages, e-commerce platforms, corporate sites, and mobile applications  
- Project presentation development and client representation  
- Logo design  

---

**Experience**  
- Designed banners for social media and outdoor advertising  
- Conducted customer briefings to gather project requirements  
- Performed basic UX research, including competitor and business area analysis  
- Created personas, Customer Journey Maps (CJM), and User Flows  
- Developed interactive prototypes to enhance user experience  
- Applied typography, grids, and color theory to design projects  
- Designed adaptive landing pages, e-commerce platforms, corporate sites, and mobile applications  
- Developed and presented project presentations to clients  
- Created logos for various projects  

---

**References available upon request**."
98382,"[Your Name]  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Passionate UX Designer with a strong foundation in UI/UX design, seeking to enhance skills in user experience design and contribute to exceptional digital experiences. Dedicated to working collaboratively with a team to solve complex UX challenges.

---

**Experience**  

**Freelance UI/UX Designer**  
[Company/Client Name]  
[Month, Year]  

- Conducted research to identify design references and developed initial sketches.
- Created wireframes and prototypes to effectively visualize design concepts.
- Redesigned an existing application to improve user experience.
- Developed YouTube and Instagram banners and intros to enhance brand presence.
- Designed and redesigned logos to align with brand identity.

---

**Skills**  

- **Design Tools:** Adobe Photoshop, Figma, InDesign, InVision (basic), Illustrator (basic)
- **Web Technologies:** HTML/CSS (basic understanding)
- **Languages:** English (Advanced)
- **Soft Skills:** Strong communication, organizational skills, time management

---

**Professional Development**  

- Engaged in numerous design meetups to stay updated on industry trends.
- Completed web design marathons to enhance practical design skills.
- Built a comprehensive portfolio showcasing diverse design projects.

---

**Goals**  

- Enhance expertise in UX design to create intuitive and engaging user experiences.
- Collaborate with a team to tackle UX challenges and drive innovation.
- Focus on meaningful design projects, avoiding gambling and advertisement design."
98383,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Aspiring UI/UX Designer with a solid foundation in research and design, eager to leverage skills in user analysis, competitor research, and design to contribute to a dynamic team. Passionate about creating intuitive and engaging user experiences.

---

**Education**  
- **Basic UI/UX Course**  
  Hillel IT School  

- **UI/UX Webinar**  
  GoIt School  

---

**Experience**  

**Research Manager**  
Entertainment/Crypto Company  
[Month, Year] – [Month, Year]  
- Conducted comprehensive research and analysis on target audiences, competitors, and legal policies in various countries.
- Collaborated with the QA department on UI/UX and regression testing during the final month of employment.
- Enhanced project outcomes by integrating research insights into design and testing processes.

---

**Projects**  

**Destin/Tattoo**  
- Conducted competitor analysis and evaluated the existing website's UX for a tattoo salon.
- Developed a new design with improved colors, typography, and user flow, significantly enhancing site usability.
- Tools Used: Figma

**HelpPets**  
- Collaborated with a team to perform competitor analysis and develop typography and a UI kit for a web service platform.
- Contributed ideas for innovative features, such as AI assistance for predicting pet movements.
- Designed user flow and UI for a major user type (people who lost pets).
- Tools Used: Figma, Figma Mock-ups, Adobe Photoshop

---

**Skills**  
- Proficient in Figma and Adobe Creative Suite
- Strong analytical and research skills
- Experience in user analysis and competitor research
- Ability to work collaboratively in a team environment
- Interest in animations, mock-ups, and 3D design

---

**Preferences**  
- Seeking opportunities to work with a team of designers to enhance skills and knowledge.
- Open to using tools like Miro and other design platforms.
- Not interested in frontend development or deployment tasks."
98384,"**[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated professional seeking a full-time position in a company focused on enhancing everyday life and business efficiency. Eager to grow, learn, and contribute in a respectful and friendly environment.

---

**Experience**

**UkrainianPets Web Service**  
*Team Project*  
- Developed a platform for reporting and finding lost pets, connecting pet owners with the public for assistance.
- Created user personas, defined Jobs-to-be-done, and designed pages such as ""Lost"", ""Found"" animals, ""My Ads"", and forms for creating ads for found/lost animals.
- Implemented drop-down lists and collaborated with the team to enhance platform functionality.

**Redesign of Indian Cuisine Website**  
*Independent Project*  
- Revamped an outdated website with low-quality visuals and insufficient customer information.
- Achieved a minimalist design that improved accessibility, structure, and visual hierarchy, resulting in a modern, user-friendly interface.

**Flower Shop Landing Page**  
*Independent Project*  
- Created a one-page website to promote a new bouquet delivery service.
- Designed a modern, user-friendly interface using vibrant flower photography and a unique color scheme to stand out from competitors.
- Enabled visitors to easily view flower arrangements and place delivery orders efficiently.

---

**Skills**  
- Web Design and Development  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Team Collaboration  
- Project Management  

---

**Education**  
[Your Degree]  
[Your University/College]  
[Year of Graduation]  

---

**References**  
Available upon request."
98385,"EXPERIENCE

UI/UX Designer  
2022 - Present  

- Created web pages, blog site designs, and branded materials, including company logos, social media posts, and illustrations.  
- Designed mobile and web applications, including a project for Vinnitsa National Technical University (JetIQ).  
- Developed attractive and user-friendly designs for a wide range of clients, including small businesses.  
- Collaborated with clients and development teams to ensure successful project implementation.  
- Developed corporate identities and illustrations using design tools such as Figma, Illustrator, Photoshop, and Procreate.  
- Developed websites from concept and design ideas to responsive HTML5/CSS3 pages (including SASS and SCSS), ensuring clear and understandable code.  
- Applied UI/UX principles and adhered to brand guidelines to create functional and attractive products.  

SKILLS

- UI/UX Design (Figma)  
- Illustrations (Adobe Illustrator, Adobe Photoshop)  
- HTML, CSS (SASS, SCSS)  

COMMERCIAL EXPERIENCE

- JetIQ (2022-2023): Design creation, wireframe, component creation, layout.  

FAVORITE PROJECTS

- Anitime: Mobile application for watching anime  
- Innovexa: Landing page for a company providing data security services  

COURSES

- Junior Front-end Developer - EPAM University  
- UI/UX Designer - Taras Shipka  "
98386,"**[Your Name]**

---

**Professional Summary**

Creative and detail-oriented web designer with a proven track record in developing user-friendly and visually appealing websites. Skilled in analyzing user needs and crafting innovative solutions that enhance user experience. Seeking a full-time role in a company committed to improving everyday life and business productivity through user-centric solutions. Fast learner, responsible, and eager to tackle challenging tasks.

---

**Projects**

**Flover Lover - Landing Page**
- Developed a landing page to promote a new bouquet delivery service.
- Collaborated with the client to create a simple, one-page site featuring gentle colors and easy navigation.
- Conducted competitor analysis and created a mood board to guide the design process.

**Custom Concept Tattoo & Design - Website Redesign**
- Redesigned the website for a tattoo studio to modernize its appearance and improve usability across different devices.
- Addressed issues with outdated design and lack of media adaptation to attract potential customers.

**VDOMA - Web Service**
- Designed and developed an animal search web service to assist owners in locating lost pets quickly.
- Executed the project in multiple stages, including competitor analysis, user persona development, prototyping, system design, UI creation, and adaptation.

---

**Skills**
- Web Design
- User Interface (UI) Design
- Competitor Analysis
- Prototyping
- System Design
- Multi-Device Adaptation

---

**Objective**

To secure a full-time position in a forward-thinking company dedicated to enhancing everyday life and business operations through innovative, user-friendly solutions."
